,link,region
0,/homedetails/226-W-113th-St-APT-12A-New-York-NY-10026/2085039026_zpid/,Central Harlem
1,/homedetails/208-W-119th-St-APT-4H-New-York-NY-10026/2090715428_zpid/,Central Harlem
2,/homedetails/352-W-115th-St-APT-2E-New-York-NY-10026/2085008374_zpid/,Central Harlem
3,/homedetails/1864-Adam-C-Powell-Blvd-51-New-York-NY-10026/2085094304_zpid/,Central Harlem
4,/homedetails/361-W-116th-St-New-York-NY-10026/2089740451_zpid/,Central Harlem
5,/homedetails/317-W-112th-St-New-York-NY-10026/31550436_zpid/,Central Harlem
6,/homedetails/137-W-111th-St-New-York-NY-10026/2085016866_zpid/,Central Harlem
7,/homedetails/1878-7th-Ave-APT-52-New-York-NY-10026/2085225626_zpid/,Central Harlem
8,/homedetails/368-W-117th-St-APT-1C-New-York-NY-10026/65321813_zpid/,Central Harlem
9,/homedetails/130-Lenox-Ave-APT-807-New-York-NY-10026/2093446808_zpid/,Central Harlem
10,/homedetails/45-W-110th-St-APT-1E-New-York-NY-10026/2088667600_zpid/,Central Harlem
11,/homedetails/1801-A-C-Powell-Blvd-APT-4C-New-York-NY-10026/2086136069_zpid/,Central Harlem
12,/homedetails/353-W-117th-St-APT-6C-New-York-NY-10026/2100152515_zpid/,Central Harlem
13,/homedetails/1878-A-C-Powell-Blvd-APT-27-New-York-NY-10026/2085389124_zpid/,Central Harlem
14,/homedetails/208-W-119th-St-APT-2R-New-York-NY-10026/2090715430_zpid/,Central Harlem
15,/homedetails/261-W-112th-St-APT-1B-New-York-NY-10026/97307278_zpid/,Central Harlem
16,/homedetails/245-W-115th-St-APT-13-New-York-NY-10026/80003233_zpid/,Central Harlem
17,/homedetails/2110-Frederick-Douglass-Blvd-APT-7B-New-York-NY-10026/112086945_zpid/,Central Harlem
18,/homedetails/5-W-119th-St-New-York-NY-10026/31547033_zpid/,Central Harlem
19,/homedetails/208-W-119th-St-APT-2B-New-York-NY-10026/2085698405_zpid/,Central Harlem
20,/homedetails/387-Manhattan-Ave-New-York-NY-10026/31552142_zpid/,Central Harlem
21,/homedetails/111-W-119th-St-New-York-NY-10026/31551692_zpid/,Central Harlem
22,/homedetails/353-W-117th-St-APT-3E-New-York-NY-10026/2110204524_zpid/,Central Harlem
23,/homedetails/134-W-117th-St-123-New-York-NY-10026/2086942100_zpid/,Central Harlem
24,/homedetails/1878-A-C-Powell-Blvd-APT-26-New-York-NY-10026/2095689330_zpid/,Central Harlem
25,/homedetails/100-W-119th-2A-Manhattan-NY-10026/2084978917_zpid/,Central Harlem
26,/homedetails/1864-Adam-C-Powell-Blvd-51-Manhattan-NY-10026/2085092606_zpid/,Central Harlem
27,/homedetails/301-W-118th-St-PH-3D-New-York-NY-10026/2103354787_zpid/,Central Harlem
28,/homedetails/34-W-119th-St-New-York-NY-10026/31546995_zpid/,Central Harlem
29,/homedetails/1400-5th-Ave-APT-5A-New-York-NY-10026/65321743_zpid/,Central Harlem
30,/homedetails/51-Saint-Nicholas-Ave-APT-4A-New-York-NY-10026/80012192_zpid/,Central Harlem
31,/homedetails/220-W-111th-St-APT-4C-New-York-NY-10026/80014167_zpid/,Central Harlem
32,/homedetails/105-W-119th-St-C-New-York-NY-10026/31551698_zpid/,Central Harlem
33,/homedetails/1809-A-C-Powell-Blvd-APT-2B-New-York-NY-10026/2090490392_zpid/,Central Harlem
34,/homedetails/1845-A-C-Powell-Blvd-New-York-NY-10026/2087520741_zpid/,Central Harlem
35,/homedetails/118-W-112th-St-APT-3B-New-York-NY-10026/112513434_zpid/,Central Harlem
36,/homedetails/111-Central-Park-N-17ABC-New-York-NY-10026/2096671368_zpid/,Central Harlem
37,/homedetails/365-W-116th-St-New-York-NY-10026/31552150_zpid/,Central Harlem
38,/homedetails/300-W-110th-St-APT-20F-New-York-NY-10026/31550018_zpid/,Central Harlem
39,/homedetails/29-W-119th-St-APT-53-New-York-NY-10026/2137341415_zpid/,Central Harlem
40,/homedetails/285-W-110th-St-APT-9A-New-York-NY-10026/2090839932_zpid/,Central Harlem
41,/homedetails/247-W-115th-St-APT-4A-New-York-NY-10026/97501390_zpid/,Central Harlem
42,/homedetails/118-W-112th-St-APT-5B-New-York-NY-10026/112516365_zpid/,Central Harlem
43,/homedetails/2101-8th-Ave-APT-3C-New-York-NY-10026/2085220911_zpid/,Central Harlem
44,/homedetails/301-W-110th-St-APT-16H-New-York-NY-10026/31550397_zpid/,Central Harlem
45,/homedetails/310-W-114th-St-1-New-York-NY-10026/2094199327_zpid/,Central Harlem
46,/homedetails/10-Lenox-Ave-5E-New-York-NY-10026/2085253173_zpid/,Central Harlem
47,/homedetails/257-W-117th-St-APT-1C-New-York-NY-10026/89331884_zpid/,Central Harlem
48,/homedetails/135-W-115th-St-APT-1B-New-York-NY-10026/244893319_zpid/,Central Harlem
49,/homedetails/1330-5th-Ave-APT-6N-New-York-NY-10026/2086509683_zpid/,Central Harlem
50,/homedetails/321-W-110th-St-APT-20B-New-York-NY-10026/124435167_zpid/,Central Harlem
51,/homedetails/106-W-116th-St-APT-7A-New-York-NY-10026/89330461_zpid/,Central Harlem
52,/homedetails/80-St-Nicholas-Ave-APT-6G-New-York-NY-10026/2085646020_zpid/,Central Harlem
53,/homedetails/417-Manhattan-Ave-APT-3-New-York-NY-10026/2086415751_zpid/,Central Harlem
54,/homedetails/66-72-Saint-Nicholas-Ave-1G-Manhattan-NY-10026/2087497704_zpid/,Central Harlem
55,/homedetails/100-W-119th-St-APT-4B-New-York-NY-10026/69511733_zpid/,Central Harlem
56,/homedetails/100-W-119th-St-PHD-New-York-NY-10026/2085086467_zpid/,Central Harlem
57,/homedetails/120-W-118th-St-PARLOUR-New-York-NY-10026/2085212401_zpid/,Central Harlem
58,/homedetails/310-W-114th-St-New-York-NY-10026/143174330_zpid/,Central Harlem
59,/homedetails/371-W-117th-St-APT-1E-New-York-NY-10026/60148597_zpid/,Central Harlem
60,/homedetails/321-W-110th-9A-Manhattan-NY-10026/2085057642_zpid/,Central Harlem
61,/homedetails/1330-5th-Ave-APT-5I-New-York-NY-10026/2113085970_zpid/,Central Harlem
62,/homedetails/111-Central-Park-N-9BB-New-York-NY-10026/2085220628_zpid/,Central Harlem
63,/homedetails/111-Central-Park-N-APT-9A-New-York-NY-10026/2088797665_zpid/,Central Harlem
64,/homedetails/23-W-116th-St-APT-4J-New-York-NY-10026/124434684_zpid/,Central Harlem
65,/homedetails/285-W-110th-St-APT-3G-New-York-NY-10026/2086562760_zpid/,Central Harlem
66,/homedetails/387-Manhattan-Ave-TH-New-York-NY-10026/2085431361_zpid/,Central Harlem
67,/homedetails/310-W-114th-St-6-New-York-NY-10026/2094876810_zpid/,Central Harlem
68,/homedetails/321-W-110th-St-APT-18C-New-York-NY-10026/124437158_zpid/,Central Harlem
69,/homedetails/40-W-116th-St-APT-B804-New-York-NY-10026/97545588_zpid/,Central Harlem
70,/homedetails/105-W-117th-St-APT-C-New-York-NY-10026/2087045147_zpid/,Central Harlem
71,/homedetails/10-Lenox-Ave-5B-New-York-NY-10026/2085253175_zpid/,Central Harlem
72,/homedetails/285-W-110th-St-APT-2A-New-York-NY-10026/2086562761_zpid/,Central Harlem
73,/homedetails/118-W-112th-St-APT-4B-New-York-NY-10026/112515011_zpid/,Central Harlem
74,/homedetails/118-W-112th-St-APT-6C-New-York-NY-10026/112513089_zpid/,Central Harlem
75,/homedetails/301-W-110th-St-APT-15E-New-York-NY-10026/31550385_zpid/,Central Harlem
76,/homedetails/159-W-118th-St-APT-4A-New-York-NY-10026/117458614_zpid/,Central Harlem
77,/homedetails/40-W-116th-St-APT-A604-New-York-NY-10026/97495863_zpid/,Central Harlem
78,/homedetails/111-Central-Park-N-APT-6B-New-York-NY-10026/2086076332_zpid/,Central Harlem
79,/homedetails/285-W-110th-St-PH2B-New-York-NY-10026/2087637485_zpid/,Central Harlem
80,/homedetails/1890-A-C-Powell-Blvd-APT-5E-New-York-NY-10026/2099398852_zpid/,Central Harlem
81,/homedetails/285-W-110th-St-APT-6D-New-York-NY-10026/2090839925_zpid/,Central Harlem
82,/homedetails/300-W-110th-St-APT-16G-New-York-NY-10026/31549979_zpid/,Central Harlem
83,/homedetails/285-W-110th-St-APT-8B-New-York-NY-10026/2087637486_zpid/,Central Harlem
84,/homedetails/106-W-116th-12A-Manhattan-NY-10026/2085121195_zpid/,Central Harlem
85,/homedetails/1330-5th-Ave-APT-3E-New-York-NY-10026/2085610255_zpid/,Central Harlem
86,/homedetails/51-Saint-Nicholas-Ave-APT-7A-New-York-NY-10026/69511660_zpid/,Central Harlem
87,/homedetails/23-W-116th-St-APT-5-D-New-York-NY-10026/124434555_zpid/,Central Harlem
