,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,1900000.00,"460 W 42nd St APT 51F, New York, NY 10036",-73.9953,40.7593,10036,0,1,699,2017,1,1,Chelsea and Clinton,https://www.zillow.com:443/homedetails/460-W-42nd-St-APT-51F-New-York-NY-10036/2120040847_zpid/,"For sale: $1,900,000. Sitting on 51th floor of Manhattan View Building (MIMA), 51 F is a spacious One Bedroom and One Bathroom near the entry. The Hight light of this apartment is the dramatic southern panoramic river and city views displaying the Hudson River, Hudson Bay, Statue of Liberty, One World Trade Center, Empire State Building and beyond. Manhattan View also benefit from a 421A tax exemption.

Apartment was designed by AD top 100 Jamie Drake. It features sleek contemporary open kitchen equipped with latest Gaggenau appliances, white cabinetry, marble counter tops, oak floors, floor-to-ceiling windows, Bosch Washer and Dryer. This residence comes with smart-home technology that allows you to control the environment anywhere in the world. The ipad mounted on the wall enables you to speak to doorperson and in-house luxury service team who can arrange all your needs."
1,NaN,NaN,-73.995498,40.761001,NaN,NaN,NaN,627,2017,NaN,NaN,Chelsea and Clinton,https://www.zillow.com:443/homedetails/505-W-43rd-St-4B-New-York-NY-10036/2092141990_zpid/,NaN
2,NaN,NaN,-73.995498,40.761001,NaN,NaN,NaN,506,2017,NaN,NaN,Chelsea and Clinton,https://www.zillow.com:443/homedetails/505-W-43rd-St-5C-New-York-NY-10036/2089603518_zpid/,NaN
3,1495000.00,"350 W 42nd St APT 51E, New York, NY 10036",-73.99227,40.757874,10036,0,1,778,2007,1,1,Chelsea and Clinton,https://www.zillow.com:443/homedetails/350-W-42nd-St-APT-51E-New-York-NY-10036/80009030_zpid/,"For sale: $1,495,000. Perched high above the city on the 51st floor, this spacious corner one bedroom home has it all. Enjoy panoramic open city views from the 51st floor with iconic views to the east and south- boasting the Hudson River, the Chrysler building, the Empire State Building, and south all the way to the Statue of Liberty. This incredible property features a windowed open kitchen with an extra wide refrigerator, custom cabinets, Bosch gas range, induction microwave unit, dishwasher, granite countertops, and a breakfast bar with power. The large living room enjoys eastern and southern exposures, with open city and Hudson River views. The king-sized bedroom also enjoys picturesque southern views. The luxurious bathroom is replete with a deep soaking tub and Waterworks fixtures. There is also a Bosch washer/dryer in unit and an abundance of closet space. The Orion Condominium amenities include a full-time doormen and concierge, on-site garage and specialty concierge. Amenities are located on the 29th - 31st floors and include an 8,200 SF fitness center, swimming pool, spa, billiards room, children's playroom, residents' lounge, business center, 3 sun decks and more. Conveniently located a stone's throw from Times Square and Broadway Theaters, access to the entire city via 14 Subway lines- including the S train to Grand Central Station, and surrounded by some of the city's best shopping, dining, and entertainment, as well as the Hudson River Park."
4,1200000.00,"635 W 42nd St APT 21C, New York, NY 10036",-73.999224,40.761362,10036,0,1,700,2007,1,1,Chelsea and Clinton,https://www.zillow.com:443/homedetails/635-W-42nd-St-APT-21C-New-York-NY-10036/143120485_zpid/,"For sale: $1,200,000. Our Atelier Sales Office is showing 7 days a week. Call us today for an immediate appointment to see our newest availability. Feel free to walk in Monday- Friday 10am-530pm without an appointment. A We are located just blocks away from the Hudson Rail Yards and the Hi Line Park. The Atelier has become a Manhattan luxury landmark. Many stars call Atelier their home and Atelier will now take you to the stars with 2 seats offered on on a outerspace flight with any units over $10M. All of our units are one of a kind. each has breathtaking unobstructed double exposure city and river views from floor to ceiling windows. The apartments feature stainless steel Bosch (dish washer, W/D, stove and microwave) and Sub Zero ( Fridge) appliances, white oak flooring , granite countertops in kitchen , marble bathrooms , washer/dryer in the unit , walk-in closets with white oak and glass pantries. The building amenities are 24-hour concierge/valet, tennis court, golf driving range , large lap swimming pool , sauna, residents' multi-media lounge and billiards room on the 47th floor, valet services ( laundry and dry cleaning on site) , state-of-the-art fitness center , yoga/pilates studio , fully-landscaped terraces/sundeck , building-wide wireless Internet system , on-site storage available , bike storage , pet friendly , valet parking available , basketball courts, bocci ball , free bicycle Usage , BBQ Grills , free daily breakfast and a cross town shuttle bus. Pictures are of our model unit stock photos. Square Footage is approximate along with common charges/ Taxes, actual amounts may vary."
5,1400000.00,"505 W 43rd St # 5A, New York, NY 10036",-73.995498,40.761001,10036,0,1,764,2017,1,1,Chelsea and Clinton,https://www.zillow.com:443/homedetails/505-W-43rd-St-5A-New-York-NY-10036/2085533317_zpid/,"For sale: $1,400,000. "
6,NaN,NaN,-73.995498,40.761001,NaN,NaN,NaN,451,2017,NaN,NaN,Chelsea and Clinton,https://www.zillow.com:443/homedetails/505-W-43rd-St-4S-New-York-NY-10036/2085531102_zpid/,NaN
7,1200000.00,"505 W 47th St # 4HSOUTH, New York, NY 10036",-73.993698,40.763401,10036,0,1,825,2008,1,1,Chelsea and Clinton,https://www.zillow.com:443/homedetails/505-W-47th-St-4HSOUTH-New-York-NY-10036/2085784947_zpid/,"For sale: $1,200,000. LEASE OUT. GREAT INVESTMENT OPPORTUNITY. Welcome home to boutique, luxury living in Midtown West. At the 505 you can have all the space you ever needed in an amenity rich building close to theater, dining, and all major transportation. This is condo living at its finest.

Apartment 4HS is a beyond over-sized one bedroom home that could easily flex into a convertible two bedroom (see floorplan) and is outfitted with the best appointments new development has to offer. The kitchens (designed by Mastri La Cucina) includes appliances by Miele, LG, Bosch & Fisher Paykel with expansive marble countertops. The bathroom finishes include Rocky River marble counter tops, Kohler fixtures. Pegasus Faucets and custom cabinetry. The bedroom is a titanic 10+' x 15+' and can fit a king bed and so much more. Icing on the cake is the massive walk-in closet.

The 505 is a 108 unit boutique luxury condo rich with amenities. Relax in the private, landscaped interior courtyard. Enjoy grilling on the private roofdeck or work out in the fully out-fitted atrium gym. The building is pet-friendly and offers a full-time doorman, bike storage, a live-in super and a sleek dual building design. **Note this is an ongoing assessment of $91 for capital improvements. Tax abatement ends in 2020*"
8,1400000.00,"350 W 42nd St APT 35C, New York, NY 10036",-73.991299,40.757715,10036,0,1,818,2007,1,1,Chelsea and Clinton,https://www.zillow.com:443/homedetails/350-W-42nd-St-APT-35C-New-York-NY-10036/143115098_zpid/,"For sale: $1,400,000. Like a Diamond in the Sky! Stunning Views and Impeccable Taste! This Beautiful 1 Bedroom with 818 Square Feet Condo shows very well! 10 Ft Floor to ceiling windows! Full Time Doorman, On-Site Garage, Concierge Services, Fitness Center, Inground Pool with Hot Tub! Multiple Sundecks! Huge Laundry Room on the 29th Floor with killer views of Manhattan and the Hudson River. This unit is a Must See...Call Today"
9,NaN,NaN,-73.99227,40.757874,NaN,NaN,NaN,615,2007,NaN,NaN,Chelsea and Clinton,https://www.zillow.com:443/homedetails/350-W-42nd-St-APT-14M-New-York-NY-10036/69510628_zpid/,NaN
