,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,1750000.00,"860 United Nations Plz APT 22E, New York, NY 10017",-73.9669,40.7521,10017,0,1,443522,1966,3,3,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/860-United-Nations-Plz-APT-22E-New-York-NY-10017/244752700_zpid/,"For sale: $1,750,000. Located in the iconic and architecturally acclaimed United Nations Plaza, this spacious 6-room cooperative residence showcases oversized windows offering wonderful light and open views from every room. A gracious Entry Foyer leads to a Gallery which opens to the sun flooded 36ft. double-sized corner Living and Dining Room. The windowed Kitchen features a breakfast area with plentiful cabinets. In a private wing are the Master Bedroom with an abundance of closets and a marble en-suite Bathroom and a large second Bedroom with a walk-in closet and full marble Bathroom. A sophisticated Library/Bedroom with custom built-ins and a full Bathroom complete this large and well-proportioned home for sophisticated living and entertaining. United Nations Plaza is a full service luxury Cooperative with an impeccable staff offering extraordinary service. Amenities feature: Club 39, a Residents Lounge; gym, Pilates studio, golf range, private drive and garage and roof deck. It is ideally situated on the East River at the base of Beekman Place, in one of Manhattan's most exciting residential and international communities with easy access to the city's business districts and finest shopping and dining. Pets are welcome. Storage Room included. Pied-a-terre purchase permitted. Foreign buyers welcome with USA based assets. Monthly utilities: $1,184.13. Window washing: $46.83."
1,2850000.00,"5 Tudor City Pl LBBY 9, New York, NY 10017",-73.970901,40.747898,10017,0,1,--,1930,2,2,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/5-Tudor-City-Pl-LBBY-9-New-York-NY-10017/2085758589_zpid/,"For sale: $2,850,000. A Seductive Terraced Penthouse



Rarely are the amazing penthouses in the coveted Windsor Tower of 5 Tudor City Place available. This 2 bedroom/2 bath apartment is the perfect pallet on which to create your own one-of-a kind PH. Upon entering the apartment, one is awe struck by the grandeur of 18'ceilings clad with a wall of casement windows overlooking the East River. The great room is brilliantly adorned and warmed by a 1920 era wood-burning fireplace, beautiful hardwood floors, a dramatic curved staircase and a private intimate terrace all of which amplify the magical architecture of the incredible space. On the first level is an expanded eat-in kitchen and a second bedroom currently used as a dining room/den. The staircase leads to a mezzanine overlooking the great room below. Off the mezzanine is the master bedroom with en suite bath and laundry. The massive private upper terrace with stunning views north, east, and south along the river is ideal for a romantic evening or entertaining on a grand scale.



Windsor Tower at 5 Tudor City Place, the grandest of the buildings in the Tudor City complex, has a 24 hour attended lobby, gym, storage, bike storage, and is pet friendly and allows pied-a-terre ownership. Electricity is included in the maintenance. Neighborhood amenities include convenience store, dry cleaners, caf, steak house, wine shop, and nail spa."
2,1899000.00,"303 E 43rd St APT 7B, New York, NY 10017",-73.971541,40.750579,10017,0,1,1589,1983,3,3,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/303-E-43rd-St-APT-7B-New-York-NY-10017/31531020_zpid/,"For sale: $1,899,000. - 1,589 Square Feet, 3 Bedroom, 2.5 Bathroom Corner Unit with floor to ceiling windows 
- Gut renovated mint condition condominium unit with finishes on par with new developments selling at and above $2500 per square foot 
- Adjacent to Tudor City Park and landmarked Ford Foundation 
- Minutes to Grand Central Station and abundant public transit

BUILDING AMENITIES
- White glove luxury service 
- 24 hour doorman
- Lobby level outdoor space
- On-site laundry

UNIT AMENITIES 
- 9 foot ceilings 
- Floor to ceiling windows 
- 7"" wide plank natural oak flooring
- 8' shaker solid core doors 
- Baldwin door hardware 
- LED lighting throughout 

KITCHEN 
- Calacatta Venato marble countertops and backsplash
- Custom Italian lacquer gray cabinets, made in Trevisio 
- Subzero 36"" refrigerator
- Viking 30"" professional grade gas stove
- Viking convection oven and microwave 
- Miele dishwasher
- Breakfast room with full height pantry cabinets and 80 bottle dual zone wine cooler. 

BATHROOM 
- Bianco Dolomite and Bardiglio Nuvolato marble in master bathroom 
- Statuary Easterno marble in secondary bathroom 
- Carrera Marble and Mosaic in powder room
- Porcelanosa fixtures and vanity, made in Spain

LOCATION
- Close proximity to United Nations
- Sushi Yasuda 
- Pietros Steakhouse
- Capital Grille
- Soba Totto 
- Patsy's Pizza"
3,NaN,NaN,-73.970429,40.752857,NaN,NaN,NaN,531,1982,NaN,NaN,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/240-E-47th-St-APT-4A-New-York-NY-10017/31529523_zpid/,NaN
4,299000.00,"5 Tudor City Pl APT 1607, New York, NY 10017",-73.970926,40.748801,10017,0,1,--,1930,0,1,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/5-Tudor-City-Pl-APT-1607-New-York-NY-10017/119919161_zpid/,"For sale: $299,000. CLASSIC Pre War Studio Apartment for Sale - High Floor with CITY Views - Western Exposure - Low Maintenance includes ELECTRIC

Very Charming example of Pre War architecture in an Immaculately kept Co-op. Open views to the West let you catch the sun setting behind your city skyline view. Renovated Hotel-style kitchen includes Miele glass 2-burner cooktop built into counter space, under counter fridge, stainless steel sink, GE Microwave oven, GE full size dishwasher, black granite countertops & custom fitted Dark Cherry cabinetry. A Perfect pied a terre or starter apartment, it also maintains the gracious steel casement windows, the beamed high ceilings as well as the ravishing beauty of the original Hardwood floors. The classic 1920s feel of the bathroom is also intact, with the Peg Leg pedestal sink, Extra Deep soaker tub, checkerboard tile floor and subway tile throughout.

Iconic Windsor Tower is an historic landmarked Full Service building with a devoted staff that will pamper you! - 24 Hour Doorman, Elevator, Laundry, Gym (for a fee) as well as available storage, a party room and other handy amenities: Tudor Caf, Drycleaner / tailor and US Post Office are all on site. Steps from Grand Central & all hot shops and restaurants (Amish Market - Capital Grill) with Times Square & Bloomies not far away, this location is PRIME - yet tucked away in its own quiet nook minutes from the action. Gifting, Parents buying for children, Pied a Terres, and pets (including DOGS) are all permitted. Subletting permitted after 3 years of ownership with Board approval."
5,1099999.00,"45 Tudor City Pl APT 1515, New York, NY 10017",-73.969992,40.749346,10017,0,1,215715,1927,2,2,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/45-Tudor-City-Pl-APT-1515-New-York-NY-10017/244832441_zpid/,"For sale: $1,099,999. Large open floor plan with two bedrooms and two full bathrooms. Walk into a sun-soaked home in mint condition with custom cabinetry, new state of the art appliances, trey ceilings, and California closets. Apartment was recently updated. Enjoy views of the Chrysler Building in a quiet corner of Manhattan. Low maintenance, utilities are included in the maintenance (free electric) with storage unit."
6,NaN,NaN,-73.969961,40.750008,NaN,NaN,NaN,600,1928,NaN,NaN,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/333-E-43rd-St-APT-304-New-York-NY-10017/244831638_zpid/,NaN
7,350000.00,"45 Tudor City Pl APT 320, New York, NY 10017",-73.969992,40.749346,10017,0,1,375,1927,0,1,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/45-Tudor-City-Pl-APT-320-New-York-NY-10017/72525230_zpid/,"For sale: $350,000. Brilliant southern light, river, city and park views are just the extra sparkle on this pristine and charm filled gem! This superbly renovated studio offers a fully renovated bath, a fully renovated kitchen (with a real stove!), gorgeous hardwood floors, beautiful moldings, hand crafted cabinetry and plenty of closet space. Hovering high above the street, this third floor is actually situated more like a sixth floor due to the height of Tudor City. City windows have been added to the landmarked casement windows making this home not only a joy but, pin drop quiet. Whether you are looking for your first home, a pied-a-terre or your return to the City it simply does not get any better than this home. Move right in, hang up your clothes, put your toothbrush away and head out to enjoy all that this vibrant neighborhood has to offer. $71.64 assessment in place for local law 11.

45 TCP offers one of the most beautiful roof decks in NYC having been featured in countless movies, TV shows, ad campaigns and promotions. Twenty four hour doorman, laundry room, bike room and private additional storage are just some of the services in this iconic landmarked building. Co-purchasing, gifting and guarantors are allowed. Sorry, no investors or pets are allowed.

All information furnished regarding property of sale or rent or regarding financing is from sources deemed reliable, but Corcoran makes no warranty or representation as to the accuracy thereof. All property information is presented subject to errors, omissions, price changes, changed property conditions, and withdrawal of the property from the market, without notice."
8,305000.00,"45 Tudor City Pl APT 212, New York, NY 10017",-73.969992,40.749346,10017,0,1,300,1927,0,1,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/45-Tudor-City-Pl-APT-212-New-York-NY-10017/82384401_zpid/,"For sale: $305,000. Welcome to Tudor City, one of New York City's best kept secrets. This cozy and well laid out studio has pre-war details including hardwood floor and beamed ceiling. There is perfect alcove area for the bed at one end of the apartment and ample living and dining space on the opposite end. The bathroom has been recently renovated and there are original casement windows. Low maintenance includes electricity, heat and water. Liberal sublet policy with two year residency required before subletting indefinitely.$49.77 monthly assessment through 2/28/23Contact the exclusive listing agent to arrange a private showing."
9,7500000.00,"845 United Nations Plz # A&E, New York, NY 10017",-73.967819,40.752562,10017,0,1,3709,2001,5,6,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/845-United-Nations-Plz-AE-New-York-NY-10017/2085563902_zpid/,"For sale: $7,500,000. This unique space to acquire is a rare combination of two apartments that have been combined. Unit 51 Apts. A&E. Five (5) Bedrooms. 5.5 Baths. 3,709 sq. ft. Luxury Condo. Pay $7,500,000 - Renovate for $1,000,000 - Flip for $13,000,000 plus or live in a lap of true luxury and WIN BIG. You can create a beautiful home with spacious entertaining, including: Living Room, Formal Dining Room, Library, Kitchen and Laundry Room. FLOOR PLAN OFFERS: Five (5) Bedrooms and 5.5 Baths. Features & Amenities: Valet Parking, Two (2) Indoor Parking Spaces, Courtyard, Fitness Center, Indoor Pool, Laundry in Building and Unit, Doorman, Central Air, Dogs and Cats Allowed, Two (2) Storage Bins. *Sublet Allowed. Thank you, Thomas J. Nigro"
