,0,region
0,/homedetails/238-E-106th-St-4Z-New-York-NY-10029/2084979542_zpid/,East Harlem
1,/homedetails/1759-Lexington-Ave-4-New-York-NY-10029/2084980069_zpid/,East Harlem
2,/homedetails/1634-Lexington-Ave-APT-3B-New-York-NY-10029/2101117557_zpid/,East Harlem
3,"/b/318-E-106th-St-New-York-NY/40.789938,-73.941538_ll/",East Harlem
4,/homedetails/2134-2nd-Ave-APT-7A-New-York-NY-10029/2084992948_zpid/,East Harlem
5,/homedetails/1800-Lexington-Ave-APT-5N-New-York-NY-10029/2127595698_zpid/,East Harlem
6,/homedetails/177-E-100th-St-8-New-York-NY-10029/2091953215_zpid/,East Harlem
7,"/b/1160-5th-Ave-New-York-NY/40.788572,-73.954671_ll/",East Harlem
8,/homedetails/1719-Lexington-Ave-4EE-New-York-NY-10029/2084997836_zpid/,East Harlem
9,/homedetails/2006-2nd-Ave-B1-New-York-NY-10029/2084998086_zpid/,East Harlem
10,/homedetails/1797-Lexington-Ave-APT-5C-New-York-NY-10029/2100259539_zpid/,East Harlem
11,"/b/311-E-105th-St-New-York-NY/40.789823,-73.942037_ll/",East Harlem
12,/homedetails/16-E-98th-St-APT-6D-New-York-NY-10029/244892147_zpid/,East Harlem
13,"/b/223-E-111th-St-New-York-NY/40.794626,-73.94165_ll/",East Harlem
14,/homedetails/315-E-109th-St-6D-New-York-NY-10029/2085023533_zpid/,East Harlem
15,/homedetails/305-E-105th-St-APT-2C-New-York-NY-10029/2105053806_zpid/,East Harlem
16,"/b/1867-2nd-Ave-New-York-NY/40.784588,-73.947248_ll/",East Harlem
17,/homedetails/122-E-103rd-St-X8-New-York-NY-10029/2085024286_zpid/,East Harlem
18,/homedetails/167-E-107th-St-A-New-York-NY-10029/2095365983_zpid/,East Harlem
19,/homedetails/311-E-109th-St-2BB-New-York-NY-10029/2085024261_zpid/,East Harlem
20,/homedetails/9-E-97th-St-503-New-York-NY-10029/2085024224_zpid/,East Harlem
21,"/b/1590-Lexington-Ave-New-York-NY/40.789283,-73.948741_ll/",East Harlem
22,/homedetails/235-E-111th-St-APT-8C-New-York-NY-10029/2085024269_zpid/,East Harlem
23,/homedetails/1729-Lexington-Ave-APT-4-New-York-NY-10029/2127602330_zpid/,East Harlem
24,/homedetails/1810-3rd-Ave-APT-B7B-New-York-NY-10029/2099643603_zpid/,East Harlem
25,/homedetails/169-E-99th-St-APT-14-New-York-NY-10029/2090243188_zpid/,East Harlem
26,"/b/161-E-110th-St-New-York-NY/40.79464,-73.943416_ll/",East Harlem
27,/homedetails/2228-1st-Ave-5CC-New-York-NY-10029/2085028658_zpid/,East Harlem
28,"/b/107-111-E-102nd-St-Manhattan-NY/40.791524,-73.944649_ll/",East Harlem
29,/homedetails/64-E-111th-St-1A-New-York-NY-10029/119912886_zpid/,East Harlem
30,"/b/420-E-102nd-St-New-York-NY/40.786766,-73.941599_ll/",East Harlem
31,"/b/1646-Madison-Ave-New-York-NY/40.796087,-73.94806_ll/",East Harlem
32,/homedetails/451-E-116th-St-APT-1-New-York-NY-10029/2093564342_zpid/,East Harlem
33,/homedetails/167-E-106th-St-APT-3W-New-York-NY-10029/2085053456_zpid/,East Harlem
34,/homedetails/234-E-116th-St-APT-10-New-York-NY-10029/2109537163_zpid/,East Harlem
35,/homedetails/1575-Lexington-Ave-APT-32-New-York-NY-10029/2097658076_zpid/,East Harlem
36,"/b/1295-5th-Ave-New-York-NY/40.797111,-73.94885_ll/",East Harlem
37,/homedetails/238-E-111th-St-APT-6A-New-York-NY-10029/2105412197_zpid/,East Harlem
38,"/b/2033-2nd-Ave-New-York-NY/40.789795,-73.943441_ll/",East Harlem
39,/homedetails/232-E-116th-St-APT-21-New-York-NY-10029/2085062661_zpid/,East Harlem
40,/homedetails/16-E-116th-St-APT-4A-New-York-NY-10029/2105906289_zpid/,East Harlem
41,/homedetails/2136-2nd-Ave-6E-New-York-NY-10029/2085071086_zpid/,East Harlem
42,/homedetails/249-E-116th-St-4-New-York-NY-10029/2100298158_zpid/,East Harlem
43,/homedetails/1798-3rd-Ave-APT-4B-New-York-NY-10029/2094491284_zpid/,East Harlem
44,"/b/315-E-108th-St-New-York-NY/40.791686,-73.940318_ll/",East Harlem
45,"/b/163-E-107th-St-New-York-NY/40.792852,-73.945025_ll/",East Harlem
46,/homedetails/204-E-112th-St-42AA-New-York-NY-10029/2085084572_zpid/,East Harlem
47,/homedetails/433-E-114th-St-APT-2W-New-York-NY-10029/2091427826_zpid/,East Harlem
48,/homedetails/333-E-109th-St-APT-2C-New-York-NY-10029/117451288_zpid/,East Harlem
49,/homedetails/6-E-97th-St-APT-2C-New-York-NY-10029/2088407476_zpid/,East Harlem
50,/homedetails/233-E-111th-St-APT-14-New-York-NY-10029/2092560322_zpid/,East Harlem
51,/homedetails/2156-2nd-Ave-APT-2C-New-York-NY-10029/2085115737_zpid/,East Harlem
52,/homedetails/1261-Park-Ave-22-New-York-NY-10029/2085117020_zpid/,East Harlem
53,/homedetails/1257-Park-Ave-APT-2S-New-York-NY-10029/2112251466_zpid/,East Harlem
54,/homedetails/3-E-115th-St-APT-3D-New-York-NY-10029/2122110067_zpid/,East Harlem
55,/homedetails/319-E-105th-St-APT-4D-New-York-NY-10029/31546756_zpid/,East Harlem
56,/homedetails/2234-1st-Ave-APT-7-New-York-NY-10029/2099511580_zpid/,East Harlem
57,/homedetails/215-E-110th-St-APT-3C-New-York-NY-10029/2085120047_zpid/,East Harlem
58,/homedetails/1910-3rd-Ave-APT-4FN-New-York-NY-10029/2093916693_zpid/,East Harlem
59,/homedetails/306-E-105th-St-APT-3B-New-York-NY-10029/31546706_zpid/,East Harlem
60,/homedetails/115-E-116th-St-APT-5B-New-York-NY-10029/2085125639_zpid/,East Harlem
61,/homedetails/1630-Madison-Ave-APT-3B-New-York-NY-10029/61969697_zpid/,East Harlem
62,/homedetails/285-Pleasant-Ave-1-New-York-NY-10029/2103604300_zpid/,East Harlem
63,"/b/1214-5th-Ave-New-York-NY/40.791833,-73.952694_ll/",East Harlem
64,"/b/112-E-97th-St-New-York-NY/40.786659,-73.951304_ll/",East Harlem
65,/homedetails/121-E-110th-St-5A-New-York-NY-10029/2085149231_zpid/,East Harlem
66,/homedetails/1595-Lexington-Ave-APT-4B-New-York-NY-10029/120289180_zpid/,East Harlem
67,/homedetails/252-E-110th-St-APT-3W-New-York-NY-10029/2090529391_zpid/,East Harlem
68,/homedetails/77-E-110th-St-APT-5B-New-York-NY-10029/219715354_zpid/,East Harlem
69,/homedetails/2100-2nd-Ave-12-New-York-NY-10029/2093336062_zpid/,East Harlem
70,/homedetails/342-E-110th-St-4D-New-York-NY-10029/2138441647_zpid/,East Harlem
71,/homedetails/231-E-110th-St-APT-3-New-York-NY-10029/2112718830_zpid/,East Harlem
72,/homedetails/1790-3rd-Ave-201-New-York-NY-10029/2091610259_zpid/,East Harlem
73,"/b/24-E-97th-St-New-York-NY/40.788135,-73.954586_ll/",East Harlem
74,"/b/1392-Madison-Ave-New-York-NY/40.787764,-73.954129_ll/",East Harlem
75,/homedetails/1259-Park-Ave-APT-2S-New-York-NY-10029/2092896761_zpid/,East Harlem
76,"/b/175-E-101st-St-New-York-NY/40.788906,-73.947651_ll/",East Harlem
77,/homedetails/182-E-111th-St-APT-1-New-York-NY-10029/2091049548_zpid/,East Harlem
78,/homedetails/108-E-97th-St-APT-5E-New-York-NY-10029/2092757416_zpid/,East Harlem
79,/homedetails/330-E-109th-St-APT-7B-New-York-NY-10029/97514911_zpid/,East Harlem
80,"/b/314-E-106th-St-New-York-NY/40.789979,-73.941637_ll/",East Harlem
81,/homedetails/1280-5th-Ave-APT-16E-New-York-NY-10029/117457514_zpid/,East Harlem
82,/homedetails/344-E-110th-St-APT-3A-New-York-NY-10029/2097642510_zpid/,East Harlem
83,/homedetails/158-E-100th-St-2A-New-York-NY-10029/2085220626_zpid/,East Harlem
84,/homedetails/1200-5th-Ave-APT-8B-New-York-NY-10029/80005148_zpid/,East Harlem
85,/homedetails/1790-3rd-Ave-1003-New-York-NY-10029/2085294576_zpid/,East Harlem
86,/homedetails/1790-3rd-Ave-603-New-York-NY-10029/2089521566_zpid/,East Harlem
87,/homedetails/16-E-98th-St-APT-3C-New-York-NY-10029/244846717_zpid/,East Harlem
88,/homedetails/119-E-97th-St-APT-5C-New-York-NY-10029/2102044502_zpid/,East Harlem
89,"/b/1510-Lexington-Ave-New-York-NY/40.787034,-73.950555_ll/",East Harlem
90,/homedetails/171-E-101st-St-APT-21-New-York-NY-10029/2117822799_zpid/,East Harlem
91,/homedetails/1165-5th-Ave-15PHA-New-York-NY-10029/79977491_zpid/,East Harlem
92,/homedetails/306-E-105th-St-APT-1A-New-York-NY-10029/65317062_zpid/,East Harlem
93,/homedetails/133-E-97th-St-APT-1-New-York-NY-10029/2085356039_zpid/,East Harlem
94,/homedetails/308-E-105th-St-APT-2E-New-York-NY-10029/31546695_zpid/,East Harlem
