,0,region
0,/homedetails/141-E-26th-St-APT-3-3-New-York-NY-10010/2125729500_zpid/,Gramercy Park and Murray Hill
1,/homedetails/141-5th-Ave-APT-10D-New-York-NY-10010/2089988870_zpid/,Gramercy Park and Murray Hill
2,"/b/209-E-25th-St-New-York-NY/40.74006,-73.981499_ll/",Gramercy Park and Murray Hill
3,/b/peter-cooper-village-new-york-ny-3ksp/,Gramercy Park and Murray Hill
4,/homedetails/201-E-25th-St-APT-6K-New-York-NY-10010/88888365_zpid/,Gramercy Park and Murray Hill
5,/homedetails/225-5th-Ave-APT-8L-New-York-NY-10010/80011895_zpid/,Gramercy Park and Murray Hill
6,/homedetails/385-1st-Ave-APT-20C-New-York-NY-10010/244710764_zpid/,Gramercy Park and Murray Hill
7,/homedetails/201-E-22nd-St-APT-2E-New-York-NY-10010/2089402136_zpid/,Gramercy Park and Murray Hill
8,/b/the-caroline-new-york-ny-5Xj4LN/,Gramercy Park and Murray Hill
9,"/b/105-E-24th-St-New-York-NY/40.740891,-73.985597_ll/",Gramercy Park and Murray Hill
10,"/b/220-E-22nd-St-New-York-NY/40.737552,-73.982757_ll/",Gramercy Park and Murray Hill
11,/b/210-e-22nd-st-new-york-ny-3FSS/,Gramercy Park and Murray Hill
12,/homedetails/200-E-21st-St-APT-3B-New-York-NY-10010/2084992981_zpid/,Gramercy Park and Murray Hill
13,/homedetails/160-E-26th-St-APT-6G-New-York-NY-10010/72517265_zpid/,Gramercy Park and Murray Hill
14,/b/instrata-gramercy-new-york-ny-3DPf/,Gramercy Park and Murray Hill
15,"/b/350-3rd-Ave-New-York-NY/40.740668,-73.982183_ll/",Gramercy Park and Murray Hill
16,/homedetails/239-E-21st-St-5B-New-York-NY-10010/2084998857_zpid/,Gramercy Park and Murray Hill
17,/b/petersfield-manhattan-ny-28mC/,Gramercy Park and Murray Hill
18,"/b/124-E-24th-St-New-York-NY/40.740352,-73.985215_ll/",Gramercy Park and Murray Hill
19,/homedetails/202-E-25th-St-2-New-York-NY-10010/2085014909_zpid/,Gramercy Park and Murray Hill
20,/homedetails/137-E-26th-St-APT-B4-New-York-NY-10010/2100173140_zpid/,Gramercy Park and Murray Hill
21,/homedetails/223-E-21st-St-APT-1R-New-York-NY-10010/2085015240_zpid/,Gramercy Park and Murray Hill
