,0,region
0,/homedetails/59-W-76th-St-6FF-New-York-NY-10023/2084982728_zpid/,Upper West Side
1,/homedetails/267-W-71st-St-2FL-New-York-NY-10023/2084983050_zpid/,Upper West Side
2,/homedetails/111-W-67th-St-20LM-New-York-NY-10023/2084986376_zpid/,Upper West Side
3,"/b/The-Century-Condominium-New-York-NY/40.770366,-73.980586_ll/",Upper West Side
4,/homedetails/1965-Broadway-APT-23H-New-York-NY-10023/31519967_zpid/,Upper West Side
5,/homedetails/1-W-67th-St-APT-407-New-York-NY-10023/72520065_zpid/,Upper West Side
6,/b/101-west-end-new-york-ny-5ZMn3n/,Upper West Side
7,/homedetails/19-W-76th-St-APT-2A-New-York-NY-10023/2104489540_zpid/,Upper West Side
8,"/b/10-W-65th-St-New-York-NY/40.771973,-73.980264_ll/",Upper West Side
9,/homedetails/21-W-76th-St-1F-New-York-NY-10023/2093271526_zpid/,Upper West Side
10,"/b/253-W-72nd-St-New-York-NY/40.779766,-73.983625_ll/",Upper West Side
11,/homedetails/130-W-67th-St-APT-25E-New-York-NY-10023/244729040_zpid/,Upper West Side
12,/homedetails/200-W-70th-St-APT-4L3-New-York-NY-10023/2097499639_zpid/,Upper West Side
13,"/b/236-W-64th-St-New-York-NY/40.77412,-73.987273_ll/",Upper West Side
14,/homedetails/140-W-69th-St-82AA-New-York-NY-10023/2084999175_zpid/,Upper West Side
15,/homedetails/62-W-71st-St-APT-4B-New-York-NY-10023/2118490785_zpid/,Upper West Side
16,/homedetails/145-W-67th-St-APT-24F-New-York-NY-10023/2130019436_zpid/,Upper West Side
17,"/b/245-W-75th-St-New-York-NY/40.781639,-73.982186_ll/",Upper West Side
18,/homedetails/165-W-66th-St-APT-10S-New-York-NY-10023/244752164_zpid/,Upper West Side
19,/homedetails/205-W-End-Ave-APT-22V-New-York-NY-10023/244702122_zpid/,Upper West Side
20,"/b/80-Columbus-Cir-New-York-NY/40.76858,-73.98222_ll/",Upper West Side
21,/homedetails/115-Central-Park-W-23F-New-York-NY-10023/80619975_zpid/,Upper West Side
22,/homedetails/33-W-74th-St-New-York-NY-10023/31518925_zpid/,Upper West Side
23,/homedetails/105-W-74th-St-APT-4A-New-York-NY-10023/2120058059_zpid/,Upper West Side
24,"/b/255-W-75th-St-New-York-NY/40.781725,-73.982403_ll/",Upper West Side
25,/homedetails/53-W-73rd-St-APT-A-New-York-NY-10023/2094930574_zpid/,Upper West Side
26,/homedetails/12-W-76th-St-New-York-NY-10023/2095165028_zpid/,Upper West Side
27,/homedetails/9-W-73rd-St-APT-3A-New-York-NY-10023/2118172784_zpid/,Upper West Side
28,/homedetails/143-W-75th-St-APT-3B-New-York-NY-10023/2108438221_zpid/,Upper West Side
29,/homedetails/15-W-72nd-St-APT-19-F-New-York-NY-10023/89229950_zpid/,Upper West Side
30,/homedetails/185-W-End-Ave-APT-27L-New-York-NY-10023/244837910_zpid/,Upper West Side
31,/homedetails/310-W-72nd-St-10D-New-York-NY-10023/114275524_zpid/,Upper West Side
32,/homedetails/303-W-66th-St-APT-3GW-New-York-NY-10023/72521553_zpid/,Upper West Side
33,/homedetails/201-W-72nd-St-APT-10M-New-York-NY-10023/31522182_zpid/,Upper West Side
34,/homedetails/12-W-72nd-St-APT-6C-New-York-NY-10023/244706385_zpid/,Upper West Side
35,"/b/155-W-68th-St-New-York-NY/40.776103,-73.982094_ll/",Upper West Side
36,/homedetails/118-W-73rd-St-APT-A-New-York-NY-10023/2127593085_zpid/,Upper West Side
37,"/b/264-W-73rd-St-New-York-NY/40.779994,-73.983391_ll/",Upper West Side
38,"/b/21-W-End-Ave-New-York-NY/40.772499,-73.989998_ll/",Upper West Side
39,/homedetails/1930-Broadway-APT-4C-New-York-NY-10023/2085024254_zpid/,Upper West Side
40,/homedetails/21-W-End-Ave-APT-2017-New-York-NY-10023/2085024236_zpid/,Upper West Side
41,/b/aire-new-york-ny-2DYd/,Upper West Side
42,"/b/130-W-67th-St-New-York-NY/40.774876,-73.983229_ll/",Upper West Side
43,/homedetails/103-W-74th-St-APT-8-New-York-NY-10023/2110315640_zpid/,Upper West Side
44,"/b/306-W-76th-St-New-York-NY/40.782485,-73.983397_ll/",Upper West Side
45,/homedetails/307-W-76th-St-APT-B-New-York-NY-10023/2105414658_zpid/,Upper West Side
46,/homedetails/54-W-74th-St-APT-505-New-York-NY-10023/31518897_zpid/,Upper West Side
47,/homedetails/10-W-End-Ave-APT-11H-New-York-NY-10023/143127507_zpid/,Upper West Side
48,/homedetails/235-W-76th-St-APT-5C-New-York-NY-10023/2094856908_zpid/,Upper West Side
49,/homedetails/38-W-73rd-St-APT-A-New-York-NY-10023/2123590079_zpid/,Upper West Side
51,"/b/160-W-73rd-St-New-York-NY/40.7788,-73.980566_ll/",Upper West Side
52,"/b/210-W-70th-St-New-York-NY/40.777615,-73.983606_ll/",Upper West Side
53,/homedetails/310-W-72nd-St-4EF-New-York-NY-10023/2085036979_zpid/,Upper West Side
54,/homedetails/255-W-End-Ave-APT-2D-New-York-NY-10023/87802421_zpid/,Upper West Side
55,/homedetails/32-W-69th-St-APT-1A-New-York-NY-10023/2129209045_zpid/,Upper West Side
56,/homedetails/247-W-76th-St-APT-2B-New-York-NY-10023/2085055267_zpid/,Upper West Side
57,/homedetails/30-W-73rd-St-APT-6-New-York-NY-10023/2114396579_zpid/,Upper West Side
