,link,region
0,/homedetails/70-Broad-St-New-York-NY-10004/2133383119_zpid/,Lower Manhattan
1,/homedetails/40-Broad-St-APT-22C-New-York-NY-10004/89228426_zpid/,Lower Manhattan
2,/homedetails/20-West-St-APT-35F-New-York-NY-10004/80006910_zpid/,Lower Manhattan
3,/homedetails/21-S-William-St-New-York-NY-10004/2111987425_zpid/,Lower Manhattan
4,/homedetails/70-Little-West-St-APT-23B-New-York-NY-10004/2111047867_zpid/,Lower Manhattan
5,/homedetails/10-West-St-PH2C-New-York-NY-10004/2085283880_zpid/,Lower Manhattan
6,/homedetails/25-Broad-St-APT-15D-New-York-NY-10004/2119678734_zpid/,Lower Manhattan
7,/homedetails/26-Beaver-St-16FL-New-York-NY-10004/2085128817_zpid/,Lower Manhattan
8,/homedetails/25-Broad-St-APT-10M-New-York-NY-10004/2115777675_zpid/,Lower Manhattan
9,/homedetails/30-West-St-18DE-New-York-NY-10004/2101966672_zpid/,Lower Manhattan
10,/homedetails/20-West-St-APT-14E-New-York-NY-10004/143067848_zpid/,Lower Manhattan
11,/homedetails/10-West-St-PH1A-New-York-NY-10004/2087255525_zpid/,Lower Manhattan
12,/homedetails/10-West-St-PH-1C-New-York-NY-10004/2091209335_zpid/,Lower Manhattan
13,/homedetails/20-West-St-APT-17A-New-York-NY-10004/79978436_zpid/,Lower Manhattan
14,/homedetails/25-Broad-St-APT-18J-New-York-NY-10004/2120689033_zpid/,Lower Manhattan
15,/homedetails/30-West-St-APT-PH2G-New-York-NY-10004/2085022295_zpid/,Lower Manhattan
16,/homedetails/20-West-St-APT-14K-New-York-NY-10004/80005364_zpid/,Lower Manhattan
17,/homedetails/70-Little-West-St-APT-12D-New-York-NY-10004/89228984_zpid/,Lower Manhattan
18,/homedetails/10-West-St-APT-29C-New-York-NY-10004/2089764212_zpid/,Lower Manhattan
19,/homedetails/70-Little-West-St-APT-12E-New-York-NY-10004/89228985_zpid/,Lower Manhattan
20,/homedetails/70-Little-West-St-APT-10B-New-York-NY-10004/97540150_zpid/,Lower Manhattan
21,/homedetails/3-Hanover-Sq-20FG-New-York-NY-10004/79493281_zpid/,Lower Manhattan
22,/homedetails/25-Broad-St-APT-10T-New-York-NY-10004/2084992954_zpid/,Lower Manhattan
23,/homedetails/25-Broad-St-APT-18I-New-York-NY-10004/2121317509_zpid/,Lower Manhattan
24,/homedetails/25-Broad-St-APT-4H-New-York-NY-10004/2123183896_zpid/,Lower Manhattan
50,/homedetails/3-Hanover-Sq-APT-16E-New-York-NY-10004/244766543_zpid/,Lower Manhattan
51,/homedetails/25-Broad-St-21O-New-York-NY-10004/2105870188_zpid/,Lower Manhattan
52,/homedetails/25-Broad-St-APT-7E-New-York-NY-10004/2139216172_zpid/,Lower Manhattan
53,/homedetails/20-West-St-APT-5F-New-York-NY-10004/80005921_zpid/,Lower Manhattan
54,/homedetails/30-West-St-APT-27D-New-York-NY-10004/2085168329_zpid/,Lower Manhattan
55,/homedetails/20-West-St-APT-16G-New-York-NY-10004/80012880_zpid/,Lower Manhattan
56,/homedetails/40-Broad-St-APT-26D-New-York-NY-10004/89228459_zpid/,Lower Manhattan
57,/homedetails/30-West-St-APT-PH2C-New-York-NY-10004/2091189378_zpid/,Lower Manhattan
58,/homedetails/40-Broad-St-PH-4C-New-York-NY-10004/2099668150_zpid/,Lower Manhattan
59,/homedetails/10-West-St-APT-21C-New-York-NY-10004/2090790299_zpid/,Lower Manhattan
60,/homedetails/40-Broad-St-APT-22D-New-York-NY-10004/89228427_zpid/,Lower Manhattan
61,/homedetails/40-Broad-St-PENTHOUSE-2F-New-York-NY-10004/89228491_zpid/,Lower Manhattan
62,/homedetails/10-West-St-APT-34C-New-York-NY-10004/2090872783_zpid/,Lower Manhattan
63,/homedetails/26-Beaver-St-APT-16-New-York-NY-10004/244877437_zpid/,Lower Manhattan
64,/homedetails/20-West-St-APT-5A-New-York-NY-10004/80009451_zpid/,Lower Manhattan
65,/homedetails/20-West-St-APT-14M-New-York-NY-10004/80013596_zpid/,Lower Manhattan
66,/homedetails/20-West-St-APT-14B-New-York-NY-10004/69509655_zpid/,Lower Manhattan
67,/homedetails/70-Little-West-St-APT-23E-New-York-NY-10004/89229021_zpid/,Lower Manhattan
68,/homedetails/20-West-St-APT-19F-New-York-NY-10004/80009418_zpid/,Lower Manhattan
69,/homedetails/20-West-St-APT-4J-New-York-NY-10004/80003354_zpid/,Lower Manhattan
70,/homedetails/20-West-St-APT-34A-New-York-NY-10004/80013005_zpid/,Lower Manhattan
71,/homedetails/10-West-St-APT-17A-New-York-NY-10004/2091189287_zpid/,Lower Manhattan
72,/homedetails/30-West-St-APT-32A-New-York-NY-10004/2090913674_zpid/,Lower Manhattan
73,/homedetails/10-West-St-APT-18D-New-York-NY-10004/2089011958_zpid/,Lower Manhattan
74,/homedetails/20-West-St-APT-34F-New-York-NY-10004/80013628_zpid/,Lower Manhattan
75,/homedetails/20-West-St-APT-15A-New-York-NY-10004/80008835_zpid/,Lower Manhattan
76,/homedetails/20-West-St-APT-42C-New-York-NY-10004/80011280_zpid/,Lower Manhattan
77,/homedetails/70-Little-West-St-APT-6D-New-York-NY-10004/97540436_zpid/,Lower Manhattan
78,/homedetails/40-Broad-St-APT-24H-New-York-NY-10004/89228447_zpid/,Lower Manhattan
79,/homedetails/40-Broad-St-APT-12F-New-York-NY-10004/89228364_zpid/,Lower Manhattan
80,/homedetails/40-Broad-St-APT-23G-New-York-NY-10004/89228438_zpid/,Lower Manhattan
81,/homedetails/70-Little-West-St-APT-32E-New-York-NY-10004/89229062_zpid/,Lower Manhattan
82,/homedetails/20-West-St-APT-41E-New-York-NY-10004/80005962_zpid/,Lower Manhattan
83,/homedetails/20-West-St-APT-35C-New-York-NY-10004/79979231_zpid/,Lower Manhattan
84,/homedetail/AuthRequired.htm?r=pfc&zpid=244690215,Lower Manhattan
85,/homedetail/AuthRequired.htm?r=pfc&zpid=247904331,Lower Manhattan
86,/homedetail/AuthRequired.htm?r=pfc&zpid=244690214,Lower Manhattan
87,/homedetail/AuthRequired.htm?r=pfc&zpid=289959171,Lower Manhattan
88,/homedetail/AuthRequired.htm?r=pfc&zpid=294984563,Lower Manhattan
89,/homedetail/AuthRequired.htm?r=pfc&zpid=250649993,Lower Manhattan
90,/homedetails/15-William-St-22D-New-York-NY-10005/2111504550_zpid/,Lower Manhattan
91,/homedetails/50-Pine-St-APT-3N-New-York-NY-10005/69509732_zpid/,Lower Manhattan
92,/homedetails/130-Water-St-APT-9B-New-York-NY-10005/2106186333_zpid/,Lower Manhattan
93,/homedetails/55-Liberty-St-APT-3B-New-York-NY-10005/244860850_zpid/,Lower Manhattan
94,/homedetails/67-Liberty-St-APT-16-New-York-NY-10005/121189323_zpid/,Lower Manhattan
95,/homedetails/15-Broad-St-APT-1410-New-York-NY-10005/69509696_zpid/,Lower Manhattan
96,/homedetails/56-Pine-St-APT-8D-New-York-NY-10005/69523945_zpid/,Lower Manhattan
97,/homedetails/1-Wall-Street-Ct-APT-1001-New-York-NY-10005/80008895_zpid/,Lower Manhattan
98,/homedetails/101-Wall-St-PHA-New-York-NY-10005/2089052939_zpid/,Lower Manhattan
99,/homedetails/55-Wall-St-APT-605-New-York-NY-10005/80009615_zpid/,Lower Manhattan
100,/homedetails/20-Pine-St-APT-507-New-York-NY-10005/2113501704_zpid/,Lower Manhattan
101,/homedetails/75-Wall-St-APT-36G-New-York-NY-10005/97532041_zpid/,Lower Manhattan
102,/homedetails/20-Pine-St-APT-1412-New-York-NY-10005/2085832513_zpid/,Lower Manhattan
103,/homedetails/20-Pine-St-APT-1016-New-York-NY-10005/2129887369_zpid/,Lower Manhattan
104,/homedetails/75-Wall-St-23E-New-York-NY-10005/2136690334_zpid/,Lower Manhattan
105,/homedetails/15-Broad-St-APT-2000-New-York-NY-10005/80013118_zpid/,Lower Manhattan
106,/homedetails/15-William-St-APT-24H-New-York-NY-10005/97526952_zpid/,Lower Manhattan
107,/homedetails/15-William-St-APT-28H-New-York-NY-10005/97525301_zpid/,Lower Manhattan
108,/homedetails/20-Pine-St-APT-1413-New-York-NY-10005/2096154786_zpid/,Lower Manhattan
109,/homedetails/101-Wall-St-22-New-York-NY-10005/2087847735_zpid/,Lower Manhattan
110,/homedetails/130-Water-St-APT-9C-New-York-NY-10005/2106190956_zpid/,Lower Manhattan
111,/homedetails/50-Pine-St-APT-6S-New-York-NY-10005/69509737_zpid/,Lower Manhattan
112,/homedetails/130-Water-St-APT-6L-New-York-NY-10005/2101447871_zpid/,Lower Manhattan
113,/homedetails/20-Pine-St-APT-1909-New-York-NY-10005/2129888129_zpid/,Lower Manhattan
114,/homedetails/15-Broad-St-APT-2128-New-York-NY-10005/79979600_zpid/,Lower Manhattan
140,/homedetails/55-Wall-St-APT-626-New-York-NY-10005/80011387_zpid/,Lower Manhattan
141,/homedetails/15-William-St-21CC-New-York-NY-10005/2085040762_zpid/,Lower Manhattan
142,/homedetails/101-Wall-St-12B-New-York-NY-10005/244828023_zpid/,Lower Manhattan
143,/homedetails/15-Broad-St-APT-3610-New-York-NY-10005/80008166_zpid/,Lower Manhattan
144,/homedetails/1-Wall-Street-Ct-APT-404-New-York-NY-10005/79978499_zpid/,Lower Manhattan
145,/homedetails/15-William-St-30AB-New-York-NY-10005/2118004418_zpid/,Lower Manhattan
146,/homedetails/55-Wall-St-APT-610-New-York-NY-10005/80005815_zpid/,Lower Manhattan
147,/homedetails/20-Pine-St-APT-1408-New-York-NY-10005/2100353205_zpid/,Lower Manhattan
148,/homedetails/15-Broad-St-APT-2422-New-York-NY-10005/80007897_zpid/,Lower Manhattan
149,/homedetails/55-Wall-St-APT-546-New-York-NY-10005/80012438_zpid/,Lower Manhattan
150,/homedetails/130-Water-St-APT-10F-New-York-NY-10005/2092727835_zpid/,Lower Manhattan
151,/homedetails/55-Wall-St-APT-603-New-York-NY-10005/80007195_zpid/,Lower Manhattan
152,/homedetails/20-Pine-St-APT-1105-New-York-NY-10005/2106323976_zpid/,Lower Manhattan
153,/homedetails/15-William-St-APT-41L-New-York-NY-10005/97532058_zpid/,Lower Manhattan
154,/homedetails/54-Pine-St-New-York-NY-10005/2114920921_zpid/,Lower Manhattan
155,/homedetails/15-Broad-St-APT-924-New-York-NY-10005/83936560_zpid/,Lower Manhattan
156,/homedetails/20-Pine-St-APT-2101-New-York-NY-10005/2087524860_zpid/,Lower Manhattan
157,/homedetails/101-Wall-St-12A-New-York-NY-10005/244814187_zpid/,Lower Manhattan
158,/homedetails/75-Wall-St-APT-23M-New-York-NY-10005/97514904_zpid/,Lower Manhattan
159,/homedetails/55-Wall-St-APT-905-New-York-NY-10005/80014607_zpid/,Lower Manhattan
160,/homedetails/15-Broad-St-APT-3414-New-York-NY-10005/80004915_zpid/,Lower Manhattan
161,/homedetails/15-William-St-APT-31G-New-York-NY-10005/145586069_zpid/,Lower Manhattan
162,/homedetails/130-Water-St-APT-8E-New-York-NY-10005/2089536733_zpid/,Lower Manhattan
163,/homedetails/15-William-St-APT-15E-New-York-NY-10005/97505824_zpid/,Lower Manhattan
164,/homedetails/15-Broad-St-APT-930-New-York-NY-10005/83935446_zpid/,Lower Manhattan
165,/homedetails/75-Wall-St-22O-New-York-NY-10005/2138442331_zpid/,Lower Manhattan
166,/homedetails/15-William-St-APT-20G-New-York-NY-10005/97524361_zpid/,Lower Manhattan
167,/homedetails/15-William-St-APT-7C-New-York-NY-10005/97530475_zpid/,Lower Manhattan
168,/homedetails/15-William-St-APT-30A-New-York-NY-10005/97518055_zpid/,Lower Manhattan
169,/homedetails/15-Broad-St-APT-2814-New-York-NY-10005/80011732_zpid/,Lower Manhattan
170,/homedetails/15-William-St-APT-25F-New-York-NY-10005/97537936_zpid/,Lower Manhattan
171,/homedetails/75-Wall-St-34O-New-York-NY-10005/2136690209_zpid/,Lower Manhattan
172,/homedetails/55-Wall-St-APT-804-New-York-NY-10005/80010769_zpid/,Lower Manhattan
173,/homedetails/1-Wall-Street-Ct-APT-209-New-York-NY-10005/80006810_zpid/,Lower Manhattan
174,/homedetails/130-Water-St-APT-12H-New-York-NY-10005/2101958923_zpid/,Lower Manhattan
175,/homedetails/15-Broad-St-APT-712-New-York-NY-10005/83937450_zpid/,Lower Manhattan
176,/homedetails/20-Pine-St-APT-2314-New-York-NY-10005/2091072611_zpid/,Lower Manhattan
177,/homedetails/15-William-St-APT-10B-New-York-NY-10005/97501965_zpid/,Lower Manhattan
178,/homedetails/1-Wall-Street-Ct-APT-502-New-York-NY-10005/79531853_zpid/,Lower Manhattan
179,/homedetails/20-Pine-St-APT-1210-New-York-NY-10005/2085146922_zpid/,Lower Manhattan
180,/homedetails/15-William-St-APT-41K-New-York-NY-10005/97519869_zpid/,Lower Manhattan
181,/homedetails/15-William-St-APT-D3-New-York-NY-10005/112510723_zpid/,Lower Manhattan
182,/homedetails/15-William-St-APT-41I-New-York-NY-10005/97536931_zpid/,Lower Manhattan
183,/homedetails/75-Wall-St-APT-19N-New-York-NY-10005/89333056_zpid/,Lower Manhattan
184,/homedetails/20-Pine-St-APT-2414-New-York-NY-10005/2089498781_zpid/,Lower Manhattan
185,/homedetails/20-Pine-St-APT-407-New-York-NY-10005/2129888113_zpid/,Lower Manhattan
186,/homedetails/75-Wall-St-APT-21B-New-York-NY-10005/89330022_zpid/,Lower Manhattan
187,/homedetails/1-Wall-Street-Ct-APT-1407-New-York-NY-10005/80006917_zpid/,Lower Manhattan
188,/homedetails/75-Wall-St-APT-33P-New-York-NY-10005/97529053_zpid/,Lower Manhattan
189,/homedetails/15-William-St-APT-30B-New-York-NY-10005/97519981_zpid/,Lower Manhattan
190,/homedetails/15-Broad-St-APT-916-New-York-NY-10005/83931724_zpid/,Lower Manhattan
