,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,739000.00,"309 E Houston St # 6B, New York, NY 10002",-73.983518,40.721051,10002,0,1,20837,1920,2,1,Lower East Side,https://www.zillow.com:443/homedetails/309-E-Houston-St-6B-New-York-NY-10002/244840072_zpid/,"For sale: $739,000. Enter this sun filled, south facing, newly renovated, low maintenance, and immaculate condition two bedroom apartments in prime Lower East Side on Houston and Clinton. 



The apartment has been designed with clean and modern finishes throughout, including washer and dryer, stainless steel appliances, quartz countertop, and open plan kitchen layout. The apartment is on the top floor (walk up) of a well maintained and financially sound co-op, with flexible sub let policy after 2 years. The location of the apartment ensures maximum quietness and light at all times, while being in one of the most desirable neighborhoods in Manhattan. The apartment is located in close proximity to several key subway lines (J,M,Z,F), as well as Clinton Street, Equinox, Union Market, Whole Foods, Katz, Ludlow Hotel, and all the amazing bars and restaurants in the Lower East Side. You will also be able to enjoy the new entertainment and conveniences part of Essex Crossing, including the newest Trader Joe's, Target, Regal Theatre, alongside newly developed green park space. This makes for a great long and short term investment!



The monthly maintenance is extremely low at $500, with no current or planned assessments in place. HDFC Income limit for the building is 180k for individuals, 250k for couples. Cash buyers or financing welcome. Pets allowed. Pied a Terre allowed.  You will not find a better deal for a 2 bedroom apartment in such a perfect location! This deal will not last!"
1,768000.00,"155 Henry St APT 102, New York, NY 10002",-73.98937,40.71355,10002,0,1,--,1907,2,1,Lower East Side,https://www.zillow.com:443/homedetails/155-Henry-St-APT-102-New-York-NY-10002/2084974792_zpid/,"For sale: $768,000. "
2,539999.00,"237 Eldridge St APT 18, New York, NY 10002",-73.989994,40.722565,10002,0,1,23260,1900,2,1,Lower East Side,https://www.zillow.com:443/homedetails/237-Eldridge-St-APT-18-New-York-NY-10002/244784718_zpid/,"For sale: $539,999. Amazing opportunity for a first time buyer or investor. This apartment is located in a well maintained coop building on a tree lined street in the ultimate LES location. The apartment itself is currently configured as a two bedroom with a separate kitchen and living room. Both bedrooms easily fit queen or king sized beds plus furniture and have great closet space and windows. There are windows in every room including the kitchen, living room, bathroom and both bedrooms. There are high ceilings and hardwood floors. The kitchen and bathroom need to be renovated/updated and one could also knock down a wall to form a giant one bedroom dream apartment. The building is in the process of licensing a roof deck. The apartment has HDFC restrictions for income. Single purchaser must make under $180k and two people under $220k. This is a rare opportunity to get a two bedroom for under $1 million in downtown Manhattan. This is a must see for anyone interested in buying a great, low cost, low maintenance fixer upper.

Buyers must meet income restrictions and board will only approve someone who is moving in to use this as a primary residence so any buyers who already own other properties will not be considered. Other than that a very quick board approval process for those who qualify!!! Sublet policy is you must live there for two years and then you can sublet for three years."
3,465000.00,"100 Suffolk St APT 2D, New York, NY 10002",-73.986084,40.718459,10002,0,1,--,1920,1,1,Lower East Side,https://www.zillow.com:443/homedetails/100-Suffolk-St-APT-2D-New-York-NY-10002/72511416_zpid/,"For sale: $465,000. "
4,580000.00,"148 Madison St APT 9B, New York, NY 10002",-73.992872,40.712128,10002,0,1,515,No Data,3,1,Lower East Side,https://www.zillow.com:443/homedetails/148-Madison-St-APT-9B-New-York-NY-10002/63863977_zpid/,"For sale: $580,000. Condo With Doorman, 2 Bedrooms Apt On 9th Floor,One Block Away From F Train Station."
5,NaN,NaN,-73.990709,40.720087,NaN,NaN,NaN,6000,1920,NaN,NaN,Lower East Side,https://www.zillow.com:443/homedetails/170-Eldridge-St-New-York-NY-10002/122190380_zpid/,NaN
6,1050000.00,"60 Henry St APT 10C, New York, NY 10002",-73.99372,40.71298,10002,0,1,780,1989,2,2,Lower East Side,https://www.zillow.com:443/homedetails/60-Henry-St-APT-10C-New-York-NY-10002/2085180161_zpid/,"For sale: $1,050,000. "
7,NaN,NaN,-73.985883,40.718847,NaN,NaN,NaN,8750,1920,NaN,NaN,Lower East Side,https://www.zillow.com:443/homedetails/114-Suffolk-St-APT-1B-New-York-NY-10002/244851871_zpid/,NaN
8,NaN,NaN,-73.991302,40.715698,NaN,NaN,NaN,11200,1900,NaN,NaN,Lower East Side,https://www.zillow.com:443/homedetails/32-Orchard-St-New-York-NY-10002/2110205756_zpid/,NaN
9,1050000.00,"550 Grand St APT GGF, New York, NY 10002",-73.980598,40.714801,10002,0,1,--,1945,3,2,Lower East Side,https://www.zillow.com:443/homedetails/550-Grand-St-APT-GGF-New-York-NY-10002/2089743413_zpid/,"For sale: $1,050,000. BEST PRICED 3BR IN ALL OF MANHATTAN!
 
Don't miss this opportunity to own a spacious 3 bedroom in a lush garden setting. Enter into a large foyer that spills into a sprawling, sun-filled living room featuring 9' ceilings. There is a windowed kitchen and dining room with lovely garden views. The giant corner master bedroom features south and east exposures and an adjacent windowed bath which could provide a spacious master bedroom suite. There is also a windowed half-bath with ample space to be converted into a full bath. The second bedroom has sunny, southern views. The third bedroom is also a corner and features open city southern and western views. Bring your design ideas and create the home of your dreams. Washers and electric dryers are permitted to be installed within your apartment.
 
550 Grand St is part of the Hillman House co-op, which is a secured leafy green enclave loaded with amenities you would expect to find in a high-priced new condominium development, including 2 private parks with shaded sitting areas and playgrounds; as well as a children's playroom, laundry, storage and bike room, a state-of-the-art gym in the complex,and a parking garage with special low rates for residents. Additional fees and wait lists may apply. Pets, including dogs under 35 lbs., are permitted after registration with management. The purchase application for Hillman House requires no financial disclosure. Co-purchasing, gifting, and pied-a-terres are permitted.

This storied Lower East Side location, the birthplace of the NYC immigrant experience, is undergoing a modern-day renaissance as evidenced by the arrival of Trader Joes and Target just a few short blocks away. Also in the works is ""Essex Crossing"" which is scheduled to bring a multiplex movie theater and more trendy shops and restaurants. Nearby transportation includes M14D, M21, and M22 busses and F, J, M, & Z subways; or make a quick getaway from the city on the East River Drive just one block away.

 Low, low maintenance, only $1,398/mo. Additional $125/mo. assessment for new elevators through June 2021.



."
