,link,region
0,/homedetails/12-E-69th-St-New-York-NY-10021/31533674_zpid/,Upper East Side
1,/homedetails/118-E-76th-St-New-York-NY-10021/2090867491_zpid/,Upper East Side
2,/homedetails/10-E-76th-St-New-York-NY-10021/143147741_zpid/,Upper East Side
3,/homedetails/18-E-73rd-St-New-York-NY-10021/2094894798_zpid/,Upper East Side
4,/homedetails/18-E-76th-St-New-York-NY-10021/2085087663_zpid/,Upper East Side
5,/homedetails/343-E-74th-St-PENTHOUSE-1D-New-York-NY-10021/244717193_zpid/,Upper East Side
6,/homedetails/134-E-74th-St-New-York-NY-10021/2085379149_zpid/,Upper East Side
7,/homedetails/807-Park-Ave-New-York-NY-10021/2091147763_zpid/,Upper East Side
8,/homedetails/190-E-72nd-St-APT-33D-New-York-NY-10021/244789545_zpid/,Upper East Side
9,/homedetails/39-E-72nd-St-New-York-NY-10021/2115776146_zpid/,Upper East Side
10,/homedetails/190-E-72nd-St-34CD-New-York-NY-10021/2090235509_zpid/,Upper East Side
11,/homedetails/18-E-74th-St-New-York-NY-10021/31533841_zpid/,Upper East Side
12,/homedetails/167-E-69th-St-New-York-NY-10021/31534960_zpid/,Upper East Side
13,/homedetails/328-E-69th-St-New-York-NY-10021/31538118_zpid/,Upper East Side
14,/homedetails/420-E-72nd-St-New-York-NY-10021/31538984_zpid/,Upper East Side
15,/homedetails/106-E-71st-St-New-York-NY-10021/31535195_zpid/,Upper East Side
16,/homedetails/163-E-70th-St-New-York-NY-10021/31535174_zpid/,Upper East Side
17,/homedetails/190-E-72nd-St-APT-31B-New-York-NY-10021/244706987_zpid/,Upper East Side
18,/homedetails/3-E-71st-St-4-5B-New-York-NY-10021/2085009625_zpid/,Upper East Side
19,/homedetails/33-E-74th-St-TH-New-York-NY-10021/2093786724_zpid/,Upper East Side
20,/homedetails/19-E-71st-St-1-New-York-NY-10021/2100073474_zpid/,Upper East Side
21,/homedetails/30-E-71st-St-7A-New-York-NY-10021/2084935472_zpid/,Upper East Side
22,/homedetails/3-E-71st-St-APT-9D-New-York-NY-10021/244883710_zpid/,Upper East Side
23,/homedetails/206-E-73rd-St-ME-2E-New-York-NY-10021/2084937732_zpid/,Upper East Side
24,/homedetails/750-Park-Ave-12D-New-York-NY-10021/72527346_zpid/,Upper East Side
25,/homedetails/123-E-69th-St-New-York-NY-10021/31534950_zpid/,Upper East Side
