,link,region
0,/homedetails/40-Riverside-Dr-New-York-NY-10023/31523621_zpid/,Upper West Side
1,/homedetails/3-Riverside-Dr-New-York-NY-10023/31523600_zpid/,Upper West Side
2,/homedetails/22-W-74th-St-New-York-NY-10023/118327363_zpid/,Upper West Side
3,/homedetails/15-Central-Park-W-PENTHOUSE-41B-New-York-NY-10023/145586563_zpid/,Upper West Side
4,/homedetails/155-W-71st-St-APT-5J-New-York-NY-10023/31521619_zpid/,Upper West Side
5,/homedetails/30-W-61st-St-APT-12A-New-York-NY-10023/31516903_zpid/,Upper West Side
6,/homedetails/267-W-71st-St-2FL-New-York-NY-10023/2084983050_zpid/,Upper West Side
7,/homedetails/15-W-76th-St-New-York-NY-10023/31518965_zpid/,Upper West Side
8,/homedetails/15-Central-Park-W-PH41B-New-York-NY-10023/2085364418_zpid/,Upper West Side
9,/homedetails/160-W-66th-St-PHA-New-York-NY-10023/2084947655_zpid/,Upper West Side
10,/homedetails/303-W-66th-St-APT-7DE-New-York-NY-10023/79499663_zpid/,Upper West Side
11,/homedetails/33-W-74th-St-New-York-NY-10023/31518925_zpid/,Upper West Side
12,/homedetails/331-W-71st-St-T-New-York-NY-10023/2086655973_zpid/,Upper West Side
13,/homedetails/15-W-72-8d-8-D-New-York-NY-10023/2085865903_zpid/,Upper West Side
14,/homedetails/41-W-70th-St-New-York-NY-10023/83941933_zpid/,Upper West Side
15,/homedetails/160-W-End-Ave-APT-24T-New-York-NY-10023/244708822_zpid/,Upper West Side
16,/homedetails/37-W-70th-St-New-York-NY-10023/31518800_zpid/,Upper West Side
17,/homedetails/91-Central-Park-W-APT-2F-New-York-NY-10023/244890986_zpid/,Upper West Side
18,/homedetails/25-W-64th-St-APT-8C-New-York-NY-10023/82809987_zpid/,Upper West Side
19,/homedetails/12-W-72nd-St-APT-6C-New-York-NY-10023/244706385_zpid/,Upper West Side
20,/homedetails/18-W-76th-St-New-York-NY-10023/2107772551_zpid/,Upper West Side
21,/homedetails/23-W-69th-St-New-York-NY-10023/125116595_zpid/,Upper West Side
22,/homedetails/156-W-73rd-St-APT-4R-New-York-NY-10023/92427521_zpid/,Upper West Side
23,/homedetails/39-W-67th-St-401301402-New-York-NY-10023/2085059926_zpid/,Upper West Side
24,/homedetails/1-W-72nd-St-APT-66-New-York-NY-10023/79498556_zpid/,Upper West Side
25,/homedetails/133-W-75th-St-APT-3A-New-York-NY-10023/79498952_zpid/,Upper West Side
26,/homedetails/30-W-60th-St-APT-14Y-New-York-NY-10023/2087479932_zpid/,Upper West Side
27,/homedetails/310-W-72nd-St-4EF-New-York-NY-10023/2085036979_zpid/,Upper West Side
28,/homedetails/161-W-73rd-St-New-York-NY-10023/31521737_zpid/,Upper West Side
29,/homedetails/304-W-75th-St-APT-14A-New-York-NY-10023/72521916_zpid/,Upper West Side
30,/homedetails/170-W-76th-St-APT-401-New-York-NY-10023/244801645_zpid/,Upper West Side
31,/homedetails/53-W-71st-St-New-York-NY-10023/2122049404_zpid/,Upper West Side
32,/homedetails/111-W-67th-St-20LM-New-York-NY-10023/2084986376_zpid/,Upper West Side
33,/homedetails/1-Central-Park-W-1116-New-York-NY-10023/2106215663_zpid/,Upper West Side
34,/homedetails/310-W-72nd-St-10D-New-York-NY-10023/114275524_zpid/,Upper West Side
35,/homedetails/255-W-End-Ave-APT-2D-New-York-NY-10023/87802421_zpid/,Upper West Side
36,/homedetails/126-W-73rd-St-APT-3D-New-York-NY-10023/244873522_zpid/,Upper West Side
37,/homedetails/74-W-68th-St-APT-7F-New-York-NY-10023/89139459_zpid/,Upper West Side
38,/homedetails/11-W-69th-St-PHB-New-York-NY-10023/2089950058_zpid/,Upper West Side
39,/homedetails/58-W-75th-St-New-York-NY-10023/2101597080_zpid/,Upper West Side
40,/homedetails/115-Central-Park-W-New-York-NY-10023/31518828_zpid/,Upper West Side
41,/homedetails/201-W-72nd-St-PENTHOUSE-1A-New-York-NY-10023/31522269_zpid/,Upper West Side
42,/homedetails/1-W-67th-St-909-New-York-NY-10023/244784767_zpid/,Upper West Side
43,/homedetails/59-W-71st-St-APT-6B-New-York-NY-10023/244888878_zpid/,Upper West Side
44,/homedetails/170-W-End-Ave-2CD-New-York-NY-10023/2084944285_zpid/,Upper West Side
45,/homedetails/1-W-67th-St-2W-New-York-NY-10023/88888693_zpid/,Upper West Side
46,/homedetails/201-W-72nd-St-APT-5E-New-York-NY-10023/31522111_zpid/,Upper West Side
47,/homedetails/163-W-76th-St-New-York-NY-10023/31521773_zpid/,Upper West Side
48,/homedetails/25-W-64th-St-APT-5C-New-York-NY-10023/124156986_zpid/,Upper West Side
49,/homedetails/2025-Broadway-APT-16H-New-York-NY-10023/244807047_zpid/,Upper West Side
50,/homedetails/327-W-76th-St-New-York-NY-10023/2133383150_zpid/,Upper West Side
51,/homedetails/80-Central-Park-W-APT-2F-New-York-NY-10023/121425553_zpid/,Upper West Side
52,/homedetails/304-W-75th-St-APT-3A-New-York-NY-10023/244760845_zpid/,Upper West Side
53,/homedetails/50-Central-Park-W-APT-4A-New-York-NY-10023/79498294_zpid/,Upper West Side
54,/homedetails/325-W-76th-St-New-York-NY-10023/83932392_zpid/,Upper West Side
55,/homedetails/50-W-67th-St-2AB-New-York-NY-10023/2086874261_zpid/,Upper West Side
56,/homedetails/42-W-70th-St-New-York-NY-10023/2089997824_zpid/,Upper West Side
57,/homedetails/75-Central-Park-W-PHA-1D-New-York-NY-10023/2100114151_zpid/,Upper West Side
58,/homedetails/123-W-74th-St-APT-1A-New-York-NY-10023/244875589_zpid/,Upper West Side
59,/homedetails/1965-Broadway-APT-17E-New-York-NY-10023/31519905_zpid/,Upper West Side
60,/homedetails/201-W-72nd-St-APT-10M-New-York-NY-10023/31522182_zpid/,Upper West Side
61,/homedetails/161-W-61st-St-APT-3F-New-York-NY-10023/31519122_zpid/,Upper West Side
62,/homedetails/251-W-70th-St-PH4-New-York-NY-10023/2085958505_zpid/,Upper West Side
63,/homedetails/114-W-71st-St-114-New-York-NY-10023/2086865095_zpid/,Upper West Side
64,/homedetails/116-W-72nd-St-APT-15E-New-York-NY-10023/244732604_zpid/,Upper West Side
65,/homedetails/15-Central-Park-W-APT-26B-New-York-NY-10023/80010079_zpid/,Upper West Side
66,/homedetails/304-W-75th-St-APT-5E-New-York-NY-10023/82382243_zpid/,Upper West Side
67,/homedetails/102-W-75th-St-APT-54-New-York-NY-10023/244775508_zpid/,Upper West Side
68,/homedetails/180-W-End-Ave-APT-9B-New-York-NY-10023/244736380_zpid/,Upper West Side
69,/homedetails/250-W-73rd-St-New-York-NY-10023/31522076_zpid/,Upper West Side
70,/homedetails/205-W-End-Ave-APT-20L-New-York-NY-10023/244874709_zpid/,Upper West Side
71,/homedetails/151-Central-Park-W-APT-10N-New-York-NY-10023/244887368_zpid/,Upper West Side
72,/homedetails/2-W-67th-St-5A-New-York-NY-10023/2091055922_zpid/,Upper West Side
73,/homedetails/41-W-72nd-St-APT-10F-New-York-NY-10023/63868388_zpid/,Upper West Side
74,/homedetails/15-Central-Park-W-APT-6D-New-York-NY-10023/80008779_zpid/,Upper West Side
75,/homedetails/165-W-66th-St-APT-7P-New-York-NY-10023/72538937_zpid/,Upper West Side
76,/homedetails/235-W-End-Ave-APT-16A-New-York-NY-10023/31523568_zpid/,Upper West Side
77,/homedetails/1-Central-Park-W-42C-New-York-NY-10023/31517155_zpid/,Upper West Side
78,/homedetails/15-Central-Park-W-APT-34A-New-York-NY-10023/80005828_zpid/,Upper West Side
79,/homedetails/322-W-72nd-St-5C-New-York-NY-10023/219667645_zpid/,Upper West Side
80,/homedetails/101-Central-Park-W-3F-New-York-NY-10023/244828290_zpid/,Upper West Side
81,/homedetails/112-W-72nd-St-PHC-New-York-NY-10023/2085090950_zpid/,Upper West Side
82,/homedetails/131-W-69th-St-New-York-NY-10023/31521237_zpid/,Upper West Side
83,/homedetails/1-Central-Park-W-524-New-York-NY-10023/2087330142_zpid/,Upper West Side
84,/homedetails/267-W-71st-St-2-New-York-NY-10023/2084978919_zpid/,Upper West Side
85,/homedetails/110-W-76th-St-112-New-York-NY-10023/2087180597_zpid/,Upper West Side
86,/homedetails/303-W-66th-St-APT-7EW-New-York-NY-10023/72521571_zpid/,Upper West Side
87,/homedetails/1-W-67th-St-300-New-York-NY-10023/121842854_zpid/,Upper West Side
88,/homedetails/25-Central-Park-W-30JK-New-York-NY-10023/2088094976_zpid/,Upper West Side
89,/homedetails/290-W-End-Ave-14D-New-York-NY-10023/244787526_zpid/,Upper West Side
90,/homedetails/167-W-73rd-St-APT-7-New-York-NY-10023/219665690_zpid/,Upper West Side
91,/homedetails/263-W-End-Ave-4AB-New-York-NY-10023/2086512482_zpid/,Upper West Side
92,/homedetails/2025-Broadway-APT-27B-New-York-NY-10023/2085704231_zpid/,Upper West Side
93,/homedetails/120-W-74th-St-New-York-NY-10023/2106931952_zpid/,Upper West Side
94,/homedetails/161-W-76th-St-APT-GR-New-York-NY-10023/72691452_zpid/,Upper West Side
95,/homedetails/43-W-64th-St-6B-New-York-NY-10023/65316349_zpid/,Upper West Side
96,/homedetails/235-W-70th-St-APT-2C-New-York-NY-10023/79481054_zpid/,Upper West Side
97,/homedetails/1-W-67th-St-807-New-York-NY-10023/72520074_zpid/,Upper West Side
98,/homedetails/15-W-67th-St-2R-New-York-NY-10023/2089672246_zpid/,Upper West Side
99,/homedetails/30-W-60th-St-APT-15V-New-York-NY-10023/121828760_zpid/,Upper West Side
100,/homedetails/105-W-73rd-St-APT-1C-New-York-NY-10023/2086979150_zpid/,Upper West Side
101,/homedetails/260-W-End-Ave-2FLE-New-York-NY-10023/2087076929_zpid/,Upper West Side
102,/homedetails/15-W-63rd-St-24B-23B-New-York-NY-10023/2085202313_zpid/,Upper West Side
103,/homedetails/140-W-End-Ave-APT-27E-New-York-NY-10023/244814211_zpid/,Upper West Side
104,/homedetails/60-W-68th-St-4FG-New-York-NY-10023/2085538563_zpid/,Upper West Side
105,/homedetails/140-W-69th-St-APT-76C-New-York-NY-10023/72639305_zpid/,Upper West Side
106,/homedetails/56-W-76th-St-New-York-NY-10023/2109031030_zpid/,Upper West Side
107,/homedetails/17-W-64th-St-APT-8C-New-York-NY-10023/2107027865_zpid/,Upper West Side
108,/homedetails/104-W-70th-St-APT-2C-New-York-NY-10023/143126473_zpid/,Upper West Side
109,/homedetails/150-W-End-Ave-LBBY-1-New-York-NY-10023/2100293728_zpid/,Upper West Side
110,/homedetails/165-W-66th-St-APT-10S-New-York-NY-10023/244752164_zpid/,Upper West Side
111,/homedetails/115-Central-Park-W-APT-18H-New-York-NY-10023/244892583_zpid/,Upper West Side
112,/homedetails/18-W-70th-St-APT-7B-New-York-NY-10023/244863059_zpid/,Upper West Side
113,/homedetails/12-W-72nd-St-APT-16EF-New-York-NY-10023/2088039295_zpid/,Upper West Side
114,/homedetails/23-W-73rd-St-807-New-York-NY-10023/81379431_zpid/,Upper West Side
115,/homedetails/41-Central-Park-W-APT-10F-New-York-NY-10023/2089001806_zpid/,Upper West Side
116,/homedetails/140-W-71st-St-APT-6F-New-York-NY-10023/82825959_zpid/,Upper West Side
117,/homedetails/123-W-74th-St-APT-6D-New-York-NY-10023/119911493_zpid/,Upper West Side
118,/homedetails/30-W-63rd-St-APT-10D-New-York-NY-10023/97536222_zpid/,Upper West Side
119,/homedetails/29-W-65th-St-5HJ-New-York-NY-10023/2085379151_zpid/,Upper West Side
120,/homedetails/1-Central-Park-W-45C-New-York-NY-10023/31517158_zpid/,Upper West Side
121,/homedetails/243-W-End-Ave-APT-1204-New-York-NY-10023/72521726_zpid/,Upper West Side
122,/homedetails/325-W-75th-St-APT-3-New-York-NY-10023/244745195_zpid/,Upper West Side
