,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,88000000.00,"12 E 69th St, New York, NY 10021",-73.967646,40.769936,10021,0,1,20000,1910,6,11,Upper East Side,https://www.zillow.com:443/homedetails/12-E-69th-St-New-York-NY-10021/31533674_zpid/,"For sale: $88,000,000. ONE VISION, ONE EXTRAORDINARY MANSION 

IN THE TRADITION OF STANFORD WHITE

The house designs of Stanford White embodied the ultimate achievements of The Gilded Age and created an ""American Renaissance"" in architecture and art. And just like Stanford White, who not only designed a mansion for his clients, but also traveled the world to collect the furnishings they should contain, this owner also traveled the world to collect the finest architectural and decoration ideas, as well as the art and furnishings, to combine the very best of the classical tradition with every modern technological convenience.



PERFECT LOCATION

Positioned a few houses off Fifth Avenue and Central Park on an exceptional residential, tree-lined block, this mansion is 40 feet wide, 90 feet deep, and features four windows across the front and rear facades providing remarkable light at all times. There is no other renovated 40 foot wide mansion available right now between Fifth and Madison Avenues.



SIZE

With six levels, it encompasses over 20,000 interior square feet including the 3400sf basement with windows in the front and rear, and approximately 2,650 exterior feet on the roof terrace.



FORMAL ENTRY

14-foot ceilings in the entry hall open to a rotunda with 28.5-foot ceilings to the third floor. The great room in the rear of this level spans 40 feet with French doors opening to Juliette balconies and floor-to-ceiling windows. A hidden door off the main hallway opens to the top of an extraordinary double-height library and office which measures 24 feet in height.



THIRD LEVEL

The formal dining room also extends 40 feet and easily accommodates 40 guests or more at a sit-down dinner. The massive 40-foot-wide kitchen in the front has four windows across and almost every cooking appliance known to a chef.



FOURTH LEVEL

Two 40-foot-wide bedrooms could be converted to four or more bedrooms.



FIFTH LEVEL

A massive master bedroom suite with an equally large sitting room and two full baths. Two large dressing rooms one of which is wired as a panic room. Separate guest suite.



GARDEN LEVEL

Additional entrance from the street for the lower half of the extraordinary double-height library offers private access to the office. This level includes the upper balcony section of the movie theater which seats 12 in red velvet chairs.



LOWER LEVEL

Saline swimming pool with two saunas and a full bath. The lower entrance to the split-level movie theater is in the rear.



ROOF TERRACE

Elevator and stair provide access to the terrace which covers the entire roof.



TECH HIGHLIGHTS

Heated sidewalk for automatic snow removal. Heated Onyx marble floors in the entry hall. Water filtration throughout the house. Exceptional lighting system allows numerous lighting combinations. Security system with cameras.



In conclusion, with three of the most remarkable rooms ever seen in a New York mansion, this house is truly An American Beauty, a synthesis of the elegance of the Beaux-Arts themes sifted through an unique American sensibility."
1,NaN,NaN,-73.961196,40.7732,NaN,NaN,NaN,13000,2012,NaN,NaN,Upper East Side,https://www.zillow.com:443/homedetails/118-E-76th-St-New-York-NY-10021/2090867491_zpid/,NaN
2,NaN,NaN,-73.964473,40.77451,NaN,NaN,NaN,12380,1910,NaN,NaN,Upper East Side,https://www.zillow.com:443/homedetails/10-E-76th-St-New-York-NY-10021/143147741_zpid/,NaN
3,NaN,NaN,-73.965698,40.772499,NaN,NaN,NaN,10080,1920,NaN,NaN,Upper East Side,https://www.zillow.com:443/homedetails/18-E-73rd-St-New-York-NY-10021/2094894798_zpid/,NaN
4,35800000.00,"18 E 76th St, New York, NY 10021",-73.964202,40.774398,10021,0,1,11000,1910,6,7,Upper East Side,https://www.zillow.com:443/homedetails/18-E-76th-St-New-York-NY-10021/2085087663_zpid/,"For sale: $35,800,000. The historic Henry Block House a 22 foot-wide townhouse, located at 18 East 76th Street, between Fifth and Madison Avenues. It was designed by prominent townhouse architect, John G. Prague, in 1881. It was sold to George C. Clausen, a member of a renowned brewing family, who served as the President of the Park Board, and as Park Commissioner, under Mayor Van Wyck.
In 1906, the namesake owners of the house, Henry Block and his wife, commissioned famous designers the Herts Brothers to renovate their Victorian townhouse with neo-Classic and Beaux Arts elements. The Herts Brothers were prominent in New York high society, renowned for designing the interiors of The Knickerbocker Hotel, The St. Regis, and several Astor family yachts. Their design elements are highly sought after by museums, including the Metropolitan Museum of Art and the de Young Museum in San Francisco. 
This majestic townhouse boasts a classically-inspired limestone facade and exterior staircase, with a lavish marble vestibule. It is a 5-story, 11,000 square foot mansion, located on one of the best tree-lined blocks on the Upper East Side. Features include an elevator, three entrances, and 36 rooms. These rooms include six bedroomstwo of which are master bedroomsseven bathrooms, and three powder rooms. The home also has seven gas burning fireplaces, a terrace, a sprinkler system throughout, and an interior staff staircase between the parlor and fourth floors.
Upon entering, you are welcomed by the breathtaking reception hall with soaring 13-foot ceilings and walnut and Corinthian pilaster columns. A grand staircase, replete with bronze floral designs, descends into this beautifully mirrored room, which is trimmed with opulent decorative details. Each door is topped with a lunette window that floods light into the interior rooms. Throughout the home, the ceilings and walls are adorned with custom bronze sconces, regal medallions, and flora & fauna plaster decorations. On the parlor floor, the gracious living room features a magnificent black marble fireplace and enormous French windows. A large mirrored storage hall, with glass and walnut pocket doors, connects the living room and the dining room. The dining room is accented with a black and white veined marble fireplace, a chestnut mantel, and elegant chevron floors. With many of the impeccable original Victorian details intact, the house upholds its charm -- a truly timeless, one of a kind property. 
With its proximity to Central Park, Museum Mile, and the citys most venerable cultural institutions, 18 E. 76thStreet only adds to the beauty of the neighborhood. The grand allure of old New York is brought to life inside this incredible home."
5,2000000.00,"343 E 74th St PENTHOUSE 1D, New York, NY 10021",-73.956307,40.769817,10021,0,1,1862,1987,3,4,Upper East Side,https://www.zillow.com:443/homedetails/343-E-74th-St-PENTHOUSE-1D-New-York-NY-10021/244717193_zpid/,"For sale: $2,000,000. A striking duplex penthouse graced with contemporary finishes and classic city views, this 3-bedroom, 3.5-bathroom condop is the quintessence of modern Upper East Side luxury. Features of this 1,862 sq. ft. home include gorgeous hardwood floors, huge windows with western and southern exposure, a charming wood-burning fireplace, custom built-ins, and a convenient in-unit washer/dryer.

 Beyond a tasteful entry space adorned with a large coat closet and a powder room, the lower level of the home flows into an open living and dining area saturated with natural light. The living room boasts a fireplace and a fully- integrated TV, while the dining room leads into a spacious, windowed kitchen equipped with angled windows, a breakfast nook, sleek countertops, a mosaic tile backsplash, and a suite of high-end stainless steel appliances. Finishing the lower level is a large bedroom with private closet space, built-in shelving, and a windowed en-suite bathroom.

 The remaining two bedrooms sit on the upper level of the home. The master bedroom possesses an enormous walk-in closet, an additional reach-in closet, dual exposure, and a windowed en-suite with double sinks, a walk-in shower, and a deep soaking tub. The remaining bedroom has a large reach-in closet, western exposure, and a windowed en-suite.

 The Forum is an Upper East Side condop with a 24-hour doorman, a live-in super, a fitness center, a sauna and steam room, a garage, and a common rooftop deck with incredible city views. The building is surrounded by restaurants, cafes, bars, and shops, and is close to John Jay Park and the N/Q subway lines. Pets and pieds-a-terre are welcome.
 
 OPEN HOUSE: Thursday 18th By Appointment"
6,29500000.00,"134 E 74th St, New York, NY 10021",-73.9617,40.7718,10021,0,1,--,1901,7,11,Upper East Side,https://www.zillow.com:443/homedetails/134-E-74th-St-New-York-NY-10021/2085379149_zpid/,"For sale: $29,500,000. ARCHITECTURAL HISTORY:

Nearly 38 ft. wide totaling approximately 12,100 sq. ft. (9,800 sq. ft. above grade), this mansion was originally built by architect John G. Prague between as two four-story buildings that have since been combined. Around 1928 its original Italianate faade was redesigned to its current, modern, uniform front for famed artist, Lucian Hamilton Tyng. Today's Landmarked faade includes a large rectangular studio on the fourth floor of what was 134 as well as a large segmental-arched window on the second floor of what was 136. There is an oriel and three small octagonal openings for what is now a staff suite/third bedroom on the fourth floor located towards the eastern front side of the building.


TODAY'S MODERN CLASSIC

The story begins with the main gallery. Stone floors-grand, formidable ? Or wood-warm and welcoming. No matter. The winding, elliptical staircase that greets you leaves the same winsome impression of grace and elegance.

Gather around the commodious kitchen: light gray, Christopher Peacock cabinetry accentuates the golden earth stones ingrained in the glorious white marble countertop and backsplash. The front sitting room is perfect for casual conversation and for sneaking quick bites from the kitchen while the garden, unviewable to neighbors, affords complete privacy for relaxation.

The entertaining floor is a show-stopper with its double-width great room, soaring double height ceilings, double height windows, and wood burning fireplace. The adjacent dining room has a wood burning fireplace, too, as well as Juliet balconies overlooking the garden. 

The guest suite on the next floor include a bedroom, study and its own mezzanine salon overlooking the great room below. 

Contributing to the glamour is the master floor above with two master dressing areas outfitted with Christopher Peacock cabinetry, two full baths en-suite--each with beautiful bay windows. Plus a terrace and two balconies overlook the garden. But the highlight here is the awe inspiring double height library with double height windows and a wood burning fireplace.

Four additional bedrooms, a staff suite, a recreation room and two terraces comprise the two upper floors. In the cellar is space for staff office, gym, steam room, full bathroom, wine cellar, and storage.

Delivered ""as is,"" much of the work in this new construction has already been completed. Brand new plumbing, wiring, floors, walls, HVAC system, elevator, dumbwaiter, the kitchen and its appliances, are all already installed. The rest is ready for the new owner to complete with whatever their desired finishes.

85% of this storybook dream has already been written. Its new owner would possess the rare opportunity to write their own happy ending."
7,26500000.00,"807 Park Ave, New York, NY 10021",-73.962303,40.772598,10021,0,1,24000,1932,0,16,Upper East Side,https://www.zillow.com:443/homedetails/807-Park-Ave-New-York-NY-10021/2091147763_zpid/,"For sale: $26,500,000. 807 Park Avenue is a 24,000 plus/minus square foot, twelve story building. Currently configured as three units, each unit is four floors and serviced by its own private elevator. These townhouse- like residences feature spectacular triple-mint space and the ultimate in privacy! Each apartment is more than 5,000 square feet and offers five to six bedrooms. With twenty-five feet fronting Park Avenue, this building presents a wonderful opportunity to live with income, create a family compound or a grand single-family home in the heart of the much sought-after Lenox Hill neighborhood. 807 Park is entered through elegant bronze doors into an intimate lobby of smoothly marbled floors, walnut walls and silver-leafed, vaulted ceiling serviced by a full-time concierge. Located on 75th and Park Avenue, moments from Central Park, museums, restaurants and shopping."
8,1200000.00,"190 E 72nd St APT 33D, New York, NY 10021",-73.961047,40.76978,10021,0,1,1995,1962,4,3,Upper East Side,https://www.zillow.com:443/homedetails/190-E-72nd-St-APT-33D-New-York-NY-10021/244789545_zpid/,"For sale: $1,200,000. Until recently, #33D was apart of a larger combination unit that has since been restored to its original layout and is now available as a standalone unit. At 1,975 Square Feet and perched on the 33rd floor, this apartment is flooded with eastern and southern light, open city views and will certainly capture your imagination!

#33D features an open chef's kitchen and pantry, equipped with two dishwashers and separate Sub-Zero refrigerator/freezer. There is also a fully renovated laundry room next to the home office, which can be converted back to a full 4th Bathroom/Bedroom.

Tower East is a full-service, luxury co-op which offers a garage, gym, bike room, storage, children's playroom, rooftop lounge area, and laundry room. Pets and pied-a-terre buyers are permitted.  There is an ssessment in place of $507.91"
9,29000000.00,"39 E 72nd St, New York, NY 10021",-73.964797,40.7718,10021,0,1,18504,1920,11,13.5,Upper East Side,https://www.zillow.com:443/homedetails/39-E-72nd-St-New-York-NY-10021/2115776146_zpid/,"For sale: $29,000,000. The private elevator landing with intricate pattern combining slabs of Vanilla Pearl, Nero Marquina, and Gray Graphite marble opens directly into a gracious gallery that leads to the sun-filled entertaining spaces. An expansive great room with southern exposures overlooking 72nd street feature antique character walnut floors with a chevron pattern, a gas fireplace with a limestone mantelpiece and an adjoining wet bar with top-of-the-line appliances,+ Calacatta marble slab counters and backsplash. The powder room is outfitted with Calacatta marble slab floors, Nero Marquina walls and vanity and feature Kalista fixtures and Duravit lavatories. 

The expansive windowed eat-in kitchen with a separate breakfast area is beautifully balanced with modern presence, providing the perfect marriage of form and functionality. The kitchen features pewter limestone floors, Calacatta marble slab counters with marble tiled walls and backsplash, custom lacquered wood cabinetry with SA Baxter Hardware and recessed under-cabinet lighting. The top of the line appliances feature an integrated 30' Gaggenau Vario 400 series refrigeration system, a 48' Viking Tuscany gas range with a vented canopy range hood and Miele combi-steam oven, warming drawer, microwave oven and dishwasher. Through the kitchen is an expansive dining room that can also be utilized as an incredible den. 

Down the marble stairway and copper banisters are the sleeping quarters of the home. A full floor is dedicated to the sleeping areas which can also be accessed from the personal residence elevator. The expansive master bedroom suite featured dual walk-in wardrobes that lead to the spa-like bathroom with Calacatta marble slab floors, walls and vanities accented with incredible eucalyptus. Kalista fixtures, Toto lavatories, steam shower stall and a Victoria and Albert free-standing tub are also featured. The sun-filled grand proportioned bedroom features spectacular views of 72nd street while the Zola double glazed windows deplete all outside noises. There are three secondary bedrooms and two secondary bathrooms featuring Calacatta marble mosaic floors, Dolomiti marble tile walls and blue de Savoie marble counters with Kalista fixtures and Toto lavatories. Situated in one of Manhattan's most prestigious addresses, this Gilded Age neo-Grec style house was built in 1891 by Rober Blynd, and subsequently altered by William Strom in 1905, has now been completely reimagined as three unique condominium residences by CetraRuddy. Sourcing materials from around the world, the recreation of this distinguished building was rooted in the historic context of the neighborhood. The sandstone clad faade and copper cornice stand out, yet blend harmoniously with the surrounding architecture, and firmly establish the building as a modern landmark. Still, the legacy of the property's past can be felt throughout the residences. 

BU I L D I N G- Sandstone-finished faade with classic decorative elements- Restored wrought-iron fence and gate- Private storage- Double-glazed sound-attenuating glass unit windows in all residences- Mitsubishi split heating/cooling system- Multi-split heat pump and air handlers in each residence- Tri-sorter compactor and refuse chute- Verizon FiOS"
