,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Central Harlem,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=247904393,NaN
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Central Harlem,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=247904394,NaN
2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Central Harlem,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=154074664,NaN
3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Central Harlem,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=250649979,NaN
4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Central Harlem,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=249322680,NaN
5,NaN,NaN,-73.937368,40.808739,NaN,NaN,NaN,849,2005,NaN,NaN,Central Harlem,https://www.zillow.com:443/homedetails/69-E-130th-St-APT-3C-New-York-NY-10037/2088400505_zpid/,NaN
6,399000.00,"36 W 138th St APT 34, New York, NY 10037",-73.938003,40.8152,10037,0,1,910,1925,4,2,Central Harlem,https://www.zillow.com:443/homedetails/36-W-138th-St-APT-34-New-York-NY-10037/2087950426_zpid/,"For sale: $399,000. Spacious, Bright and Beautiful! This 4-bedroom and 1.5 bathroom apartment in move-in-ready condition is waiting to be your next home. The building is expertly maintained by a professional management company with great attention to detail. Adorned with a new kitchen where you can conveniently do your laundry, this apartment is great for easy living. 

Conveniently located just a few blocks from the 2/3 subway station at 135th St. as well as the M1, M7, M98 and M102 bus stops, you and yours can get where you need to go conveniently. For drivers, a safe parking garage is located at the end of the block and it is a short Par-4 from The Harlem River Drive as well as the Madison Avenue Bridge.

A few blocks away is the 145th Street shopping corridor home to Target, BJ's, and Home Depot. The Schomburg Center Research Library, Harlem YMCA and Harlem Cycle Fitness Studio also within a short walking distance. For your palate, Belle Harlem, Ponty Bistro Harlem, and Tio Luca all a short walk from the building. One subway stop and you choose from Sylvia's, Red Rooster, Corner Social, or food shopping at Whole Foods for a home cooked meal. 

This is an HDFC building and income restrictions apply with maximum incomes no more than 165% of the AMI based on the table below:

Family Size
Family Size
Family Size
Family Size
Family Size
Family Size

If apartment is sold during the first 10-years of ownership then 85% of the profits are paid as a flip-tax to the HDFC and 15% of the profits remain with the owner. If apartments is sold during years 11 - 20 then 70% of the profits are paid to the HDFC and 30% are retained by the Owner. 

Zero percent (0%) of the maintenance is tax deductible. 

** Income Limit areas are based on FY 2018 Fair Market Rent (FMR) areas. For information on FMRs, please consult your own advisors or research the FY 2018 Fair Market Rent documentation system.
** All measurements to be confirmed by buyer(s).
** All information is gathered from third-party sources and is deemed reliable. Please consult with your own advisors."
7,659000.00,"2084 Madison Ave APT 2A, New York, NY 10037",-73.938003,40.80979,10037,0,1,1300,1920,3,2,Central Harlem,https://www.zillow.com:443/homedetails/2084-Madison-Ave-APT-2A-New-York-NY-10037/98377589_zpid/,"For sale: $659,000. BACK ON THE MARKET AT - $659,000. RARELY AVAILABLE, an entire floor unit, approximately 1,300 sf with huge 3 bedrooms, 2 bathrooms, spacious living room, and large open kitchen where you can enjoy peace and tranquility from the busy Manhattan lifestyle. This apartment has been recently renovated. Two modernized bathrooms with Grohe auto-adjust stabilizing temperature shower faucets, new heating radiators in all rooms, newly sanded and refinished floor for the entire apartment. Also all new solid curly maple doors and all new double pane windows with a sound dampening of NY traffic. Bosch washer and dryer are inside the apartment. The kitchen was totally renovated with all new stainless steel appliances, new cabinets, Capital Professional grade gas burner and infrared broiler with true exhaust range hood (throws the smoke & carbon monoxide out of the apartment, not recirculating within). Top of the line Kitchen Aid stainless steel counter-depth refrigerator, new Bosch dishwasher, and two-temperature zones wine cooler for independent red and white wine temperature.

For those who love electronics and the internet - Entire apartment has been rewired with a new heavy gauge copper electrical wiring. All rooms are wired with 10 Gbps Ethernet fabric network, new phone wiring, and new coaxial cable wiring to have great Home Theater experience in all rooms. The apartment has both Verizon Fios fiber-optic and TimeWarner WAN wiring, so you could have redundant fail-safe internet networking (with dual WAN router) for your home office - should you choose to work from home on mission-critical job or day trading.

The building has a new intercom system and is part of several coop buildings connected by numerous open spaces. The complex features laundry facilities, secluded gardens, kids playground, and a community room. Pets are welcome! A wonderful live-in super and several porters maintain this multi-building complex The building has a new intercom system and is part of several coop buildings connected by numerous open spaces. The complex features laundry facilities, secluded gardens, kids playground, and a community room. Pets are welcome! A wonderful live-in super and several porters maintain this multi-building complex. This is an HDFC complex, which states that while you are buying, the combined income should be below certain dollar amount. 

Easy access to all transportation: Subway 4, 5, 6 at Lexington Ave; Subway 2, 3 at Lenox Ave. A city bus passes in front of the apt on Madison and Fifth Avenue. Direct bus to LaGuardia airport and Columbia University inter-campus shuttle bus are a few blocks away. Supermarkets, restaurants, shopping, and entertainment all within a short distance."
8,1295000.00,"32 W 130th St APT 10, New York, NY 10037",-73.941596,40.810001,10037,0,1,--,1909,10,4,Central Harlem,https://www.zillow.com:443/homedetails/32-W-130th-St-APT-10-New-York-NY-10037/2085686201_zpid/,"For sale: $1,295,000. Astor Row   town home (SRO) property being sold as is , Seller is selling both 30 & 32. Ideal for Investor to own ""Landmark"" buildings  that are connected. Seller is not providing a CONH. Buyer should be cash. buildings have updated boilers and do have rent rolls. please contact me for details.   Each unit can also be sold separate.  



each building have -6,200 monthly income."
9,2000000.00,"41 W 130th St # 1-5, New York, NY 10037",-73.941497,40.810501,10037,0,1,4800,1910,13,4,Central Harlem,https://www.zillow.com:443/homedetails/41-W-130th-St-1-5-New-York-NY-10037/2092949553_zpid/,"For sale: $2,000,000. 5-6 Family Brownstone Delivered Vacant



Prestigous Astor Row Neighborhood - Rent Stabilized 4 Story (5 Floors) SRO property

Sold ""AS IS"" Condition



Price -  Negotiable All Cash  



Building requires complete renovation.  Bring your contractor/architect.  

Features: Sky lights, some original detail, high 14ft ceilings, backyard.  Single water, gas, and electric meters. 



New Water Heater and Boiler. (Under 2 years)

Buyer will be responsible for paying and curing all HPD violations and relocation of tenants. Property will be delivered vacant.  Seller will pay water/sewer, electric, and gas arrears at closing.



Schedule an appointment with Elaine Perry  

_______________________________________________

Building Specs:



13 Tenants



4 Vacancies



All utilities included in the rent.



__________________________

Building Specifications:

Building class	Five to Six Families (C2) i

Building sqft	4,800

Building dimensions	20 ft x 48 ft

Roof height	56 ft

Ground elevation	24 ft

Year built	

1910

 

Lot sqft	1,998 

Lot dimensions	20 ft x 99.92 ft



Residential FAR 3.44

Facility FAR 6.5

FAR as built 2.04

Allowed usable floor area 6,873

Usable floor area as built 4,876"
