,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,4000000.00,"635 W 42nd St # 2B, New York, NY 10036",-73.999801,40.762001,10036,0,1,1500,2007,4,4,Chelsea and Clinton,https://www.zillow.com:443/homedetails/635-W-42nd-St-2B-New-York-NY-10036/2099588967_zpid/,"For sale: $4,000,000. The ATELIER SALES OFFICE - Call us at for an immediate appointment. This unit has 1500 sqft of interior space ( with the chance to build a 2nd floor and add 1500 sqft) and 1750 sqft of outdoor private space that has the potential to be enclosed. There is a GUARANTEED tenant with 15 year lease at a current rent of $13,700/month with escalations. Can come with or without tenant. . The Atelier has become a Manhattan luxury landmark. Many celebrities call Atelier their home. All of our units are one of a kind. each has breathtaking unobstructed double exposure city and river views from floor to ceiling windows. The apartments feature stainless steel Bosch (dish washer, W/D, stove and microwave) and Sub Zero ( Fridge) appliances, white oak flooring , granite countertops in kitchen , marble bathrooms , washer/dryer in the unit , walk-in closets with white oak and glass pantries. The building amenities are 24-hour concierge/valet, tennis court, golf driving range , large lap swimming pool , sauna, residents' multi-media lounge and billiards room on the 47th floor, valet services ( laundry and dry cleaning on site) , state-of-the-art fitness center , yoga/pilates studio , fully-landscaped terraces/sundeck , building-wide wireless Internet system , on-site storage available , bike storage , pet friendly , valet parking available , basketball courts, bocci ball , free bicycle Usage , BBQ Grills , free daily breakfast and a cross town shuttle bus."
1,NaN,NaN,-73.98963,40.759931,NaN,NaN,NaN,--,1924,NaN,NaN,Chelsea and Clinton,https://www.zillow.com:443/homedetails/325-W-45th-St-APT-511-New-York-NY-10036/82581108_zpid/,NaN
2,1625000.00,"635 W 42nd St APT 24F, New York, NY 10036",-73.999224,40.761362,10036,0,1,1024,2007,2,2,Chelsea and Clinton,https://www.zillow.com:443/homedetails/635-W-42nd-St-APT-24F-New-York-NY-10036/80012679_zpid/,"For sale: $1,625,000. Rarely available, ""F"" line has just hit the market at the best price per square foot. This unit facing three directions, east, west and south and open city views beam an abundance of natural light into the floor to ceiling windows of the unit. Furthermore, the details to this unit does not lack anything shy of a true luxury property. The high ceilings creates a loft feel, but with all modern touches, including a Bosch Washer Dryer in the unit. The windowed open chef""s kitchen comes with top-of-the line appliances and elegant white cabinetry. Beautiful oak flooring, abundant closet space, and a washer/dryer only add to your quality life style. Perfect for all use; Investor or End User. This is the best deal! The Atelier is an ultra-luxury 45 story modern condo building. Amenities include 24-hours concierge/valet, tennis court, multi-media lounge and billiards room on the 47th floor, state-of-the-art fitness center, fully landscaped terraces/sundeck, building-wide wireless Internet system, bike storage, dog park, basketball courts, BBQ grills and on-site garage access."
3,1550000.00,"350 W 42nd St APT 11L, New York, NY 10036",-73.99227,40.757874,10036,0,1,957,2007,2,2,Chelsea and Clinton,https://www.zillow.com:443/homedetails/350-W-42nd-St-APT-11L-New-York-NY-10036/80014279_zpid/,"For sale: $1,550,000. What a Location!
Midtown West.
A mint condition, rare, corner 2 bedroom, 2 bath on 42nd St., close to Ninth Ave. (8th-9th.) Steps from the Theater District, and Times Square. In the luxurious Orion Condominiums, this unit is on the 11th floor of a beautiful glass curtain building. 
This is the ""L"" line facing Southwest with split bedrooms, floor-to-ceiling windows, and central air and heat. This is an exciting opportunity and the ONLY L line available for sale in the entire building. Light is everywhere. The afternoon sun streams in and the sunsets are glorious. The night views of the iconic skyline and Hudson River are breath-taking.The Kitchen... 
 A luxurious Valcucine design. Counter tops are black-honed granite, lacquer cabinets, stainless steel appliances, and a western facing floor-to-ceiling window. The Baths...
The Master bathroom features a deep soaking tub...... both have Waterworks polished nickel hardware. Countertops and flooring are limestone.Building Amenities...
24 Hour Doorman and Concierge
8000 square foot gym by La PalestraClasses availableTwo-lane lap poolHot TubTwo sundecks There is free breakfast every morning. An on-site garage Two residents' lounges"
4,1195000.00,"505 W 47th Street 6hs # 6HS, New York, NY 10036",-73.993698,40.763401,10036,0,1,825,2008,1,1,Chelsea and Clinton,https://www.zillow.com:443/homedetails/505-W-47th-Street-6hs-6HS-New-York-NY-10036/2128031232_zpid/,"For sale: $1,195,000. Immaculate Junior 4 (convertible 2 bedroom) apt available at The 505 in Hell's Kitchen. As soon as you walk into this extra wide living room  you are immediately captured by the open layout with floor to ceiling windows and an open kitchen with premium appliances and finishes. The spacious  bedroom can fit a king size bed, has a walk-in closet, and overlooks the tranquil and green courtyard. A personal washer/dryer with an additional large closet is located in the foyer. The 505 is a full-service building with a doorman, roof deck with BBQ grill, live-in super, bike room, gym, storage (at cost) and courtyard. Midtown West is quickly becoming one of the best neighborhoods in Manhattan with some of the finest restaurants, bakeries, cafes, and bars/lounges in the city. Close to the Hudson River Park and subway lines A, C, E, N, Q, R, 1, 2, 3, & S. Please note there is a $91 ongoing assessment for the reserve contribution, and the taxes are abated till 2020. Call or Email to view this beautiful apartment."
5,975000.00,"350 W 42nd St APT 7A, New York, NY 10036",-73.99227,40.757874,10036,0,1,741,2007,1,1,Chelsea and Clinton,https://www.zillow.com:443/homedetails/350-W-42nd-St-APT-7A-New-York-NY-10036/80006356_zpid/,"For sale: $975,000. Brand New Exclusive * Prime Midtown Manhattan / Hudson Yards meets the Theater District / Times Square!

This gorgeous Corner 1 Bedroom / 1 Bath home in the Orion Condominium sits at the crossroads of Manhattan's most exciting neighborhoods. Bright and sunny with South and West exposures, the home features walls of floor-to-ceiling windows, extra-high 9 foot (2.75m) ceilings, a windowed Valcucine designer kitchen with granite counters, and a honed limestone bath, complete with a Duravit soaking tub and Ann Sacks tiles. 

Extremely quiet inside, but located at the center of so much to see and do, you'll love being just 1/2 block from hip Ninth Avenues shops and restaurants, only 2 blocks to Times Square (with its more than 60 Broadway and Off-Broadway theatres and 14 Subway lines/Express stops), and so close by to the parks, shopping, and entertainment complexes of Hudson Yards, the High Line, and Hudson River Park, not to mention Central Park and Lincoln Center just a few blocks farther. 

The sleek glass Orion building itself also boasts a large, world-class fitness club with pool, 24-hour doorman/concierge services, and an on-site parking garage with direct access to the building (available for a monthly fee). Pets welcomed."
6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Chelsea and Clinton,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=294875984,NaN
7,2295000.00,"454 W 46th St APT 6ES, New York, NY 10036",-73.993407,40.761668,10036,0,1,60000,1888,2,2,Chelsea and Clinton,https://www.zillow.com:443/homedetails/454-W-46th-St-APT-6ES-New-York-NY-10036/244741608_zpid/,"For sale: $2,295,000. If you've never been to the historic Piano Factory, you owe it to yourself to come see this enchanting place. Circa 1874, it features some of the most unique lofts in Manhattan. This loft, located on the top floor, is a spacious 2 bedroom plus sleep loft, 2 full bath loft and features ceilings that approach 14 feet. Seven tall windows run its 43 feet of south facing frontage, providing great light and open city views in every room, something rarely found in lofts. 



THE LOFT:

Arguably the most coveted loft in the Piano Factory, the sponsor kept this unit for himself for years after the loft conversion before selling it. It was subsequently designed and renovated by the two principals of Rietveld Architects, who brought it to its current Architectural Digest level.



An entry foyer leads to the living/dining area, nearly 20 feet wide and nearly 36 feet in length. The ceiling rises from 12 1/2 feet in the dining area and to nearly 14 feet at the windowed wall. 



The open and spacious chef's kitchen will impress the most discerning cook. It features: a 48"" Thermador range with a double oven, 4 burners, a charcoal grill and a griddle; a Thermador hood that vents to the outside; an oversized Sub-Zero frig; a Bosche dishwasher; a double sink and ample granite counter prep space that extends into an eating bar that seats 4.



The dining area can easily fit a table to seat up to 12 people. The living area features custom built-in bookshelves and easily accommodates several large pieces of furniture for ample seating, yet still provides ample room for either additional seating or mix & mingle room for large gatherings. 



Off the living area is the hallway leading to the bedrooms. The first bedroom features tall ceilings, plentiful closets and two tall windows. A full marble bath with a shower off the entry foyer serves this first bedroom.



At the end of the hallway is the entrance to the master bedroom suite. This room features ceiling heights that approach 14 feet, two tall windows and a en-suite marble bath. A laundry area with a full-sized washer and dryer and storage is also located outside of the master en-suite bathroom.



This loft also has an attic loft space of nearly 140 SF and height of 3 feet with a pull-down stairway, and an additional 10SF of storage in the sleep loft area.  



THE BUILDING:

Dating back to the late 1800s, The Piano Factory building is a loft-conversion on the site of the former Wessell, Nickel & Gross Company, a piano works and soundboard factory. Today, the building is a well-established, self-managed co-op with very low monthlies, allowing pets, pied-à-terres and subletting. And yes, even pianos! 

At the entry, a Romanesque Revival archway leads you to the building's iconic European style landscaped courtyard, at once leafy yet beautifully industrial. Originally serving as the factory's storage yard, today the brick-lined outdoor spaces are punctuated by striking original steel catwalks and inviting seating areas. The Piano Factory has frequently been used for movie and television filming because of its photogenic beauty.



THE NEIGHBORHOOD:

Located in the heart of vibrant Hell's Kitchen, this home is at the center of quintessential New York living, just 2 blocks from the Theater District and the heart of Midtown. The amazing Hudson Yards and Brookfield Manhattan West developments to the south, and the Time Warner shops and Whole Foods to the north provide premier shopping, dining and entertainment, while the High Line, the Hudson River Greenway and nearby Central Park provide glorious outdoor Park space. The eclectic restaurant scene of 9th Avenue is just around the corner and legendary Restaurant Row is a block away. Transportation is unbeatable with Port Authority and Times Square providing immediate access to A/C/E, 1/2/3, N/Q/R, S and 7 trains."
8,15000000.00,"635 W 42nd St # 2524KA, New York, NY 10036",-73.999801,40.762001,10036,0,1,4000,2007,5,5,Chelsea and Clinton,https://www.zillow.com:443/homedetails/635-W-42nd-St-2524KA-New-York-NY-10036/2099588973_zpid/,"For sale: $15,000,000. Our Atelier Sales Office is showing 7 days a week. Call us today for an immediate appointment to see our newest availability. Feel free to walk in Monday- Friday 10am-530pm without an appointment. A We are located just blocks away from the Hudson Rail Yards and the Hi Line Park. The Atelier has become a Manhattan luxury landmark. Many stars call Atelier their home and Atelier will now take you to the stars with 2 seats offered on on a outerspace flight with any units over $10M. All of our units are one of a kind. each has breathtaking unobstructed double exposure city and river views from floor to ceiling windows. The apartments feature stainless steel Bosch (dish washer, W/D, stove and microwave) and Sub Zero ( Fridge) appliances, white oak flooring , granite countertops in kitchen , marble bathrooms , washer/dryer in the unit , walk-in closets with white oak and glass pantries. The building amenities are 24-hour concierge/valet, tennis court, golf driving range , large lap swimming pool , sauna, residents' multi-media lounge and billiards room on the 47th floor, valet services ( laundry and dry cleaning on site) , state-of-the-art fitness center , yoga/pilates studio , fully-landscaped terraces/sundeck , building-wide wireless Internet system , on-site storage available , bike storage , pet friendly , valet parking available , basketball courts, bocci ball , free bicycle Usage , BBQ Grills , free daily breakfast and a cross town shuttle bus. Pictures are of our model unit stock photos. Square Footage is approximate along with common charges/ Taxes, actual amounts may vary.THIS UNIT IS A COMBINATION OF MULTIPLE INDIVIDUAL UNITS THAT CAN BE COMBINED INTO 1."
9,NaN,NaN,-73.993202,40.761798,NaN,NaN,NaN,1900,1888,NaN,NaN,Chelsea and Clinton,https://www.zillow.com:443/homedetails/454-W-46th-St-6AES-New-York-NY-10036/2085064373_zpid/,NaN
