,link,region
0,/homedetails/123-125-E-102nd-St-1C-Manhattan-NY-10029/2087294062_zpid/,East Harlem
1,/homedetails/165-E-107th-St-New-York-NY-10029/143167485_zpid/,East Harlem
2,/homedetails/2132-2nd-Ave-APT-5D-New-York-NY-10029/2092160281_zpid/,East Harlem
3,/homedetails/424-E-115th-St-APT-4D-New-York-NY-10029/2086893582_zpid/,East Harlem
4,/homedetails/342-E-100th-St-APT-2C-New-York-NY-10029/2086070376_zpid/,East Harlem
5,/homedetails/306-E-105th-St-APT-1A-New-York-NY-10029/65317062_zpid/,East Harlem
6,/homedetails/169-E-102nd-St-APT-4A-New-York-NY-10029/31546360_zpid/,East Harlem
7,/homedetails/319-E-105th-St-APT-5A-New-York-NY-10029/31546759_zpid/,East Harlem
8,/homedetails/424-E-115th-St-APT-4A-New-York-NY-10029/2086893584_zpid/,East Harlem
9,/homedetails/424-E-115th-St-APT-1A-New-York-NY-10029/2086894003_zpid/,East Harlem
10,/homedetails/323-E-116th-St-New-York-NY-10029/143168415_zpid/,East Harlem
11,/homedetails/1790-3rd-Ave-FL-1-New-York-NY-10029/2085411107_zpid/,East Harlem
12,/homedetails/123-125-E-102nd-St-4D-Manhattan-NY-10029/2086310757_zpid/,East Harlem
13,/homedetails/2134-2nd-Ave-APT-7A-New-York-NY-10029/2084992948_zpid/,East Harlem
14,/homedetails/154-E-97th-St-APT-7-New-York-NY-10029/219703236_zpid/,East Harlem
15,/homedetails/2141-2nd-Ave-5C-New-York-NY-10029/31546574_zpid/,East Harlem
16,/homedetails/306-E-105th-St-APT-3B-New-York-NY-10029/31546706_zpid/,East Harlem
17,/homedetails/158-E-100th-St-2A-New-York-NY-10029/2085220626_zpid/,East Harlem
18,/homedetails/309-E-108th-St-APT-5A-New-York-NY-10029/31546797_zpid/,East Harlem
19,/homedetails/1165-5th-Ave-15PHA-New-York-NY-10029/79977491_zpid/,East Harlem
20,/homedetails/1635-Lexington-Ave-APT-8F-New-York-NY-10029/120288233_zpid/,East Harlem
21,/homedetails/2132-2nd-Ave-APT-5B-New-York-NY-10029/2104579494_zpid/,East Harlem
22,/homedetails/2021-1st-Ave-APT-5D-New-York-NY-10029/2087271302_zpid/,East Harlem
23,/homedetails/64-E-111th-St-1A-New-York-NY-10029/119912886_zpid/,East Harlem
24,/homedetails/342-E-110th-St-4D-New-York-NY-10029/2138441647_zpid/,East Harlem
25,/homedetails/350-E-116th-St-New-York-NY-10029/31546839_zpid/,East Harlem
26,/homedetails/1790-3rd-Ave-801-New-York-NY-10029/2092028214_zpid/,East Harlem
27,/homedetails/342-E-110th-St-2C-New-York-NY-10029/2138441641_zpid/,East Harlem
28,/homedetails/309-E-108th-St-APT-2H-New-York-NY-10029/31546780_zpid/,East Harlem
29,/homedetails/319-E-105th-St-APT-4D-New-York-NY-10029/31546756_zpid/,East Harlem
30,/homedetails/319-E-105th-St-APT-4C-New-York-NY-10029/31546755_zpid/,East Harlem
31,/homedetails/333-E-109th-St-APT-2C-New-York-NY-10029/117451288_zpid/,East Harlem
32,/homedetails/169-E-102nd-St-APT-3C-New-York-NY-10029/31546359_zpid/,East Harlem
33,/homedetails/16-E-98th-St-APT-6D-New-York-NY-10029/244892147_zpid/,East Harlem
34,/homedetails/1200-5th-Ave-5S-New-York-NY-10029/80009993_zpid/,East Harlem
35,/homedetails/353-E-104th-St-APT-2A-New-York-NY-10029/2102730488_zpid/,East Harlem
36,/homedetails/1280-5th-Ave-17B-18B-New-York-NY-10029/2091242952_zpid/,East Harlem
37,/homedetails/1790-3rd-Ave-201-New-York-NY-10029/2091610259_zpid/,East Harlem
38,/homedetails/235-E-115th-St-New-York-NY-10029/31546613_zpid/,East Harlem
39,/homedetails/353-E-104th-St-APT-3B-New-York-NY-10029/2101482740_zpid/,East Harlem
40,/homedetails/1325-5th-Ave-APT-2K-New-York-NY-10029/2085859896_zpid/,East Harlem
41,/homedetails/1170-5th-Ave-11C-New-York-NY-10029/72534011_zpid/,East Harlem
42,/homedetails/1635-Lexington-Ave-APT-7F-New-York-NY-10029/120290139_zpid/,East Harlem
43,/homedetails/1215-5th-Ave-4CD-New-York-NY-10029/2091100946_zpid/,East Harlem
44,/homedetails/16-E-98th-St-APT-3C-New-York-NY-10029/244846717_zpid/,East Harlem
45,/homedetails/2136-2nd-Ave-4A-New-York-NY-10029/2086744515_zpid/,East Harlem
46,/homedetails/1790-3rd-Ave-PH1-New-York-NY-10029/2092183087_zpid/,East Harlem
47,/homedetails/1280-5th-Ave-PENTHOUSE-A-New-York-NY-10029/117456701_zpid/,East Harlem
48,/homedetails/2128-2nd-Ave-New-York-NY-10029/31546809_zpid/,East Harlem
49,/homedetails/1635-Lexington-Ave-APT-8C-New-York-NY-10029/120289072_zpid/,East Harlem
50,/homedetails/161-E-110th-St-APT-5C-New-York-NY-10029/2113135117_zpid/,East Harlem
51,/homedetails/1212-5th-Ave-APT-4A-New-York-NY-10029/117907221_zpid/,East Harlem
52,/homedetails/1165-5th-Ave-5B-New-York-NY-10029/244870757_zpid/,East Harlem
53,/homedetails/2132-2nd-Ave-APT-PH-New-York-NY-10029/2087874512_zpid/,East Harlem
54,/homedetails/161-E-110th-St-APT-8C-New-York-NY-10029/2132958623_zpid/,East Harlem
