,link,region
0,/homedetails/45-E-22nd-St-New-York-NY-10010/2117423535_zpid/,Gramercy Park and Murray Hill
1,/homedetails/45-E-22nd-St-PHAB-New-York-NY-10010/2087101986_zpid/,Gramercy Park and Murray Hill
2,/homedetails/212-5th-Ave-PH-Manhattan-NY-10010/30582913_zpid/,Gramercy Park and Murray Hill
3,/homedetails/323-E-21st-St-APT-5M-New-York-NY-10010/72518813_zpid/,Gramercy Park and Murray Hill
4,/homedetails/40-Gramercy-Park-N-New-York-NY-10010/2086258898_zpid/,Gramercy Park and Murray Hill
5,/homedetails/330-3rd-Ave-APT-8H-New-York-NY-10010/72517207_zpid/,Gramercy Park and Murray Hill
6,/homedetails/242-E-25th-St-APT-3A-New-York-NY-10010/2085077625_zpid/,Gramercy Park and Murray Hill
7,/homedetails/102-E-22nd-St-APT-4G-New-York-NY-10010/244716355_zpid/,Gramercy Park and Murray Hill
8,/homedetails/50-Lexington-Ave-APT-15G-New-York-NY-10010/82788613_zpid/,Gramercy Park and Murray Hill
9,/homedetails/4-Lexington-Ave-MAISONETTE-New-York-NY-10010/2085092615_zpid/,Gramercy Park and Murray Hill
10,/homedetails/201-E-21st-St-APT-16K-New-York-NY-10010/72518100_zpid/,Gramercy Park and Murray Hill
11,/homedetails/215-E-24th-St-APT-718-New-York-NY-10010/244792123_zpid/,Gramercy Park and Murray Hill
12,/homedetails/45-Gramercy-Park-N-APT-1C-New-York-NY-10010/84504090_zpid/,Gramercy Park and Murray Hill
13,/homedetails/4-W-21st-St-APT-9-D-New-York-NY-10010/72516169_zpid/,Gramercy Park and Murray Hill
14,/homedetails/201-E-25th-St-APT-6K-New-York-NY-10010/88888365_zpid/,Gramercy Park and Murray Hill
15,/homedetails/205-E-22nd-St-PH6C-New-York-NY-10010/2085171147_zpid/,Gramercy Park and Murray Hill
16,/homedetails/240-E-24th-St-APT-2D-New-York-NY-10010/72518146_zpid/,Gramercy Park and Murray Hill
17,/homedetails/4-W-21st-St-APT-10B-New-York-NY-10010/72538266_zpid/,Gramercy Park and Murray Hill
18,/homedetails/45-E-22nd-St-56FL-New-York-NY-10010/2095361548_zpid/,Gramercy Park and Murray Hill
19,/homedetails/333-Park-Ave-S-APT-2D-New-York-NY-10010/2117865387_zpid/,Gramercy Park and Murray Hill
20,/homedetails/21-E-26th-St-New-York-NY-10010/122272152_zpid/,Gramercy Park and Murray Hill
21,/homedetails/4-Lexington-Ave-APT-13P-New-York-NY-10010/72517126_zpid/,Gramercy Park and Murray Hill
22,/homedetails/215-E-24th-St-APT-116-New-York-NY-10010/89555472_zpid/,Gramercy Park and Murray Hill
23,/homedetails/4-Lexington-Ave-APT-2P-New-York-NY-10010/244703776_zpid/,Gramercy Park and Murray Hill
24,/homedetails/102-E-22nd-St-APT-4H-New-York-NY-10010/244706226_zpid/,Gramercy Park and Murray Hill
25,/homedetails/212-5th-Ave-APT-21AB-New-York-NY-10010/2089268605_zpid/,Gramercy Park and Murray Hill
26,/homedetails/160-E-26th-St-APT-5B-New-York-NY-10010/72517263_zpid/,Gramercy Park and Murray Hill
27,/homedetails/242-E-25th-St-APT-10D-New-York-NY-10010/2090329461_zpid/,Gramercy Park and Murray Hill
28,/homedetails/39-Gramercy-Park-N-1BC-New-York-NY-10010/244695403_zpid/,Gramercy Park and Murray Hill
29,/homedetails/45-E-22nd-St-56-New-York-NY-10010/2089379568_zpid/,Gramercy Park and Murray Hill
30,/homedetails/23-E-22nd-St-52A-New-York-NY-10010/97534227_zpid/,Gramercy Park and Murray Hill
31,/homedetails/330-3rd-Ave-APT-16K-New-York-NY-10010/244861057_zpid/,Gramercy Park and Murray Hill
32,/homedetails/305-E-24th-St-APT-11S-New-York-NY-10010/72518915_zpid/,Gramercy Park and Murray Hill
33,/homedetails/23-E-22nd-St-24A-New-York-NY-10010/97507141_zpid/,Gramercy Park and Murray Hill
34,/homedetails/330-3rd-Ave-APT-6G-New-York-NY-10010/125790772_zpid/,Gramercy Park and Murray Hill
35,/homedetails/38-Gramercy-Park-N-APT-5A-New-York-NY-10010/80379440_zpid/,Gramercy Park and Murray Hill
36,/homedetails/50-Gramercy-Park-N-11-New-York-NY-10010/2086541853_zpid/,Gramercy Park and Murray Hill
37,/homedetails/235-E-22nd-St-APT-15O-New-York-NY-10010/244708917_zpid/,Gramercy Park and Murray Hill
38,/homedetails/210-E-21st-St-APT-6A-New-York-NY-10010/244778518_zpid/,Gramercy Park and Murray Hill
39,/homedetails/212-5th-Ave-10A-New-York-NY-10010/244771183_zpid/,Gramercy Park and Murray Hill
40,/homedetails/10-Madison-Sq-W-APT-16D-New-York-NY-10010/2086315097_zpid/,Gramercy Park and Murray Hill
41,/homedetails/215-E-24th-St-APT-123-New-York-NY-10010/89555474_zpid/,Gramercy Park and Murray Hill
42,/homedetails/160-E-26th-St-APT-3G-New-York-NY-10010/72517256_zpid/,Gramercy Park and Murray Hill
43,/homedetails/301-E-22nd-St-3P-3R-New-York-NY-10010/2091147671_zpid/,Gramercy Park and Murray Hill
44,/homedetails/160-E-26th-St-APT-6G-New-York-NY-10010/72517265_zpid/,Gramercy Park and Murray Hill
45,/homedetails/121-E-22nd-St-APT-N509-New-York-NY-10010/2086067802_zpid/,Gramercy Park and Murray Hill
46,/homedetails/60-Gramercy-Park-N-APT-1J-New-York-NY-10010/244837977_zpid/,Gramercy Park and Murray Hill
47,/homedetails/340-E-23rd-St-APT-2B-New-York-NY-10010/83939153_zpid/,Gramercy Park and Murray Hill
48,/homedetails/385-1st-Ave-APT-20C-New-York-NY-10010/244710764_zpid/,Gramercy Park and Murray Hill
49,/homedetails/45-E-25th-St-APT-25B-New-York-NY-10010/31505087_zpid/,Gramercy Park and Murray Hill
50,/homedetails/316-E-22nd-St-FLOOR-4-New-York-NY-10010/97533920_zpid/,Gramercy Park and Murray Hill
51,/homedetails/10-E-22nd-St-3-4-New-York-NY-10010/2125679059_zpid/,Gramercy Park and Murray Hill
52,/homedetails/200-E-21st-St-APT-20B-New-York-NY-10010/2084972555_zpid/,Gramercy Park and Murray Hill
53,/homedetails/235-E-22nd-St-APT-5G-New-York-NY-10010/244752728_zpid/,Gramercy Park and Murray Hill
54,/homedetails/45-E-22nd-St-52AB-New-York-NY-10010/2087423521_zpid/,Gramercy Park and Murray Hill
55,/homedetails/260-Park-Ave-S-PHA-New-York-NY-10010/2087375970_zpid/,Gramercy Park and Murray Hill
56,/homedetails/23-E-22nd-St-SKY56-New-York-NY-10010/2085452296_zpid/,Gramercy Park and Murray Hill
57,/homedetails/121-E-23rd-St-APT-17A-New-York-NY-10010/80012572_zpid/,Gramercy Park and Murray Hill
58,/homedetails/44-Gramercy-Park-N-APT-2E-New-York-NY-10010/244691287_zpid/,Gramercy Park and Murray Hill
59,/homedetails/280-Park-Ave-S-18LJ-New-York-NY-10010/2086780610_zpid/,Gramercy Park and Murray Hill
60,/homedetails/45-E-22nd-St-APT-51A-New-York-NY-10010/2086323288_zpid/,Gramercy Park and Murray Hill
61,/homedetails/300-E-23rd-St-APT-3G-New-York-NY-10010/117672190_zpid/,Gramercy Park and Murray Hill
62,/homedetails/10-Madison-Sq-W-APT-11E-New-York-NY-10010/2087161275_zpid/,Gramercy Park and Murray Hill
63,/homedetails/305-E-24th-St-APT-12K-New-York-NY-10010/72518918_zpid/,Gramercy Park and Murray Hill
64,/homedetails/225-5th-Ave-APT-8L-New-York-NY-10010/80011895_zpid/,Gramercy Park and Murray Hill
65,/homedetails/242-E-25th-St-APT-1B-New-York-NY-10010/2136690218_zpid/,Gramercy Park and Murray Hill
66,/homedetails/4-W-21st-St-APT-12D-New-York-NY-10010/72538274_zpid/,Gramercy Park and Murray Hill
67,/homedetails/200-E-24th-St-APT-809-New-York-NY-10010/244732976_zpid/,Gramercy Park and Murray Hill
68,/homedetails/305-E-24th-St-APT-7W-New-York-NY-10010/119908621_zpid/,Gramercy Park and Murray Hill
69,/homedetails/330-3rd-Ave-APT-20L-New-York-NY-10010/72517236_zpid/,Gramercy Park and Murray Hill
70,/homedetails/260-Park-Ave-S-PENTHOUSE-J-New-York-NY-10010/69510499_zpid/,Gramercy Park and Murray Hill
71,/homedetails/50-Gramercy-Park-N-APT-3A-New-York-NY-10010/2085880680_zpid/,Gramercy Park and Murray Hill
72,/homedetails/4-Lexington-Ave-8B-New-York-NY-10010/122065660_zpid/,Gramercy Park and Murray Hill
73,/homedetails/22-W-26th-St-APT-10G-New-York-NY-10010/80383779_zpid/,Gramercy Park and Murray Hill
74,/homedetails/301-E-22nd-St-APT-9B-New-York-NY-10010/114407502_zpid/,Gramercy Park and Murray Hill
75,/homedetails/45-E-25th-St-APT-9C-New-York-NY-10010/31505023_zpid/,Gramercy Park and Murray Hill
76,/homedetails/215-E-24th-St-APT-221-New-York-NY-10010/79497404_zpid/,Gramercy Park and Murray Hill
77,/homedetails/40-W-24th-St-APT-5W-New-York-NY-10010/72516187_zpid/,Gramercy Park and Murray Hill
78,/homedetails/150-E-23rd-St-6B-New-York-NY-10010/2085772341_zpid/,Gramercy Park and Murray Hill
79,/homedetails/38-W-26th-St-8-New-York-NY-10010/2087241673_zpid/,Gramercy Park and Murray Hill
80,/homedetails/44-Gramercy-Park-N-APT-7C-New-York-NY-10010/244761594_zpid/,Gramercy Park and Murray Hill
81,/homedetails/235-E-22nd-St-MEDICAL-New-York-NY-10010/2086713008_zpid/,Gramercy Park and Murray Hill
82,/homedetails/4-Lexington-Ave-APT-2R-New-York-NY-10010/110544350_zpid/,Gramercy Park and Murray Hill
83,/homedetails/235-E-22nd-St-APT-12A-New-York-NY-10010/244887499_zpid/,Gramercy Park and Murray Hill
84,/homedetails/40-W-24th-St-APT-6W-New-York-NY-10010/244770222_zpid/,Gramercy Park and Murray Hill
85,/homedetails/212-5th-Ave-21A-New-York-NY-10010/244737469_zpid/,Gramercy Park and Murray Hill
86,/homedetails/200-E-24th-St-APT-608-New-York-NY-10010/244879763_zpid/,Gramercy Park and Murray Hill
87,/homedetails/43-W-21st-St-New-York-NY-10010/2087686035_zpid/,Gramercy Park and Murray Hill
88,/homedetails/310-E-23rd-St-APT-7J-New-York-NY-10010/244751134_zpid/,Gramercy Park and Murray Hill
89,/homedetails/212-5th-Ave-APT-18A-New-York-NY-10010/2087098316_zpid/,Gramercy Park and Murray Hill
90,/homedetails/200-E-24th-St-APT-1709-New-York-NY-10010/244718682_zpid/,Gramercy Park and Murray Hill
91,/homedetails/7-Lexington-Ave-APT-2E-New-York-NY-10010/244851605_zpid/,Gramercy Park and Murray Hill
92,/homedetails/305-E-24th-St-APT-16T-New-York-NY-10010/244868601_zpid/,Gramercy Park and Murray Hill
93,/homedetails/201-E-25th-St-APT-18-A-New-York-NY-10010/72518292_zpid/,Gramercy Park and Murray Hill
94,/homedetails/225-5th-Ave-APT-2P-New-York-NY-10010/80014017_zpid/,Gramercy Park and Murray Hill
95,/homedetails/301-E-22nd-St-APT-3C-New-York-NY-10010/82584184_zpid/,Gramercy Park and Murray Hill
96,/homedetails/260-Park-Ave-S-APT-4F-New-York-NY-10010/69510457_zpid/,Gramercy Park and Murray Hill
97,/homedetails/212-5th-Ave-APT-21A-New-York-NY-10010/2093763759_zpid/,Gramercy Park and Murray Hill
98,/homedetails/60-Gramercy-Park-N-APT-8M-New-York-NY-10010/72517051_zpid/,Gramercy Park and Murray Hill
99,/homedetails/201-E-21st-St-APT-7J-New-York-NY-10010/79497284_zpid/,Gramercy Park and Murray Hill
