,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,2699000.00,"225 E 34th St # 4CD, New York, NY 10016",-73.976799,40.745498,10016,0,1,2017,2007,3,3,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/225-E-34th-St-4CD-New-York-NY-10016/2086112082_zpid/,"For sale: $2,699,000. A spacious, 2,000+ square foot, condo boasting sleek finishes and a private balcony. This truly one of a kind 3-bedroom, 3-bathroom home is a pristine portrait of contemporary city living with a sprawling layout. Features of this apartment include gorgeous hardwood floors, airy 9-foot ceilings, large windows with Western exposure, multi-zone central heating and cooling, a separate home office/den area, an abundance of closets, two large private storage cages, and a convenient in-unit washer/dryer. All of the windows face a tree-lined street saturated with natural light. 



Beyond a tasteful foyer adorned with a large coat closet, the home flows into an expansive, open-concept living room, dining room, and kitchen. The living and dining areas share access to the balcony and a wet bar, complete with a wine refrigerator. The kitchen is equipped with sleek countertops, a massive pantry, and a suite of high-end stainless steel appliances, including two Sub-Zero refrigerators. The kitchen also includes a desk area, discretely hidden behind large cabinet doors. Just off the foyer sits an extra home office/den with pocket doors and custom built-ins that is spacious enough for overnight guests to sleep in.



The master bedroom has two large closets and an immaculate en-suite bathroom with double vanity sinks, a step-in glass door shower, and a separate soaking tub. The remaining two bedrooms each have a private closet space and easy access to a full bathroom. 



Located in Murray Hill, The Charleston is a luxury condominium that offers residents a host of white-glove amenities. These include a 24-hour doorman, a state-of-the-art fitness center with Pelotons, a live-in super, an outdoor dog run, free WiFi in all communal areas, a fully equipped resident's lounge, a separate outdoor BBQ area perfect for hosting private events, and a furnished rooftop terrace with beautiful trees and panoramic skyline views. The building is surrounded by many restaurants, shops, bars, salons and grocery stores (Trader Joes and Fairway), and is less than three blocks from the East River. The 6 subway line is less than a 10 minute walk away. Pets are welcome. This is a Compass co-exclusive with Nest Seekers."
1,800000.00,"300 E 40th St APT 29-F, New York, NY 10016",-73.972835,40.748003,10016,0,1,605018,1967,0,1,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/300-E-40th-St-APT-29-F-New-York-NY-10016/244758853_zpid/,"For sale: $800,000. NEW TO THE MARKET! Welcome to this junior 1-bedroom at the Churchill with breath taking views. A great river view by day turns romantic at night from both the living/dining room, enormous balcony and the sleeping area. Good closet space, hardwood floors, and an open floor plan make this apartment a winner.

 The Churchill is a Condop, a Cooperative with Condo Bylaws. Entertain guests with style either in your apartment or in the resident's lounge overlooking the East River. Other building amenities also include full time door staff, valet, roof deck and rooftop pool, health club with separate men's and women's locker rooms with showers and dry sauna. Near Grand Central and the 4/5/6 trains make this a convenient location to get around the city."
2,NaN,NaN,-73.983596,40.747299,NaN,NaN,NaN,1488,2016,NaN,NaN,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/172-Madison-Ave-FL-19B-New-York-NY-10016/2085015906_zpid/,NaN
3,1780000.00,"225 E 34th St APT 7C, New York, NY 10016",-73.976794,40.745493,10016,0,1,1248,2007,2,2,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/225-E-34th-St-APT-7C-New-York-NY-10016/83931288_zpid/,"For sale: $1,780,000. Over 1200SF spacious 2 bedroom apartment with over sized windows offering exquisite views of the empire state building, custom high- end kitchen with pure white marble counters, sub-zero refrigerator, professional grade oven and cook top. High ceiling with generously size, abundant closets, real hardwood floors and all windows are double insulated. Huge master bath with soaking tubs and glass-enclosed showers, plus wood double-sink vanities. In-unit Washer/Dryer units."
4,925000.00,"211 E 35th St APT 8E, New York, NY 10016",-73.976837,40.746299,10016,0,1,--,1929,2,1,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/211-E-35th-St-APT-8E-New-York-NY-10016/83127197_zpid/,"For sale: $925,000. This two-bedroom home is on a high floor at 211 East 35th Street, one of Murray Hill's select few prewar cooperatives. Triple exposures and high nine-foot ceilings ensure the apartment is flooded with sunlight all day. The apartment has been completely renovated, accentuating the building's classical design elements with beamed ceilings, wainscoting and crown and baseboard molding. 

New Brazilian cherry oakwood floors complement the space and include additional insulation for noise reduction. The separate windowed kitchen sports ample granite countertops, mahogany oak custom cabinetry, oversized five-burner Bertazzoni range, Miele dishwasher, and even includes a custom built-in breakfast bar. The windowed bathroom is outfitted with porcelain vanity and ceramic paneling. The apartment's signature casement windows have also been newly upgraded with double-pane units, canceling out all noise and making the home truly an oasis. Lastly, a wood-burning fireplace awaits to warm those cold winter nights. 

211 East 35th Street is an elegant pet friendly cooperative residence with full-time doorman, live-in superintendent, and storage available for rent. Assessment of $110.37 till 5/19 for AC installation in windows."
5,415000.00,"288 Lexington Ave APT 12C, New York, NY 10016",-73.978806,40.748136,10016,0,1,375,1955,0,1,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/288-Lexington-Ave-APT-12C-New-York-NY-10016/244849846_zpid/,"For sale: $415,000. STUDIO PRICED TO SELL!!! Why rent when you can own this lovely, renovated studio with low, low maintenance. Located in the Murray Hill historic district, but away from the tunnel traffic, you can live close to everything. It is a quiet, east facing apartment that gets great light. Top Floor apartment so no neighbors above. There is a welcoming foyer before entering the main living space. With a new renovated kitchen, updated bathroom. and huge closet space. What more do you need?288 Lexington Ave is a liberal, boutique coop with part time door staff 4PM -12am , live-in super and central laundry. Guarantors, gifting and pets allowed. Roof Deck as well.Unlimited subletting after 2 years of ownership."
6,1430000.00,"300 E 33rd St APT 4C, New York, NY 10016",-73.976411,40.743963,10016,0,1,1137,1962,2,2,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/300-E-33rd-St-APT-4C-New-York-NY-10016/31509674_zpid/,"For sale: $1,430,000. Kips Bay Towers is an iconic New York City complex spanning 7.5 acres designed by I.M. Pei in the Brutalist style and completed in 1965. With a 3 acre park for residents, it continues to set standards for urban living, encompassing space, nature, community and service.

Unit 4C is a 2 bed 2 bath, currently configured as a grand and spacious 1 bedroom leading to an impressive living and entertaining area, all bathed in southern light through a wall of windows. At approx 1,137 sq/ft, this apt is very easily converted back to a spacious 2 bedroom.

Custom designed, the unit features wooden floors, lovely mill work and crown moldings, and has plenty of closets and storage space.

Apt 4C offers a brand new kitchen with granite counter tops and stainless steel appliances as well as 2 full recently updated baths. 

With extremely low carrying charges, Kips Bay Towers is a full-service building that offers residents 
in-house services and amenities. In addition to full time doorman, concierge and on-site management services, conveniently located in the lobby; the amenities include a private beautifully landscaped garden, playground, basketball court, a fitness center, community room, storage, bike room, laundry and a public parking garage. The Kips Bay neighborhood is located near major medical facilities and has easy access to bridges, tunnels, Fairway, shopping, great restaurants and more. 

There is a Capital assessment of $173 pr/mo until 12/2021. 

This apt is legally wheelchair accessible.

Kips Bay Towers does not permit showings on weekends or public holidays. Please contact us for an appointment."
7,NaN,NaN,-73.972497,40.74856,NaN,NaN,NaN,394086,1963,NaN,NaN,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/305-E-40th-St-APT-3P-New-York-NY-10016/244902182_zpid/,NaN
8,NaN,NaN,-73.976479,40.747678,NaN,NaN,NaN,560,1960,NaN,NaN,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/201-E-37th-St-APT-3F-New-York-NY-10016/244865538_zpid/,NaN
9,1195000.00,"305 E 40th St APT 10R, New York, NY 10016",-73.972497,40.74856,10016,0,1,394086,1963,2,2,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/305-E-40th-St-APT-10R-New-York-NY-10016/244786174_zpid/,"For sale: $1,195,000. "
10,NaN,NaN,-73.980942,40.740899,NaN,NaN,NaN,525,1965,NaN,NaN,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/200-E-27th-St-APT-3E-New-York-NY-10016/244765373_zpid/,NaN
11,6200000.00,"88 Lexington Ave # 1601, New York, NY 10016",-73.983296,40.741766,10016,0,1,2341,1927,4,4.5,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/88-Lexington-Ave-1601-New-York-NY-10016/244743382_zpid/,"For sale: $6,200,000. PRICE JUST REDUCED FOR THIS UNIQUE four bedroom, four and a half bath corner home with EXTRA HIGH CEILINGS AND WRAP AROUND TERRACE!, OVERSIZED WINDOWS offer iconic views of One World Trade to the south and open city views to the east. Thoughtfully designed by architect workshop/apd, this residence offers an open floorplan configuration with a large living and dining room for entertaining. 

Interior details include cove and recessed overhead lighting and 8' solid wood interior doors. The contemporary kitchen features custom cabinetry made from European oak, a polished glass composite slab countertop, an antique grey marble slab backsplash, Dornbracht fixtures, a Bertazzoni double-oven and cooktop, and a Sub-Zero refrigerator, freezer, and wine cooler with dual zones. The master bedroom suite features an abundance of closets and a WINDOWED five-fixture master bathroom. Master bathroom details include French limestone flooring and wall tiles, travertine slab backsplash, radiant heated floors by NuHeat, and a WetStyle Be Collection free standing deep soaking tub. Additional bathroom details include: smoked oak vanity millwork, LED-illuminated medicine cabinet with mirror defogger, and Hansgrohe fixtures. 

Amazing building amenities include a fitness center and exercise room, indoor swimming pool with Jacuzzi, steam room, sauna, concierge and doorman, common landscaped roof deck, playroom, lounge with screening room and garage.. 
 
The complete offering terms for 88 Lex & 90 Lex are in an offering plan available from the Sponsor: HFZ 88 Lexington Avenue Owner LLC - File No. CD13-0277 and HFZ 90 Lexington Avenue Owner LLC - File No. CD13-0276."
