,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,NaN,NaN,-73.995399,40.724498,NaN,NaN,NaN,7241,1885,NaN,NaN,Greenwich Village and Soho,https://www.zillow.com:443/homedetails/293-Lafayette-St-PH1-New-York-NY-10012/2085329793_zpid/,NaN
1,15995000.00,"116 Sullivan St, New York, NY 10012",-74.002933,40.726168,10012,0,1,7448,1900,9,6,Greenwich Village and Soho,https://www.zillow.com:443/homedetails/116-Sullivan-St-New-York-NY-10012/143086546_zpid/,"For sale: $15,995,000. 116 Sullivan Street is an exceptionally renovated 24'-wide townhome, with approximately 7,448 square feet of magnificent interior living space, plus an additional approximately 2,078 square feet of incredible outdoor space in the expansive, multi-level garden and spectacular roof deck.



Originally built in 1832, this landmarked home has been meticulously renovated with thoughtful attention to detail and boasts the finest modern appointments. Astounding room proportions and grand windows allow for abundant natural light throughout.



Advanced home systems include a Control 4 smart-home system managing the lights and sound, quiet multi-zone Mitsubishi HVAC, a security/alarm system, and irrigation in the garden, roof deck, and front planters. Other superb house appointments include automated shades, Walnut hardwood flooring, 3 fireplaces and hydronic radiant heat flooring throughout the Parlor Floor, tiled bathrooms, stoop and sidewalk. This high-efficiency home is built to Passive Standards with a Zehnder fresh air exchange, Lochinvar boiler and water storage.



116 Sullivan Street lies in close proximity to the vibrant shopping, dining and entertainment of the West Village/Soho, and is just a short distance from major transportation lines."
2,575000.00,"210 Thompson St APT 5DS, New York, NY 10012",-73.999099,40.728698,10012,0,1,--,1920,2,1,Greenwich Village and Soho,https://www.zillow.com:443/homedetails/210-Thompson-St-APT-5DS-New-York-NY-10012/2093115318_zpid/,"For sale: $575,000. 5th Floor Walk-Up   --  Excellent Location ,,, Minutes Walk To New York University   ,  Nyu ,  Train Station ,  All Specialty Restaurants,  Stores And More !!   Minutes Drive To Broadway, Spring Street,    Downtown Chinatown .  ** Rentable **"
3,6550000.00,"57 Sullivan St, New York, NY 10012",-74.004116,40.724098,10012,0,1,3864,1901,4,4,Greenwich Village and Soho,https://www.zillow.com:443/homedetails/57-Sullivan-St-New-York-NY-10012/31497135_zpid/,"For sale: $6,550,000. As one of oldest surviving homes in all of Manhattan, historic 57 Sullivan Street provides a rare and unique opportunity to acquire a gorgeous three-family investment property or to convert the 21-foot-wide building to a spectacular single-family residence. 



Currently configured as an owner's duplex with basement plus two expansive one-bedroom units on the upper floors, the building has been beautifully maintained over the years and features both historic details and modern updates. Arrive at the duplex through iconic arched doorway to find an open-plan great room filled with sunlight and charm. The wood-burning brick fireplace and ceiling medallion nod to a bygone era, but the open kitchen is ready for the demands of a modern chef with abundant cabinetry and stainless steel appliances. The expansive bedroom is placed at the rear of the home and features another brick fireplace, two large closets, delightful garden views and a door leading to the fairy tale outdoor space. There's extra closet space and a full bathroom on this level, while downstairs, the basement features another full bathroom. Lined by stone walls and flooring, this cozy lower level includes an oversized media room, plus a large den, office and storage.



The large upper level apartments are equal in size and finish to the owner's duplex upper level, with open plan living, updated kitchens, large bedrooms, fireplaces and exposed brick. The top-floor unit is illuminated by large skylights. Currently occupied, these units can be delivered vacant. An extremely low tax rate adds to the building's abundant appeal. 



A stellar example of Federal style architecture, 57 Sullivan Street boasts a handsome Flemish-bond brick façade with incised brownstone detailing. Built in 1816, the building's occupants have reflected the composition of its Lower Manhattan neighborhood throughout its 200-year history -- from its initial tradesman single-family residents to its later conversion to multi-family use by immigrant families. Set on the border of SoHo and Hudson Square, within easy reach of Greenwich Village and Tribeca, today the home is surrounded by an eclectic mix of historic and new construction buildings housing both established local business and inventive new restaurants. Soho's famed shopping districts are minutes away, and nearby fine dining options include David Burke Kitchen and Cipriani Downtown. 



Transportation from this accessible neighborhood is excellent with 1, A/C/E, N/Q/R/Q, J/Z and 6 trains all close by."
4,15995000.00,"215 Sullivan St APT THA, New York, NY 10012",-73.999702,40.729301,10012,0,1,7436,2014,6,7,Greenwich Village and Soho,https://www.zillow.com:443/homedetails/215-Sullivan-St-APT-THA-New-York-NY-10012/2096030320_zpid/,"For sale: $15,995,000. Rare opportunity to own a spectacular, impeccably renovated townhouse in a full-service condominium on coveted Sullivan Street! A comparable townhouse unit in the building closed at full ask ($2,856/ft), while Townhouse A is asking less than $2,200/ft. This 39' wide home is a modern renovation within the Vaux Mansion, an original masterwork by co-designer of Central Park, Calvert Vaux. The truly special 6 Bed, 7 Bath residence has three levels and is comprised of 7,456 interior square ft inclusive of a private Garage and Wine Cellar, as well as 2,048 ft of exterior space. 



Enter the home through one of two entrances, or through your Garage for maximum privacy. Upon entry you are immediately struck by the stunning glass-wrapped Great Room featuring a fireplace, floor-to-ceiling windows and two sets of double doors that lead to a private Garden Oasis! Ideal for entertaining, the Garden is outfitted with a Wolf Kitchen and has multiple areas for lounging and dining. The possibilities for indoor/outdoor living are endless here! Back inside, the newly renovated Open Chef's Kitchen boasts custom Italian cabinetry, a Victoria Blue Quartzite center island and top-of-the-line appliances by Wolf, Sub-Zero and Miele. Also on this level is a Bedroom with en-suite Bath, Den and Powder Room. The upper level features a south-facing Master Suite with serene Garden views, two walk-in closets and an en-suite Master Bath with double vanity, freestanding soaking tub and separate shower. Three additional Bedrooms, each with an en-suite Bath, are on this floor. A Utility Room with sink and side-by-side LG washer and vented dryer, as well as a Powder Room, complete the level. Other features include an elevator with access to all floors, 5"" white oak flooring throughout and a custom Full Vantage Control Automation System with Stealth Acoustic Invisible Speakers.



215 Sullivan Street is located right by the neighborhood's best restaurants, shopping and all major transportation, as well as Washington Square Park. THA is a rare gem and not to be missed! 

Co-exclusive listing with Sotheby's International."
5,12500000.00,"82 Macdougal St, New York, NY 10012",-74.001471,40.728463,10012,0,1,3360,1899,5,4,Greenwich Village and Soho,https://www.zillow.com:443/homedetails/82-Macdougal-St-New-York-NY-10012/31497828_zpid/,"For sale: $12,500,000. SECRET GARDEN TOWNHOUSE FOR SALE. This 20'-wide single family house, built in 1844, is one of only 22 homes located on MacDougal-Sullivan Gardens, one of the most coveted addresses in Greenwich Village. This private garden enclave was established in the 1920s and it is an event when one of these houses comes on the market. Bring your architect to imagine all the possibilities."
6,15500000.00,"40 Bleecker St # E, New York, NY 10012",-73.994128,40.725605,10012,0,1,3528,No Data,4,5,Greenwich Village and Soho,https://www.zillow.com:443/homedetails/40-Bleecker-St-E-New-York-NY-10012/2084980251_zpid/,"For sale: $15,500,000. Occupying the coveted southwest corner of 40 Bleecker Street, Penthouse E spans 3,528 interior and 830 exterior square feet, offering four bedrooms and four-and-a-half bathrooms, imbued with a timeless yet modern beauty and an authentic story of material and craftsmanship throughout. Beyond the formal entry foyer, where expansive 10'-6"" coved ceilings both absorb and reflect light, the luminous great room featuring a stunning stone fireplace is encircled by three walls of generous windows that invite a balance of light and privacy, culminating in a subtle curve along the southwest corner that reveals stunning Manhattan views from this rare Noho vantage point. Sliding glass doors open directly to the private terrace, where thoughtful plantings by Edmund Hollander create multiple living and dining spaces, lining the Noho skyline with a burst of lush nature. In a versatile open layout that encourages entertainment and leisure, the living room elegantly unfolds toward the impeccably tailored custom Ryan Korban-designed kitchen, merging refined detail with rich materials. Balancing the light warmth of Listone Giordano chevron French oak floors, a striking cantilevered island crafted in hand-selected honed statuary marble is a sculptural work of art that serves as a meaningful focal point for the space. Elegant Italian cerused oak cabinetry with fluted bronze-hued glass and fluted SA Baxter burnished nickel hardware are a beautiful soft contrast to the kitchen's Brustalist-inspired features, including a book-matched stone hood. Miele appliances and Lefroy Brooks accessories blend form and function for a sophisticated finish. Facing quiet, tree-lined Mulberry Street, the master bedroom suite is an oasis of elevated calm designed for rest and relaxation. Chevron floors continue from the living spaces, while full-height windows invite ample light and a sense of spaciousness. In addition to three walk-in closets, the master bathroom is a study in luxury. The tonal depth of honed Grigio Dove stone balances the cerused oak veneer paneling of Korban's custom double vanity, surrounded by reflective layers of mirror and glass that create space and magnify light. Chevron-patterned tiling in Calacatta moonlight statuary marble, Lefroy Brooks Kafka collection polished chrome fixtures, and reveals in the ceiling coves complete the dynamic and elevated ensemble. Three additional bedrooms each feature en suite baths, elegantly appointed in Korban's meticulous symphony of edited yet expressive materials, textures, and tones. Given equal attention to detail, the luminous powder room is enveloped in honed white statuary marble with custom lighting designed by Bill Schwinghammer, while a tailor-made bronze vanity stand makes an elegant, modern statement, all coming together to create an exquisitely curated space. A discreet laundry room features a sleek side-by-side Miele Washer and Dryer for the utmost in convenience, completing this exceptional penthouse residence. A modern echo of its iconic surroundings, 40 Bleecker establishes a timeless presence within Noho, graciously revering the history, culture, and architectural details of the landmark New York neighborhood with a contextual yet contemporary design. Lead architect Ed Rawlings, AD100 landscape architect Edmund Hollander, and AD100 designer Ryan Korban in his residential condominium debut each take a nuanced approach to design, blending forward-thinking vision with a subtlety that seduces and intrigues. The complete terms are in an offering plan available from the Sponsor (File No: CD 16-0394)."
7,699000.00,"250 Mercer St APT A204, New York, NY 10012",-73.995069,40.728548,10012,0,1,704,1888,1,1,Greenwich Village and Soho,https://www.zillow.com:443/homedetails/250-Mercer-St-APT-A204-New-York-NY-10012/244793056_zpid/,"For sale: $699,000. BACK ON THE MARKET

IMAGINE... 
A WORLD OF POSSIBILITIES IN THIS MOVE-IN DUPLEX JUNIOR 1BR LOFT WITH THE ENDLESS DOWNTOWN CHARACTER AND FUN YOU ARE DREAMING OF!

THE OPPORTUNITY:
Rare opportunity to own a versatile loft in this revered downtown address. 
Coop with condo rules, 250 Mercer lays at the epicenter of the downtown fun and architecture uniqueness, at the convergence of the charming Greenwich Village, the trendy NoHo, the posh Soho and eclectic East Village, steps from all subways. This apartment is the perfect solution for a couple wishing for various areas of privacy for office space, dining, meditating, sleeping, Murphy-style hostin, and entertaining lavishly and in character! The 13 ft ceiling, mezzanine sleep loft, and entire wall of windows are to live for! ?All that at the exceptional price of $699K, manifesting a ready seller. 

THE LAYOUT & FEATURES:
LANDING: Walk off the elevator toward your home along a private coursive overlooking the magnificent garden for owners enjoyment only. ?FOYER: Enter your welcoming square foyer with closets. ?LOFT: Two steps draw you up into the freedom of this quintessential lofts, bathed in stunning light and views over Mercer and West 4th, through the most opulent wall of twelve oversized windows and transoms, while the holy 13 ft ceiling soars above you. As you progress through the grand widening of the room, on your left, pass the huge separate windowed EAT-IN KITCHEN, the DRESSING ROOM, preceding the BATHROOM, andSLEEPING LOFT. A few surprises along the way, among which FANTASTIC CLOSET SPACE, cosy NOOKS for and extra Murphy bed for guests or to carve out a permanent extra room, and more. Come discover!
A state of the arts LAUNDRY ROOM tops off your lavish lifestyle, a few steps away, private to your floor.

THE BUILDING: Built in Mercer Street is one of the most sought-after residential addresses in Greenwich Village. A major renovation completed end of 2017 included brand new elevators, carpeted hallways with designer lighting, and a renovated lobby. This historic multi-building complex of four towers (A-D) was formerly a cast iron factory, hence conferring solid and soundproof divisions between units. The building was converted to residential rentals in 1979 then co-op apartments in 1986. The unique original details and loft-like layouts, 12- to 16-foot ceilings and classic downtown views make the building an architectural gem. To add to these aesthetic features, this co-op stands out remarkably by the flexibility of is bylaws and condo-style sublet policy. This extremely liberal co-op also allows pets, pieds-a-terre, co-purchasing, and guarantors. Amenities at this prewar co-op include a full-time doorman, live-in super, furnished courtyard and roof deck, bicycle storage, and laundry facilities at every floor. Ideally located in the center of trendy NoHo between West 3rd and 4th streets, 250 Mercer is a short distance to Washington Square Park and only blocks from some of the citys best shopping and restaurants in SoHo, Nolita, and West Village.

NUMBERS: 
At $1165 per square foot, this unit is a potential flip if you care to take advantage of all special features, such as enlarge the loft bedroom, utilize the nooks for built-in closets or guest bed, enhance the absolutely grand wall of windows by appropriate curtains (White sail cloth on a metal cable would add a contemporary freshness to the living space)... leave your spirit free!"
8,7995000.00,"154 Spring St, New York, NY 10012",-74.001642,40.724257,10012,0,1,4131,1920,4,5,Greenwich Village and Soho,https://www.zillow.com:443/homedetails/154-Spring-St-New-York-NY-10012/122271956_zpid/,"For sale: $7,995,000. 154 Spring Street, Penthouse - New Development

In a neighborhood rich with history, this unassuming penthouse located in a 19th century building embodies the definition of a ""NYC GEM"". Three floors totaling approximately 4,100sf along with TWO PRIVATE ROOF TOP PATIO'S totaling 800sf, creates an expansive and luxurious space perfect for entertaining or quiet nights overlooking the city. 

Light is an important element throughout this 3 to 4 bedroom, 4.5 bathroom home. There are multiple skylights and oversized arched windows with North, South, East & West facing views. This is the tallest building on the block allowing for one of a kind Soho views. 

A spacious foyer, entered from the private key-locked elevator takes you into the massive sunken living room. Anchoring the space is a fabulously designed gas fireplace and beautiful arched ceilings. An adjacent kitchen is outfitted with a La Cornue range, Miele appliances, a lava stone counter tops and a generous amount of storage space. 

Host the most splendid evenings in the adjacent dining room, which can accommodate up to 12 or more guests, formally.

Past the entertaining areas, there is a half bathroom, a separate laundry room and additional storage space. The first bedroom located on the main floor has an en-suite bathroom, multiple closets, high- ceilings and given the separation of this suite, it is perfect as a secondary master. 

A glass staircase, built to perfection takes you to the second floor, which hosts the second bedroom, and enormous master suite. Both rooms are complete with walls of windows and sunshine including 8 windows in the master bedroom alone, plus 12"" high ceilings. Waterworks curated the master bath fixtures and it features two sinks, a standing shower and a Hastings free standing Chelsea Silk Tub. 

The third floor is essentially a vacation home within a home with a beautiful library/office with walls of windows. Two private terraces are located on this floor, one on the North and the other South-facing - offering light and city views, all day long. 

Additional tailoring of 154 Spring Street includes wide plank white oak floors, exposed brick walls, central AC and a virtual doorman system. 

Call us today so you can own a rare slice of New York City History."
9,24995000.00,"42 Crosby St, New York, NY 10012",-73.999099,40.721698,10012,0,1,5852,2016,4,5,Greenwich Village and Soho,https://www.zillow.com:443/homedetails/42-Crosby-St-New-York-NY-10012/2097046122_zpid/,"For sale: $24,995,000. 5853 SQ FT PRIVATE PENTHOUSE FLOOR - 4024 SQ FT TERRACE WITH ENDLESS OPPORTUNITIES - 11 FT CEILINGS - 4 BEDROOM - 2 WOOD BURNING FIREPLACES - 2 PRIVATE DEDICATED PARKING SPACES - MASSIVE STORAGE UNIT 

LIVE YOUR DREAM in this iconic private DUPLEX Penthouse maximizing the East, South and West views over the historic SOHO district conceptualized by the renowned Annabelle Selldorf. This Penthouse, located on the legendary Crosby Street, is designed for the modern lifestyle featuring an open floor plan to accommodate grand entertaining with just the right amount of privacy. The ultimate private outdoor experience in NYC with a spectacular 4024 sq ft terrace features a woodburning fireplace.

As you step off the elevator into your private vestibule, you enter the oversized Great Room with a dual woodburning fireplace that is shared with an elegant den inclusive of a full wet bar and powder room. The extravagant open corner dining room flawlessly connects to the large custom eat-in kitchen designed by Boffi with Italian custom millwork and Gaggenau appliances and an immense walk-in pantry with access to the service elevator. 

The tailor-made corner Master Bedroom suite features stunning views through the floor to ceiling glass sliding doors, an enormous walk-in dressing room and a large study. The luxurious spa bath features a deep soaking tub, radiant heated floors, double Bardiglio marble vanity, large steam shower, and separate water closet all clad in slabs of Bardiglio marble. The additional three bedrooms have open city views with custom en-suite bathrooms. Furthermore, there is an additional room that can be treated as a private gym or media room. A smartly designed laundry room with full scale washer/dryer and laundry sink with ample storage completes this home.

Highlights: Inclusive of 2 deeded parking spaces; large storage unit; wide-plank imported Danish Ash floors throughout; Professional laundry room; Smartly prewired for AV; dimming system; motorized shades; Triple custom pane curtain wall with UVB/UVA protected glass."
