,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,NaN,NaN,-73.953094,40.81896,NaN,NaN,NaN,900,1910,NaN,NaN,Inwood and Washington Heights,https://www.zillow.com:443/homedetails/504-W-135th-St-APT-1B-New-York-NY-10031/2088702507_zpid/,NaN
1,502600.00,"523 W 143rd St APT 2A, New York, NY 10031",-73.94949,40.82438,10031,0,1,1108,1910,3,2,Inwood and Washington Heights,https://www.zillow.com:443/homedetails/523-W-143rd-St-APT-2A-New-York-NY-10031/2111870131_zpid/,"For sale: $502,600. Beautiful Loft Style Co-Op in Upper Manhattan. Recently updated in 2006, concrete countertops.  Located between Broadway and Riverside drive. .. walking distance to Riverside Park."
2,1200000.00,"389 Convent Ave, New York, NY 10031",-73.945355,40.82549,10031,0,1,2560,1910,5,3,Inwood and Washington Heights,https://www.zillow.com:443/homedetails/389-Convent-Ave-New-York-NY-10031/31552973_zpid/,"For sale: $1,200,000. HUGE PRICE DROP FIRM 

PROOF OF FUNDS REQUIRED BEFORE ANY SHOWINGS. ALL CASH -NO CONTINGENCIES 

 Do you have vision? Can you recognize opportunity when it knocks? Are you looking for a deal? 

 THIS IS BASICALLY A SHELL. Presenting 389 Convent Avenue, a townhouse with unlimited potential for the savvy buyer.Priced far lower than neighboring homes, this townhouse requires a complete renovation to bring it back to its glory days. 

It's located on a beautiful brownstone block in the middle of prime Hamilton Heights, near City College, mass transportation, and the area's emerging restaurant scene.

16'x 50' lot, built 40', you'll have nothing but your imagination to stop you from configuring this 2,560 sf home. At $546 per sf, that leaves you plenty of budget for the renovation.Annual taxes are an incredible $4292! That's $357 a month!What does your dream home look like?This is not an SRO, and it's currently a one family home. The house was built in 1910 of masonry and brick. It is essentially a shell, and it is priced accordingly.

SHOWINGS ONLY AFTER PROOF OF FUNDS HAVE BEEN RECEIVED. NO CONTINGENCIES. PLEASE CALL TO DISCUSS. THIS TOWNHOUSE IS BEING SOLD AS IS."
3,279000.00,"454 W 152nd St APT 51, New York, NY 10031",-73.943298,40.828899,10031,0,1,960,1926,3,1,Inwood and Washington Heights,https://www.zillow.com:443/homedetails/454-W-152nd-St-APT-51-New-York-NY-10031/2125655893_zpid/,"For sale: $279,000. Deal fall through with price improvement. Motivated seller. Must be cash deal, Warm and inviting this top floor completely renovated 3BR apartment will leave many breathless with its French doors, claw foot tub and beautifully done hardwood floors. North and South exposures affords good daily light with the top floor location aiding in quiet enjoyment. Located on the same block as the Dance Theater of Harlem, this Sugar Hill co-op is perfectly situated near such shopping as Bravo and Food town supermarkets, Duane Reade and Rite Aid pharmacies, many banks and more. Steps to the A, B, C, and D trains for the W. 145th Street station (W. 147th Street/St. Nicholas Ave entrance) and the #1 train at W. 145th/Broadway places you within 20 minutes to midtown Manhattan. it is income restricted to $87,720.00for single person for two persons for 3 persons for 4 persons for 5 persons for 6 persons. All cash purchase, no bank financing. Good space for a great price makes this apartment a must have for 2019"
4,275000.00,"450 W 147th St APT 1N, New York, NY 10031",-73.945647,40.825853,10031,0,1,550,1909,1,1,Inwood and Washington Heights,https://www.zillow.com:443/homedetails/450-W-147th-St-APT-1N-New-York-NY-10031/72535704_zpid/,"For sale: $275,000. Why rent when you can buy a home with great investment value? Adorable one bedroom located on tree-lined Convent Avenue in the heart of the Hamilton Heights Historic District. This is a ground floor apartment facing Convent Ave and neighboring brownstone homes, with a private entrance conveniently located on Convent Avenue. This charming apartment features large windows, hardwood floors, spacious bedroom and a cozy environment for art lovers and anyone with a creative lifestyle as it was lived by musicians and writers for most of its history. 



With no income restrictions, The Paul Revere is one of the few market-rate co-ops in Hamilton Heights. The building allows subletting (with a guideline and coop approval), pied-a-terre, parents-buying and pets allowed. This area is extremely vibrant and is filled with cafes, restaurants, bars, and grocery stores on Amsterdam Ave & Broadway. The building is conveniently located by A,B,C,D and 1 trains and short distances from Jackie Robinson Park and Riverbank State Park with Ice-skate rink and indoor pool facility.



Stop renting, and starting owning your home! 

Call today for more details and find out next showing schedule."
5,599000.00,"547 W 147th St APT C1, New York, NY 10031",-73.948574,40.827586,10031,0,1,42528,1940,3,2,Inwood and Washington Heights,https://www.zillow.com:443/homedetails/547-W-147th-St-APT-C1-New-York-NY-10031/244865982_zpid/,"For sale: $599,000. Buckingham Palace in Hamilton Heights
Grand 3.5 bedroom, 1.5 bath apartment, located on the third floor, in an equally grand, early Hamilton Heights elevator apartment building aptly called ""Buckingham Palace."" Bright and sunny south-facing living and dining rooms, 2 bedrooms connected by a shaving closet. There is a large kitchen, a large maid's room, and one of the longest and widest internal hallways in upper Manhattan! Plenty of room for closets. Original details have not been stripped out and can be nurtured by the architecture-savvy buyer. Washer/Dryer allowed in the apartment. Pets are allowed as well. Located in the heart of Hamilton Heights, only 2 blocks from the 1 train and 4 blocks to the A, B, C, D train on 148th St and St. Nicholas Ave. Easy access to Riverbank State Park, Columbia Medical Center, New York Presbyterian Hospital, George Washington Bridge, Hudson River bikeway, City College, Yeshiva, and the two main Columbia campuses, Manhattanville and Morningside. Plenty of restaurants, bars and cafes in the area. This is an estate sale. ""Sold as is"". Board approval required. HDFC income limits apply as follows: $95,400 for 1-2 people and $111,300 for 3 or more people. Financing available through Amalgamated Bank."
6,NaN,NaN,-73.950606,40.824556,NaN,NaN,NaN,3400,1899,NaN,NaN,Inwood and Washington Heights,https://www.zillow.com:443/homedetails/526-W-143rd-St-New-York-NY-10031/31553237_zpid/,NaN
7,430000.00,"1608 Amsterdam Ave APT 1B, New York, NY 10031",-73.950546,40.821766,10031,0,1,17216,1910,2,1,Inwood and Washington Heights,https://www.zillow.com:443/homedetails/1608-Amsterdam-Ave-APT-1B-New-York-NY-10031/244777440_zpid/,"For sale: $430,000. Welcome home to this newly remodeled 2 bedroom PLUS home office/nursery, 1 bath coop in a quaint and charming building in trendy Hamilton Heights, Harlem. This apartment is bright and airy with high ceilings and a window in every single room! 



As you enter through a long hallway you will find a small office/nursery room and a windowed, fully renovated bathroom on the right. The hallway leads you to a spacious and renovated open kitchen which expands into a light-flooded living/dining area with two large windows. The master bedroom fits a queen size bed and has a large closet. The second bedroom is overlooking the silent, darling common outdoor space. 



Enjoy coming home everyday to this green street with trendy restaurants like FUMO Pizzeria, Double Dutch Coffee, The Grange, Oso, Clove Indian Restaurant all within a block...with Fairway Market just down the street! A new full service laundromat is located right next for your convenience. Centrally located near the 1, B and C subways, as well as the M100 and M101 bus stops, this truly is a prime spot at a great price.



This is an HDFC building with income restrictions, as of 2018 they are $55,988 for a household of one or two dependents and $65,319 for a household of three or more dependents. This well managed Co-op comes with its own live-in super and also owns two commercials spaces which are set to bring in a nice revenue stream for the building. Now is the perfect time to make this wonderful apartment your home!"
8,2745000.00,"549 W 152nd St, New York, NY 10031",-73.946335,40.830721,10031,0,1,3300,1899,5,3,Inwood and Washington Heights,https://www.zillow.com:443/homedetails/549-W-152nd-St-New-York-NY-10031/31553329_zpid/,"For sale: $2,745,000. This 19th Century, Legal Two Family Townhouse provides an impeccable owner's triplex with unlimited original detail.  Double height ceilings welcome everyone to its Parlor Floor living space and stunning stainless steel kitchen that is wrapped end-to-end with stainless steel.  Outside brings us a large, eat-in balcony and full backyard.  It's yard is accented by manicured shrubbery.  

The owner's triplex is composed of a four bedroom, two bathroom layout surrounded by blossoming trees.  Recessed lighting, built-in speakers & an updated sky-lit penthouse spa shower bring the beautiful life true to form. The first two bedrooms provide are neighbored by a rare, cast-iron, claw-tooth tub within their bathroom.  A generous laundry room provides a washer and dryer between its penthouse, light-streaming bedrooms.

This is in the evolving and transforming Hamilton Heights area of townhouse block after townhouse block.  Live in peace, amongst the trees, the parks and new, trending restaurants such as Bono Trattoria, Famous Fish Market, Sugar Hill Café and Budda Taco Bar, mostly owned and managed by townhouse owners themselves.  Riverbank State Park is nearby and a plush park, along the Hudson River is down the street. Cultural, educational and recreational choices abound like Dance Theater of Harlem, If you're seeking educational options, the Harlem School of the Arts, Harlem Public and PS/IS 210 Century Academy for Community Leadership provide those."
9,965000.00,"725 Riverside Dr APT 7B, New York, NY 10031",-73.949653,40.829947,10031,0,1,1253,1912,2,2,Inwood and Washington Heights,https://www.zillow.com:443/homedetails/725-Riverside-Dr-APT-7B-New-York-NY-10031/143181744_zpid/,"For sale: $965,000. *DIRECT HUDSON RIVER VIEWS* Flooded with natural light from the south and west, this immaculate split 2 bedroom Condo is the one you have been waiting for. From the welcoming, usable entry foyer you immediately feel the loft-like expanse as you pass into the great room. Entertaining is a true pleasure when you have such open, generous space. The windowed pass through kitchen offers abundant cabinetry and storage capacity plus ample granite counter-space, stainless appliances and a wine cooler. Whether hosting huge dinner parties or intimate movie nights, you will do it in comfort and style. The Master bedroom suite offers stunning Hudson River views as you wake and breathtaking sunsets as you unwind. Here you also indulge in a Washer/Dryer plus your en suite full bathroom featuring stall shower with Rain-shower head and marble vanity. The main bathroom has a deep soaking tub with crisp white tile surround, porcelain tile floors and marble vanity. The second bedroom is nicely removed for maximum privacy offering another peek of the river plus space enough for a king-sized bed. Throughout this tastefully renovated home are honey-stained oak hardwood floors with mahogany inlay, recessed lighting, Hunter Douglas Silhouette blinds, updated electric, picture rail molding, skim-coated walls and additional Closet units in each bedroom. Quietly situated in 725 Riverside Drive Condominiums across from Riverside Park and the newly opened foot-bridge to the Hudson River bike path and Ft. Washington Park along the river's edge. Also close to Columbia University's Manhattanville campus, Riverbank State Park, City College and New York Presbyterian Hospital and weekend escapes via the GWB. This well-managed, pet-friendly building offers a resident Superintendent, Doorman (4pm to midnight daily), weekend Porter, bike storage and central laundry. Live in the heart of the Hamilton Heights' thriving cafe and dining scene mere blocks from new bars and restaurants. Harlem Public, Uptown Bourbon, Chipped Cup, The Honey Well and Bono are all around the corner with countless other exciting new hangs peppered along Amsterdam and Broadway. The largest Fairway in Manhattan is in your backyard and the nearby #1 train is just 20 minutes to midtown. Discover this vibrant, still affordable neighborhood and live the life you dream. *Note assessment of $767.90/ month thru Dec 2019 . Also note a 2 month capital contribution to be paid by buyer at closing (2 months of common charges)*"
