,link,region
0,/homedetails/2-River-Ter-APT-5L-New-York-NY-10282/2095483409_zpid/,Lower Manhattan
1,/homedetails/212-Warren-St-APT-10N-New-York-NY-10282/219636009_zpid/,Lower Manhattan
2,/homedetails/212-Warren-St-APT-16G-New-York-NY-10282/219636034_zpid/,Lower Manhattan
3,/homedetails/212-Warren-St-APT-16L-New-York-NY-10282/219636035_zpid/,Lower Manhattan
4,/homedetails/2-River-Ter-APT-4M-New-York-NY-10282/2089704901_zpid/,Lower Manhattan
5,/homedetails/2-River-Ter-APT-9D-New-York-NY-10282/2103076974_zpid/,Lower Manhattan
6,/homedetails/2-River-Ter-APT-24A-New-York-NY-10282/2087424285_zpid/,Lower Manhattan
7,/homedetails/2-River-Ter-29AB-New-York-NY-10282/2086199388_zpid/,Lower Manhattan
8,/homedetails/2-River-Ter-APT-11H-New-York-NY-10282/2123725887_zpid/,Lower Manhattan
9,/homedetails/2-River-Ter-APT-22B-New-York-NY-10282/2115128638_zpid/,Lower Manhattan
10,/homedetails/212-Warren-St-APT-6A-New-York-NY-10282/219714199_zpid/,Lower Manhattan
11,/homedetails/212-Warren-St-5R-New-York-NY-10282/219635983_zpid/,Lower Manhattan
12,/homedetails/212-Warren-St-APT-9A-New-York-NY-10282/219713614_zpid/,Lower Manhattan
13,/homedetails/212-Warren-St-APT-19A-New-York-NY-10282/219636048_zpid/,Lower Manhattan
14,/homedetails/2-River-Ter-PH-31F-New-York-NY-10282/2108442174_zpid/,Lower Manhattan
15,/homedetails/2-River-Ter-PH31E-New-York-NY-10282/2088722294_zpid/,Lower Manhattan
