,Neighborhood,address,bath,bed,description,latitude,logitude,page_url,price,rent,sale,size,year built,zipcode
0,Lower East Side,"205 E 10th St APT 2-D, New York, NY 10003",1,1,"For sale: $665,000. Price Improvement!  Opportunity awaits on a prime block in the East Village....  Do not miss viewing this graciously proportioned and serene one bedroom.  Triple exposures, abundance of closets, windowed galley eat-in kitchen, washer/dryer in unit and windowed bathroom are only a few hallmarks of this wonderful home. 205 East 10th is a boutique prewar Coop elevator building perfectly situated just a couple of doors down from 2nd Avenue with all of the conveniences, restaurants and shopping that the prime East Village has to offer. This 31 unit building features a beautiful lobby, updated laundry room, live-in super, common outdoor space, bike room and storage space. Convenient access to 6, N, R, L subway lines and Union Square station. Sorry, no dogs are allowed but cats are permitted with board approval. Co-purchasing, Guarantors and Subletting is allowed but pied-a-terres are not.  This amazing offering awaits your personal touch!",40.729758,-73.986117,https://www.zillow.com:443/homedetails/205-E-10th-St-APT-2-D-New-York-NY-10003/119913266_zpid/,665000.00,0,1,--,1920,10003
1,Lower East Side,NaN,NaN,NaN,NaN,40.730998,-73.990097,https://www.zillow.com:443/homedetails/80-E-10th-St-6-New-York-NY-10003/2092746971_zpid/,NaN,NaN,NaN,3304,2018,NaN
2,Lower East Side,NaN,NaN,NaN,NaN,40.730908,-73.993805,https://www.zillow.com:443/homedetails/50-E-8th-St-APT-6W-New-York-NY-10003/72512569_zpid/,NaN,NaN,NaN,760,1952,NaN
3,Lower East Side,"201 E 15th St APT 2H, New York, NY 10003",1,1,"For sale: $899,000. This one of a kind renovated from top to bottom one bedroom is one of only four residences in the building with outdoor space. A boutique building located at the crossing of Gramercy, Union Square and the East Village. Shopping is fantastic at the Union Square Farmer's Market, Agata & Valentina, Eataly, Whole Foods, Trader Joe's, Natural Green Market, Westside Market, or The Food Emporium and then preparing your meals in this fabulous chef 's kitchen. Liebherr 30"" stainless steel refrigerator, Thermador 30"" Pro Harmony 5 Burner Stainless Steel Oven, Thermador 24"" Stainless Steel Built In Dishwasher, Zephyr Designer In Ceiling Hood, Built In Stainless Steel Kitchen Sink, Blanco pull out faucet, Waterstone multi stage water filtration system, Custom quartz counter tops, Custom kitchen cabinets. You will love bathing with AquaBrass rainfall & waterfall shower head, AquaBrass hand wand, AquaBrass waterfall bathtub spout, Imported italian bathroom tiles, Custom bathroom vanity with 2 drawers, Bathroom vanity mirror with 3 doors & 9 shelves, Toto toilet, Blinds to Go custom 2 way blackout blinds on all windows, Elfa custom closets in every closet, Brazilian wide plank dark brown cherry wood floors. Incredibly spacious with an ideal layout. Water & Heat Included in the Monthly Common Charges. Spectrum Cable and/or Verizon Fios. Cat5 wiring in living room & bedroom. Transaction can be closed using cryptocurrencies, including Bitcoin or Bitcoin Cash.",40.734027,-73.986418,https://www.zillow.com:443/homedetails/201-E-15th-St-APT-2H-New-York-NY-10003/72517894_zpid/,899000.00,0,1,700,1960,10003
4,Lower East Side,"242 E 19th St APT 5H, New York, NY 10003",1,1,"For sale: $960,000. Bathed in gorgeous natural light and boasting luxurious detailing throughout, this stunning one-bedroom, one-bathroom apartment is an absolute must-see. From the soaring 9.5ft beamed ceilings towering overhead to refinished hardwood floors throughout the open-plan layout, there is so much to love about this centrally-located apartment.



A welcoming foyer greets you as you enter the home and draws you through to the light-filled living room complete with wooden plantation shutters. Those who like to host friends will adore the gourmet eat-in kitchen complete with custom kitchen cabinetry and a window seat nook and pass-through counter. A Caso Wine Safe and a Summit Ingenious refrigerator are also included along with a Bosch dishwasher and a LG stainless steel five-burner cooktop with 2 ovens and microwave.



Built-in book shelving will appeal to any book lover and there's a large walk-in closet which could work as a den, home office or nursery, depending on your needs. The spacious bedroom is straight from the pages of an interior design magazine with its large windows and sprawling closets. 



Subway tiles feature in the stylish bathroom along with a deep bathtub, are perfect for relaxing after a long day; while through the wall AC and Honeywell thermostat in the living and bedroom offers complete comfort.



This breathtaking apartment is nestled within the full-service 242 East 19th building and features a host of amenities. You'll love the landscaped roof deck and having a 24-hour attended lobby which offers convenience and peace of mind. 



The building offers a bike room and storage along with a central laundry. For animal lovers, pets are allowed upon approval.



Electricity and gas are included in the maintenance. 



Guarantors are also allowed along with parent purchases and co-purchases. A pied-à-terre, however, is not permitted.",40.735707,-73.98372,https://www.zillow.com:443/homedetails/242-E-19th-St-APT-5H-New-York-NY-10003/79531972_zpid/,960000.00,0,1,--,1929,10003
5,Lower East Side,"111 4th Ave APT 5D, New York, NY 10003",1,1,"For sale: $1,395,000. ",40.732351,-73.989701,https://www.zillow.com:443/homedetails/111-4th-Ave-APT-5D-New-York-NY-10003/79494411_zpid/,1395000.00,0,1,843,1921,10003
6,Lower East Side,"63 E 9th St APT 5F, New York, NY 10003",2,2,"For sale: $1,495,000. Beautifully newly renovated sponsor two bedroom apartment located in the heart of the village. No board approval required. Co-op with condo type rules. The bright white and modern windowed kitchen has new stainless steel appliances, sleek Italian back-splash tiles and chocolate brown tile floors. The brand new bathrooms features porcelain tiles, a beautiful custom vanity for extra storage. There are plenty of closets throughout. Call or email for an appointment today.",40.731582,-73.99207,https://www.zillow.com:443/homedetails/63-E-9th-St-APT-5F-New-York-NY-10003/244715755_zpid/,1495000.00,0,1,209785,1955,10003
7,Lower East Side,"1 5th Ave APT 3J, New York, NY 10003",2,2,"For sale: $2,000,000. Rare 2 bedroom, 2 bath apartment facing south with brilliant sun and views of charming Washington Mews. The apartment has generous sized bedrooms each in a separate wing off the living room. There is a gracious and formal entrance hall and a good-sized galley kitchen. The apartment has not been on the market for over 20+ years. It is waiting for a fortunate buyer to put their special design stamp on it. One Fifth Avenue is a landmark, coveted, special, 1927, full service building. It is almost impossible to purchase a south facing 2 bedroom apartment - this truly presents a rare opportunity.",40.731907,-73.99619,https://www.zillow.com:443/homedetails/1-5th-Ave-APT-3J-New-York-NY-10003/244882819_zpid/,2000000.00,0,1,238923,1927,10003
8,Lower East Side,NaN,NaN,NaN,NaN,40.7332,-73.991798,https://www.zillow.com:443/homedetails/44-E-12th-St-PHC-New-York-NY-10003/2085402262_zpid/,NaN,NaN,NaN,1300,1985,NaN
9,Lower East Side,"3 Gramercy Park W APT 2, New York, NY 10003",2,3,"For sale: $4,950,000. Rare opportunity to own an elegant three bedroom home facing the only private park in Manhattan. Perched on the second floor of an 1840s Greek Revival red brick townhouse embellished by cast iron lacework, the grand living room has three large windows with direct views of Gramercy Park. The expansive living space has distinct areas for living and dining, an ideal room to relax and take in perfectly centered east to west views of the Park with its ever-changing seasonality, colors, and light. The kitchen, open to the living room, features Subzero fridge, Bosch dishwasher, stainless steel counters, and unique tile floors. The spacious layout offers excellent flow; a hallway with an ornate arched ceiling leads to the separate bedroom wing. Both bedrooms have easy access to the bath, one with the bath en suite. One of the bedrooms would make for a great home office. The master bedroom is a truly private and impressionable space with two oversized windows offering views of the Calvary- St. George's Church, ivy, as well as garden greenery. Details such as the unique octagonal shape of the room, mosaic hardwood floors, moldings, and original shutters are sure to impress even the most discerning buyer. The windowed marble master bath with heated floors connects to the windowed dressing area. There is ample closet space and an oversized vanity. This one of a kind home is distinguished by 11 foot coffered ceilings and an original wood burning fireplace. Light from all four exposures illuminates this home. Abundant closets and central AC add to the comfort of this exceptional property. This stately home is townhouse living at its finest. 
A highly coveted address, 3 Gramercy Park West is a self-managed and meticulously maintained coop with a super to address your every need. Call this apartment home and you will have a highly coveted key to Gramercy Park. Rich in history, Gramercy Park offers distinct charm as well as an escape to nature in the middle of one of Manhattan's most vibrant neighborhoods. A fabulous Gramercy location, this home is in close proximity to Irving Place, the Union Square green market, and Madison Square Park, well as a variety of transportation options and some of the city's best shopping and restaurants.",40.738399,-73.986801,https://www.zillow.com:443/homedetails/3-Gramercy-Park-W-APT-2-New-York-NY-10003/2085022294_zpid/,4950000.00,0,1,--,1920,10003
10,Lower East Side,"333 E 14th St APT 3A, New York, NY 10003",1,0,"For sale: $472,500. Rare opportunity to create your dream space in this generous alcove studio (L shaped) offering tranquility from the city grind, facing the north side, opposite busy 14th Street, and presents an outstanding value for the savvy Manhattanite. Beautiful Stuyvesant Square Park (and dog run) is less than a 2 minute walk and an easy walk to Union Square Greenmarket, the L train to Williamsburg (1/2 block away) and get to anywhere in NYC from nearby Union Square.

Upon entering the front foyer, a large coat closet for your jackets, bags & accessories. Spacious living area has ample space for dining, entertaining and relaxing. The sleeping alcove is large enough for your queen sized bed and side tables. The flexibility to add a divider and make it a Jr. 1 bedroom is yours. The adjoining dressing room has been thoughtfully designed with Elfa closets to maximize storage. Great opportunity to update the galley kitchen and bathroom to your modern needs.

Located between the East Village and Gramercy, 333 East 14th Street is a post-war coop that offers a part-time doorman (7 days), live-in super, and newly renovated laundry room and bike storage. The L train and buses are half block and the 4, 5, 6, N, R and Q trains are 3 blocks away at Union Square. Great restaurants and shopping nearby: Trader Joes, Whole Foods and Target are all within walking distance. Co-purchasing, gifting and pets welcome (case by case).",40.73192,-73.983184,https://www.zillow.com:443/homedetails/333-E-14th-St-APT-3A-New-York-NY-10003/244800757_zpid/,472500.00,0,1,197904,1965,10003
11,Lower East Side,"63 E 9th St APT 3W, New York, NY 10003",1,1,"For sale: $710,000. Perfect, pin-drop quiet, one bedroom starter apartment or pied-a-terre, with a spacious entryway, a comfortable living room with a wall of windows facing north with views facing an open courtyard, beautiful hardwood parquet floors, an efficient galley kitchen, newly renovated bathroom, two spacious custom outfitted closets, plus a linen closet and through the wall air conditioning. 

Located in the highly desirable Randall House condop, the building has a full time doorman, live-in super, laundry on each floor, newly renovated hallways and lobby, bike room, private storage and a garage in the building. 

Randall House has condo rules, no board interview, no flip tax, is pet friendly, accepts parents buying for, with or acting as a guarantor for their children. Subletting is allowed for two out of every five years with no pre-residency requirement. 

Located in the heart of Greenwich Village, Randall House has access to excellent subway and bus options, Washington Square Park, Union Square farmers market, the Public Theater, movie houses and numerous shopping and dining choices.",40.731582,-73.99207,https://www.zillow.com:443/homedetails/63-E-9th-St-APT-3W-New-York-NY-10003/244700077_zpid/,710000.00,0,1,209785,1955,10003
12,Lower East Side,"142 E 16th St APT 11G, New York, NY 10003",1,1,"For sale: $700,000. Come and see 11G at 142 E 16th Street, a beautifully renovated apartment with a very versatile layout offering fantastic amount of living space in the famed Gramercy Spire located in the incredible Gramercy Park location close to Union Square. This Junior one bedroom apartment with large South and West facing windows is being used as a one bedroom apartment thanks to the super sized living room with double exposures and the addition of sliding doors to separate the living room and sleeping area. A large entry foyer leads to a wall of closets, a wonderful gut renovated bathroom with a walk-in shower and an additional walk-in closet which can accommodate all your storage needs. The immense living room boasts plenty of space for a dining area and a well-sized living room set. Behind the sliding glass doors you will find a very generously sized bedroom area which leads out to the built-out sunroom ( formerly a terrace) with beautiful open views of the city and plenty of trees.The efficient kitchen with a large South facing window comes equipped with new stainless steel appliances including a full-sized dishwasher, stove and refrigerator and a custom glass tile back splash. The Gramercy Spire is a full-service pet friendly building with a 24 hour doorman, live-in super, an updated laundry and bike storage room, a large comfortable lobby and an outdoor sitting area off the lobby. Pied-a-terres, co-purchasing and financing up to 75% are permitted. Prime location one block from Stuyvesant Square, a few blocks from Gramercy Park, Union Square, Whole Foods, Farmer's Market and numerous specialty shops. All major subways are nearby as well as an abundance of great downtown restaurants, cafes and bars.",40.734966,-73.987409,https://www.zillow.com:443/homedetails/142-E-16th-St-APT-11G-New-York-NY-10003/89455952_zpid/,700000.00,0,1,650,1963,10003
13,Lower East Side,"305 2nd Ave APT 336, New York, NY 10003",2,2,"For sale: $1,995,000. Flooded with south sun, this striking designer home captures unobstructed sweeping park views! Newly renovated to perfection, this home offers soaring ceilings up to 14 feet, oversized windows and a picture perfect view over Stuyvesant Square Park. Spread out over three floors, this spacious two bedroom, two bath home measures approximately 1,145 square feet.



The living and dining area are designed for entertaining in mind, offering a built-in banquet and customized built-in wall units and shelving complete with a bar! The oversized open kitchen boasts white Caesarstone counters and breakfast bar, a 56 bottle dual zone wine fridge, Viking gas range, Sub-zero refrigerator, Poggenpohl cabinetry, Dacor microwave, and a Bosch dishwasher. Both baths have been fully renovated with designer fixtures. The master bedroom features a large walk-in California Closet and custom window frames. The spacious second bedroom offers park views, high ceilings and a convenient California Closet custom wall unit. 



Additional amenities include gleaming hardwood floors, an in-unit Bosch washer dryer, an abundance of storage and new heating and cooling units throughout.



Known for its unique, one-of-a-kind residences, Rutherford Place was built in 1902 and is listed on the National Register of Historic Places. This well run, established condominium offers a 24-hour concierge, laundry rooms on every floor, bicycle room, resident manager, on-site valet and housekeeping, and a furnished planted roof terrace with a new fitness room that overlooks Historic Stuyvesant Park. Superb location between East 17th Street and East 18th Street, surrounded by a historic district. Close to Union Square, the popular Farmer's Market and many wonderful restaurants. Pets are welcome.",40.734743,-73.983669,https://www.zillow.com:443/homedetails/305-2nd-Ave-APT-336-New-York-NY-10003/63866648_zpid/,1995000.00,0,1,1145,1903,10003
