,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,1250000.00,"2 S End Ave APT 9G, New York, NY 10280",-74.017243,40.707923,10280,0,1,1281,1990,3,2,Lower Manhattan,https://www.zillow.com:443/homedetails/2-S-End-Ave-APT-9G-New-York-NY-10280/31493031_zpid/,"For sale: $1,250,000. Only $975 psf!!! Beautifully renovated, spacious top floor, 3-bedroom condo with 2 full bathrooms now available at the Cove Club in South Battery Park. This nearly 1,300 sq ft home has a very welcoming feel with a gorgeous brand new, open chef's kitchen outfitted with stainless steel appliances, Caesar stone countertop and ample storage. An inviting living room with a designated dining area is a wonderful place to entertain and dine. 

While facing easterly, each bedroom enjoys abundant natural lighting throughout the day. An oversized master suite has great closets including a walk-in and a beautifully renovated master bathroom with Thassos white marble shower, Carrara marble countertop and marble flooring. The second bedroom is extremely spacious with a walk-in closet and high end marble bathroom. The third bedroom is perfectly proportioned with a large closet. This home has incredible closet space, brand new wood floors and all new HVAC units. 
 
This turnkey home offers a great value for those who want space, a quiet community and lots of amenities. **Please note, owner is open to selling 9G in conjunction with 9H (approx. 900 sq ft), an adjacent 2-bedroom unit, so a buyer can create a sprawling 4-bedroom home. Plans are available.
 
The Cove Club in Battery Park City offers all the conveniences of a luxury condominium including a 24-hour doorman, live in super, newly renovated fitness center, sun deck, roof deck with Statue of Liberty Views, media and billiards room and a garage accessible through the lobby. Located in tranquil south Battery Park, proximate to numerous parks, the promenades, and many amenities such as Brookfield Place, Eataly, the Oculus and Wall Street. Easy access to multiple subway lines (1, R/W and 4/5) and the Path train as well as the West Side Highway and FDR Drive."
1,NaN,NaN,-74.0178,40.70947,NaN,NaN,NaN,700,1986,NaN,NaN,Lower Manhattan,https://www.zillow.com:443/homedetails/377-Rector-Pl-New-York-NY-10280/2146985783_zpid/,NaN
2,639000.00,"2 S End Ave APT 6A, New York, NY 10280",-74.017243,40.707923,10280,0,1,725,1990,1,1,Lower Manhattan,https://www.zillow.com:443/homedetails/2-S-End-Ave-APT-6A-New-York-NY-10280/31492959_zpid/,"For sale: $639,000. Cove Club large 1 bedroom plus spacious balcony with NYC Harbor and Statue of Liberty views. This apartment features a spacious living room and defined dining area plus generous closets. The building offers to residents an expansive roof deck, gym, lounge, and 24-hour doorman. Enjoy Battery Park City waterfront, Brookfield Place offers shopping, dining and more. All subways, PATH plus ferries a short walk away."
3,5870000.00,"377 Rector Pl PENTHOUSE A, New York, NY 10280",-74.01789,40.709852,10280,0,1,3212,1986,3,3,Lower Manhattan,https://www.zillow.com:443/homedetails/377-Rector-Pl-PENTHOUSE-A-New-York-NY-10280/143068229_zpid/,"For sale: $5,870,000. 3,200 square foot waterfront duplex with unobstructed harbor and city views from four private terraces.  - Thirty-five-foot living room with triple-exposure water views - north, south, and west.  - Four professionally landscaped terraces, including one south-facing that spans approx. 750 square feet and has a custom built-in Viking grill.  - Eat-in kitchen and formal dining room with adjoining terrace. Viking, Miele and SubZero appliances. Wine room with cold storage for 100 bottles.  - Three bedrooms, all with double exposures; two have private terraces. Master bath has a steam shower, deep soaking tub and terrace.  - Four walk-in closets and three outdoor storage rooms that are cedar-lined and climate-controlled for off-season wardrobe storage.  - Rooms are of grand proportions. Wired for sound throughout, including outdoors. Ceiling height is 9'7"". Twenty-one windows offer a complete panoramic view.  Set directly on the Hudson River Esplanade, Liberty House, 377 Rector Place, is a 28-story, 238-unit condominium that offers front door access to the city's best running and cycling paths and unrivaled views of the harbor and Statue of Liberty. Full-time doorman and concierge, live-in resident manager and new lobby. Residents can enjoy The Terrace Club fitness center and indoor pool for an additional fee.  PHA is offered by itself or together with PHB (listing ID #19015339) to create PHAB (listing ID #19015344).  Shown by appointment only, with 24 hours' notice."
4,599000.00,"280 Rector Pl APT 5G, New York, NY 10280",-74.016858,40.708666,10280,0,1,625,1988,1,1,Lower Manhattan,https://www.zillow.com:443/homedetails/280-Rector-Pl-APT-5G-New-York-NY-10280/31491632_zpid/,"For sale: $599,000. A wonderful place to call home, this spacious one bedroom apartment has tons of great features!



A pass-through kitchen has brand new stainless steel appliances (just installed), and lots of cabinets and countertop space.  The large living room faces west on a higher floor which allows for afternoon light to pour in.  This room can be set up many ways including having a dining area (pictured here) in addition to a living space. 



The king sized bedroom is currently configured with a removable wall that enables a nursery/office space within the room!  There are two large closets in the bedroom and one in the hallway; bring your stuff.  



The Soundings is the best boutique condo building in Battery Park City.  From the friendly doorman, to live in super, gym, roof deck, lounge, children's playroom, dance studio, storage, bike storage, and attached garage - your every need is fulfilled. Perfectly situated in Battery Park City, you are a short walk from, grocery stores (Gristedes, Battery Place Market, Whole Foods), restaurants (Mir-a-mar, El Vez, Parm, PJ Clarkes, Hudson Eats, Inatteso, Blue Smoke, Pick-a-Bagel), parks, the riverfront esplanade, entertainment (Regal Cinemas), and shopping (Bed Bath and Beyond, Barnes and Noble, and the Brookfield Mall). Getting around couldn't be easier - take advantage of the free Downtown connection, M20, M9, and all trains close by! 



Contact Andrew today for your private viewing."
5,950000.00,"21 S End Ave APT 731, New York, NY 10280",-74.018116,40.708313,10280,0,1,931,1988,2,2,Lower Manhattan,https://www.zillow.com:443/homedetails/21-S-End-Ave-APT-731-New-York-NY-10280/31492531_zpid/,"For sale: $950,000. A must-see, sun-filled converted 2 bedroom, 1.5 bathroom apartment with washer and dryer and beautiful city views in prime Battery Park city!

Walk into this well maintained apt with hardwood floors throughout. The windowed kitchen boasts granite countertops, a glass backsplash, extra tall cabinets for added storage and new stainless steel appliances. The spacious master bedroom can accommodate a king-sized bed plus furniture, and has a big walk-in closet and its own en-suite bathroom. Currently configured as a two bedroom apartment, the second bedroom is very bright with its own closet (see floorplans for additional options). A large, bright living room easily accommodates a sectional at one end and a dining area at the other. The renovated second half bath is in the foyer, next to another walk-in closet. New LG washer and dryer are conveniently located in their own separate space.
 
The Regatta Condominium, a pet friendly, full-service building located at 21 South End Avenue, features a full-time concierge, bike room, garden, and rooftop deck with sweeping views of the Statue of Liberty and World Trade Center. The Regatta is located directly on the Esplanade, and just across the street from a Citi Bike station. Battery Park City is a true city destination, with high-end shopping, endless restaurants at Brookfield Place, the Oculus, and more fine dining and bar options sprinkled throughout the neighborhood."
6,795000.00,"380 Rector Pl APT 7J, New York, NY 10280",-74.018059,40.709077,10280,0,1,617,1987,1,1,Lower Manhattan,https://www.zillow.com:443/homedetails/380-Rector-Pl-APT-7J-New-York-NY-10280/31491519_zpid/,"For sale: $795,000. LUXURY BIG ONE BEDROOM at Exceptionally luxurious green living Manhattan Spacious Sunny Big 1 Bedroom apartment, Next to the Statue of Liberty, Band New Freedom Tower and Hudson water views in the heart of the Battery Park City. This beautiful spacious bedroom layout features a brand new open kitchen and bathroom, dining area, generous closet space and a marble bathroom. The Liberty Terrace is High-rise an elegant full service luxury building with laundry on every floor, a full time doorman, concierge, and a newly renovated fitness room. 380 Rector Place is ideally located in beautiful South Battery Park, adjacent to numerous parks, the Hudson River promenade, brand new Freedom Tower and the World Financial Center.

Only 20 minutes by 1, 2, 3 to Times Square, 4, 5 to Grand Central, R to 34th Street. M20 Bus to Lincoln Center and M9 Bus to Bellevue and New York University Hospital and Free Connection Bus"
7,875000.00,"99 Battery Pl APT 18E, New York, NY 10280",-74.016593,40.707624,10280,0,1,715,1988,1,1,Lower Manhattan,https://www.zillow.com:443/homedetails/99-Battery-Pl-APT-18E-New-York-NY-10280/31492690_zpid/,"For sale: $875,000. *BREATHTAKING HUDSON RIVER & SUNSET VIEWS!* Direct south and west exposures provides magnificent natural sun-light and spectacular sunset views over-looking the Hudson River and a picture perfect backdrop of the Statue of Liberty and Jersey City Skyline. Perched on the 18th floor of Liberty View, a luxury full-service doorman condominium, this spacious 1 bedroom apartment features a large furnished *PRIVATE TERRACE* that is perfect for entertaining, an expansive living/dining room that can easily accommodate a proper dining table, and a king-sized bedroom with terrific closet space. The unit also offers plenty of storage and custom shelving built-ins throughout. Liberty View is a full-service luxury doorman building with laundry on every floor and access to a health club with a pool and roof deck. 



Conveniently located within minutes to the R/W trains at Rector Street, 2/3/4/5 trains at Wall Street/Bowling Green, J/Z Trains at Broad Street, and PATH Trains to NJ. Close walk to the Hudson River Esplanade, several parks, a dog walk, garages, Citi bikes, Battery Place Market, Brookfield Place--a luxury shopping and dining center that includes Le District and Saks Fifth Avenue, Whole Foods, and the new Westfield World Trade Center."
8,1400000.00,"21 S End Ave APT 621, New York, NY 10280",-74.018116,40.708313,10280,0,1,1226,1988,2,3,Lower Manhattan,https://www.zillow.com:443/homedetails/21-S-End-Ave-APT-621-New-York-NY-10280/31492507_zpid/,"For sale: $1,400,000. Waterfront condominium located along prime Battery Park City esplanade at South Cove Park with sweeping unobstructed HUDSON RIVER VIEWS and landmark Statue of Liberty and Ellis Island views. This 2 bedroom, 2.5 bath, 1226 SF home with PRIVATE BALCONY perfect to watch the spectacular sunsets over the Hudson River.  An incredible layout with kitchen, dining and living facing west and the flanked bedrooms facing east into the tree filled quiet building courtyard, both with ensuite baths. Other features include washer/dryer closet, Subzero fridge, Miele dishwasher, Miele gas range, Miele oven and microwave. Building amenities include, full time doorman/ concierge, common roof deck, courtyard garden, common storage, bike room and pets allowed. A sought after neighborhood destination with many top attractions, restaurants and retail stores: Calatrava's Oculus World Trade Center, Eataly at Westfield Mall, Le District at Brookfield Place, Equinox Gym, Regal Cinemas 11 at Battery Park, Shake Shack, Pier A Harbor House to name just a few. Transportation just a few blocks across bridge/ highway, includes subway lines: 1, 2, 3, R, W, 4, 5. Also NY Waterways: Water Taxi and Ferry service at Battery Park Slip 6, just a few blocks."
9,11500000.00,"377 Rector Pl # PHAB, New York, NY 10280",-74.017898,40.709899,10280,0,1,6392,1985,7,7,Lower Manhattan,https://www.zillow.com:443/homedetails/377-Rector-Pl-PHAB-New-York-NY-10280/2087512798_zpid/,"For sale: $11,500,000. Spectacular Waterfront Duplex Penthouse



Spectacular 6400 square foot waterfront duplex with sweeping, panoramic views from seven terraces.



PHAB is currently configured as two penthouse duplexes that are joined at a private elevator landing and at multiple terraces. Each duplex spans approximately 3200 square feet and can be used as separate homes or reconfigured, pending board and DOB approval, to create a sprawling 6400 square foot apartment with a living / dining wing on the river and a bedroom wing to the east.



- Complete ownership of the building's 27th and 28th floors.



- Seven private terraces. The largest, at 1500 sq feet and facing south, has a built-in custom Viking grill, can seat dinner for forty and has direct, unobstructed views of New York Harbor, the Statue of Liberty and Ellis Island.



- Six outdoor storage rooms, three of which are cedar-lined and climate-controlled for off-season wardrobe storage.



- Rooms are of grand proportions. Ceiling height is 9'7"". Forty-two windows offer 360-degree views of New York Harbor and Lower Manhattan.



Set directly on the Hudson River Esplanade, Liberty House, 377 Rector Place, is a 28-story, 238-unit condominium that offers front door access to the city's best running and cycling paths and unrivaled views of the harbor and Statue of Liberty. Full-time doorman and concierge, live-in resident manager and new lobby. Residents can enjoy The Terrace Club fitness center and indoor pool for an additional fee.



Shown by appointment only, with 24 hours' notice."
