,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,1200000.00,"520 W 23rd St APT 7C, New York, NY 10011",-74.005185,40.747812,10011,0,1,891,2003,2,2,Chelsea and Clinton,https://www.zillow.com:443/homedetails/520-W-23rd-St-APT-7C-New-York-NY-10011/72514867_zpid/,"For sale: $1,200,000. Showings Begin May 1st - The perfect High Line 2 bedroom! This well-designed, split 2 bedroom, 2 bathroom home provides a bright living space in the heart of West Chelsea's gallery district. The living room windows offer views of the High Line and benefit from an open North exposure across 23rd Street. The kitchen features solid wood cabinetry, granite countertops, a breakfast bar, and stainless steel appliances including dishwasher and full sized refrigerator. With great storage and an open pass-through to the living room the kitchen lends itself well to entertaining. The apartment has hardwood floors, a stacked washer and dryer, generous closet space, and ensuite master bathroom. The Marais is a full service luxury elevator building that includes full time doorman, available bike storage, laundry room, garden, and a large rooftop deck with beautiful views of Manhattan. Conveniently located across the street from an entrance to the High Line, two blocks to Chelsea Piers, two blocks to the C, E trains, and steps to the Hudson River Park, Meat Packing District, Chelsea Market, and some of the city's best dining, shopping, and art galleries."
1,19975000.00,"150 W 12th St APT M5, New York, NY 10011",-73.999298,40.736598,10011,0,1,5715,2013,5,10,Chelsea and Clinton,https://www.zillow.com:443/homedetails/150-W-12th-St-APT-M5-New-York-NY-10011/2099003197_zpid/,"For sale: $19,975,000. MA5 thinks its a 40' wide Townhouse, but it is actually a condo that includes the highest level white glove services along with extraordinary amenities

This rare & Spacious Greenwich Lane Maisonette features more than 5,700 SF, 5 Bedrooms, 5.5 bathrooms a 592 SF private garden, 103 SF loggia, a private entrance, Lobby entrance and a service entrance, and, it also comes with its own SUV parking space that is accessed directly from the first floor. This stunning home is a like a 40' wide Townhouse, but with only 3 floors to navigate vs 5-6 in a traditional townhouse, the best of both worlds are offered here. 

Thoughtfully conceived by world-renowned designer Thomas O'Brien of Aero Studios in collaboration with architect FXFOWLE, this impeccably crafted residence features beamed ceilings, classical millwork paneling, and rift and quarter sawn oak hardwood floors. A beautiful entry door leads into the spacious double-height entry hall with skylight above. Off of the entry foyer is a set of French doors that leads to the south-facing living room & dining room that is both impressive in scale, wonderfully cozy and marvelous for grand scale entertaining. Also, it has wonderful natural light. From the living room you enter the stair hall which will take you to the media room/family room as well as the kitchen. On this floor there is also A gorgeous powder room with custom marble mosaic and soapstone floors

The amazing eat-in kitchen features custom-paneled wood cabinetry with soapstone countertops, mirrored backsplash, Waterworks fittings, top-of-the-line Sub-Zero and Wolf appliances, a dumb waiter and wine storage. From both the kitchen and the family room you have direct access the backyard that is private, stunning, bright and has a retractable awning for shade, heat lamps for cool nights and wonderfully conceived sitting and dining areas. The family room/media room is a the perfect complement to the main floor of the house that is designed to delight

The impressive staircase leads upstairs to the homes private spaces and bedroom chambers. At the top of the stairs is large den-study-homework room with built-in desks & wonderful lighting. As you go to the right, there are 4 spacious north-facing bedrooms, all with en-suite baths and custom closets. There is also a full laundry room. On the other side of the upstairs floor is the amazing master suite which is situated at the corner of the residence with enormous, south-facing windows, walk-in-closets, and a lavish master bath with custom millwork vanity, under-mounted soaking tub, marble mosaic floors, and a separate glass-enclosed shower. The covered loggia off of the master bedroom allows one to enjoy the outside weather it is raining or shining outside!

Also included is a separate storage room and an SUV parking spot onsite. 

The collection of distinguished amenities and has an unprecedented level of lifestyle and service. The amenities include a lush, formally composed and landscaped central garden, a dedicated fitness floor with state-of-the-art training, yoga, golf, and wellness rooms, as well as a 25-meter pool, suite of social and entertaining rooms overlooking the central garden, including a private lounge, a dramatic dining room, and a fully outfitted guest chefs kitchen, separate catering kitchen for larger events, a private screening room seating 22 with a private wet bar, playroom with views of the garden, 24-hour attended lobby, with services including storage for grocery, wine, and flower deliveries, on-site resident managers, complete porter staff, handyman and more."
2,3195000.00,"475 W 22nd St APT 1, New York, NY 10011",-74.003898,40.746898,10011,0,1,--,1900,3,2,Chelsea and Clinton,https://www.zillow.com:443/homedetails/475-W-22nd-St-APT-1-New-York-NY-10011/2132938897_zpid/,"For sale: $3,195,000. Serenity in the city. This newly-renovated, garden home is on the finest block in Chelsea. Huge walls of casement window doors open up from the living room and master bedroom onto the Future Green-designed garden terraces of this intelligently planned, double-wide home. Finished with the highest quality materials and attention to detail and combined with the garden's central placement between many old growth trees and neighboring gardens, it's as close as one could get to fine contemporary living in a private park. You are just a block away from the HighLine and the vibrant neighborhood shops and restaurants.This floor-through extends the entire length of two contiguous 19th century Anglo-Italianate townhouses which afford an impressive 38.6  51.5 foot footprint. The bright, airy and spacious living/dining space and bedrooms are on a generous scale, rarely seen in this classic neighborhood. 7"" wide Siberian oak floors, Hopes casement doors and windows, recessed wood ceilings, generous closet space, Lutron dimmers, Somfy motorized privacy shades in living room and master suite (entire black out), advanced security system, floating wall finishes, detailed soffitry and reclaimed thick solid oak wood ceilings with reclaimed 26 oak wood joists, Napoleon gas burning fireplaces in the living room and master suite and Electrolux front load extra large Washer and Dryer are a few of the remarkable finishing elements. The semi-open chef/ entertaining kitchen boasts United cabinetry, thick Jemist polished countertops, 6 burner Bertazzo gas stove, Thermador 24"" refrigerator and 18"" freezer with water and ice dispenser, 24"" double zone Liebher wine fridge, and Fisher and Paykel double dishwasher drawers.The expansive and bright master suite features direct garden access through a wall of floor to ceiling casement doors, copious amounts of organized closet space, complete black out shades and a gas fireplace. Kalista bathroom hardware for master bathroom and concrete walls, stone flooring from Waterworks and an extra large double steam shower.The second bedroom offers expansive amounts of space, light and closet space, sufficient for a second master bedroom. It also has it's own mini garden views.The exquisite tiered gardens are designed and implemented by Future Green of Brooklyn. Serenity and privacy are afforded on each of the three large areas, the blue stone patio terrace just off of living room and master suite has discreet automatic awnings. There is an outdoor dining area complete with Weber Summit 4 burner gas grill, blue stone pavers, small grass area and Ipe wood fencing. It is extremely well-priced and the monthlies are an incredible $1530. The city is also currently renovating the large neighborhood playground right across the street, which will add additional value to this prime location. All information furnished regarding the above property is from sources deemed reliable, but no warranty or representation is made as to the accuracy thereof and same is submitted subject to error, omissions, changes, prior sale, lease or financing or withdrawal without notice."
3,769000.00,"42 W 13th St APT 4-A, New York, NY 10011",-73.996399,40.736026,10011,0,1,--,1886,1,1,Chelsea and Clinton,https://www.zillow.com:443/homedetails/42-W-13th-St-APT-4-A-New-York-NY-10011/123949836_zpid/,"For sale: $769,000. Cheerful and spacious 1 bedroom home on a prime Greenwich Village block in a renovated boutique elevator coop. Relax as you sip your morning coffee or tea from your very own private balcony floating in the trees. Then, a long gallery entryway, extra high ceilings, exposed brick, and double height windows are just a few additional features that make this a truly special dwelling. Top it off with stainless steel appliances, hardwood floors throughout, two through-wall air conditioning units, a marble bathroom, custom built-in bookshelves, and 2 large closets, and there is not much else you need. Positioned right in the action yet away from it all, this wonderful portion of 13th Street features lively cultural and entertainment attractions such as the Quad Cinema, Walker Hotel, 13th St Repertory Theatre, and the New School. In addition, a plethora of necessity stores and staple retailers are just moments away such as Whole Foods, DSW, Trader Joe's, Best Buy, and Nordstrom Rack. Access all of New York City with ease via the abundant train options nearby; A,C,E,F,M,1,2,3,4,5,6,L,N,Q,R, W and Path. 42 West 13th Street, The Bakery Building, is a boutique pet-friendly elevator coop that offers residents a live-in-superintendent, bike storage for rent, and common laundry facilities on site. Please note, photos include a virtual rendering of one possible kitchen renovation. Renderings are intended solely to display one optional layout."
4,NaN,NaN,-74,40.736499,NaN,NaN,NaN,2818,2013,NaN,NaN,Chelsea and Clinton,https://www.zillow.com:443/homedetails/160-W-12th-St-APT-44-New-York-NY-10011/2094929969_zpid/,NaN
5,625000.00,"320 W 17th St APT 4FW, New York, NY 10011",-74.002181,40.741836,10011,0,1,11680,1920,1,1,Chelsea and Clinton,https://www.zillow.com:443/homedetails/320-W-17th-St-APT-4FW-New-York-NY-10011/244895901_zpid/,"For sale: $625,000. Motivated SPONSOR SALE -No Board Approval and No Board Package 

THE APARTMENT
Sundrenched one bedroom with North/West exposures
Living/dining room with wall of windows and recently refinished strip oak flooring throughout
Bedroom with wonderful Empire State views, accommodates a queen-sized bed and large closet with storage nook above
High ceilings and ample storage throughout
Open loft-like kitchen with full sized appliances
Three piece tiled bathroom
Washer/dryer permitted in the apartment

THE BUILDING
Charming, five-story Coop
19 studio, one, and two bedroom residences
Prewar lobby and public areas
Intercom system throughout

THE NEIGHBORHOOD
Located near The Highline, Chelsea Piers, The Whitney and other established downtown art galleries, Hudson River Park, Chelsea Market and the Meatpacking District, and downtown wonderful dining, entertaining and art establishments
Located near Public Transportation including A/C/E and 1/2/3 subways at 7th and 8th Ave. stations and minutes from F/M & 6th Ave station.

POLICIES
Guarantors welcome
Small cats + dogs OK on a case-by-case basis
Washer/dryer units permitted in apartments
Co-purchasing, gifting and flexible subleasing are all permitted"
6,8950000.00,"211 W 14th St, New York, NY 10011",-74.000099,40.738998,10011,0,1,2653,2018,3,4,Chelsea and Clinton,https://www.zillow.com:443/homedetails/211-W-14th-St-New-York-NY-10011/2096453566_zpid/,"For sale: $8,950,000. Newly finished and offering immediate occupancy, the Penthouse at d'Orsay is a stunning, 2,653 SF full-floor three bedroom, three-and-a-half bath residence with four exposures and two terraces. Envisioned by AD100 designer Jacques Garcia, the gracious interior features an oversized great room opening onto a 209 SF south-facing terrace with views of the West Village and One World Trade Center. The thoughtfully-designed floorplan offers a generously proportioned open living, dining, and kitchen area and a separate bedroom wing with ceiling heights of 11'2"". A 1,040 SF private roof terrace with an outdoor kitchen and a fireplace provides ample space for entertaining. 
 
Upon entering directly into the gracious foyer from the key-locked elevator, one is drawn to the floor-to-ceiling casement windows, which perfectly frame bright, southern views. The eat-in oversized chef's kitchen is open to the spacious living and dining area and features custom natural oak cabinets framed with burnished metal, Calacatta marble counters, and a full complement of luxury appliances including a fully vented hood for serious cooks, a wet bar, a wine refrigerator and an ice maker.
 
The master bedroom suite offers dual walk-in closets and a stunning ensuite master bath clad in honed Calacatta Caldia marble with Nuvolato floor inset detail and a custom-designed double vanity, a Kohler Underscore cast iron soaking tub, and a separate shower. The secondary baths are elegantly adorned in honed Calacatta Caldia marble and feature bespoke cabinetry and a Kohler Underscore cast iron tub. All three bedrooms have cascading views North over historic Chelsea. This residence features oak flooring throughout, central heating and cooling, and a laundry room including a Bosch washer dryer with a sink. 
 
d'Orsay is a boutique condominium offering a suite of services and amenities including a full-time doorman and concierge, a rooftop garden with outdoor kitchen and panoramic city skyline views, an opulently-designed drawing room, an expansive skylit fitness center complete with spa facilities including a plunge pool, a steam room, and a treatment room. Additionally, d'Orsay offers a supplemental laundry room, bicycle storage, and generous private storage available for purchase.
 
The complete terms are in an offering plan available from the Sponsor: 211 West 14th Property Owner, LLC. File number CD15-0049"
7,1075000.00,"221 W 20th St APT 3W, New York, NY 10011",-73.997932,40.742827,10011,0,1,750,1901,2,1,Chelsea and Clinton,https://www.zillow.com:443/homedetails/221-W-20th-St-APT-3W-New-York-NY-10011/72515472_zpid/,"For sale: $1,075,000. Spacious 2-bedroom or oversized 1-bedroom apartment, located on a prime block in Chelsea. Apartment has been meticulously cared for. Clean and bright, with high ceilings, hardwood floors, contemporary custom stainless-steel kitchen with Gaggenau stove top and Bosch dishwasher, and an open floor plan. Third floor walk-up. Unit in a well-maintained 10-unit pre-war co-op with very strong financials. Unit-deeded storage space, bike room, and laundry in basement. Heat is included in the low maintenance. Enjoy living in the middle of Chelsea with access to major subways (1, 2, 3, A, C, E, & L), fantastic restaurants, grocers, nightlife, entertainment, galleries, and more. 

Pets are welcome. Subletting and guarantors upon Board approval. 

Contact listing agent HomeDax Real Estate to schedule a private appointment."
8,6500000.00,"151 W 17th St # PHD, New York, NY 10011",-73.997398,40.740299,10011,0,1,3541,2001,3,3,Chelsea and Clinton,https://www.zillow.com:443/homedetails/151-W-17th-St-PHD-New-York-NY-10011/2090045917_zpid/,"For sale: $6,500,000. Conveniently perched atop Chelsea overlooking the iconic Barney's Building in the full service Campiello Collection Condominium, with close to 80 feet of south-facing, sun-bathed frontage, this impressively proportioned 3-bedroom penthouse is offered for sale for the first time since the building was completed in 2002. 



The elevator doors open into a private entry gallery with security doors. Turn the corner and immediately you are presented with the expansive living room with a fireplace, that spans over 57 feet with floor to ceiling windows affording charming open views and exceptional light all day. An adjoining dining room/area expands this living space to make for extraordinary entertaining possibilities. The extra-large Poggenpohl kitchen features and abundance of counter space, double ovens, a Bosch 5-burner stove and dishwasher, Sub-Zero fridge and separate under-island wine-cooler. A dramatic stairway leads upstairs to the breathtaking terrace, that takes the amazing entertaining possibilities to an entirely new level.



The bedrooms are located at the opposite end of the apartment with super-quiet, yet bright exposures through equally large windows. The large master bedroom suite, featuring a superb walk-in closet, custom built storage, and an en-suite Calacatta marble bathroom featuring double vanities, a large walk-in shower and separate soaking tub. There are two additional bedrooms (although one has been converted into a spectacular walk-in closet) and bathrooms, one en suite. The apartment also features a Bosch washer/dryer. 



Centrally located across the tree-lined street from the Rubin Museum and Barney's, 151 West 17th comprises two structures spanning from 17th to 18th Streets, offering a full-doorman located in the elegant lobby that is exposed to a tranquil landscaped viewing garden. An alternative entrance/exit is located on 18th Street. Amenities include a well equipped gym with natural daylight and two common outdoor areas. This Central Chelsea location offers easy access to a multitude of outstanding restaurants, all transportation options and close proximity to everything from the New Whitney Museum, the Meatpacking District, the Chelsea Arts District and Greenwich Village to Union Square and the Theatre District."
9,NaN,NaN,-73.994543,40.735649,NaN,NaN,NaN,740,1962,NaN,NaN,Chelsea and Clinton,https://www.zillow.com:443/homedetails/13-W-13th-St-APT-2AS-New-York-NY-10011/79494943_zpid/,NaN
