,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,1190000.00,"319 E 50th St # PHJ12J, New York, NY 10022",-73.967498,40.754699,10022,0,1,1268,1931,2,2,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/319-E-50th-St-PHJ12J-New-York-NY-10022/2085284707_zpid/,"For sale: $1,190,000. Here's your chance to create the apartment of your dreams in the exclusive Beekman Hill neighborhood. This is a truly rare opportunity to combine a classic prewar one-bedroom penthouse and its large wraparound terrace suitable for entertaining (#PHJ) with the studio apartment below (#12J) to create a duplex penthouse in the sky with open views and great light, This duplex combination offers the potential for 2 bedrooms and 2 bathrooms in an impeccably maintained building with charming prewar details. Bring your architect to determine the best approach for your needs. Similar combinations have been completed in this building; all alteration plans are subject to board review and approval. Both apartments have been recently updated and are in excellent individual condition, allowing you to focus your renovation dollars on the combination and layout. Some of the potential upper level's highlights, aside from the show-stopping wraparound terrace, include a fully renovated kitchen with two windows offering north and south exposures, a renovated windowed bath and an oversized master bedroom with large closets. There are high beamed ceilings and pristine hardwood floors throughout. The potential lower level also has a recently redone kitchen, four windows with beautiful open northern City views, entry foyer, beautiful hardwood floors and two deep closets. This Beekman Hill cooperative is a meticulously maintained, full-service prewar gem with a full-time doorman/elevator attendant and an elegant English Tudor Style lobby. Other building features include a live-in super, private storage (availability subject to wait list), a bike room and a recently updated laundry room. Centrally located on a charming tree-lined street, this neighborhood is a pocket of civility in the middle of Manhattan's hustle and bustle while still being centrally located mere moments away from shopping, restaurants and public transportation. This sophisticated penthouse duplex could be the home (or pied-a-terre!) of your dreams. Pets are welcome; up to 80% financing is permitted. Don't miss out on this truly extraordinary opportunity. Also available for sale individually."
1,1195000.00,"424 E 52nd St APT 4A, New York, NY 10022",-73.964129,40.754413,10022,0,1,88181,1930,2,2,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/424-E-52nd-St-APT-4A-New-York-NY-10022/244703179_zpid/,"For sale: $1,195,000. This bright and spacious 2-bedroom, 2-bathroom home with charming treetop views is now available in the sought-after pre-war Emory Roth designed co-op - Southgate.



As you arrive via the elegant arched foyer you will be drawn to the oversized living room and separate dining alcove allowing for seamless entertaining or peaceful relaxation by the wood burning fire place. The large renovated windowed kitchen is fit for a chef with high-end appliances including Bosch and Bertazzoni, granite countertops and abundant custom wood cabinetry.



The master bathroom easily fits a king size bed plus additional furniture and has an en-suite windowed bathroom. The second bedroom is also generously proportioned and has its own windowed en-suite bathroom.



Additional details of this elegant home include hardwood floors, ample closets and a private storage unit in the building. 



Located on a quiet cul-de-sac, 424 East 52nd Street is part of the Southgate complex, which was developed in 1927 by Bing and Bing who commissioned the famed Emory Roth to design the five buildings. The white-glove buildings feature full-time doormen and staff, on-site building management, garden, storage, bike room and central laundry. The building allows pied-a-terre's and is pet friendly. Electricity is included in maintenance."
2,715000.00,"110 E 57th St APT 5H, New York, NY 10022",-73.970199,40.7611,10022,0,1,800,1957,1,1,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/110-E-57th-St-APT-5H-New-York-NY-10022/2085345785_zpid/,"For sale: $715,000. Chic and oversized, beautifully renovated and pin drop quiet one bedroom, one bath apartment in perfectly located, low maintenance, white glove coop. Spacious and well appointed, with a gracious foyer, renovated kitchen and bath, beautiful built-ins, generous closet space, and charming details throughout. The Dorchester, 110 East 57th Street, is located in one of the most exciting areas of Manhattan, at the nexus of Billionaire's Row, and the conveniences of Midtown East and the Upper East Side. The cooperative has excellent financials, offers a doorman, concierge, housekeeping service, laundry room, storage, and is pied a terre and pet friendly. There is a new state of the art gym and a garage with access through the building. 2% flip tax paid by purchaser. Max 70% financing."
3,1995000.00,"300 E 55th St APT 7E, New York, NY 10022",-73.966067,40.757657,10022,0,1,1370,2003,2,2,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/300-E-55th-St-APT-7E-New-York-NY-10022/65321597_zpid/,"For sale: $1,995,000. This stylish 1370 square foot two bedroom, two bathroom home in the full service Milan Condominium offers outstanding value in the heart of New York City's desirable Midtown East. A gracious entry foyer leads to the Gourmet Kitchen, which has been renovated and comes complete with a Sub Zero Refrigerator/Freezer, a Sub Zero Wine Refrigerator, a Miele oven and dishwasher, Maple Wood Cabinetry, under cabinet lighting, garbage disposal, waterworks fixtures and granite counter tops. 

Enjoy light, sunshine and city views in your living/dining room from the 9 foot floor to ceiling windows with Western exposure. Both bedrooms are spacious and have remote controlled blinds. The spa-like master bathroom is finished with Waterworks fixtures, a limestone double sink vanity, Venetian glass tiles, a frameless glass shower and deep soaking tub. The second bathroom has a modernized custom vanity and limestone tiles. 

Other highlights include, Brazilian Cherry Wood floors, track lighting, year round climate control, custom California closets throughout the apartment, including a WIC in the master bedroom and a LG Washer/Dryer. Additionally a private deeded storage cage transfers with this purchase. 

The Milan Condominium, built in 2003 is one of the premier buildings in Midtown East. A White glove full service condominium featuring a 24-hour doorman and concierge, an exquisite lobby with a double height ceiling and a beautiful serene bamboo garden. Amenities include a health club, residents lounge, bike room, private storage and an on-site parking garage with Valet Service. Centrally located from Whole Foods, major transportation including subways and cross town buses, the finest shops, and restaurants, and is a short stroll over to Central Park. Pet Friendly as well!"
4,495000.00,"303 E 57th St # 26-C, New York, NY 10022",-73.964599,40.759498,10022,0,1,825,1968,1,1,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/303-E-57th-St-26-C-New-York-NY-10022/2143889347_zpid/,"For sale: $495,000. FABULOUS!
Enjoy the excitement of owning an approximately 825 square foot apartment, exquisitely designed 1 Bedroom apartment with 10' ceilings, panoramic views and absolute Move-in perfection.The apartment contains large soundproof picture windows from which endless sunshine streams in and through which one sees the East River, the Chrysler Building , the Freedom Tower and the United Nations. It contains a WIC plus 3 others, dramatic black plank-wood floors, wonderful walls to display your art work and Central AC. There is a private Bedroom and a lovely recently designed bathroom and Kitchen with a Bar area. This apartment is a joy to behold. It is located in a luxury building on Billionaires Row with 24 hour concierges; doormen and elevator operators. One also can enjoy a State-of -the-Art Spa with its own indoor/outdoor salt water pool, classes and roof deck. Dogs and pied a terres are allowed."
5,13900000.00,"515 Park Ave # 12-FLOOR, New York, NY 10022",-73.9692,40.763198,10022,0,1,5000,1998,5,7,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/515-Park-Ave-12-FLOOR-New-York-NY-10022/2085496116_zpid/,"For sale: $13,900,000. A palatial full floor condo overlooking Park Avenue, this Tony Ingrao-designed 6-bedroom, 6.5-bathroom home is a portrait of classic Manhattan luxury and style. Features of this 5,000 sq. ft. apartment include stunning herringbone hardwood floors, quadruple exposure, elegant crown molding, high ceilings,a private elevator landing with a massive storage room, central heating and cooling, an in-home laundry room, full staff quarters with a private bathroom , and picturesque views of the surrounding neighborhood.

 Beyond a polished entryway gallery adorned with onyx and marble inlaid floors, the home flows into an expansive 20' by 30' living room that has North and West exposure. The large 14' by 27' formal dining room sits adjacent to the living room and has direct access to a huge eat-in kitchen that features dual exposure, a breakfast nook, a wet bar, pantry, a large central island, granite countertops, and a suite of high-end stainless steel appliances.

 The corner master bedroom sits on the Park Avenue side of the building and possesses two walls of gorgeous built-ins, a pair of gargantuan walk-in closets, and a windowed en-suite bathroom with marble walls and floors, his- and-hers sinks, a walk-in shower, and a separate soaking tub. Each of the remaining bedrooms have marble en-suite bathrooms and plenty of closet space. Additionally, one of the bedrooms boasts French mahogany paneling and is perfect for use as a library or office.

 515 Park Avenue is a luxury condominium located just two blocks from Central Park. The building is surrounded by upscale restaurants, bars, cafes, and shops, particularly those situated along Madison and 5th Avenues. Amenities include 24-hour concierge service, a meeting/entertaining room with an attached catering kitchen, storage, wine cellar and a fully-equipped fitness center. Pets are welcome and a large storage bin transfers with the Apartment.

 Transfer fee of 2% paid by buyer."
6,6900000.00,"25 Beekman Pl # 1, New York, NY 10022",-73.964401,40.753398,10022,0,1,3742,1900,3,5,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/25-Beekman-Pl-1-New-York-NY-10022/2089555366_zpid/,"For sale: $6,900,000. PREVIOUSLY OFFERED FOR $12.975 MILLION. NOW SELLING AT OR ABOVE ONLY $4 MILLION! This luxurious Beekman condominium will be sold at Luxury AUCTION® on May 17th, 2019 in cooperation with Platinum Luxury Auctions! Selling at or above only $4 million! List price is FOR REFERENCE ONLY. Inquire for complete auction details. 



Beginning April 29, Open House Property Previews will be held daily, by appointment, between the hours of 11am - 6pm.



Boasting amazing views of the East River, Roosevelt Island and Long Island City's famous Pepsi-Cola sign, this elegant duplex in Turtle Bay is also the recipient of a Society of American Registered Architect's Award for excellence in interior design. The 3,700 sf home offers the ultimate in elegance and convenience from the marble mosaic walls to the Crestron home automation system, while a 1,500 sf terrace adds coveted outdoor living space to this handsome residence.



The finishes and fixtures in this impressive Property are exquisite, and include 6-inch white oak floors, Bardiglio marble fireplace surrounds, Nanawall doors, mahogany millwork, and Carrara marble baths with radiant heat. A chef's kitchen equipped with top-of-the-line appliances from Miele and Gagganeau is adjacent to a great room with living and dining areas, and two spacious bedrooms with en-suite baths complete the main level.



The lower level offers a media room with wet bar and Bosch washer/dryer closet, and a private Master suite with his and hers baths and a dressing room. This retreat opens onto an incredible private patio, offering a serene water feature, outdoor kitchen/lounge, and a putting green - all overlooking some of the most iconic landmarks in New York City.



*Due to the level of customization, potential purchasers should inquire with their own attorney, architect or zoning expert to determine the number of rooms in the residence that can be considered bedrooms."
7,750000.00,"118 E 60th St APT 9B, New York, NY 10022",-73.968645,40.762812,10022,0,1,850,1963,1,1,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/118-E-60th-St-APT-9B-New-York-NY-10022/90137283_zpid/,"For sale: $750,000. Welcome home to this large corner one bedroom one bathroom apartment with open city views and distinctive chevron-shaped balcony in excellent original condition. 
 
Enter through a welcoming foyer gallery with two coat closets and past a huge walk-in closet into your spacious 31 foot living & dining room with rich hardwood oak floors and a large north-facing window & glass balcony door that flood this room with sunlight. Enjoy sipping your morning coffee or afternoon tea on your balcony overlooking all of Manhattan. The separate windowed kitchen has plenty of room for food prep. The pindrop quiet 18-foot master bedroom has windows across the entire north wall and a large closet across the entire south wall. Finally, the very well-maintained original bathroom retains all of its midcentury appeal. While this apartment is indeed in excellent condition, an updated kitchen and bathroom would make #9B a spectacular home investment. 
 
Bordering Midtown to the south and the UES to the north between Park and Lex, 118 East 60th Street is celebrated for its extraordinary location. The world's finest shopping, dining and entertainment await outside your door, including: Bloomingdale's, Bergdorf Gooman, Barney's, luxury shops of Madison Avenue, Sherry-Lehmann, Whole Foods, Amali, Il Mulino, Lavo, Tao, Philippe, Fig and Olive, Harry Cipriani, Le Bilboquet, La Goulue, Regency Bar & Grill, Saint Ambroeus, Avra, the Alliance Francaise, Equinox and Soul Cycle. There are over 60 public transportation subway and bus options within a few hundred feet including the F/Q/4/5/6/7/N/R/W lines. Your escape to Central Park, the most visited urban park in the United States, is only two blocks away.
 
Built in 1964, Plaza Tower is THE quintessential Lenox Hill postwar cooperative and it remains a stylish midcentury mixture of classic and modern. It was the first of its kind to span 33 floors high to hold 232 units. The building sits back 65 feet from 60th Street to accommodate a dignified horseshoe driveway and a beautifully landscaped frontage area with an elegant fountain centerpiece. The driveway arrives at a large porte-cochre to create a striking and convenient entrance to the tower. The impressive marble lobby is fully attended around the clock with uniformed white glove doormen. The building is topped with a massive roof deck with extraordinary 360 degree city and park views for residents to use the year round. Also included: live-in resident manager, an adjacent parking garage, central laundry, an attended package room, common storage, and bike room. Pets are not allowed. Co-purchasing and subletting are allowed.
 
58% tax deductible monthly maintenance includes heat, hot water, cooking gas, and air conditioning."
8,11000000.00,"60 E 55th St, New York, NY 10022",-73.972787,40.760525,10022,0,1,2950,2006,3,3.5,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/60-E-55th-St-New-York-NY-10022/69524561_zpid/,"For sale: $11,000,000. Perched on the 45th floor of the exquisite Park Avenue Place Condominium is this stunning 3 BR, 3.5 bath penthouse paradise boasting exquisite views and a shower of light from four exposures, sprawling open living space with soaring 21'6"" ceilings, ultra-refined finishes throughout, plus premium building services and amenities galore. All in a prime location in the heart of Manhattan's finest offerings! Completely and meticulously renovated, this one-of-a-kind duplex home is in absolute mint condition, is fully automated (from the lights to the electronics), and is the perfect respite for the discerning buyer seeking an exceptional home or pied-a-terre. A wonderful 1st-floor terrace provides the ultimate backdrop for gazing at teh city sights by day or night. Tending to your every need in the 24-hour attended lobby is a F/T doorman, concierge, porter and resident superintendent. You will also enjoy the fitness center and spa, salon, library, lounge, business center and private restaurant. High paying renter!"
9,875000.00,"425 E 50th St APT 5, New York, NY 10022",-73.965081,40.753671,10022,0,1,6240,1930,1,1,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/425-E-50th-St-APT-5-New-York-NY-10022/244785567_zpid/,"For sale: $875,000. 425 East 50th Street, built in 1930, is located in Beekman Place, one of Manhattan's smallest and most exclusive enclaves. Seven residents occupy this extraordinary, fully residential building.



Apartment #5, with approximately 1,075sf of interior space, is a one-bedroom duplex with a wood-burning fireplace and a terrace large enough to accommodate outdoor dining.



The apartment is divided into three rooms--all of unusually generous proportion for a townhouse property. Facing north into a courtyard, the apartment has the feel of a quiet sanctuary; its layout on two floors gives residents a pleasant sense of spaciousness. The light is excellent.



A generous entry hall gives onto a roughly 17' x 18' living/dining room with fireplace, a wall of north-facing windows, and French doors leading to a 18.7 x 7'private terrace. The view is of mature neighboring trees, and the sounds of the city are diminished to the point one forgets them.



The full-sized, square kitchen allows the option to create seating for casual suppers. Generous counter and cabinet space plus deep closet/pantry storage provides room for the creative chef.



The well-proportioned, well-placed staircase leads to a master bedroom that easily accommodates an oversized couch as well as a king-size bed. Three closets along the east wall have substantial, easily accessible hanging space as well as good drawer and shelf space.



Light filters into the large bathroom/dressing room through a wall of classic glass bricks. Italian marble vanity, counter-top, and floor tile define the look. The adjoining walk-in closet makes this a very efficient dressing room.



425 East 50th Street, Located on a fully residential, tree-lined street with no through traffic.  Pied-a-terre allowed. Pets require board approval. 2.5% flip tax to be paid by purchaser."
10,1595000.00,"16 Sutton Pl APT 13A, New York, NY 10022",-73.960605,40.757965,10022,0,1,125800,1960,4,4,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/16-Sutton-Pl-APT-13A-New-York-NY-10022/244783297_zpid/,"For sale: $1,595,000. Sutton Sprawling Gem!! This spacious and gracious, Classic EIGHT, corner THREE/CONVERTIBLE FOUR Bedroom, FOUR Bathroom, boasts a superb layout with an oversized living room that seamlessly flows into a formal dining area, a windowed chef's kitchen with butler pantry, breakfast nook (previously a maids bedroom) and washer/dryer, large master suite with dressing area, two generously proportioned bedrooms and tons of bright sunlight from it's North, South and West exposures.
16 Sutton is a premier, white glove, Coop with a full time doorman, concierge/elevator operator, resident manager, courtyard, fitness room, extra storage and is just steps from the East River Promenade, transportation, Whole Foods and easy airport access. Sutton Place remains one of the most charming, peaceful neighborhoods in NYC. Pied a Terre's and Pets welcome with board approval. 2% Flip Tax"
11,NaN,NaN,-73.964971,40.759331,NaN,NaN,NaN,800,1968,NaN,NaN,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/303-E-57th-St-APT-19C-New-York-NY-10022/72525864_zpid/,NaN
12,NaN,NaN,-73.964971,40.759331,NaN,NaN,NaN,2200,1968,NaN,NaN,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/303-E-57th-St-APT-45A-New-York-NY-10022/244723705_zpid/,NaN
13,NaN,NaN,-73.964239,40.760413,NaN,NaN,NaN,2000,1974,NaN,NaN,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/300-E-59th-St-APT-1402-New-York-NY-10022/72525949_zpid/,NaN
14,1195000.00,"135 E 54th St APT 7B, New York, NY 10022",-73.97074,40.759335,10022,0,1,1200,1951,2,2,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/135-E-54th-St-APT-7B-New-York-NY-10022/31528378_zpid/,"For sale: $1,195,000. CONTRACT FELL THROUGH! NEW PRICE! BEST PRICE PER SF IN THE LEX 54 IN MANY MANY YEARS. STILL AVAILABLE AND WON'T LAST! UNDER $1000 PER SF CONDO, HUGE 1200SF, SUN DRENCHED SOUTH AND EAST CORNER 2 BEDROOMS AND 2 BATHS! BEST DEAL IN MANHATTAN! BRIGHT, HUGE, PERFECT LOCATION AND AMAZING LAYOUT. 
Welcome to this beautiful One-of-a-kind home. A cornered and quiet, sun drenched approx 1200sf 2BR/2BA with high ceilings, sun-drenched South and East exposures of the largest and brightest two bedrooms condo apartment you'll see. It's so big, that other B line owners have been converting it to a spacious 3 bedrooms! 
Impressive from the second you'll open the door featuring an abundance of light from it's Eleven enlarged windows of Southern and Eastern exposures and endless storage including six deep ceiling height closets which several are walk in's. 
Need extra space? A NY bedroom-size closet is conveniently at the entrance. This massive home has impressive ceiling height closets throughout and a spacious foyer that is big enough to be used as a formal dining area, playroom, library, or whatever your lifestyle covets. 
Beautiful french doors welcomes you to the grand living room that has space for any sectional sofas, 12 seats dining table or even a piano. It is so spacious, that many B line owners have been converting it into a spacious third bedroom.
Huge cornered Sun-Splashed Master bedroom has south and East exposures with a windowed ensuite full bath and impressive set of two walk-in closets. 
The second bedroom also fits king size furniture and conveniently has the second full bathroom adjoined to it. 
The extra large windowed Eat-In-kitchen has plenty of ceiling height cabinetry and shelves including a breakfast bar and even room for a spacious breakfast table for four.

The LEX 54 Condominium is a full service doorman
concierge building with a resident super, a laundry room, bike room and storage and is also pet friendly
Ideally located in the prestigious Midtown East area, between Park Avenue & Lexington Avenue, right across the street from the E/M/6 trains and all major transportation, fabulous
restaurants, theater & major museums and also close to Grand central and Central
Park."
