,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,2095000.00,"125 E 63rd St APT 8A, New York, NY 10065",-73.966742,40.76514,10065,0,1,60748,1923,2,3,Upper East Side,https://www.zillow.com:443/homedetails/125-E-63rd-St-APT-8A-New-York-NY-10065/244897354_zpid/,"For sale: $2,095,000. SHOWINGS BEGIN MONDAY, APRIL 22ND.



Elegant Classic Six off Park Avenue



This beautifully renovated Classic Six is not to be missed. Enter through the gracious foyer into the sun-flooded living room facing south with open city views. This elegant entertaining space boasts timeless pre-war details throughout which include lovely hardwood floors, high beamed ceilings, and a charming wood-burning fireplace. The master bedroom also faces south and is well proportioned with plentiful closet space and a  tastefully renovated ensuite bath with marble fixtures and a walk-in glass shower. There is a second bedroom which has custom built-ins and access to a fully renovated bath off the bedroom hallway. The dining room has been converted into a den but can be used for many different functions, including a third bedroom. The ample sized eat-in kitchen has classic marble countertops, cherry wood cabinets, and top of the line appliances including a Bosch dishwasher, vented Viking stove, and a Sub-Zero fridge. A staff room, accessed off the kitchen, is outfitted with an Asko washer/dryer, wine cooler, and a full third bath. There is thru-wall a/c throughout the apartment. This full service building is right off Park Avenue and is located close to some of the city's best shops, restaurants, and transportation. Pets and pied-a-terres are allowed and a storage bin transfers with the apartment. There is a lovely roof deck. 50% financing allowed. 2% flip tax paid by the buyer."
1,NaN,NaN,-73.968399,40.769901,NaN,NaN,NaN,--,1949,NaN,NaN,Upper East Side,https://www.zillow.com:443/homedetails/870-5th-Ave-2-3G-New-York-NY-10065/2087099612_zpid/,NaN
2,699000.00,"333 E 66th St APT 4-E, New York, NY 10065",-73.959311,40.764462,10065,0,1,835,1964,1,1,Upper East Side,https://www.zillow.com:443/homedetails/333-E-66th-St-APT-4-E-New-York-NY-10065/72529175_zpid/,"For sale: $699,000. SUPERSIZE IT! Welcome home to this MASSIVE Upper East Side 1-bedroom home! Situated in a full-service, amenity-rich cooperative with a remarkably liberal subletting policy (unlimited subleasing permitted after 1 year of ownership!), this oversize, south-facing home is both quiet and flooded with natural light! Overlooking placid tree-lined 66th Street, the residence enjoys idyllic treetop views. The spacious, extra-wide living room flows seamlessly into the ample dining area, making the home perfect for both comfortable living and elegant entertaining.  provides ample space for a separate dining area, making this welcoming home perfect for elegant entertaining. The renovated kitchen boasts all stainless steel appliances including a dishwasher and over-the-range venting microwave, gleaming granite countertops and backsplash, and ample custom cabinetry. This welcoming home is further enhanced by hardwood floors, excellent closet space including a walk-in, and additional valuable storage space via extremely tasteful, high quality built-ins in the dining area and bedroom.



The Bryn Mawr is a full-service cooperative boasting full-time doorman, live-in superintendent, fitness center, indoor swimming pool, men's and women's sauna, landscaped roof deck, parking garage, laundry room, and bike storage. Transportation is a breeze with the 6 train on 68th Street, the new 2nd Avenue subway on 63rd Street, and the M66 crosstown bus! The lovely St. Catherine's Park is only a block away, and the Upper East Side's finest shopping, restaurants, cafes, supermarkets, gourmet markets, and hospitals are all within a small radius, making this wonderful location the height of convenience! Co-purchasing is permitted, as is up to 80% financing. Up to 2 dogs are permitted per apartment (excluding aggressive breeds), with each dog not to exceed 60 pounds."
3,NaN,"26 E 63rd St APT PHB, New York, NY 10065",NaN,NaN,10065,NaN,NaN,NaN,NaN,5,6,Upper East Side,https://www.zillow.com:443/homedetails/26-E-63rd-St-APT-PHB-New-York-NY-10065/2096372619_zpid/,"Zestimate® Home Value: $13,565,002. "
4,5200000.00,"331 E 65th St APT 4, New York, NY 10065",-73.960197,40.763999,10065,0,1,4480,1931,9,6,Upper East Side,https://www.zillow.com:443/homedetails/331-E-65th-St-APT-4-New-York-NY-10065/2086479610_zpid/,"For sale: $5,200,000. New to Market.  Just steps from New York-Presbyterian Hospital, this Upper east Side townhouse is newly renovated and has excellent upside potential , to create a true investment grade asset.  Currently four income-producing apartments (on month to month leases), with a rent roll substantially below market value.  This property could be used as a professional/medical office (on the first floor, which also has a quiet backyard.) This 20' wide and 69' deep four story brownstone is 4600 square feet, and buildable to a full 8032 square feet as of right now.  In addition to these investment options, this property could also be renovated to be a one-family residence."
5,13995000.00,"188 E 64th St # PH3, New York, NY 10065",-73.964797,40.764499,10065,0,1,3772,1987,5,7.5,Upper East Side,https://www.zillow.com:443/homedetails/188-E-64th-St-PH3-New-York-NY-10065/2086779110_zpid/,"For sale: $13,995,000. Introducing Penthouse 3 at 188 E. 64th Street, The Royale Condominiums.

Spanning 5.5 Beds, 5 Baths, 4 exposures, 2 fireplaces & 2 terraces, plus 1 amazing location, this is an amazing opportunity to acquire a blue-chip condominium with unobstructed views from sunrise to sunset.

Upon entry to the first floor, one immediately sees the spectacular double-height ceilings and unobstructed East, South, and West Views, within whose purview lies the East River, every iconic landmark midtown building, Billionaire's Row, Central Park, the Hudson River, and beyond. A triple-wrap first floor terrace, split fifth, fourth, and third bedrooms, eat-in kitchen with imported counters and top-of-the-line appliances, and dining room are also on this level. A wood burning work-of-art fireplace adorns this space and the walls are perfect for art of the finest and rarest quality.

The second floor, accessible by gorgeous glass stair case, is home to the sprawling master bedroom with 5-fixture en-suite bath and wood-burning stone fireplace. The second bedroom, larger than most master bedrooms in its own right, is on the opposite wing of this floor, and both are conjoined via central bridge to the pinnacle terrace, which is the highest outdoor space available in the vicinity.

188 E. 64th Street - The Royale Condominiums is located conveniently off 64th and 3rd and possesses a magnificent entry vestibule with entry garden, double-height marble lobby, full-t-"
6,1490000.00,"30 E 62nd St APT 6B, New York, NY 10065",-73.969881,40.765243,10065,0,1,900,1958,1,1,Upper East Side,https://www.zillow.com:443/homedetails/30-E-62nd-St-APT-6B-New-York-NY-10065/72527067_zpid/,"For sale: $1,490,000. This perfect one bedroom residence is bright and sunny, facing 62nd Street over Hermes and Madison Avenue buildings. 6B was thoughtfully designed by Richard Lavenstein and L+L Design Studio with every luxury in mind. Beautiful custom woodwork and cabinetry throughout. Renovated bathroom with Stall shower and seafoam green glass subway tiles. Top of the line kitchen with, counter for two, Sub Zero refrigerator, Viking gas range, Miele wall oven, Fisher Paykel dishwasher drawer, and Bosch microwave. All new hardwood floors. Designated office area. Generous closet space. All Utilities included in the maintenance. 

The Cumberland House is a white glove, full service co-op situated on 62nd and Madison Avenue. Just one block from Central Park and amidst Madison Avenue's finest shopping.
Pied-a-terres are allowed. One dog is allowed. Hallways and Lobby have just been renovated. 
Building has garage, storage, laundry room, and rooftop gym

The co-op's EXCEPTIONALLY strong financials allow for extremely low maintenance. Cable and Electricity credit included in maintenance. Cumberland House has just completed a building overhaul with lovely new lobby and hallways."
7,1585000.00,"605 Park Ave APT 10B, New York, NY 10065",-73.966758,40.76629,10065,0,1,181000,1955,2,2,Upper East Side,https://www.zillow.com:443/homedetails/605-Park-Ave-APT-10B-New-York-NY-10065/244738442_zpid/,"For sale: $1,585,000. White glove cooperative entirely front facing offers picturesque Park Avenue and Open Sky views from all 4 rooms. This 2-bedroom 2-bath home has unique and over-sized windows brand new thermopane windows providing an abundance of West open light. Opportunity to redesign or keep the existing residence which includes parquet floors, tumbled marble baths, crafted molding and bookshelves, good sized kitchen, custom wood work throughout including a bar. Alternatively, top architect potential renderings and design provided for the listing. 

A 10th floor exposure offers amazing views of the city and sunsets. due to low building and clearance. Beautiful renovated lobby, large outdoor deck area, gym, garage and 5-star service. Perfect time to consider this Park Avenue perfectly located full-service cooperative. Small dogs permitted. 50% financing allowed. Brand new windows just installed. Washer/dryers permitted. Can be sold with furniture included. $200.70/assessment"
8,NaN,NaN,-73.970596,40.766998,NaN,NaN,NaN,1500,1927,NaN,NaN,Upper East Side,https://www.zillow.com:443/homedetails/825-5th-Ave-APT-10C-New-York-NY-10065/2102802712_zpid/,NaN
9,3050000.00,"21 E 66th St APT 4E, New York, NY 10065",-73.968366,40.768214,10065,0,1,1700,1941,2,3,Upper East Side,https://www.zillow.com:443/homedetails/21-E-66th-St-APT-4E-New-York-NY-10065/31533622_zpid/,"For sale: $3,050,000. The perfect location for your new home! The Chez 66, is a pre-war and elegant condominium located northwest corner at Madison Avenue and 65th Street and it is just to the east of the Newhouse Gallery.

Unit 4E is a classic 6 apartment, easily convertible in a three-bedroom home with three full baths. It features a spacious living and dining room areas with wood burning fireplace, great for entertaining guests. The perfect layout gives intimacy to the two master bedrooms.The Eastern exposures offers brilliant sunlight through the space and a lovely views of Madison Avenue and the Manhattan skyline."
10,8995000.00,"304 E 65th St # 37-ABCD, New York, NY 10065",-73.961502,40.7639,10065,0,1,4000,1987,5,5,Upper East Side,https://www.zillow.com:443/homedetails/304-E-65th-St-37-ABCD-New-York-NY-10065/2086474904_zpid/,"For sale: $8,995,000. Live the high life 37 stories in the air in this ultra-luxurious apartment filled with amazing details. Exotic wood, granite floors, generous 360-degree views displayed via floor-to-ceiling windows in every room this indulgent full-floor property has all you could dream of.

With five bedrooms, four bathrooms, two powder rooms, two home theaters and one living room, there's plenty of room to entertain friends and family. The kitchen is full service, featuring a Viking double oven, Sub-Zero fridge and double wine cooler. After a long day, let yourself be transported to serenity in a Jacuzzi tub, steam shower or sauna all in the apartment.

This opulent condo features the most dynamic views of Manhattan including the East River, Central Park, Chrysler Building, midtown and beyond all of which are visible from any of the four terraces.

Enjoy the heights of this top condominium building with amenities featuring a state-of-the-art fitness center, heated pool, spa, landscaped rooftop deck, ground floor garden, live-in property manager and 24-hour doorman. Corporate and foreign buyers are welcome. Pets permitted."
11,3500000.00,"875 5th Ave # 11C, New York, NY 10065",-73.9682,40.770198,10065,0,1,--,1940,2,3,Upper East Side,https://www.zillow.com:443/homedetails/875-5th-Ave-11C-New-York-NY-10065/2094751743_zpid/,"For sale: $3,500,000. NEWLY PRICED TO SELL!  Direct Central Park and 5th Avenue views, this is an incredible opportunity to live in one of the Upper East Side's most distinguished white-glove Cooperatives. 



Located on the eleventh floor, this corner 5-room apartment has a gracious layout and enjoys magnificent direct Park views. The apartment comes with the double sized maid's room on the second floor with an additional maintenance of $853/month.



A formal gallery with a powder room leads to a grand 21 foot corner living and dining room with oversized picture windows framing tree lined direct views of Central Park. The adjacent windowed kitchen also boasts western Park views and features modern appliances and ample storage space. 



Two bedrooms with en suite full baths and a separate laundry area with stacked washer/dryer complete this exquisite home. Also included is a storage cage in the basement.



Built in Fifth Avenue was designed by renowned architect Emery Roth and features white glove amenities such as a 24-hour doormen, attended elevators, live-in building manager, fully equipped fitness center, storage units and a bike room. The building recently added a private garden, business center, and community room. Pied-a-terres allowed, but pets are not. 4% flip tax paid by buyer."
12,NaN,NaN,-73.968999,40.766507,NaN,NaN,NaN,106163,1910,NaN,NaN,Upper East Side,https://www.zillow.com:443/homedetails/32-E-64th-St-9E-New-York-NY-10065/244865954_zpid/,NaN
