,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,780000.00,"333 Pearl St APT 27H, New York, NY 10038",-74.00207,40.709396,10038,0,1,668,1971,1,1,Lower Manhattan,https://www.zillow.com:443/homedetails/333-Pearl-St-APT-27H-New-York-NY-10038/244892750_zpid/,"For sale: $780,000. Enjoy incredible unobstructed views from your private terrace in this spacious one-bedroom home. Perched on the top floor (27th), the apartment offers wonderful natural light as well as new flooring throughout the king sized bedroom and large living/dining room. The low monthly maintenance includes electricity. 

Southbridge Towers is a pet friendly cooperative complex with on-site parking, laundry, bike storage, and a courtyard with basketball court. Situated in the rapidly evolving Financial District, the complex is just minutes from Pier 17, South Street Seaport Historic District, and the 2, 3, 4, 5, 6, A, C, E, J, Z, R and W subway lines."
1,545000.00,"100 Beekman St APT 8G, New York, NY 10038",-74.002857,40.707625,10038,0,1,400,1971,0,1,Lower Manhattan,https://www.zillow.com:443/homedetails/100-Beekman-St-APT-8G-New-York-NY-10038/244766239_zpid/,"For sale: $545,000. A MUST SEE! This move-in ready, bright and spacious alcove studio is located in Southbridge Towers, a 1,651 unit cooperative, in the heart of the Financial/Seaport District. Its flexible and functional layout, which can be easily converted to a 1-bedroom, features a separate dining nook, a private dressing area, and ample closet space. The south facing wall of windows provides open views of lower Manhattan, and a quiet tree-filled walkway and garden. Extremely low monthly maintenance of $368 includes all utilities (heat, hot water, cooking gas, and electricity), as well as real estate taxes. The building features an attended lobby, an on-site laundry room, indoor garage parking for an additional fee, an outdoor childrens playground, and indoor childrens playrooms. 

Southbridge is steps away from the Fulton Transit Center that is serviced by 10 subway lines. The high-performing Peck Slip Elementary School, for which Southbridge is zoned, is across the street from the co-op. The neighborhood offers a wide variety of outstanding award winning restaurants as well as a wide-array of shopping options within easy walking distance. This is an opportunity that cant be missed."
2,559000.00,"215 Park Row APT 14G, New York, NY 10038",-73.999456,40.713126,10038,0,1,498,1960,0,1,Lower Manhattan,https://www.zillow.com:443/homedetails/215-Park-Row-APT-14G-New-York-NY-10038/244845850_zpid/,"For sale: $559,000. New to Market!  Fabulous  Studio at 215 Park  Row 



Welcome to unit 14G, currently the only studio apartment available at  Chatham Green . The complex consists of 420 units , with 21 floors,  across 3 buildings. This  unit  has high ceilings, an  extremely spacious layout and sweeping views that go as far south as  as Governor's Island and north/east to Brooklyn and Queens,  with spectacular views of the Brooklyn, Manhattan, and Williamsburg Bridges.  



Brand new eat-in kitchen , with dishwasher, and 25 ft of windows,  wall to wall,  throughout the living room and kitchen.



This welcoming and sun-lit oversized studio has been recently renovated . enter into a shiny, brand new eat -in - kitchen with a large window and plenty of  floor space. This unit has ample closets , and  is in move -in condition.  Low Monthly maintenance with 50% tax deductibility.. 



SUBWAY LINES

Subway number J Subway number Z Subway number 4 Subway number 5 Subway number 6 Subway number R Subway number N Subway number Q Subway number A Subway number CSubway number E Subway number 2 Subway number 3



Call for an  appointment to view this studio today  - it won't last long!"
3,1485000.00,"270 Water St APT 4R, New York, NY 10038",-74.001502,40.708801,10038,0,1,1250,1900,2,1,Lower Manhattan,https://www.zillow.com:443/homedetails/270-Water-St-APT-4R-New-York-NY-10038/2127478485_zpid/,"For sale: $1,485,000. Look no further for the quintessential loft that offers immense character and historic charm.

Just three easy flights up, this corner two bedroom home spans approximately 1,250 square feet and boasts an open layout detailed with exposed brick, beamed ceilings and wide planked floors. Both amazing natural sunlight and views of City Hall are welcomed through the home's abundant windows.

Upon entering, the gallery offers the ideal backdrop to display art as it leads seamlessly into the open living/dining room. The kitchen has been upgraded with a suite of stainless steel appliances including a Viking stovetop/oven and a Miele dishwasher. A corner, over-sized master bedroom and well-proportioned second bedroom complete this unique home. Additional features include a vented washer/dryer set and ample storage space.

Located in the South Street Seaport, this re-emerging neighborhood features more than 100 restaurants, cafes, shops, and cultural attractions. Renowned restaurants and hotels, such as, the Jean Georges Food Hall, David Chang's Momofuku, Mr. C Hotel by Cipriani and more are making their way to this historic area. Close proximity to the Fulton Center Transit Hub, the Blue School, and the Peck Slip School also offer major appeal.

Click ""Contact the Seller's Agent"" to schedule an appointment or speak with the seller's exclusive agent directly."
4,NaN,NaN,-74.000487,40.712945,NaN,NaN,NaN,515425,1960,NaN,NaN,Lower Manhattan,https://www.zillow.com:443/homedetails/165-Park-Row-APT-8E-New-York-NY-10038/244724064_zpid/,NaN
5,965000.00,"90 Beekman St APT 6G, New York, NY 10038",-74.005037,40.710085,10038,0,1,9450,1971,2,1,Lower Manhattan,https://www.zillow.com:443/homedetails/90-Beekman-St-APT-6G-New-York-NY-10038/244822019_zpid/,"For sale: $965,000. Create your dream home! 

Welcome home to 6G. Located in Fulton/Seaport - one of downtown Manhattan's most exciting neighborhoods, this east facing 2 bedroom with dining alcove offers a flexible and functional layout and loads of potential. Experience tranquility from your own private outdoor space with eastern views. This gem is awaiting your personal touch - ready to be re-imaged and redesigned! 

The ultra-low maintenance includes utilities (heat, hot water, gas and electricity) and property taxes. This is value unlike anywhere else in Manhattan. 

90 Beekman is a 7-story low rise building and is a part of the 9-building, 1651-unit coop complex known as Southbridge Towers. Residents can enjoy a beautiful, well-maintained and landscaped community, 24 hour security, attended lobby, on-site laundry room, recreation center, outdoor basketball court, 2 playgrounds, 2 ICON parking garages and resident storage rooms (both for an additional fee). This pet friendly complex allows co-purchasing, parental purchasing, guarantors and pied-a-terre case by case. 

Set in the heart of the exciting Fulton/Seaport section of the Financial District, neighborhood residents and visitors are drawn to the area for its top retail, dining, cultural and waterfront attractions as well as its unparalleled views of the Brooklyn Bridge, river and the city skyline.

Nestled amongst the famed South Street Seaport, Pace University, and iconic Wall Street/Financial District. Close proximity to the new Fulton Center and steps from all modes of transportation including the A, C, J, Z, 2, 3, 4, 5, 6 and PATH trains. Discover the possibilities this exquisite complex and neighborhood has to offer! 

* Please note some photos feature virtual staging. Floor plan dimensions are approximate.*"
6,12500000.00,"25 Park Row # 42A, New York, NY 10038",-74.007499,40.711299,10038,0,1,3580,2019,4,5,Lower Manhattan,https://www.zillow.com:443/homedetails/25-Park-Row-42A-New-York-NY-10038/2086166229_zpid/,"For sale: $12,500,000. This sprawling 3,580 SF full floor residence offers prime, protected views over City Hall Park sweeping from river to river and showcasing architectural marvels in every direction. With four bedrooms and four-and-a-half baths along with a 480 SF terrace and a stunning living and dining room encased on three sides in expanses of glass, this residence offers stunning detail at every turn.
Fine finishes include wide plank Italian oak flooring, 9"" decorative mouldings, oversized casement windows, and a Juliet balcony in the master bedroom. The eat-in kitchen offers a cantilevered island featuring custom cabinetry and shelving in a white lacquer finish with Calacatta Gold marble countertops and backsplash. A Miele refrigerator/freezer and dishwasher and a Sub-Zero wine refrigerator are concealed behind custom paneling. A six-burner Miele gas cooktop with vented hood, steam oven, speed oven, and full size oven complete the range of appliances. 
The master suite includes a large, windowed dressing room, a second closet, and an en-suite five-fixture bath, overlooking downtown and the East River, finished with a Calacatta Gold marble vanity top and wainscoting as well as a deep soaking tub. Other features include a European white oak custom vanity, Kallista polished nickel fixtures, and radiant floor heating. 

The elegantly-appointed Park Row Club, overlooking City Hall Park, includes a gracious reading room, a library with a fireplace, a dining room, a golf simulator, a billiards room, a 65' swimming pool, a fitness center with a yoga and meditation studio, a spa treatment room, a playroom suite, the Garden and Dining Terrace with a great lawn, trellised dining, an outdoor living room, and an outdoor playscape, Parking is available for purchase with a discreet Theatre Alley entrance."
7,795000.00,"324 Pearl St APT 1A, New York, NY 10038",-74.002015,40.708872,10038,0,1,900,1920,1,1,Lower Manhattan,https://www.zillow.com:443/homedetails/324-Pearl-St-APT-1A-New-York-NY-10038/55500267_zpid/,"For sale: $795,000. A unique ""must see triplex"" one of a kind in a boutique pre-war condo unit. A Book Bindery Building dating back to 1881. The unit offers a Chef's kitchen with updated stainless steel appliances, over sized living room with original exposed brick walls and wood working fireplace, a large loft that can accommodate a king size bed with storage space, renovated bathroom and the lower level offers a beautiful quiet bedroom with custom closets. 
It is located steps away from the iconic Brooklyn Bridge, restaurants, shopping, South Street Seaport, Wall Street and Historic Front Street."
8,2590000.00,"25 Ann St APT 9, New York, NY 10038",-74.007499,40.7108,10038,0,1,2270,1923,3,2,Lower Manhattan,https://www.zillow.com:443/homedetails/25-Ann-St-APT-9-New-York-NY-10038/2087506287_zpid/,"For sale: $2,590,000. A rare 2,270-square-foot corner condominium in a prewar boutique building close to City Hall and Tribeca. 

Encompassing the entire ninth floor, this loft has 11-foot ceilings, original beams, and 10 large windows in the living room facing south, east, and north. While currently configured as a two-bedroom, two-bathroom + home office, there is more than enough space to add a third windowed bedroom. Perfect for entertaining, there is an open, sleek kitchen with Viking and Gaggenau appliances and plenty of space for multiple seating and dining areas on either side of the two-sided gas fireplace. The master bedroom can easily fit a king sized bed and features a huge walk-in closet and spacious master bath. The apartment also has a walk-in laundry room with shelving and comes with a large storage room in the basement. Pets are welcome.

Built in 1923 by Benjamin Wistar Morris III and converted to condominium lofts in 2000, the Edgar House (named after Edgar Allan Poe, who worked in the building that preceded 25 Ann Street) is a well-established nine-unit condominium with a key-lock elevator that opens directly into each full-floor loft. The location makes this offering even more exceptional by being a short distance to Tribeca, City Hall, Eataly, the revamped South Street Seaport, and the new World Trade Center Oculus, with convenient access to nine different subway lines and amazing shopping/dining. Additionally, just around the corner are Tom Colicchio and Keith McNally's restaurants at the new Beekman Hotel, as well as Nobu's flagship restaurant. Please contact us to schedule a private appointment to see Residence 9, an amazing opportunity to own a beautiful loft in this increasingly desirable neighborhood."
9,1595000.00,"176 Broadway APT 14E, New York, NY 10038",-74.009503,40.709832,10038,0,1,1493,1927,2,2,Lower Manhattan,https://www.zillow.com:443/homedetails/176-Broadway-APT-14E-New-York-NY-10038/244726661_zpid/,"For sale: $1,595,000. Classic 2 bed prewar co-op loft in the heart of the Financial District. The private, key-locked elevator opens into the expansive living/dining kitchen area with windows facing South and West, including an over-sized bay window with views stretching to New Jersey. The open floor plan welcomes entertaining in the well-proportioned great room, with 9'8' ceilings, designer mill work, custom built-ins and hardwood floors. An abundance of closets and of upper storage throughout, including a step-in utility closet. This classic (approximately1493 sq. ft.) loft spans across all four exposures, and has maintained its original character, quality and proportions and has been blended well with recent bathroom renovations and open kitchen with a large pantry and a breakfast counter. Central air throughout.Currently configured as a two bedroom, two bath but easily reconfigured as a 3 bed. A second entry, at the end of a broad closeted hallway, provides direct access to common hallways, elevators and the main entrance at 176 Broadway, with an attended lobby. W/D conveniently located on each floor. Assigned storage space in basement and bike storage comes with each unit. Located on the East side of Broadway at the corner of Maiden Lane, this building features video security, part-time doorman, live-in super and a fabulous landscaped roof deck. A very well run, established co-op, one block from the new Fulton Center, with access to all subway lines and PATH"
