,link,region
0,/homedetails/50-Riverside-Blvd-APT-7L-New-York-NY-10069/219667037_zpid/,Upper West Side
1,/homedetails/60-Riverside-Blvd-APT-2102-New-York-NY-10069/117505369_zpid/,Upper West Side
2,/homedetails/30-Riverside-Blvd-PHB-New-York-NY-10069/2088699164_zpid/,Upper West Side
3,/homedetails/60-Riverside-Blvd-APT-2101-New-York-NY-10069/117505368_zpid/,Upper West Side
4,/homedetails/240-Riverside-Blvd-PENTHOUSE-2-New-York-NY-10069/69510834_zpid/,Upper West Side
5,/homedetails/120-Riverside-Blvd-APT-11T-New-York-NY-10069/80009129_zpid/,Upper West Side
6,/homedetails/80-Riverside-Blvd-8E-New-York-NY-10069/2133651657_zpid/,Upper West Side
7,/homedetails/60-Riverside-Blvd-3201-3202-New-York-NY-10069/2091962569_zpid/,Upper West Side
8,/homedetails/50-Riverside-Blvd-APT-26A-New-York-NY-10069/219666922_zpid/,Upper West Side
9,/homedetails/220-Riverside-Blvd-APT-16A-New-York-NY-10069/61966976_zpid/,Upper West Side
10,/homedetails/80-Riverside-Blvd-22-23D-New-York-NY-10069/2086878531_zpid/,Upper West Side
11,/homedetails/220-Riverside-Blvd-11JK-New-York-NY-10069/2085022302_zpid/,Upper West Side
12,/homedetails/100-Riverside-Blvd-APT-19B-New-York-NY-10069/89334422_zpid/,Upper West Side
13,/homedetails/60-Riverside-Blvd-APT-3502-New-York-NY-10069/117457730_zpid/,Upper West Side
14,/homedetails/30-Riverside-Blvd-34B-New-York-NY-10069/2086141679_zpid/,Upper West Side
15,/homedetails/100-Riverside-Blvd-APT-12C-New-York-NY-10069/97520436_zpid/,Upper West Side
16,/homedetails/100-Riverside-Blvd-APT-15A-New-York-NY-10069/89329838_zpid/,Upper West Side
17,/homedetails/200-Riverside-Blvd-APT-304-New-York-NY-10069/31523050_zpid/,Upper West Side
18,/homedetails/200-Riverside-Blvd-APT-34A-New-York-NY-10069/31523098_zpid/,Upper West Side
19,/homedetails/100-Riverside-Blvd-APT-3A-New-York-NY-10069/83942329_zpid/,Upper West Side
20,/homedetails/50-Riverside-Blvd-APT-9N-New-York-NY-10069/219667064_zpid/,Upper West Side
21,/homedetails/220-Riverside-Blvd-APT-20N-New-York-NY-10069/2099318285_zpid/,Upper West Side
22,/homedetails/200-Riverside-Blvd-6AB-New-York-NY-10069/2086873678_zpid/,Upper West Side
23,/homedetails/240-Riverside-Blvd-23AC-New-York-NY-10069/69524488_zpid/,Upper West Side
24,/homedetails/240-Riverside-Blvd-APT-15O-New-York-NY-10069/2090542457_zpid/,Upper West Side
50,/homedetails/50-Riverside-Blvd-APT-14G-New-York-NY-10069/219667004_zpid/,Upper West Side
51,/homedetails/120-Riverside-Blvd-APT-4M-New-York-NY-10069/69511103_zpid/,Upper West Side
52,/homedetails/120-Riverside-Blvd-APT-5W-New-York-NY-10069/80009352_zpid/,Upper West Side
53,/homedetails/200-Riverside-Blvd-APT-21D-New-York-NY-10069/2088651317_zpid/,Upper West Side
54,/homedetails/60-Riverside-Blvd-APT-1112-New-York-NY-10069/117505359_zpid/,Upper West Side
55,/homedetails/80-Riverside-Blvd-APT-4L-New-York-NY-10069/89329416_zpid/,Upper West Side
56,/homedetails/60-Riverside-Blvd-APT-2902-New-York-NY-10069/117458223_zpid/,Upper West Side
57,/homedetails/80-Riverside-Blvd-4A-New-York-NY-10069/89330792_zpid/,Upper West Side
58,/homedetails/240-Riverside-Blvd-APT-26A-New-York-NY-10069/2086128490_zpid/,Upper West Side
59,/homedetails/50-Riverside-Blvd-APT-9A-New-York-NY-10069/219666909_zpid/,Upper West Side
60,/homedetails/220-Riverside-Blvd-APT-5H-New-York-NY-10069/61967220_zpid/,Upper West Side
61,/homedetails/30-Riverside-Blvd-21E-New-York-NY-10069/2090898279_zpid/,Upper West Side
62,/homedetails/220-Riverside-Blvd-APT-8V-New-York-NY-10069/61967353_zpid/,Upper West Side
63,/homedetails/220-Riverside-Blvd-APT-15L-New-York-NY-10069/61967259_zpid/,Upper West Side
64,/homedetails/80-Riverside-Blvd-APT-9N-New-York-NY-10069/89228540_zpid/,Upper West Side
65,/homedetails/30-Riverside-Blvd-34F-New-York-NY-10069/2086385055_zpid/,Upper West Side
66,/homedetails/80-Riverside-Blvd-APT-3P-New-York-NY-10069/145586648_zpid/,Upper West Side
67,/homedetails/120-Riverside-Blvd-PH4J-New-York-NY-10069/2091147686_zpid/,Upper West Side
68,/homedetails/80-Riverside-Blvd-APT-16A-New-York-NY-10069/89335258_zpid/,Upper West Side
69,/homedetails/80-Riverside-Blvd-APT-12N-New-York-NY-10069/89333991_zpid/,Upper West Side
70,/homedetails/30-Riverside-Blvd-35A-New-York-NY-10069/2086141685_zpid/,Upper West Side
71,/homedetails/240-Riverside-Blvd-APT-3P-New-York-NY-10069/2090085718_zpid/,Upper West Side
72,/homedetails/30-Riverside-Blvd-29B-New-York-NY-10069/2086141691_zpid/,Upper West Side
73,/homedetails/120-Riverside-Blvd-PENTHOUSE-1H-New-York-NY-10069/80007269_zpid/,Upper West Side
74,/homedetails/80-Riverside-Blvd-APT-23D-New-York-NY-10069/89329091_zpid/,Upper West Side
75,/homedetails/30-Riverside-Blvd-22P-New-York-NY-10069/2090168518_zpid/,Upper West Side
76,/homedetails/240-Riverside-Blvd-APT-7L-New-York-NY-10069/2091147691_zpid/,Upper West Side
77,/homedetails/220-Riverside-Blvd-APT-32D-New-York-NY-10069/61967127_zpid/,Upper West Side
78,/homedetails/120-Riverside-Blvd-APT-6R-New-York-NY-10069/69511144_zpid/,Upper West Side
79,/homedetails/100-Riverside-Blvd-APT-4J-New-York-NY-10069/97514864_zpid/,Upper West Side
80,/homedetails/240-Riverside-Blvd-APT-6E-New-York-NY-10069/2087646727_zpid/,Upper West Side
81,/homedetails/120-Riverside-Blvd-APT-9M-New-York-NY-10069/69511108_zpid/,Upper West Side
82,/homedetails/60-Riverside-Blvd-APT-3402-New-York-NY-10069/117456641_zpid/,Upper West Side
83,/homedetails/80-Riverside-Blvd-APT-22D-New-York-NY-10069/89333415_zpid/,Upper West Side
84,/homedetails/220-Riverside-Blvd-APT-44D-New-York-NY-10069/63869102_zpid/,Upper West Side
85,/homedetails/50-Riverside-Blvd-APT-6J-New-York-NY-10069/219713238_zpid/,Upper West Side
86,/homedetails/60-Riverside-Blvd-APT-1110-New-York-NY-10069/117451212_zpid/,Upper West Side
87,/homedetails/220-Riverside-Blvd-APT-15U-New-York-NY-10069/61967342_zpid/,Upper West Side
88,/homedetails/50-Riverside-Blvd-APT-7N-New-York-NY-10069/219667063_zpid/,Upper West Side
89,/homedetails/60-Riverside-Blvd-APT-1504-New-York-NY-10069/117451221_zpid/,Upper West Side
90,/homedetails/120-Riverside-Blvd-PHE1-New-York-NY-10069/2103560061_zpid/,Upper West Side
91,/homedetails/80-Riverside-Blvd-APT-9C-New-York-NY-10069/89329066_zpid/,Upper West Side
92,/homedetails/80-Riverside-Blvd-APT-5F-New-York-NY-10069/89331329_zpid/,Upper West Side
93,/homedetails/120-Riverside-Blvd-APT-9L-New-York-NY-10069/69511098_zpid/,Upper West Side
94,/homedetails/120-Riverside-Blvd-4K-New-York-NY-10069/69511089_zpid/,Upper West Side
95,/homedetails/60-Riverside-Blvd-APT-1210-New-York-NY-10069/117451215_zpid/,Upper West Side
96,/homedetails/80-Riverside-Blvd-APT-11D-New-York-NY-10069/89332384_zpid/,Upper West Side
97,/homedetails/220-Riverside-Blvd-APT-25E-New-York-NY-10069/63869103_zpid/,Upper West Side
98,/homedetails/50-Riverside-Blvd-APT-10B-New-York-NY-10069/219666935_zpid/,Upper West Side
99,/homedetails/50-Riverside-Blvd-APT-7S-New-York-NY-10069/219667089_zpid/,Upper West Side
100,/homedetails/100-Riverside-Blvd-APT-12K-New-York-NY-10069/97532562_zpid/,Upper West Side
101,/homedetails/100-Riverside-Blvd-APT-31C-New-York-NY-10069/89328906_zpid/,Upper West Side
102,/homedetails/240-Riverside-Blvd-APT-6F-New-York-NY-10069/2086448399_zpid/,Upper West Side
103,/homedetails/240-Riverside-Blvd-APT-12P-New-York-NY-10069/2086363366_zpid/,Upper West Side
104,/homedetails/50-Riverside-Blvd-APT-5G-New-York-NY-10069/219666997_zpid/,Upper West Side
105,/homedetails/30-Riverside-Blvd-26A-New-York-NY-10069/2086141688_zpid/,Upper West Side
106,/homedetails/240-Riverside-Blvd-APT-9B-New-York-NY-10069/2085345483_zpid/,Upper West Side
107,/homedetails/60-Riverside-Blvd-APT-1904-New-York-NY-10069/117451238_zpid/,Upper West Side
108,/homedetails/50-Riverside-Blvd-APT-6U-New-York-NY-10069/219667097_zpid/,Upper West Side
109,/homedetails/100-Riverside-Blvd-APT-9U-New-York-NY-10069/89331339_zpid/,Upper West Side
110,/homedetails/30-Riverside-Blvd-34D-New-York-NY-10069/2086141690_zpid/,Upper West Side
111,/homedetails/100-Riverside-Blvd-APT-5J-New-York-NY-10069/97511432_zpid/,Upper West Side
112,/homedetails/30-Riverside-Blvd-32C-New-York-NY-10069/2086385054_zpid/,Upper West Side
113,/homedetails/80-Riverside-Blvd-APT-8E-New-York-NY-10069/89331138_zpid/,Upper West Side
114,/homedetails/30-Riverside-Blvd-26G-New-York-NY-10069/2086868650_zpid/,Upper West Side
115,/homedetails/30-Riverside-Blvd-33G-New-York-NY-10069/2086385052_zpid/,Upper West Side
116,/homedetails/220-Riverside-Blvd-APT-12W-New-York-NY-10069/61967373_zpid/,Upper West Side
117,/homedetails/30-Riverside-Blvd-29J-New-York-NY-10069/2086385049_zpid/,Upper West Side
118,/homedetails/100-Riverside-Blvd-APT-11P-New-York-NY-10069/97497601_zpid/,Upper West Side
119,/homedetails/240-Riverside-Blvd-APT-4D-New-York-NY-10069/2086012462_zpid/,Upper West Side
120,/homedetails/30-Riverside-Blvd-26C-New-York-NY-10069/2086385053_zpid/,Upper West Side
121,/homedetails/60-Riverside-Blvd-APT-1107-New-York-NY-10069/117458857_zpid/,Upper West Side
122,/homedetails/120-Riverside-Blvd-APT-8W-New-York-NY-10069/69511193_zpid/,Upper West Side
123,/homedetails/220-Riverside-Blvd-APT-18L-New-York-NY-10069/63869117_zpid/,Upper West Side
124,/homedetails/80-Riverside-Blvd-APT-5S-New-York-NY-10069/89331571_zpid/,Upper West Side
125,/homedetails/30-Riverside-Blvd-32E-New-York-NY-10069/2086141687_zpid/,Upper West Side
126,/homedetails/240-Riverside-Blvd-APT-26C-New-York-NY-10069/2133319976_zpid/,Upper West Side
127,/homedetails/30-Riverside-Blvd-23C-New-York-NY-10069/2088502686_zpid/,Upper West Side
128,/homedetails/30-Riverside-Blvd-26F-New-York-NY-10069/2086386359_zpid/,Upper West Side
129,/homedetails/120-Riverside-Blvd-APT-15C-New-York-NY-10069/69510994_zpid/,Upper West Side
130,/homedetails/30-Riverside-Blvd-23F-New-York-NY-10069/2086385048_zpid/,Upper West Side
131,/homedetails/220-Riverside-Blvd-APT-23C-New-York-NY-10069/61967074_zpid/,Upper West Side
132,/homedetails/30-Riverside-Blvd-22G-New-York-NY-10069/2091591021_zpid/,Upper West Side
133,/homedetails/120-Riverside-Blvd-APT-16E-New-York-NY-10069/69511024_zpid/,Upper West Side
134,/homedetails/80-Riverside-Blvd-APT-16E-New-York-NY-10069/89335275_zpid/,Upper West Side
135,/homedetails/120-Riverside-Blvd-APT-4N-New-York-NY-10069/69511119_zpid/,Upper West Side
136,/homedetails/60-Riverside-Blvd-APT-2702-New-York-NY-10069/117457941_zpid/,Upper West Side
137,/homedetails/80-Riverside-Blvd-APT-19E-New-York-NY-10069/89228542_zpid/,Upper West Side
138,/homedetails/120-Riverside-Blvd-APT-12L-New-York-NY-10069/69511101_zpid/,Upper West Side
139,/homedetails/30-Riverside-Blvd-26D-New-York-NY-10069/2086385051_zpid/,Upper West Side
140,/homedetails/120-Riverside-Blvd-APT-6C-New-York-NY-10069/69510986_zpid/,Upper West Side
141,/homedetails/120-Riverside-Blvd-APT-10U-New-York-NY-10069/69511174_zpid/,Upper West Side
142,/homedetail/AuthRequired.htm?r=pfc&zpid=250617033,Upper West Side
143,/homedetail/AuthRequired.htm?r=pfc&zpid=154074546,Upper West Side
144,/homedetail/AuthRequired.htm?r=pfc&zpid=250649615,Upper West Side
145,/homedetail/AuthRequired.htm?r=pfc&zpid=294984562,Upper West Side
