,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,1500000.00,"445 E 86th St # 12CD, New York, NY 10028",-73.947601,40.776401,10028,0,1,--,1961,3,3,Upper East Side,https://www.zillow.com:443/homedetails/445-E-86th-St-12CD-New-York-NY-10028/2085255800_zpid/,"For sale: $1,500,000. GREAT BUY: FIXER-UPPER/3 BEDROOMS/5 ROOMS/SERIOUS SELLER

SENSATIONAL VALUE!!! A wonderful space has been designed from a two bedroom apartment and extra-large alcove studio, seamlessly combined to create a spacious three bedroom/three bath apartment on a lovely block near Carl Schurz Park. The windowed kitchen and the baths are in original condition. The entire apartment has been freshly painted and is realistically priced for a buyer who wants to bring a personal touch to this home.

There is an expansive living room/dining area, measuring 28 feet, and the kitchen can be opened to create a loft-like feeling. The very large master bedroom has an adjoining space that works perfectly as a dressing room or a home office. Open city views from the bedrooms include the river and RFK/Triboro Bridge, and the living room faces south over 86th Street.

The Caravelle's amenities include a full-time doorman, live-in superintendent, new fitness center, beautiful roof deck, laundry room, storage room and bike room. There is a garage entered from the building, which is conveniently located near Carl Schurz Park, the Second Avenue subway, crosstown bus, Whole Foods, Fairway and innumerable restaurants, neighborhood services and shops. Pets are welcome."
1,5200000.00,"1000 Park Ave # 5/6D, New York, NY 10028",-73.958503,40.779201,10028,0,1,3800,1916,5,6,Upper East Side,https://www.zillow.com:443/homedetails/1000-Park-Ave-5-6D-New-York-NY-10028/2085039828_zpid/,"For sale: $5,200,000. Located in one of Park Avenue's most impressive Emery Roth designed, Bing & Bing built cooperatives, this outstanding five bedroom six bath duplex is perfect for grand-scale entertaining and incomparable daily living. The appealing residence features expansive rooms, soaring 10-foot ceilings, classic moldings, abundant closet and storage space, rich hardwood floors and through-wall air conditioning. Natural light filters in through oversized windows. Upon entering the spacious gallery one immediately notices the wide, elegant mahogany staircase that lends a townhouse feeling to the residence with all the amenities of a superb white-glove full service home. The entertaining space consists of a corner 24-foot living room adjoined by a formal dining room currently used as a comfortable den. The residence also features an enormous chef's eat-in kitchen with custom cabinetry and appliances from Subzero and Dacor. A laundry room with full bath adjoins. The corner master suite and bath offer a calm respite. The fifth bedroom with en-suite bath completes the main floor.



The second level consists of a massive, cheery recreation/media room, library, and staff room. An additional three bedrooms and three baths, provides a generous and flexible layout. This is truly a rare opportunity for grand-scale living in a premier Park Avenue cooperative.



Emery Roth was a master who combined eclectic architectural elements into romantic compositions of dignity and grace. His design of ornate apartment buildings was inspired by Renaissance palaces. Founded in 1906, Leo and Alexander Bing built hotels and apartments at a time when luxurious in New York was synonymous with grand-scale elegance. The building is fully staffed with a live-in resident manager and full-time doormen. Additional amenities include a fully equipped state-of-the-art gym, storage bins for each unit, a bicycle room, a central laundry room, and a beautiful refurbished lobby. The residence is located in the heart of the Upper East Side, and two blocks from Central Park. It is near the Metropolitan Museum, schools, wonderful restaurants, lovely boutiques and is convenient to public transportation."
2,599000.00,"130 E End Ave # 1B, New York, NY 10028",-73.945244,40.774841,10028,0,1,1000,1929,1,1,Upper East Side,https://www.zillow.com:443/homedetails/130-E-End-Ave-1B-New-York-NY-10028/244752102_zpid/,"For sale: $599,000. Best Deal in Town! This gem is waiting for you to give it a make-over. Great bones and great space to make your own. Pre-War one bedroom home located in a top East End Avenue coop directly across the street from Carl Schurz Park. This apartment has a large entry foyer and over sized living/dining room, large master bedroom and generous closet space. Building allows you to install a washer and dryer in the unit. Bring your contractor to create your dream home. Full service coop designed by Emory Roth. Built in 1929 with 46 units. There is a full time doorman, live in resident manager and storage in the basement. Close to the cross town bus and newly opened Second Avenue subway. 2% flip tax."
3,1450000.00,"444 E 86th St APT 16G, New York, NY 10028",-73.948339,40.776285,10028,0,1,384646,1973,3,2,Upper East Side,https://www.zillow.com:443/homedetails/444-E-86th-St-APT-16G-New-York-NY-10028/244875974_zpid/,"For sale: $1,450,000. Just listed and awaiting your personal touch, this sun-filled 3 bedroom apartment on a high-floor boasting spectacular north, east and southern  views. This sunlit apartment offers gracious rooms and a flexible floor-plan with a private balcony with some water views(only found on higher floor G-lines). Ideal for entertaining, this home has a large dining area and living room, a windowed eat-in kitchen, terrific storage,two full baths, generous closets throughout, two big bedrooms and a third room currently configured as an office.



444 East 86th Street amenities include a superb staff, full-time doorman, live-in superintendent, central laundry, garage, gym, and in-house dry cleaners. Ideal location one block from the new Second Avenue Subway, express bus transportation, Carl Schurz Park, the East River Promenade, and Fairway Market. Neighborhood amenities include top-rated public and private schools, Asphalt Green, and terrific restaurants. Pets and pieds-a-terre are welcome. 75% financing allowed. No flip tax and very low maintenance. Washer and dryers are now permitted in the building with board compliance"
4,1195000.00,"401 E 86th St APT 16G, New York, NY 10028",-73.948923,40.776845,10028,0,1,184745,1963,2,2,Upper East Side,https://www.zillow.com:443/homedetails/401-E-86th-St-APT-16G-New-York-NY-10028/244746291_zpid/,"For sale: $1,195,000. Opportunity Knocks!



Make this truly spacious convertible three bedroom your own. 



The bones are all here:

High floor, corner home with open southern and western views, 9' ceilings throughout, jumbo living room that can easily accommodate both living and dining, large windowed dining area that can become a third bedroom/den/office, windowed kitchen, two big bedrooms, two full bathrooms (one with window), through-wall HVAC, and four large closets. There is also an attractive built-in bookcase.



The Fairmont Manor is a well-run, full service co-op with live-in resident manager, lovely roof deck, gym, and large laundry room. Perfectly located near all transportation including the Q train, a plethora of excellent restaurants, multiple food stores, and the serene Carl Schurz Park with dog run.



This co-op requires 25% down, welcomes pets, pied-a-terre purchase, and guarantors. Apartment 16G is being sold as is.



Please call or email for your private showing."
5,4950000.00,"554 E 82nd St # MAISONETTE, New York, NY 10028",-73.947303,40.772399,10028,0,1,2637,2015,4,4,Upper East Side,https://www.zillow.com:443/homedetails/554-E-82nd-St-MAISONETTE-New-York-NY-10028/2104374101_zpid/,"For sale: $4,950,000. The Maisonette duplex spans over 3,300 square feet of indoor and outdoor living. This gracious 4 bedroom, 4 bathroom residence with North and South exposures is accessible through a well-appointed doorman lobby or from your own key locked elevator on the second floor.
 
The first floor leads to your 23 feet wide living room featuring a wood-burning fireplace, with views of your private landscaped and manicured garden. The kitchen includes CaesarStone countertops, a custom tile backsplash, a 6 burner Wolf range/externally vented hood, a Subzero refrigerator and a wine cooler. The apartment is outfitted with custom Poliform closets and electronic custom shades in each room. To the left of the entrance lies the first floor full bathroom and hallway leading to a bedroom, which can easily function as a home office or family room. The second floor offers 3 bedrooms and 3 full bathrooms. The oversized master suite is 23 feet wide and includes a wood burning fireplace. The 5 fixture en-suite master bathroom features a large steam shower, double vanity, and oversized Jacuzzi tub. Each bathroom throughout the home includes high end Kholer fixtures and Bianco Carrara marble. The home includes built-in audio speakers, central air conditioning/heating by zone, a state of the art security system and it is pre-wired for audio visual and Wi-Fi. Other features include: a private laundry room, radiant-heated white oak flooring throughout the apartment, floor-to-ceiling windows, 2 wood burning fireplaces, an irrigated private garden, and private storage in the basement.
 
Completed in East 82nd Street is a luxury Upper East Side condominium which includes 4 floor-through homes. Amenities include a doorman and fitness facility (plus a Peloton bike and subscription). This luxury condominium also provides an exclusive storage room for every apartment. Situated by all of the landmarks the neighborhood has to offer including Carl Schurz Park and Gracie Mansion, this home is the epitome of the timeless Upper East Side lifestyle."
6,1100000.00,"3 E 85th St # 7A, New York, NY 10028",-73.960231,40.780811,10028,0,1,1300,1913,1,1,Upper East Side,https://www.zillow.com:443/homedetails/3-E-85th-St-7A-New-York-NY-10028/244742088_zpid/,"For sale: $1,100,000. New Listing!Gracious 1 (or 2) bedroom apartment in lovely, intimate JER carpenter-designed building just off Fifth Avenue, across from the MET and Central Park.This apartment has a European flair with its prewar details throughout. WBF, elegant crown moldings, 10 ft high beamed ceilings, original solid herringbone floors, oversized windows, large square rooms with built in bookcases and cabinets. There is a pair of fluted columns at the entrance to the large sun flooded 17.1' by 29.1' south and west facing corner drawing room. One can look from here across Fifth Avenue to the Temple of Dendur. This elegant room and the formal dining room make it ideal for entertaining in style.The floorplan is flexible so bring your architect. (See suggested alternative floorplans attached for options).A.) 1 Br, 1 bath plus formal dining room with adjacent kitchen. OR,B.) 2 BR, 1 bath, with dining area at one end of huge LR., formal dining room becomes large bedroom. OR,C.) As it once was with a windowed kitchen in part of what is now the drawing room, plus a master bedroom with bath, as well as a formal dining room doubling for a guest room with second full bath en-suite.This boutique co-op is on a beautiful tree-lined street just off Fifth Avenue's Museum Mile where you will find the Met, Neue Galerie, Jewish Museum, Guggenheim Museum. Central Park is steps away and Madison Avenue fine shopping just around the corner. This is quintessential Upper East Side living. This well-run co-op has a live-in super, mail and packages are hand-delivered to your doorstep, laundry and storage are in the basement."
7,NaN,NaN,-73.94987,40.776039,NaN,NaN,NaN,207546,1962,NaN,NaN,Upper East Side,https://www.zillow.com:443/homedetails/400-E-85th-St-APT-2F-New-York-NY-10028/244824611_zpid/,NaN
8,2999999.00,"1025 5th Ave # 7BN, New York, NY 10028",-73.960933,40.779616,10028,0,1,--,1955,3,3,Upper East Side,https://www.zillow.com:443/homedetails/1025-5th-Ave-7BN-New-York-NY-10028/122079382_zpid/,"For sale: $2,999,999. Make your home in this exquisite three-bedroom, three-bathroom cooperative, where the grandeur of Fifth Avenue is highlighted by modern condo-like amenities. Immaculate finishes and a gracious layout define this spacious showplace. The dramatic gallery creates an inviting first impression with gleaming hardwood floors, tall ceilings, stunning millwork and ample closet space. Just ahead, an expansive and sunny great room provides plenty of space for living and dining with classic pre-war architecture as your breathtaking backdrop. French doors invite you into the chic black-and-white eat-in kitchen where a crystal chandelier illuminates cozy meals and stainless steel  appliances, including a dishwasher and wine refrigerator, attend to cooking and entertaining needs.

Two complete bedroom suites are situated in a split layout for optimal seclusion. The southern suite features a massive walk-in closet and private bath with a shower, and the north-facing suite includes a wide reach-in closet and a lovely en suite bathroom with tub. The third bedroom is placed directly outside the full guest bath. This home's flexible floorplan means that any bedroom is equally well-suited as a study, media room or formal dining room. A laundry room with in-unit washer-dryer adds convenience, and abundant closets and built-ins easily attend to storage in this well-planned Upper East Side co-op. 1025 Fifth Avenue is a postwar cooperative that stretches between East 83rd and 84th streets with a bold, canopy entrance on the avenue. Here, residents enjoy the finest amenities, services and surroundings, beginning with a vast marble lobby and central courtyard. White-glove service includes 24-hour doormen, concierge and elevator operators, and the building features a fitness center, storage, bike room, laundry and on-site parking garage. Maintenances includes cable and utilities. Pets and pieds-à-terre permitted with board approval. Two percent flip tax paid by purchaser. Located on the Upper East Side's famed Museum Mile, directly across from the Metropolitan Museum of Art, you're surrounded by world-famous art and breathtaking vistas. Start your day in glorious Central Park or shopping along Madison Avenue; visit the Met, the Guggenheim and the Frick; and finish with a nightcap at the Carlyle or Mark hotels. Anything is possible at this prestigious Fifth Avenue address."
9,850000.00,"225 E 86th St APT 903, New York, NY 10028",-73.952678,40.778583,10028,0,1,827,1981,1,1,Upper East Side,https://www.zillow.com:443/homedetails/225-E-86th-St-APT-903-New-York-NY-10028/31542815_zpid/,"For sale: $850,000. Experience the airy splendor as you step inside your new one bedroom triplex. This dramatic loft-like space marries the downtown spirit with uptown sensibilities on the toney upper eastside. The main level has a renovated open kitchen with brand new floors - dining area and plenty of storage. Your spacious inviting living room on the mezzanine level is expanded by a glorious SOLARIUM. The bathroom was renovated as well. There's plenty of closets throughout including the WIC on the third level. High loft ceilings reach over the upper level master bedroom.  225 East 86th Street is a secure full service 24-hour doorman condominium with amenities that include a laundry room, bike room, storage room and beautiful roof deck for socializing. Take advantage of the fabulous shopping and culture - just a few blocks from Museum Mile! Nearby transportation is a plus with 4, 5, 6 and Q trains only a block and a half away. Fairway and WholeFoods within a block. This is not just another cookie-cutter. It is a ""must see"" so call me now!"
