,Neighborhood,address,bath,bed,description,latitude,logitude,page_url,price,rent,sale,size,year built,zipcode
0,Upper East Side,"345 E 80th St APT 6J, New York, NY 10075",1,1,"For sale: $875,000. ESTATE SALE OPPORTUNITY: Take advantage of the price discount from last year's purchase of this totally renovated One Bedroom, One Bath with separate Dining Area and South facing balcony, condominium apartment. This perfect starter home or Pied e Terre features beautiful hardwood flooring, a new kitchen featuring Stainless Appliances, and a new bathroom. Washer Dryer permitted. The Eastwinds is a Full Service, Upper East side, Luxury Condominium with a 24 hour doorman, on site parking garage, roof deck, luggage and common storage, laundry room and bike room. New common areas are under installation. Furnished Photos are Virtual Images.
Bring all offers!!!",40.773471,-73.952304,https://www.zillow.com:443/homedetails/345-E-80th-St-APT-6J-New-York-NY-10075/31544205_zpid/,875000.00,0,1,733,1973,10075
1,Upper East Side,"2 E End Ave APT 7A, New York, NY 10075",3,2,"For sale: $2,750,000. Just listed! 

This magnificent two bedroom, two and a half bathroom residence is perfectly situated on the seventh floor at 2 East End Avenue.
 
Originally a three bedroom, this expansive and impeccably renovated home embodies prewar elegance and sophistication with modern luxuries and conveniences. Upon entering this wonderful home you are immediately struck by the dramatic 10ft. high ceilings, stunning crown and base moldings, and gleaming 5"" wide oak flooring throughout. This spectacular home boasts an exceptional ""open living"" design that flows from a decadent dining room with an adjacent wet bar, to a sitting gallery area and finally to a spacious and bright living room. The masterfully planned and meticulously renovated chef's eat-in kitchen features gorgeous granite countertops, custom cabinetry, Viking range & Miele vented hood, Sub-Zero fridge and Miele dishwasher. The spacious master suite features four custom closets and a relaxing seating area. The luxurious en-suite master bath has floor to ceiling Carrara marble, double vanity, designer nickel-plated fixtures and an enormous glass enclosed steam room with shower and Neptune tub. The second bedroom, currently being used as a den or guestroom, sits ideally on the opposite side of the apartment and also has custom built-ins and a full en-suite bathroom. This incredible home also has a washer/dryer and recessed lighting and Sonos sound system throughout.
 
Not your typical Upper East Side coop, 2 East End Avenue was originally a lighting factory built in 1910 and converted to a coop in 1978. Allowing for the residences to have very unique and grand open layouts, with extraordinary high ceilings that you don't frequently see in the Upper East Side. This pet friendly, 57 unit coop, has a splendid art-deco lobby, a 24 hour doorman, a resident manager, two fitness rooms, bike storage and storage units (available for a fee). Located close to lush Carl Schurz Park and the East River Promenade. Tranquility and bliss await you at 2 East End Avenue.",40.770804,-73.948299,https://www.zillow.com:443/homedetails/2-E-End-Ave-APT-7A-New-York-NY-10075/92337604_zpid/,2750000.00,0,1,2100,1910,10075
2,Upper East Side,"162 E 80th St APT 9C, New York, NY 10075",2,2,"For sale: $1,995,000. This classic pre-war five-room home is everything you've been looking for. Located mid-block on a quiet street lined with trees and townhouses, the bright well-proportioned two bedroom, two bath apartment strikes the perfect balance between warm period details and modern upgrades all set in a full-service building.
A gracious foyer opens into a great room featuring beamed ceilings, a wood burning fireplace, through-wall air conditioning, and herringbone floors. With a touch of a button, the Lutron system adjusts the lights and the solar shades rise over the five over-sized windows that provide wonderful southern exposures and clear western views toward the adjacent church steeple. The great room, combining a well-proportioned living room and a gracious dining room, makes this space wonderful for entertaining or everyday living. The 9'3"" ceilings create a loft-like airy feeling while the double-hung Marvin windows provide classic style in this modernized upper east side home. 
The updated windowed kitchen features granite counter tops, a Sub Zero refrigerator, a Miele dishwasher and washer/dryer, and a gas range. The tranquil master bedroom includes magnificent cabinetry and an updated en suite windowed bathroom with convenient storage. Adjacent to the master bedroom is an equally elegant, peaceful second bedroom and eastern facing windowed bath that receives warm morning light. This tastefully appointed home includes in-wall cable, Nest Protect alarms, and Sonos wireless speakers.
The 10 story building features 3 apartments per floor with amenities that include a full-time doorman, live in resident manager, individual storage that transfers with the sale, two bike rooms and an additional central laundry. This pet friendly building in PS 6 accepts pied a terres as well as subletting on a case by case basis. The building permits 50% financing and there is a 2% flip tax paid by the buyer. 
This bright, classic home "" has it all.""",40.775186,-73.957921,https://www.zillow.com:443/homedetails/162-E-80th-St-APT-9C-New-York-NY-10075/72531228_zpid/,1995000.00,0,1,--,1926,10075
3,Upper East Side,"40 E 78th St # 12C, New York, NY 10075",2,2,"For sale: $3,190,000. State of the Art renovations, high floor sprawling two bedroom, two bathroom condominium home boasts southern and eastern exposures. The entry foyer leads to the oversized living room, open kitchen and two king size bedrooms with en-suite bathrooms. The complete renovation of residence 12-C includes all new electrical/plumbing, recessed lighting, superior selection of materials and high level condo finishes. 

This also features an abundance custom made California closets, walnut floors, marble bathrooms with Moen fixtures. The spectacular chefs kitchen offers beautifully crafted cabinets, Italian Calacatta marble countertops and state of the art Gaggenau appliances. 

This majestic residence ideally situated on a quiet tree lined stretch of Madison Avenue with easy access to Central Park, The Metropolitan Museum, Schools P.S. 006 Lillie D.Blake and J.H.S 167 Robert F. Wagner, Exclusive boutiques and top art galleries.

The Charles House is a full Service, white glove condominium with a beautiful roof deck, gym, garage, bicycle room, and individual storage bins available to residents. Pets welcome",40.775754,-73.962512,https://www.zillow.com:443/homedetails/40-E-78th-St-12C-New-York-NY-10075/63870765_zpid/,3190000.00,0,1,1200,1958,10075
4,Upper East Side,"40 E 78th St # 7H, New York, NY 10075",3,2,"For sale: $3,695,000. Renovated with the utmost attention to detail by famed Italian designer Leopoldo Rosati (featured in Architectural Digest), the most discerning buyers will quickly fall in love with this Upper Eastside gem, replete with modern flare.  



Configured as a grand 1,844-square-foot 2-bedroom, 3-bathroom with a spacious living room, this sophisticated home in The Charles House Condominium can be easily converted back to its original 3-bedroom layout. 



Starting with the formal entry foyer, Apartment 7H boasts wenge hardwood floors throughout. Every door was replaced with custom mahogany frames, every closet redesigned to maximize storage, and every light strategically placed to highlight an art collection. The spacious full bathroom off the entry, serving as a guest bath/powder room, is chicly renovated with Dornbracht fixtures and a BainUltra jet-tub.



Enter the large master suite from a dressing hall with custom closets on either side, made from imported wood. The recently renovated master bathroom boasts Dornbracht and Duravit fixtures as well as a large glass shower. This bright, private bedroom enjoys a quiet, north and east-facing treetop view of East 78th Street. 



Chefs will love the eat-in kitchen, customized with stone counters, an enormous Sub-Zero refrigerator, two Sub-Zero freezer drawers, a Bosch dishwasher, Gaggenau stovetop, and Miele oven. Eastern light floods the kitchen, perfect for a morning cup of coffee at the breakfast bar. 



The third bathroom is also fully renovated, en suite from the second bedroom/den, which is thoughtfully separated for the utmost privacy. This smart and contemporary home has ample storage throughout, including three walk-in closets and generous custom built-ins in almost every room. 



The Charles House is a pet-friendly, full-service condominium just steps from Central Park. 



Amenities include 24-hour doorman, fitness room, garage, planted roof deck with sweeping park views, private storage, bike room, and live-in super. Low monthly carrying costs add to ease of owning in this wonderful building.



Please note Apt 7H can be combined/purchased in conjunction with 7A to create a sprawling +2500 SF apartment.",40.775754,-73.962512,https://www.zillow.com:443/homedetails/40-E-78th-St-7H-New-York-NY-10075/31534226_zpid/,3695000.00,0,1,1844,1958,10075
5,Upper East Side,"176 E 77th St APT 2-K, New York, NY 10075",2,2,"For sale: $1,750,000. SUPER LOW MAINTENANCE PLUS  SUPER QUIET...DOES NOT FACE THE STREET! 

Welcome home to  176 East 77th Street. This newly renovated, two bedroom, two bathroom, in pristine condition apartment; not a detail has been missed! 

From the moment you enter, you will be impressed by the beautiful Brazilian Cherry Wood 5"" plank floor that is throughout the home. The windowed kitchen has been renovated with an expansive island, stainless steel appliances, quartz counter tops, Carrara marble backsplash and a wine fridge. 

Both bathrooms are outfitted with Carrara marble tiles and the over -sized master bathroom boasts a double sink. 

No need for extra storage as there are closets galore! 

Lenox Manor is a full service luxury co-op located in the heart of the Upper East Side and west of 3rd Avenue. In addition, the building allows Washer/Dryers with board approval, live-in resident manager, on-site parking garage, low monthly maintenance and pet friendly which makes this home a true value. 

30% down payment required.",40.773162,-73.95909,https://www.zillow.com:443/homedetails/176-E-77th-St-APT-2-K-New-York-NY-10075/72528376_zpid/,1750000.00,0,1,--,1957,10075
6,Upper East Side,"400 E 77th St APT 6J, New York, NY 10075",1,1,"For sale: $650,000. Size matters. It matters when you want space to host a SuperBowl Party or Thanksgiving dinner. It matters when you want to cook together and have space for more than one person in the kitchen. It matters when you love your clothes and need a custom walk-in California closet to accommodate them.

Open city views facing west offer picturesque sunsets and a twinkling backdrop at night. The living room includes a built-in bar, with dual-zone wine refrigerator, perfect for cocktail parties and buffet dinners.

Renovated kitchen with stainless steel appliances has enough space to cook together.

This apartment includes 6 closets, including a massive, customizable walk-in closet in the bedroom.

-Large living room with plenty of light
-Dining space
-Kitchen with wood cabinetry and granite countertops
-Large Bedroom 
-Six Closets (Walk-In California Closet) 
-Renovated Bathroom.

The building: Emery Towers offers full-time doorman, live-in super, garage, storage, bike room and laundry room. Pets are permitted. Pied-a-terres are permitted.

The neighborhood: Two blocks from John Jay Park and paths along the East River. 72nd Street Q Train or 77th Street 6 Train. Now that the Q-train has been completed, neighbors can enjoy the dining options along Second Avenue and quick transportation to midtown and along the Upper East Side.",40.770836,-73.953574,https://www.zillow.com:443/homedetails/400-E-77th-St-APT-6J-New-York-NY-10075/113975292_zpid/,650000.00,0,1,800,1964,10075
7,Upper East Side,"10 E End Ave APT 12A, New York, NY 10075",1,1,"For sale: $645,000. OWNER SAYS SELL, LET'S MAKE A DEAL.... It's hard to find rooms this large in a one bedroom home. Not only is this apartment spacious, it is very quiet and has bright southern light. This lovely home has well proportioned rooms, moldings, honey- color parquet floors throughout and abundant closet space. The extra wide living room features a wall of windows and ample space for a separate dining area. The renovated kitchen with huge pantry closet, has granite counter tops, natural wooden cabinets and top of the line appliances. The hall bathroom has been renovated as well. Make this your new home in the New Year!!

Well established cooperative conveniently located between East 79th and 80th Street with full time doorman. The building has a garage, central air conditioning,a wonderful new furnished roof deck, bike, storage and laundry room. Low maintenance and pets are permitted. Perfect location steps away from Carl Schurz Park and the East River Promenade.",40.771085,-73.948194,https://www.zillow.com:443/homedetails/10-E-End-Ave-APT-12A-New-York-NY-10075/244740615_zpid/,645000.00,0,1,230473,1957,10075
8,Upper East Side,"300 E 77th St APT 6B, New York, NY 10075",3,2,"For sale: $2,295,000. A Sun-Drenched, Spacious 2-Bedroom/2.5 Bath Home available in one of the Upper East Side's Finest Condominiums. 



A gracious foyer opens into the ample living space. Off the foyer, there is a grand hallway, with a wall of closets for maximum storage, leading to an elegant powder room. In one closet, there is a Bosch Washer and Dryer.



The living area consists of floor to ceiling windows facing West and a large open living and dining room. There is a wine refrigerator as well as modern and intelligently designed cabinetry throughout. Off the dining, the well-appointed Chef's kitchen with stainless steel appliances, granite countertops and custom cabinets accommodates plenty of storage.



The split, second bedroom is large and bright. It has an en-suite bathroom, and is the perfect home office with the beautiful built-in desk and cabinet.



Retreat to the master bedroom with large closets, room for a California king, desk and multiple dressers. The luxurious en-suite bathroom has double sinks, a soaking tub and separate walk-in shower.



The Seville, designed by renowned architect Robert A. M. Stern, with full-time doorman and maintenance staff, offers a complete lifestyle with a location perfectly positioned near mass transit, world renowned restaurants, shopping and schools. Their luxurious amenities include a full fitness center with a pool and lifeguard, gym, locker rooms, sauna, steam, massage rooms, children's playroom, business center, lounge and outdoor space.",40.771689,-73.955816,https://www.zillow.com:443/homedetails/300-E-77th-St-APT-6B-New-York-NY-10075/63871439_zpid/,2295000.00,0,1,1454,2000,10075
9,Upper East Side,"333 E 79th St APT 17V, New York, NY 10075",1,1,"For sale: $725,000. Make this spacious one-bedroom, one-bath co-op your Upper East Side dream home. With a prime location in tranquil Yorkville, the apartment is convenient to all the city has to offer - while providing an oasis from city life. 
The well thought-out floor plan features a 28' long main living area with hardwood floors, an oversized picture window and elegant crown molding. It's open to the kitchen - which boasts a complete stainless steel appliance package, granite countertops and solid pine cabinetry with glass inserts. There is also industrial-style track lighting over the convenient breakfast bar. The separate dining area is anchored by an Art Deco-style chandelier. Sunny and bright, the bedroom can fit a King size bed and also provides generous closet/storage space - a rarity in New York City. In addition, the pristine bath has Kohler fixtures and striking custom lighting. 
Located in a full-service building complete with 24-hour doorman. Amenities include a live-in super, on-site parking garage, fitness center, playground and play room, residents' laundry, outdoor courtyard, community recreation facilities and additional storage. Transit options include the new Q train. Near The Metropolitan Museum of Art and Central Park - with shopping, restaurants and bars all within easy reach - this special apartment brings you the very best in Manhattan living. 
 
Please note: the co-op permits co-purchasing, gifting, guarantors and financing up to 80%. In addition, in-unit washer/dryers and pets are allowed.",40.772891,-73.952878,https://www.zillow.com:443/homedetails/333-E-79th-St-APT-17V-New-York-NY-10075/79506388_zpid/,725000.00,0,1,850,1961,10075
