,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,375000.00,"226 W 113th St APT 12A, New York, NY 10026",-73.954902,40.801399,10026,0,1,--,1920,3,1,Central Harlem,https://www.zillow.com:443/homedetails/226-W-113th-St-APT-12A-New-York-NY-10026/2085039026_zpid/,"For sale: $375,000. Spacious and Airy 3 bedrooms,1 bath apartment located on the 5th floor of a well kept HDFC elevator building, separate windowed kitchen, maids room, formal dining room and living room face north, lots of closets and space, the layout is L shape giving lots of privacy, make it your own space, electrical recently upgrade, income guideline are: $87,720 ? 1p, $100,200-2pp, $112,680-3pp-4pp,240-5pp; $145,200 -6pp, situated 3 blocks from central park and morningside park, shopping, restaurants, 125th Street retail corridor and arts and cultural centers, near 2/3/B&C trains and many bus lines. Tenant Occupied, Showing by appointment only, please email for one!"
1,279000.00,"208 W 119th St APT 4H, New York, NY 10026",-73.951677,40.805369,10026,0,1,--,1900,1,1,Central Harlem,https://www.zillow.com:443/homedetails/208-W-119th-St-APT-4H-New-York-NY-10026/2090715428_zpid/,"For sale: $279,000. Accepted offer - Spacious and Bright one bedroom in an elevator building. This is a HDFC cooperative in the Best Harlem location. Create your dream, and bring your contractor. This one bedroom is in a prewar elevator building and requires a renovation..This spacious one bedroom in Harlem has a great closets and ample storage space. High ceilings and a Bay window (seat) are some of what you have to work with in this home. The building is well maintained and centrally located. There is a live-in super and porters on staff. Laundry in the building and storage is available. This sale is subject to board approval and income guidelines..The maximum income for one is $120,615, two individuals $137,775, Close to three parks and Harlem's Restaurant Row,Cecil's and Minton's. Best Yet Market and Whole Foods on 125th Street. CitiBike One Block away !"
2,350000.00,"352 W 115th St APT 2E, New York, NY 10026",-73.958,40.8045,10026,0,1,--,1910,3,1,Central Harlem,https://www.zillow.com:443/homedetails/352-W-115th-St-APT-2E-New-York-NY-10026/2085008374_zpid/,"For sale: $350,000. Own a piece of Manhattan! Very Large (3) bedroom co-op in Morningside Heights. There is so much potential here to add your special touch and create the perfect home. A prime location, a hop and a skip away from the beautiful Morningside Park. Conveniently located near Columbia University, Restaurants, Bars, and much more. The 116th street subway is a 2 minute walk to the B and C trains. This is an HDFC co-op, the income caps are as follows: $66,024 for a person/family with 2 or less dependents.  $77,028 for a family with 3 or more dependents.  The minimum required down payment is 20%."
3,NaN,NaN,-73.954178,40.801636,NaN,NaN,NaN,1545,1920,NaN,NaN,Central Harlem,https://www.zillow.com:443/homedetails/1864-Adam-C-Powell-Blvd-51-New-York-NY-10026/2085094304_zpid/,NaN
4,1350000.00,"361 W 116th St, New York, NY 10026",-73.957099,40.805301,10026,0,1,3264,1901,6,4,Central Harlem,https://www.zillow.com:443/homedetails/361-W-116th-St-New-York-NY-10026/2089740451_zpid/,"For sale: $1,350,000. Offering: The property (Block 1943:Lot 11) is located on the northern side of West 116th street, and is built 17 by 48 on a 100.92 lot within the South Harlem area. The property is zoned R7A and has an FAR of 4.0.



The Opportunity: The property is built to approximately 3264 square feet on a lot that will allow up to 6800 square foot and sits outside of the historic district. With so much additional square footage available, this building can be the cornerstone of an assemblage, a buy and hold, or eventual 1-4 family conversion. 



This is a legal SRO with 11 B rooms with all rooms occupied at closing. This will be delivered WITHOUT the Certificate of no harassment and fully occupied. NOI approximately $50k per annum. 

Layout:

Ground floor: 2 B rooms, full renovated common bathroom

1st floor:         2 B rooms, full renovated common bathroom

2nd floor:          3 B rooms, full common bathroom

3rd floor:           4 B rooms, full common bathroom



NOTE THIS WILL BE DELIVERED FULLY OCCUPIED***



Please email for rent roll."
5,3995000.00,"317 W 112th St, New York, NY 10026",-73.957916,40.802393,10026,0,1,3333,1900,5,4,Central Harlem,https://www.zillow.com:443/homedetails/317-W-112th-St-New-York-NY-10026/31550436_zpid/,"For sale: $3,995,000. This South Harlem brownstone on 112th Street is located on one of the finest blocks in Harlem. Morningside Park is at the end of the block and Central Park is just 2 blocks South. The first and parlor floor duplex features an over-sized squared living room with garden views through the sliding glass doors. There is an outdoor deck which also leads to the spacious garden below. This home has 3 bedrooms, 2 marble baths, an extra-large open U shaped kitchen with pass thru to the living room. 10'4"" ceilings and 7'9"" arched windows, ceiling fans throughout, direct garden access from the master bedroom, and a WIC in the master.. The third and fourth floors are floor-thru one bedrooms which also include a squared living room, excellent closets, open kitchens, high ceilings and beautiful arched windows. There is sunny southern light in all three apartments. There is also an office with private entrance on street level, perfect for a home office and a full basement with laundry room and a large bonus room. The building was gut renovated in 2000 with new mechanicals and roof. A new 100-gallon water tank was installed in 2007. The townhouse has newly painted walls, refinished floors, and more. Located in lower Central Harlem, you are close to shops, restaurants, cafes, transportation and Parks. Shown by private appointment."
6,4000000.00,"137 W 111th St, New York, NY 10026",-73.953697,40.799701,10026,0,1,3200,1900,15,3,Central Harlem,https://www.zillow.com:443/homedetails/137-W-111th-St-New-York-NY-10026/2085016866_zpid/,"For sale: $4,000,000. Lovely South Harlem bed and breakfast for sale!

This four story brownstone is a legal hotel. 

Located in the beautiful SoHa neighborhood it s conveniently located a block from central park

as well as only a block from either the 2/3 trains or the B/C trains both at 110th street. 

It's set up as 13 hotel rooms with one permanent tenant as well as a ground floor apartment that also contains a permanent  tenant 

Boasting an NOI of approximately $216,000 this building is an excellent value at a 5.4% CAP rate. 

The Hotel is in operation, so showings must be during the day at advance notice. 

Fee free to call or email for showings."
7,459000.00,"1878 7th Ave APT 52, New York, NY 10026",-73.954002,40.801799,10026,0,1,--,1925,2,1,Central Harlem,https://www.zillow.com:443/homedetails/1878-7th-Ave-APT-52-New-York-NY-10026/2085225626_zpid/,"For sale: $459,000. RAW +SPACE equals LOFT
Classic NYC 60 foot long hall living. This high floor east facing apartment offers options galore and can be reconfigured from its current 2 bedroom layout to a massive one bedroom or four bedroom with rooms for all. BRING YOUR CONTRACTOR. THIS ONE NEEDS A COMPLETE RENOVATION ***HDFC*** Facing onto Historic tree lined 7th Avenue with its church steeples and low brick buildings, the big open sky dominates your view. Four short blocks to Central Park and close to Morningside Park, Columbia U and City College. Nearby #4/2/C trains & myriad cross town buses. All services, schools, markets and restaurants nearby. Live-in Super.Laundry In Building. Elevator. CASH ONLY please. Income restrictions apply."
8,975000.00,"368 W 117th St APT 1C, New York, NY 10026",-73.95689,40.805792,10026,0,1,923,1901,2,2,Central Harlem,https://www.zillow.com:443/homedetails/368-W-117th-St-APT-1C-New-York-NY-10026/65321813_zpid/,"For sale: $975,000. Meticulously maintained boutique condo overlooking Morningside Park at the corner of a quiet, tree lined street. This spacious 2-bedroom, 1.5 bath apartment offers a large and sunny open living and dining area with park views, hardwood floors, 9 ft ceilings. The kitchen was recently upgraded and boasts and extra long butcher countertop with plenty of space for cooking. Washer and dryer in-unit. Morningside Court Condo is located on a quiet block with a private garden, community room, outside common patio for residents, bike room and additional basement storage for each unit. Two blocks from the supermarket, pharmacy, and Frederick Douglass, with plenty of restaurants, bars, and shops around. The building is pet-friendly but must be owner occupied - NO INVESTORS. Very low maintenance of $618 / month makes this apartment very affordable and a full tax abatement is in place until 2029."
9,385000.00,"130 Lenox Ave APT 807, New York, NY 10026",-73.948799,40.802101,10026,0,1,700,1999,1,1,Central Harlem,https://www.zillow.com:443/homedetails/130-Lenox-Ave-APT-807-New-York-NY-10026/2093446808_zpid/,"For sale: $385,000. RARE CORNER UNIT WITH SPECTACULAR VIEWS AT THE RENAISSANCE! 

Very well laid out one-bedroom on a high floor with amazing views of the city! This unit gets great natural light, has plenty of closet space including a walk-in closet in the bedroom. There is a dining room for added living space with hardwood floors throughout, the kitchen comes with granite counter tops and dishwasher. 

The Renaissance is a full-service doorman building situated with the 2/3 express trains on the corner. The Renaissance is one of South Harlem's premier HDFC Coop buildings. Two pets up to 40lbs each are allowed."
