bath,bed,latitude,logitude,price,size,year built,zipcode,distance to subway,complaints
4,6,40.805301,-73.957099,1350000,3264,1901,10026,0.149062004,5057.0
4,5,40.802393,-73.957916,3995000,3333,1900,10026,0.174712267,5057.0
3,15,40.799701,-73.95369699999999,4000000,3200,1900,10026,0.156687296,5057.0
2,2,40.805792,-73.95689,975000,923,1901,10026,0.17025637100000002,5057.0
1,1,40.802101,-73.948799,385000,700,1999,10026,0.053712825,5057.0
2,4,40.801799,-73.954002,682000,1100,1925,10026,0.280455682,5057.0
1,1,40.80365,-73.955052,449000,400,1900,10026,0.058423377,5057.0
2,3,40.803187,-73.955899,1600000,1322,2008,10026,0.12693647800000002,5057.0
4,5,40.802919,-73.94539,1945000,2224,1899,10026,0.352288736,5057.0
3,5,40.805308000000004,-73.956886,3295000,2880,2016,10026,0.134195979,5057.0
5,7,40.804485,-73.948932,3845000,4600,1901,10026,0.259779558,5057.0
1,3,40.806098,-73.95659599999999,850000,725,1900,10026,0.184221921,5057.0
1,2,40.80164,-73.9538,465000,980,1925,10026,0.303016134,5057.0
2,4,40.803901,-73.948799,1295000,1312,1910,10026,0.20188862,5057.0
2,3,40.801601,-73.9542,999000,1545,1920,10026,0.296427569,5057.0
6,4,40.805999,-73.95459699999999,4750000,3456,2006,10026,0.171537154,5057.0
4,9,40.802942,-73.946464,2300000,3708,1899,10026,0.26675507800000003,5057.0
1,2,40.800534000000006,-73.947361,799000,889,2003,10026,0.24013790699999998,5057.0
2,3,40.800461,-73.952853,2450000,2000,2003,10026,0.17231136,5057.0
1,2,40.800473,-73.956416,729900,670,1910,10026,0.17302962600000002,5057.0
2,3,40.804415000000006,-73.948764,1325000,1457,1910,10026,0.25641744899999996,5057.0
1,3,40.799597999999996,-73.95459699999999,775000,1200,1904,10026,0.20308647300000002,5057.0
2,3,40.799803000000004,-73.95295300000001,975000,1037,1915,10026,0.114045489,5057.0
6,6,40.798801,-73.952903,11900000,5400,2006,10026,0.038996825,5057.0
8,7,40.805490999999996,-73.957167,3985000,4420,1899,10026,0.16520478,5057.0
0,1,40.800542,-73.95921,725000,589,1989,10026,0.066088487,5057.0
4,5,40.8008,-73.95850300000001,8495000,3348,2017,10026,0.011041019,5057.0
2,1,40.803701000000004,-73.955173,925000,863,2007,10026,0.052491982,5057.0
2,3,40.799803000000004,-73.95295300000001,997000,1037,1915,10026,0.114045489,5057.0
1,1,40.802898,-73.956901,649000,523,2008,10026,0.189559545,5057.0
2,2,40.801190999999996,-73.95850300000001,1055000,905,1988,10026,0.037067846,5057.0
2,2,40.7985,-73.951698,1575000,1233,2019,10026,0.066564625,5057.0
3,3,40.804856,-73.953704,2275000,2672,1892,10026,0.120865964,5057.0
1,2,40.802331,-73.951915,620000,740,1920,10026,0.17144538199999998,5057.0
2,3,40.798,-73.94899699999999,1395000,1350,1989,10026,0.28210589199999997,5057.0
1,1,40.801226,-73.959221,1250000,661,2012,10026,0.079498626,5057.0
3,3,40.80205,-73.95049,1650000,1426,2006,10026,0.04749909099999999,5057.0
2,2,40.806098,-73.956398,849000,869,1910,10026,0.176935962,5057.0
2,3,40.803901,-73.948799,1750000,1425,1910,10026,0.20188862,5057.0
2,2,40.8036,-73.949798,1350000,1141,1910,10026,0.15254339,5057.0
3,3,40.803275,-73.95729,2350000,2188,2015,10026,0.180315145,5057.0
2,2,40.8012,-73.959198,1925000,1108,2012,10026,0.076385441,5057.0
2,2,40.798,-73.94899699999999,985000,922,1989,10026,0.28210589199999997,5057.0
3,3,40.798801,-73.952903,3495000,1936,2006,10026,0.038996825,5057.0
3,3,40.798801,-73.952903,3499999,1955,2006,10026,0.038996825,5057.0
2,3,40.801099,-73.947102,1825000,1488,2014,10026,0.22647609300000002,5057.0
4,4,40.8008,-73.95850300000001,3995000,2113,2017,10026,0.011041019,5057.0
2,3,40.801226,-73.959221,2495000,1265,2012,10026,0.079498626,5057.0
1,0,40.801077,-73.94779399999999,470000,500,2006,10026,0.17690281600000002,5057.0
2,2,40.8031,-73.9496,1199000,1257,1899,10026,0.097505316,5057.0
1,0,40.7985,-73.951698,630000,450,2019,10026,0.066564625,5057.0
3,3,40.8008,-73.95850300000001,2825000,1596,2017,10026,0.011041019,5057.0
1,2,40.799803000000004,-73.95295300000001,720000,548,1915,10026,0.114045489,5057.0
1,1,40.801190999999996,-73.95850300000001,695000,595,1988,10026,0.037067846,5057.0
2,2,40.804165999999995,-73.95033000000001,1125000,1105,1920,10026,0.221149431,5057.0
2,2,40.801031,-73.948337,1225000,1147,2006,10026,0.141311632,5057.0
3,3,40.798801,-73.952903,2995000,1936,2006,10026,0.038996825,5057.0
3,4,40.8008,-73.95850300000001,4335750,1797,2017,10026,0.011041019,5057.0
2,3,40.8008,-73.95850300000001,2815000,1608,2017,10026,0.011041019,5057.0
1,1,40.800542,-73.95921,699000,589,1989,10026,0.066088487,5057.0
3,3,40.8008,-73.95850300000001,4636500,1814,2017,10026,0.011041019,5057.0
2,2,40.798,-73.94899699999999,1125000,1109,1989,10026,0.28210589199999997,5057.0
1,1,40.800461,-73.952853,899000,910,2003,10026,0.17231136,5057.0
2,2,40.801099,-73.947102,1275000,1046,2014,10026,0.22647609300000002,5057.0
1,1,40.798,-73.94899699999999,695000,696,1989,10026,0.28210589199999997,5057.0
1,1,40.7985,-73.951698,815000,664,2019,10026,0.066564625,5057.0
1,1,40.801077,-73.94779399999999,700000,742,2006,10026,0.17690281600000002,5057.0
1,1,40.798,-73.94899699999999,750000,675,1989,10026,0.28210589199999997,5057.0
1,2,40.808923,-73.95361199999999,325000,46752,1912,10027,0.19817017,3405.0
3,8,40.805801,-73.949302,2200000,4500,1920,10027,0.36465644799999997,3405.0
3,6,40.80516,-73.94976899999999,3995000,4300,1920,10027,0.32592564399999996,3405.0
4,4,40.806326,-73.947459,2424000,3952,1899,10027,0.208187939,3405.0
4,7,40.805642,-73.948964,2800000,5800,1920,10027,0.352829257,3405.0
4,6,40.805167,-73.945886,4200000,6000,1899,10027,0.267138148,3405.0
1,2,40.8184,-73.9546,476000,650,1905,10027,0.328200561,3405.0
6,5,40.809377000000005,-73.95469,2750000,3840,1899,10027,0.20651847199999998,3405.0
1,2,40.810039,-73.95853100000001,650000,725,1920,10027,0.462964079,3405.0
5,5,40.805049,-73.946377,4675000,4540,1909,10027,0.288327967,3405.0
1,1,40.816331,-73.960074,445000,600,1910,10027,0.146539788,3405.0
2,2,40.808267,-73.951287,950000,1023,1910,10027,0.273848932,3405.0
2,3,40.815101,-73.953498,1360000,1248,2018,10027,0.37607176299999995,3405.0
5,17,40.804697999999995,-73.945899,3300000,5500,1909,10027,0.319023124,3405.0
11,6,40.80692,-73.951992,4375000,4590,1910,10027,0.37670549799999997,3405.0
3,4,40.807448,-73.950118,3250000,2340,2005,10027,0.368374064,3405.0
6,6,40.809298999999996,-73.946502,3295000,5100,1910,10027,0.16673226800000002,3405.0
1,2,40.807201,-73.953598,769000,861,2003,10027,0.329240162,3405.0
4,5,40.811381,-73.945577,3495000,3280,2000,10027,0.37653244399999997,3405.0
4,6,40.805091,-73.94960400000001,2950000,4500,1899,10027,0.31842793399999997,3405.0
2,2,40.804297999999996,-73.946536,1400000,1200,1909,10027,0.34461650200000005,3405.0
2,2,40.8069,-73.954696,999000,925,2006,10027,0.26169414399999996,3405.0
5,8,40.806452,-73.948945,3500000,5507,1910,10027,0.301489987,3405.0
5,4,40.813701,-73.946502,2199000,3183,1910,10027,0.37170468100000004,3405.0
1,1,40.812515000000005,-73.958696,489000,700,1956,10027,0.293019563,3405.0
2,3,40.807423,-73.953588,1198000,1116,2003,10027,0.35121453399999997,3405.0
4,4,40.814074,-73.947323,2350000,3340,1910,10027,0.315060247,3405.0
1,2,40.805553,-73.945763,624999,800,1900,10027,0.223266248,3405.0
2,2,40.809121000000005,-73.951471,1450000,1242,2010,10027,0.182115644,3405.0
2,2,40.806999,-73.947402,1375000,1234,2008,10027,0.158228641,3405.0
1,2,40.813417,-73.959181,630000,9180,1956,10027,0.20182526399999998,3405.0
2,2,40.810398,-73.943099,1100000,1306,2005,10027,0.332928925,3405.0
6,7,40.808144,-73.943688,2095000,2889,1909,10027,0.133100996,3405.0
5,8,40.808774,-73.942495,2999000,5200,2000,10027,0.25087882300000003,3405.0
5,4,40.805203999999996,-73.949872,3875000,4103,1910,10027,0.331008766,3405.0
1,2,40.812615,-73.957213,685000,904,1956,10027,0.299437609,3405.0
4,4,40.808422,-73.94165699999999,2600000,2360,1909,10027,0.306723823,3405.0
2,2,40.813201,-73.952903,1218000,1065,2018,10027,0.166222744,3405.0
1,2,40.813093,-73.958387,695000,9180,1956,10027,0.227991602,3405.0
4,3,40.809298999999996,-73.945396,2500000,2577,2018,10027,0.14539782699999998,3405.0
3,3,40.810398,-73.943099,2275000,2116,2005,10027,0.332928925,3405.0
1,2,40.813417,-73.959181,700000,950,1956,10027,0.20182526399999998,3405.0
1,1,40.812515000000005,-73.958696,549000,700,1956,10027,0.293019563,3405.0
3,3,40.811599,-73.959701,3160000,1839,2019,10027,0.408135664,3405.0
2,2,40.810398,-73.943099,1085000,1292,2005,10027,0.332928925,3405.0
3,3,40.811599,-73.959701,2670000,1764,2019,10027,0.408135664,3405.0
1,0,40.8129,-73.9449,619000,503,2015,10027,0.34201971700000006,3405.0
1,1,40.813201,-73.952903,835000,743,2018,10027,0.166222744,3405.0
3,3,40.811599,-73.959701,2950000,1764,2019,10027,0.408135664,3405.0
1,2,40.808911,-73.96523,1400000,148982,1910,10027,0.129677165,3405.0
4,4,40.811599,-73.959701,3800000,2120,2019,10027,0.408135664,3405.0
1,2,40.813417,-73.959181,735000,9180,1956,10027,0.20182526399999998,3405.0
3,2,40.811599,-73.959701,2100000,1452,2019,10027,0.408135664,3405.0
2,2,40.807598,-73.950401,1275000,1146,2018,10027,0.373799583,3405.0
1,2,40.812515000000005,-73.958696,740000,904,1956,10027,0.293019563,3405.0
3,3,40.808267,-73.951287,2095000,2114,1910,10027,0.273848932,3405.0
1,1,40.812515000000005,-73.958696,538000,700,1956,10027,0.293019563,3405.0
1,2,40.812059000000005,-73.959326,925000,950,1957,10027,0.35095561299999994,3405.0
1,2,40.812615,-73.957213,849000,950,1956,10027,0.299437609,3405.0
1,2,40.813093,-73.958387,675000,9180,1956,10027,0.227991602,3405.0
1,1,40.812059000000005,-73.959326,750000,700,1957,10027,0.35095561299999994,3405.0
1,0,40.80985,-73.943102,573000,479,2014,10027,0.283327781,3405.0
2,2,40.811599,-73.959701,1750000,1189,2019,10027,0.408135664,3405.0
1,1,40.808399,-73.952201,845000,755,2010,10027,0.238686733,3405.0
2,2,40.811599,-73.959701,2225000,1289,2019,10027,0.408135664,3405.0
2,1,40.809101,-73.955299,995000,945,2011,10027,0.265283379,3405.0
1,1,40.812515000000005,-73.958696,547500,700,1956,10027,0.293019563,3405.0
2,2,40.811599,-73.959701,1850000,1243,2019,10027,0.408135664,3405.0
1,2,40.812515000000005,-73.958696,849000,950,1956,10027,0.293019563,3405.0
2,2,40.807598,-73.950401,1395000,1146,2018,10027,0.373799583,3405.0
1,1,40.812515000000005,-73.958696,605000,950,1956,10027,0.293019563,3405.0
1,0,40.811599,-73.959701,970000,542,2019,10027,0.408135664,3405.0
1,1,40.811599,-73.959701,1265000,733,2019,10027,0.408135664,3405.0
1,1,40.811599,-73.959701,1275000,831,2019,10027,0.408135664,3405.0
1,1,40.811599,-73.959701,1320000,801,2019,10027,0.408135664,3405.0
1,1,40.806999,-73.947402,889000,842,2008,10027,0.158228641,3405.0
1,1,40.811599,-73.959701,1150000,770,2019,10027,0.408135664,3405.0
2,3,40.821498,-73.9402,299000,1100,1921,10030,0.336172112,4542.0
1,1,40.823087,-73.944858,275000,700,1920,10030,0.079065272,4542.0
1,3,40.820701,-73.940299,300000,900,1950,10030,0.321479152,4542.0
1,4,40.817901,-73.938598,399000,990,1920,10030,0.319517854,4542.0
3,6,40.818575,-73.946095,2500000,3534,1901,10030,0.09723682199999999,4542.0
5,4,40.822475,-73.944182,2250000,2700,1899,10030,0.153324918,4542.0
1,4,40.820701,-73.940299,325000,900,1950,10030,0.321479152,4542.0
4,5,40.817766999999996,-73.942995,2550000,4400,1910,10030,0.360900819,4542.0
3,4,40.819887,-73.94534300000001,3195000,3000,1899,10030,0.231990124,4542.0
1,2,40.819308,-73.93891500000001,419000,17470,1920,10030,0.23295915899999997,4542.0
5,4,40.822798999999996,-73.94368100000001,1950000,2984,1901,10030,0.14106427,4542.0
2,3,40.818199,-73.945701,1370000,1550,1994,10030,0.128398076,4542.0
5,0,40.816299,-73.944702,1450000,3332,1910,10030,0.268224791,4542.0
6,6,40.822586,-73.944695,2815000,3350,1901,10030,0.134015275,4542.0
2,3,40.817901,-73.945098,960000,1172,1980,10030,0.184970095,4542.0
6,6,40.818276000000004,-73.944203,3295000,5160,1899,10030,0.253442297,4542.0
2,1,40.813818,-73.943601,480000,600,1910,10030,0.21029561600000002,4542.0
1,1,40.816501,-73.941101,310000,750,1930,10030,0.24349202,4542.0
2,3,40.821686,-73.942836,850000,1300,1920,10030,0.282981456,4542.0
1,2,40.813818,-73.943601,639000,875,1910,10030,0.21029561600000002,4542.0
2,2,40.8152,-73.948196,899100,999,2019,10030,0.18648652899999998,4542.0
1,2,40.813818,-73.943601,680000,887,1910,10030,0.21029561600000002,4542.0
0,0,40.8176,-73.942497,1890000,4560,1910,10030,0.38882000200000005,4542.0
2,2,40.816897999999995,-73.942001,1118000,863,2018,10030,0.301428172,4542.0
1,1,40.819468,-73.93929399999999,575000,766,2008,10030,0.25382634600000004,4542.0
1,0,40.81743,-73.944129,438880,350,1893,10030,0.279120698,4542.0
1,1,40.819468,-73.93929399999999,645000,803,2008,10030,0.25382634600000004,4542.0
2,1,40.8152,-73.948196,764100,794,2019,10030,0.18648652899999998,4542.0
1,1,40.818599,-73.942298,775000,900,1926,10030,0.414496311,4542.0
1,1,40.8152,-73.948196,602100,629,2019,10030,0.18648652899999998,4542.0
1,1,40.8152,-73.948196,688500,724,2019,10030,0.18648652899999998,4542.0
1,0,40.816897999999995,-73.942001,588000,476,2018,10030,0.301428172,4542.0
2,2,40.816897999999995,-73.942001,1180000,1019,2018,10030,0.301428172,4542.0
1,1,40.8152,-73.948196,629100,704,2019,10030,0.18648652899999998,4542.0
2,2,40.816897999999995,-73.942001,1208000,1051,2018,10030,0.301428172,4542.0
2,2,40.816897999999995,-73.942001,1238000,1057,2018,10030,0.301428172,4542.0
1,1,40.819468,-73.93929399999999,695000,803,2008,10030,0.25382634600000004,4542.0
2,2,40.816897999999995,-73.942001,1158000,1057,2018,10030,0.301428172,4542.0
1,1,40.816897999999995,-73.942001,798000,792,2018,10030,0.301428172,4542.0
1,1,40.816897999999995,-73.942001,720000,622,2018,10030,0.301428172,4542.0
1,0,40.816897999999995,-73.942001,599000,520,2018,10030,0.301428172,4542.0
1,1,40.816897999999995,-73.942001,745000,627,2018,10030,0.301428172,4542.0
2,4,40.8152,-73.93800300000001,399000,910,1925,10037,0.247167985,2622.0
2,3,40.80979,-73.93800300000001,659000,1300,1920,10037,0.514876317,2622.0
4,13,40.810501,-73.941497,2000000,4800,1910,10037,0.38164502100000003,2622.0
4,11,40.810001,-73.941497,1395000,3654,1910,10037,0.393116888,2622.0
7,7,40.810646999999996,-73.94189200000001,3700000,5700,1910,10037,0.37214347799999997,2622.0
5,5,40.811714,-73.941722,2599999,3744,1880,10037,0.253950206,2622.0
1,0,40.815446,-73.93768100000001,345000,284,1940,10037,0.28400228,2622.0
2,2,40.816101,-73.938301,925000,1005,2018,10037,0.288561702,2622.0
2,3,40.816101,-73.938301,1450000,1114,2018,10037,0.288561702,2622.0
2,2,40.816101,-73.938301,975000,1005,2018,10037,0.288561702,2622.0
2,2,40.816101,-73.938301,1075000,1025,2018,10037,0.288561702,2622.0
1,1,40.816101,-73.938301,649000,681,2018,10037,0.288561702,2622.0
1,1,40.816101,-73.938301,675000,669,2018,10037,0.288561702,2622.0
1,1,40.826485,-73.94015999999999,450000,594,1921,10039,0.29403487300000003,2555.0
3,3,40.824001,-73.939498,1995000,2700,1903,10039,0.21192418100000002,2555.0
2,3,40.8227,-73.942298,890000,1170,2003,10039,0.230992389,2555.0
2,3,40.823392999999996,-73.942262,960000,1085,2005,10039,0.193965362,2555.0
1,1,40.826485,-73.94015999999999,500000,587,1921,10039,0.29403487300000003,2555.0
2,2,40.823392999999996,-73.942262,848000,942,2005,10039,0.193965362,2555.0
1,1,40.824001,-73.939498,725000,796,1903,10039,0.21192418100000002,2555.0
1,1,40.823856,-73.93871800000001,605000,750,2012,10039,0.148064039,2555.0
2,2,40.823392999999996,-73.942262,919000,1053,2005,10039,0.193965362,2555.0
9,7,40.751098,-74.002998,58500000,11121,2016,10001,0.44610722799999997,5441.0
3,3,40.751998,-74.003303,18500000,6400,1904,10001,0.36363526700000004,5441.0
