,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Long Island City,NaN,NaN
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Long Island City,NaN,NaN
2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Long Island City,NaN,NaN
3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Long Island City,NaN,NaN
4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Long Island City,NaN,NaN
5,850000.00,"1112 44th Dr # 2A, Long Island City, NY 11101",-73.949203,40.748199,11101,0,1,723,2018,1,1,Long Island City,https://www.zillow.com:443/homedetails/1112-44th-Dr-2A-Long-Island-City-NY-11101/2084909583_zpid/,"For sale: $850,000. Experience a new standard of luxury living in the heart of Long Island City at QNS44. This spacious 723 sq ft one-bedroom corner residence with a home office is a stunning example of meticulous design and voluminous open living-dining space. Airy 10' ceilings, 8' doors, expansive double-glazed windows that stretch nearly floor to ceiling, classic herringbone-patterned oak floors, a wealth of closets, and a smart home energy-saving HVAC system controlled by Nest are among the refined elements. The custom kitchen is stylishly appointed with Calacatta Classic Quartz countertops and backsplashes, and sleek yet elegant Scavolini cabinetry, which also seamlessly conceals the refrigerator and dishwasher with custom paneling, and reveals a perfectly-integrated stainless steel Bertazzoni gas range with vented hood. The generously-sized bedroom features an oversized walk-in closet that is a rare offering for a one-bedroom apartment in NYC! The large, lovely full bathroom creates a sanctuary of calm with imported polished glazed porcelain and marble tiles, Scavolini vanity with Toto and Grohe fixtures, and deep soaking tub. The home also affords the convenience of an LG stackable washer and dryer that vents outside, contained within an easy to access utility closet.

A contemporary gem, QNS44 presents a collection of 49 beautiful one-bedroom, one bed plus home office, two- and three-bedroom condominium residences in prime Long Island City. Residents will have access to an array of amenities including an outdoor heated rooftop salt water pool and lounge with dramatic Manhattan and Bridge views, an attended lobby, and a spacious fitness center. QNS44 additionally offers a media and social room, thoughtfully equipped with everything you need for entertaining friends or holding business meetings. Lastly, on the lower level is a pet spa for your furry friends, an onsite parking garage, as well as storage and bike storage. Here awaits LIC's new sought-after living destination, in an amazing location mere minutes from the pristine waterfront, beloved local restaurants and cafes, and favorable transit access (E,M,7,G,N,W,R,F) to Manhattan, Brooklyn and beyond."
6,1520000.00,"1042 47th Rd # 1, Long Island City, NY 11101",-73.951896,40.7443,11101,0,1,1226,2019,3,2,Long Island City,https://www.zillow.com:443/homedetails/1042-47th-Rd-1-Long-Island-City-NY-11101/2086222869_zpid/,"For sale: $1,520,000. Home is where the heart is and its all here at The Craftsmen. This exciting development brings a new approach to luxury living in Long Island City. 

 These impeccably designed townhomes on 45th Road, 46th Avenue and 47th Road are unlike anything else in the neighborhood. Each unit within the eight 4-story townhomes offers the appeal of being in your own home within the city. Its sure to be a coveted new address at the heart of one of New York Citys most alluring and vibrant communities. 

 The handsome, inviting exterior faade sets the tone for the inspired design of these finely crafted residences. Generously proportioned, these airy units range from studios to 3 bedrooms, accommodating everyones needs while enhancing the definition of home. The result is a private sanctuary that is both separate from and connected to this thriving, dynamic neighborhood. 

 All homes feature high ceilings, solid white oak floors throughout and oversized windows. Ranging from 647 to 1,296 square feet, each unit comes with an individual outdoor space to unwind in and relax. Smartly styled layouts have been meticulously crafted with the most in-demand finishes, all carefully considered to ensure an elegant, refined simplicity that is ready for you to make your own. 

 Thoughtfully crafted gourmet kitchens integrate Bosch refrigerators and dishwashers with Bertazzoni ranges and Bosh microwaves, along with a mosaic tile backsplash and Caesarstone countertops. Stylish bathrooms are outfitted with Grohe faucets and showers, Kohler sinks and toilets. Every home includes a washer-dryer hookup. 

 The Craftsmen Townhomes are ideally situated at the intersection of both Hunters Point and Court Square, an appealing waterfront neighborhood with close proximity to many transit options. Manhattan is easily accessible via the 7, G, E, M and W subway lines. The creative energy of LICs arts and cultural scene is all within reach, along with restaurants, shopping, the John F. Murray Playground, and so much more. 

 Express yourself in a home that feels like it was designed especially for you. Its urban living redefined, resulting in an intimate private retreat that is a combination of comfort and convenience expressed through outstanding craftsmanship."
7,1395000.00,"1125 45th Ave APT 3B, Long Island City, NY 11101",-73.94882,40.747823,11101,0,1,1085,2012,2,2,Long Island City,https://www.zillow.com:443/homedetails/1125-45th-Ave-APT-3B-Long-Island-City-NY-11101/119532959_zpid/,"For sale: $1,395,000. For Sale By Owner - Beautiful, spacious and quiet 2 bedroom/2 bathroom in boutique building! (updated photos to be uploaded by this weekend) This spacious condo has a peaceful balcony, amazing closet space and over sized windows inviting an abundance of light in .The finishes include dark oak-flooring, stainless steel appliances and white stone tile in the bathrooms. Upgraded features by owner include extra insulation in walls, heated bathrooms, upgraded LED lighting in bathrooms, whisper quite ceiling fans, Restoration Hardware Pendant Lamps in kitchen, custom curtain rods throughout, window screens, and elfa closets. 



The building offers a beautiful furnished roof-deck with grill, fitness room, library, parking garage, storage lockers, bike room, dog grooming station, part-time doorman, and full-time super. Pets are welcomed.



It also has a 421-A Tax Abatement which expires in Sept of 2027 (only $1,325 per year). Building finances are in fantastic shape with over $390k in reserves and no debt. The maintenance has never gone up and there have never been special assessments. 



It is located on Murray Park which recently completed a multi-million dollar upgrade to include playground for the little ones, a soccer field and dog park. 1-2 blocks from Court Square subways, which include the 7, E, M, and G trains."
8,5000000.00,"901 40th Ave, Long Island City, NY 11101",-73.944781,40.757415,11101,0,1,6440,1916,16,7,Long Island City,https://www.zillow.com:443/homedetails/901-40th-Ave-Long-Island-City-NY-11101/31936780_zpid/,"For sale: $5,000,000. Corner Property. Sale Includes 2 Buildings Located On 901 40 Ave And 38-65 9 St I.The Buildings Are Located Next To Each Other. 901 40 Ave Includes One Store And Seven (3) Bedroom Apartments. 3865 9 St Includes One Office And Three (2) Bedroom Apartments. Building Is Rent Stabilized All Rented With Leases Gross Income $250,000..Walk To F Train.10 Minutes Ride To Pen Station Manhattan, Huge Upside Potential"
9,2400000.00,"3802 28th St, Long Island City, NY 11101",-73.934631,40.755012,11101,0,1,2000,1915,5,3,Long Island City,https://www.zillow.com:443/homedetails/3802-28th-St-Long-Island-City-NY-11101/31936588_zpid/,"For sale: $2,400,000. Two Family corner property in a perfect Dutch Kills/LIC location. Currently configured as a first floor two bedroom and top floor three bedrooms this house offers a variety of potential uses for anyone looking to create a great investment for themselves or have a small development site. 

Building Details
Two Family (B2 Bldg Class)
Res FAR 3
Commercial FAR 2
Total Allowed Buildable Sqft - 6,057
Zoning - M1-2/R6A
Lot Sqft - 2,019 
Lot Dimension - 25 ft x 80.75 ft
Building Sqft - 2,000
Building Dimension - 25 ft x 40 ft"
