,link,region
0,/homedetails/3360-21st-St-APT-7B-Astoria-NY-11106/245456299_zpid/,Long Island City
1,/homedetails/3228-30th-St-Long-Island-City-NY-11106/31938588_zpid/,Long Island City
2,/homedetails/3114-Crescent-St-Astoria-NY-11106/31937846_zpid/,Long Island City
3,/homedetails/2110-33rd-Ave-14B-Astoria-NY-11106/2085192274_zpid/,Long Island City
4,/homedetails/3540-30th-St-4M-Astoria-NY-11106/117440169_zpid/,Long Island City
5,/homedetails/3555-29th-St-APT-3F-Astoria-NY-11106/82789548_zpid/,Long Island City
6,/homedetails/3615-34th-St-Long-Island-City-NY-11106/31939925_zpid/,Long Island City
7,/homedetails/2511-33rd-Ave-Long-Island-City-NY-11106/31938390_zpid/,Long Island City
8,/homedetails/2185-34th-Ave-APT-6A-Astoria-NY-11106/245457052_zpid/,Long Island City
9,/homedetails/1423-31st-Ave-1NUM-Astoria-NY-11106/2085065289_zpid/,Long Island City
10,/homedetails/3185-Crescent-St-APT-104-Astoria-NY-11106/72648693_zpid/,Long Island City
11,/homedetails/3114-Crescent-St-APT-6B-Astoria-NY-11106/122759199_zpid/,Long Island City
12,/homedetails/1124-31st-Ave-APT-15E-Long-Island-City-NY-11106/112510688_zpid/,Long Island City
13,/homedetails/3618-29th-St-Long-Island-City-NY-11106/31936332_zpid/,Long Island City
14,/homedetails/3454-10th-St-Long-Island-City-NY-11106/31936125_zpid/,Long Island City
15,/homedetails/3135-31st-St-APT-707-Astoria-NY-11106/143363797_zpid/,Long Island City
16,/homedetails/21-10-33rd-Rd-APT-14B-Astoria-NY-11106/72648178_zpid/,Long Island City
17,/homedetails/2540-31st-Ave-APT-3A-Astoria-NY-11106/245388610_zpid/,Long Island City
18,/homedetails/3113-12th-St-Long-Island-City-NY-11106/31937029_zpid/,Long Island City
19,/homedetails/3119-36th-St-1-FAMILY-Astoria-NY-11106/2085627836_zpid/,Long Island City
20,/homedetails/3282-33rd-St-Long-Island-City-NY-11106/31939274_zpid/,Long Island City
21,/homedetails/2514-31st-Ave-APT-4D-Astoria-NY-11106/2085048294_zpid/,Long Island City
22,/homedetails/3549-10th-St-Long-Island-City-NY-11106/31936167_zpid/,Long Island City
23,/homedetails/2540-31st-Ave-APT-3U-Astoria-NY-11106/245479508_zpid/,Long Island City
24,/homedetails/3442-29th-St-Long-Island-City-NY-11106/31938522_zpid/,Long Island City
50,/homedetails/3135-31st-St-UNIT-410-Astoria-NY-11106/2131812076_zpid/,Long Island City
51,/homedetails/3426-10th-St-Long-Island-City-NY-11106/59876930_zpid/,Long Island City
52,/homedetails/3185-Crescent-St-APT-119-Astoria-NY-11106/219839065_zpid/,Long Island City
53,/homedetails/1124-31st-Ave-APT-7D-Long-Island-City-NY-11106/112518250_zpid/,Long Island City
54,/homedetails/1124-31st-Ave-APT-4A-Long-Island-City-NY-11106/112337175_zpid/,Long Island City
55,/homedetails/3430-28th-St-Astoria-NY-11106/2110050303_zpid/,Long Island City
56,/homedetails/31st-Ave-Long-Island-City-NY-11106/2106912180_zpid/,Long Island City
57,/homedetails/3128-14th-St-Astoria-NY-11106/95273373_zpid/,Long Island City
58,/homedetails/3141-12th-St-Astoria-NY-11106/31937041_zpid/,Long Island City
59,/homedetails/3432-35th-St-6E-Long-Island-City-NY-11106/245380375_zpid/,Long Island City
60,/homedetails/1124-31st-Ave-APT-11E-Long-Island-City-NY-11106/112510659_zpid/,Long Island City
61,/homedetails/3425-9th-St-Astoria-NY-11106/2088975478_zpid/,Long Island City
62,/homedetails/3432-35th-St-Astoria-NY-11106/245358989_zpid/,Long Island City
63,/homedetails/3462-10th-St-Astoria-NY-11106/31936126_zpid/,Long Island City
64,/homedetails/3432-35th-St-2F-Long-Island-City-NY-11106/245369640_zpid/,Long Island City
65,/homedetails/3455-9th-St-1-Astoria-NY-11106/2087244379_zpid/,Long Island City
66,/homedetail/AuthRequired.htm?r=pfc&zpid=295023122,Long Island City
67,/homedetail/AuthRequired.htm?r=pfc&zpid=295023121,Long Island City
68,/homedetail/AuthRequired.htm?r=pfc&zpid=245352769,Long Island City
69,/homedetail/AuthRequired.htm?r=pfc&zpid=248133740,Long Island City
70,/homedetail/AuthRequired.htm?r=pfc&zpid=248765987,Long Island City
71,/homedetail/AuthRequired.htm?r=pfc&zpid=250527378,Long Island City
72,/homedetail/AuthRequired.htm?r=pfc&zpid=250649804,Long Island City
73,/homedetail/AuthRequired.htm?r=pfc&zpid=250649805,Long Island City
74,/homedetail/AuthRequired.htm?r=pfc&zpid=154075224,Long Island City
75,/homedetail/AuthRequired.htm?r=pfc&zpid=154075398,Long Island City
76,/homedetail/AuthRequired.htm?r=pfc&zpid=250649995,Long Island City
77,/homedetail/AuthRequired.htm?r=pfc&zpid=294983333,Long Island City
