,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,2698000.00,"33 Rector St APT 9, New York, NY 10006",-74.014952,40.708308,10006,0,1,2170,1920,3,2,Lower Manhattan,https://www.zillow.com:443/homedetails/33-Rector-St-APT-9-New-York-NY-10006/60147604_zpid/,"For sale: $2,698,000. Stunning, architecturally designed loft featured in Interior Design offers space, views, light and finishes for the most discerning buyer. Easily converted to a 3-4 bedroom / 3 bath home, this spacious 2170 sf floor-through loft is currently configured as a massive 2 bedroom/ 2 bathroom residence allowing for comfortable living and entertaining.

The grand sunfilled great room boasts 3 exposures, windows showcasing incredible city and river views and magical sunsets. Custom closets and millwork around the perimeter maximize storage throughout. The kitchen is custom designed by Varenna and has an over-sized island with Corian and Oak countertops, double Subzero refrigerator/freezers and Gaggenau appliances. 

The master suite is outfitted with Poliform closets and a spa like bathroom with separate soaking tub and steam rain shower. The second bedroom is large in scale, and the entry hall boasts more cabinetry, plus a massive private storage room off the entry. Laundry room, central A/C, custom sound and lighting complete this special offering.

33 Rector Street is an intimate condominium situated at the crossroads of the Financial District and Battery Park, just South of Tribeca. In the center of the best downtown has to offer- a short distance to Westfield World Trade Center, Brookfield Place, soon to be opened Whole Foods, and top restaurants such as Nobu, Augustine and Blue Ribbon.The Rector and Wall Street subway stations are a short walk offering connectivity to every subway line.

*Taxes represent an owner issued credit of $1000 per month for one year."
1,4800000.00,"50 West St # 9B, New York, NY 10006",-74.014992,40.707763,10006,0,1,2309,2016,3,4,Lower Manhattan,https://www.zillow.com:443/homedetails/50-West-St-9B-New-York-NY-10006/244727117_zpid/,"For sale: $4,800,000. This incredible 2,309SF - 3BR/3.5BTH corner residence at 50WEST Luxury Condominium has an amazing feature: Double Height 20FT ceilings wrapped with approximately 900SF of floor-to ceiling curved glass panoramic windows, providing great light throughout the year.
Living and entertainment space are important in any home, there we socialize with the friends and family spending most of the time. 
The enormous state-of-the-art chef's kitchen with massive 13FT long center-island is open to the entertaining space and features brushed Zimbabwe granite counter tops, abundant custom walnut cabinetry with pull out pantries and top-of-the-line Miele: oven, speed oven, cook top and kitchen hood, which vents outside and Subzero appliances: Refrigerator and wine cooler. 
Elegant master Bedroom features Walk-in closet and two additional large closets to spare. En-suite Luxurious master bath finished with Siberian Sunset marble throughout, radiant heated floors, spacious shower, deep soaking tub, double vanity, Kohler fixtures, and enclosed with the frosted glass door TOTO.
Additional split 2 BRs located on the South side of the residence and have en-suit bathrooms and great sunlight.
For guests is a cute powder room, conveniently located next to hallway and the kitchen.

Brand new, built in 2016, the 50 WEST Luxury Condominium conveniently located in the heart, what now calls New Downtown, just short distance from the future Whole Foods @ 1 Wall Street, Etaly gourmet store and supermarket, Equinox Gym & shopping at the Brookfield Place, Retail at the Westfield place, in close proximity to the neighborhood's newest top chefs restaurants and parks. The luxury 186-unit building features a 24- hours doorman and concierge, resident manager, approximately 30,000sf of amenities spaces for entertainment, physical and social activities, managed by Axiom management that provides diverse events and classes in a regular basis. Enjoy space, privacy and Luxury living right in the heart of Downtown's most celebrated community. Truly spectacular!"
2,648000.00,"88 Greenwich St APT 416, New York, NY 10006",-74.013813,40.707867,10006,0,1,608,1929,1,1,Lower Manhattan,https://www.zillow.com:443/homedetails/88-Greenwich-St-APT-416-New-York-NY-10006/143071658_zpid/,"For sale: $648,000. Investors or End-Users, this highly versatile, converted space works for either: there are tenants in place on a month-to-month basis who would sign a new lease, or it can be delivered vacant. Originally a 1BR, the owners erected a proper wall with a door to create a 2nd, windowed sleeping area. Keep it up, or take it down, it's your choice!  The photos are virtually staged to allow the buyer to visualize it's potential. The entry hall is unusually wide, and flanked with closets: the kitchen currently offers a pass-thru window, but it could be opened out completely, joining these two areas. 10'6"" ceilings and four tall windows add to the loft-like feeling here. However you choose to utilize this property, the value is undeniable: the lower cc's and flexible space make this a great choice. Schedule your private tour today! The Greenwich Club Condominium offers abundant amenity spaces, all of which are Wi-Fi enabled. On the 24th floor, the Harbor Room is a comfortable lounge offering a kitchen, a restroom, and Cable TV, divided into living and dining areas with windows facing south over NY Harbor and the Verrazano Bridge. Adjacent to this lounge is an outdoor sky deck with elegant new furniture. The ground floor offers both a billiard/TV room, and a library, with a fireplace and a grand piano, and on the lower level a 3,000 square foot gym offering cardio, an extensive weight selection, and a yoga room. There are laundry rooms on every floor."
3,749000.00,"120 Greenwich St APT 2A, New York, NY 10006",-74.013399,40.709007,10006,0,1,568,1903,1,1,Lower Manhattan,https://www.zillow.com:443/homedetails/120-Greenwich-St-APT-2A-New-York-NY-10006/80012123_zpid/,"For sale: $749,000. Steps away from Wall Street and Battery Park in the heart of the Financial District. We are pleased to list 120 Greenwich Street #2A for sale. Named the Greenwich Place Condominium this handsome, Italian Renaissance-palazzo-style 1908 commercial building was converted to a rental apartment building in 1999 and then to a 103-unit, 13 story residential condominium building in 2006. One would say this historic building has stood the test of time and has changed with the evolution of the area dating over 100 years back. As you walk into apartment #2A you are welcomed with an immense amount of sunlight immediately through the oversized loft-style windows. Even though this home offers a northern exposure with direct views of the world's only Freedom Tower from both the Livingroom and Bedroom, natural sunlight is to be expected. With the construction of World Trade Center's One, Three and Four the southern sunlight reflects perfectly inside for a sun filled loft. Throughout the home are towering ceilings stretching 10 6 and built-tough like a 1900s commercial buildings are, there are certain features like heart pine flooring, oversized windows and cast-iron pillars that cannot be ignored. The open-kitchen & living room concept allows for a spacious and entertaining-style of living. The kitchen offers a generous amount of custom mirrored oak finished frames and maple cabinetry with custom under-the-counter lighting throughout. A Liebherr refrigerator with bottom freezer, Brazilian green granite countertop, granite backsplash with a deep stainless-steel sink and Bosch dishwasher. There is also an island with additional storage underneath built with the same custom oak finish cabinetry. The bedroom offers an elevated ceiling height, loft-style oversized windows and direct views of One World Trade Center. This room also has great light and spacious enough for a full bedroom set. The bathroom has a granite floor and porcelain tub. There are granite tiles around the bath with a high-pressure water jet finish. Brushed nickel shower hardware throughout along with a custom vanity and granite backsplash with maple cabinetry. The Greenwich Place Condominium hosts 103 homes with 35 storage units and is pet friendly. There is a 24-hour attended lobby with refrigerated storage, a live-in superintendent, a concierge, a health club, a fully landscaped roof deck, storage units, laundry, central air-conditioning and some on-site parking. The building has a three-story rusticated base and rusticated quoins at its rounded corners, arched windows on the third and 12th floors and a nice cornice. It has a five-step-entrance made of granite with a very impressive broken-pediment entrance, steel pipe handrails and banded columns. The exterior of the building is made of brick walls with cast iron columns. Street facades are terracotta trim, including spandrels at the 2nd and 3rd floor. The area of 120 Greenwich is the hottest place in the Financial District. It is very convenient to the Financial District, Battery Park, TriBeCa and public transportation. Located in the heart of New Yorks dynamic Financial District and just steps from the 9/11 Memorial and Museum, the Freedom Tower, Brookfield Place and the Westfield World Trade Center Mall, 120 Greenwich St. offers users the opportunity to occupy space in one of the most sought-after markets in Manhattan. The area is home to some of the best sightseeing, shopping and historical destinations in New York City. The building is Pet Friendly, and the western-FiDi location is ideal for access to the Hudson River Parks, transportation (PATH, every subway except the F/G) and shopping: literally across the street from Westfield WTC mall, The Fulton Transportation Center, Eataly, and walking distance to the Tribeca Whole Foods. MTA Bus services available on Church Street and Broadway. Entrances to Subway service for the 1 and 9 lines are located on Rector Street and Greenwich Street. The West Side Highway is connected to Interstate 9 and the Henry Hudson Parkway, both of which are major regional arteries. Walking distance to Tribeca, City Hall and the South Street Seaport and Battery Park Esplanade. Please email for a private tour or more information."
4,939000.00,"88 Greenwich St APT 1505, New York, NY 10006",-74.013813,40.707867,10006,0,1,661,1929,1,1,Lower Manhattan,https://www.zillow.com:443/homedetails/88-Greenwich-St-APT-1505-New-York-NY-10006/143071919_zpid/,"For sale: $939,000. A Classic Art Deco 1929 design converted to a designer modern world condo in 2007, this amazing pet friendly one-bedroom unit has a 10' ceiling, Sub-Zero refrigerator, Viking (4) burner stove, microwave, and a dual-drawer Fisher Paykel dishwasher; perfect for the chef within you to create the easiest of gourmet meals. After a long hard day of work, you can relax and enjoy a hot shower with overhead rain showers or a bubble bath in deep tub. Unit 1505 at the 88 Greenwich Club Condominium offers a PRIVATE TERRACE with unobstructed views of Trinity Church as well as the Verrazzano Narrows Bridge. The Greenwich Club Condominium offers abundant amenity spaces, all of which are Wi-Fi enabled. On the 24th floor, the Harbor Room is a comfortable lounge offering a kitchen, a restroom, and Cable TV, divided into living and dining areas with windows facing south over NY Harbor and the Verrazzano Bridge. Adjacent to this lounge is an outdoor Sky Deck with elegant new furniture. The ground floor offers both a billiard/TV room, and a library, with a fireplace and a grand piano, and on the lower level a state of the art 3,000 square foot gym offering cardio, an extensive weight selection, and a yoga room. There are laundry rooms on every floor. This incredible building features a package room and cold storage, business center, live-in super, relaxing billiards / T.V. lounge, bike room, elevator and doorman. 
88 Greenwich Club's location is conveniently located, walk to any style restaurant, Capital Grill, Bobby Van's, Harry's Cafe, Eataly; Food markets, Variety Market, Whole Foods; Retail shopping, Apple, Breitling, Century 21, Tiffany's, Hermes, Banana Republic and so much more! Some of the only indoor malls in Manhattan are all within a 5 minute walk; The Oculus, South Street Seaport, & Fulton Transit Center and various local pubs and entertainment. Walk to all forms of transportation and Manhattan's major subway lines.
Buyer to pay NYC / NYS transfer taxes."
5,1050000.00,"123 Washington St APT 30F, New York, NY 10006",-74.013753,40.709219,10006,0,1,647,2010,1,1,Lower Manhattan,https://www.zillow.com:443/homedetails/123-Washington-St-APT-30F-New-York-NY-10006/117455982_zpid/,"For sale: $1,050,000. Located on the thirtieth floor of the building, this smartly outfitted one bedroom boasts unobstructed northern views of New York's most iconic buildings. The interior is seamlessly designed and crafted for the ultimate in modern living, featuring a sleek white lacquer kitchen with concealed stainless-steel Miele appliances. Interiors include ebony stained maple wood floors, an oversized bathroom featuring Italian crocodile-textured ceramic tiling and towel warmer, and an in-unit washer/dryer. 



The W New York Downtown Hotel & Residences is the first globally branded luxury hotel and residences of its size and scale in downtown New York. The Residences at the W New York - Downtown offers a world-class lifestyle complete with all the perks of a being a guest of W Hotels. The building's resident amenities include privileged insider access to FIT state-of-the-art fitness facility, preferred dining reservations, seating and in-residence dining at the hotels signature BLT Bar. 



Additionally, residents have exclusive access to a digital lounge with large flat screens, video game systems and wireless Internet, a media screening room, cafe, gym and a private residents-only rooftop terrace overlooking New York City. Located in the heart of the new downtown, the W is a stone's throw away from Freedom Tower, Battery Park, the Financial District and Tribeca, with access to every train line and world-class food, shopping, and parks. Open house Sunday by appointment only."
6,999000.00,"88 Greenwich St APT 2602, New York, NY 10006",-74.013813,40.707867,10006,0,1,746,1929,1,1,Lower Manhattan,https://www.zillow.com:443/homedetails/88-Greenwich-St-APT-2602-New-York-NY-10006/143072014_zpid/,"For sale: $999,000. Great New Price , Priced below Mansion tax ! 

Amazing One bedroom apartment in the Tower of 88 Greenwich Street with direct unobstructed river views !! keep your blinds up all day and night in complete privacy with the Harbor and bridge twinkling in the foreground. Beautiful, bright and airy with high ceiling heights , designed by famed Architect McCartan, its finishes are handpicked with exquisite taste, boasting clean lines and modern finishes.

Included in the sale is a deeded tall storage locker ! 


common charges will decrease $179.92 on 07/19/19


This unbeatable downtown apartment is perched high above it all: sitting 26 Stories above sea level with panoramic views of Hudson River, through a wall of huge looking glass windows.

Inside the home you'll find a wide range of amenities including: a chef's kitchen outfitted with Teak custom cabinetry and floors, and Siberian marble countertops/back splashes. The appliance package includes subzero refrigerator, Miele Dishwasher and Viking Stove. The bathrooms are finished in Italian vanilla marble countertops and Mayorca limestone floors, overhead rain shower and Kohler tubs. This home has a spacious floor plan, with beamed ceiling and custom fitted large closets as well.

Residents are also privy to community amenities like a state of the art fitness center, the stylish Harbor Room resident lounge, billiards room and Library. The Greenwich Club Tower offers residents a high-quality living experience . This down town apartment has a courteous and attentive staff, as well as all the necessary amenities to cater to the most discerning New York residents.

The Greenwich Club is located in the Financial district most convenient location with the subway outside it's front door and outdoor recreation just a short walk over the Rector Street Bridge to BPC Esplanade and the Waterfront Plaza at Brookfield Place !"
7,750000.00,"120 Greenwich St APT 4H, New York, NY 10006",-74.013399,40.709007,10006,0,1,541,1903,1,1,Lower Manhattan,https://www.zillow.com:443/homedetails/120-Greenwich-St-APT-4H-New-York-NY-10006/80013555_zpid/,"For sale: $750,000. SHARP WALL STREET PREWAR CONDO
Full size one bedroom condo in newly renovate prewar building in Wall Street. The apartment has beautiful prewar proportions, 10""6' ceiling heights, large windows, modern hardwood flooring and a neatly subway-tiled bathroom. The kitchen has granite counter tops, glossy cabinetry, and new stainless steel appliances. 

Build in 1903 and converted to condominium ownership in Greenwich Street is a 24hr. doorman building with a live-in super, a well-equipped gym, large laundry room, cold storage for groceries, and a landscaped roof deck. The building is convenient to both transportation (Path, Fulton Transport Center subways) and shopping: literally across the street from Westfield WTC mall, Eataly and close to Tribeca, Whole Foods, and just a block from the lush gardens and bike paths of the Hudson River Park system."
8,1150000.00,"123 Washington St APT 30D, New York, NY 10006",-74.013753,40.709219,10006,0,1,667,2010,1,1,Lower Manhattan,https://www.zillow.com:443/homedetails/123-Washington-St-APT-30D-New-York-NY-10006/117456716_zpid/,"For sale: $1,150,000. Located on the thirtieth floor of the building, this smartly outfitted one bedroom boasts unobstructed northern views of New York's most iconic buildings. 



The interior is seamlessly designed and crafted for the ultimate in modern living, featuring a sleek white lacquer kitchen with concealed stainless-steel Miele appliances. Interiors include ebony stained maple wood floors, an oversized bathroom featuring Italian crocodile-textured ceramic tiling and towel warmer, and an in-unit washer/dryer.



The W New York Downtown Hotel & Residences is the first globally branded luxury hotel and residences of its size and scale in downtown New York. The Residences at the W New York - Downtown offers a world-class lifestyle complete with all the perks of a being a guest of W Hotels. The building's resident amenities include privileged insider access to FIT state-of-the-art fitness facility, preferred dining reservations, seating and in-residence dining at the hotels signature BLT Bar. Additionally, residents have exclusive access to a digital lounge with large flat screens, video game systems and wireless Internet, a media screening room, cafe, gym and a private residents-only rooftop terrace overlooking New York City. 



Located in the heart of the new downtown, the W is a stone's throw away from Freedom Tower, Battery Park, the Financial District and Tribeca, with access to every train line and world-class food, shopping, and parks."
9,645000.00,"88 Greenwich St APT 613, New York, NY 10006",-74.013813,40.707867,10006,0,1,627,1929,0,1,Lower Manhattan,https://www.zillow.com:443/homedetails/88-Greenwich-St-APT-613-New-York-NY-10006/97525939_zpid/,"For sale: $645,000. Welcome to The Greenwich Club. This stunning junior-one bedroom boasts 10'6 ceilings and a gracious living room with space for dining and entertaining. Beautiful hardwood floors throughout is complimented by amazing light throughout the day. A Sub-Zero refrigerator, Viking burner stove, microwave, and Fisher Paykel dishwasher, makes this kitchen a chef's dream. The stone bathroom oasis contains an overhead rain shower and deep-soaking Kohler tub allowing you to lie back and relax after a long day. Three enormous closets spoil you with storage. Ideal for all purchases: pied-a-terre, first apartment, or as an investment property. Hotel like services with 24 hour doorman, state of the art gym & yoga facility, package room, cold storage, laundry machines on every floor, business center, live-in super, billiards lounge, bike room, and landscaped Sky Deck. Assessment of $154 until July."
