,Neighborhood,bath,bed,latitude,logitude,price,size,year built,zipcode,Station Name,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9,Route10,Route11,distance to subway
0,Central Harlem,1.0,3.0,40.801398999999996,-73.954902,375000.0,,1920,10026.0,Cathedral Parkway-110th St,B,C,,,,,,,,,,0.30075394483318724
1,Central Harlem,1.0,1.0,40.805369,-73.951677,279000.0,,1900,10026.0,116th St,B,C,,,,,,,,,,0.30051401333139194
2,Central Harlem,1.0,3.0,40.8045,-73.958,350000.0,,1910,10026.0,116th St,B,C,,,,,,,,,,0.1994833350573624
3,Central Harlem,4.0,6.0,40.805301,-73.957099,1350000.0,3264.0,1901,10026.0,116th St,B,C,,,,,,,,,,0.14906200379922918
4,Central Harlem,4.0,5.0,40.802393,-73.957916,3995000.0,3333.0,1900,10026.0,Cathedral Parkway-110th St,B,C,,,,,,,,,,0.17471226742717985
5,Central Harlem,3.0,15.0,40.799701,-73.95369699999998,4000000.0,3200.0,1900,10026.0,110th St-Central Park North,2,3,,,,,,,,,,0.15668729643404933
6,Central Harlem,1.0,2.0,40.801799,-73.954002,459000.0,,1925,10026.0,116th St,B,C,,,,,,,,,,0.280455682250577
7,Central Harlem,2.0,2.0,40.805792,-73.95689,975000.0,923.0,1901,10026.0,116th St,B,C,,,,,,,,,,0.17025637127265525
8,Central Harlem,1.0,1.0,40.802101,-73.948799,385000.0,700.0,1999,10026.0,116th St,2,3,,,,,,,,,,0.05371282516033597
9,Central Harlem,2.0,5.0,40.798099,-73.951499,890000.0,,1903,10026.0,110th St-Central Park North,2,3,,,,,,,,,,0.10820294105036199
10,Central Harlem,2.0,3.0,40.7994,-73.954803,799000.0,,1904,10026.0,110th St-Central Park North,2,3,,,,,,,,,,0.20556827224838603
11,Central Harlem,1.0,2.0,40.806098,-73.95659599999998,495000.0,,1900,10026.0,116th St,B,C,,,,,,,,,,0.1842219207877402
12,Central Harlem,2.0,4.0,40.801799,-73.954002,682000.0,1100.0,1925,10026.0,116th St,B,C,,,,,,,,,,0.280455682250577
13,Central Harlem,1.0,1.0,40.805369,-73.951677,329000.0,,1900,10026.0,116th St,B,C,,,,,,,,,,0.30051401333139194
14,Central Harlem,1.0,1.0,40.80365,-73.955052,449000.0,400.0,1900,10026.0,116th St,B,C,,,,,,,,,,0.05842337745748999
15,Central Harlem,2.0,3.0,40.803187,-73.955899,1600000.0,1322.0,2008,10026.0,116th St,B,C,,,,,,,,,,0.12693647783875134
16,Central Harlem,4.0,5.0,40.802919,-73.94539,1945000.0,2224.0,1899,10026.0,116th St,2,3,,,,,,,,,,0.3522887358060053
17,Central Harlem,1.0,2.0,40.805301,-73.952301,499000.0,,,10026.0,116th St,B,C,,,,,,,,,,0.24889920061840523
18,Central Harlem,3.0,5.0,40.805308000000004,-73.956886,3295000.0,2880.0,2016,10026.0,116th St,B,C,,,,,,,,,,0.1341959786842343
19,Central Harlem,5.5,7.0,40.804485,-73.948932,3845000.0,4600.0,1901,10026.0,116th St,2,3,,,,,,,,,,0.25977955787647966
20,Central Harlem,1.0,3.0,40.806098,-73.95659599999998,850000.0,725.0,1900,10026.0,116th St,B,C,,,,,,,,,,0.1842219207877402
21,Central Harlem,4.0,9.0,40.8031,-73.950698,2500000.0,,1999,10026.0,116th St,2,3,,,,,,,,,,0.12634814045774861
22,Central Harlem,1.0,2.0,40.80164,-73.9538,465000.0,980.0,1925,10026.0,116th St,B,C,,,,,,,,,,0.3030161336925443
23,Central Harlem,2.0,4.0,40.803901,-73.948799,1295000.0,1312.0,1910,10026.0,116th St,2,3,,,,,,,,,,0.20188861978038222
24,Central Harlem,2.0,3.0,40.801601,-73.9542,999000.0,1545.0,1920,10026.0,116th St,B,C,,,,,,,,,,0.2964275689888667
25,Central Harlem,6.0,4.0,40.805999,-73.95459699999998,4750000.0,3456.0,2006,10026.0,116th St,B,C,,,,,,,,,,0.1715371535277945
26,Central Harlem,4.0,9.0,40.802942,-73.946464,2300000.0,3708.0,1899,10026.0,116th St,2,3,,,,,,,,,,0.2667550780802168
27,Central Harlem,1.0,2.0,40.800534000000006,-73.947361,799000.0,889.0,2003,10026.0,116th St,2,3,,,,,,,,,,0.24013790697306991
28,Central Harlem,2.0,3.0,40.800461,-73.952853,2450000.0,2000.0,2003,10026.0,110th St-Central Park North,2,3,,,,,,,,,,0.17231135966333957
29,Central Harlem,1.0,2.0,40.800473,-73.956416,729900.0,670.0,1910,10026.0,Cathedral Parkway-110th St,B,C,,,,,,,,,,0.17302962599187074
30,Central Harlem,2.0,3.0,40.80441500000001,-73.948764,1325000.0,1457.0,1910,10026.0,116th St,2,3,,,,,,,,,,0.25641744872733946
31,Central Harlem,1.0,3.0,40.799597999999996,-73.95459699999998,775000.0,1200.0,1904,10026.0,110th St-Central Park North,2,3,,,,,,,,,,0.20308647317948939
32,Central Harlem,7.0,5.0,40.800701000000004,-73.953903,7900000.0,,1915,10026.0,110th St-Central Park North,2,3,,,,,,,,,,0.24190658713743154
33,Central Harlem,2.0,3.0,40.799803000000004,-73.95295300000002,975000.0,1037.0,1915,10026.0,110th St-Central Park North,2,3,,,,,,,,,,0.11404548855237852
34,Central Harlem,6.0,6.0,40.798801,-73.952903,11900000.0,5400.0,2006,10026.0,110th St-Central Park North,2,3,,,,,,,,,,0.03899682536503932
35,Central Harlem,8.5,7.0,40.805490999999996,-73.957167,3985000.0,4420.0,1899,10026.0,116th St,B,C,,,,,,,,,,0.16520477973659392
36,Central Harlem,0.0,1.0,40.800542,-73.95921,725000.0,589.0,1989,10026.0,Cathedral Parkway-110th St,B,C,,,,,,,,,,0.06608848674369561
37,Central Harlem,1.0,0.0,40.803199,-73.945999,625000.0,100.0,,10026.0,116th St,2,3,,,,,,,,,,0.31364979571747537
38,Central Harlem,4.5,5.0,40.8008,-73.95850300000002,8495000.0,3348.0,2017,10026.0,Cathedral Parkway-110th St,B,C,,,,,,,,,,0.011041019359691026
39,Central Harlem,2.0,1.0,40.803701000000004,-73.955173,925000.0,863.0,2007,10026.0,116th St,B,C,,,,,,,,,,0.05249198221980847
40,Central Harlem,2.0,3.0,40.799803000000004,-73.95295300000002,997000.0,1037.0,1915,10026.0,110th St-Central Park North,2,3,,,,,,,,,,0.11404548855237852
41,Central Harlem,1.0,1.0,40.802898,-73.956901,649000.0,523.0,2008,10026.0,116th St,B,C,,,,,,,,,,0.18955954474271638
42,Central Harlem,2.0,2.0,40.801190999999996,-73.95850300000002,1055000.0,905.0,1988,10026.0,Cathedral Parkway-110th St,B,C,,,,,,,,,,0.03706784577440874
43,Central Harlem,2.0,2.0,40.803298,-73.957199,1499000.0,1619.0,,10026.0,116th St,B,C,,,,,,,,,,0.17281596176587152
44,Central Harlem,2.0,2.0,40.7985,-73.951698,1575000.0,1233.0,2019,10026.0,110th St-Central Park North,2,3,,,,,,,,,,0.0665646248370825
45,Central Harlem,3.0,3.0,40.804856,-73.953704,2275000.0,2672.0,1892,10026.0,116th St,B,C,,,,,,,,,,0.12086596372983285
46,Central Harlem,1.0,2.0,40.802331,-73.951915,620000.0,740.0,1920,10026.0,116th St,2,3,,,,,,,,,,0.1714453818169384
47,Central Harlem,2.0,3.0,40.798,-73.94899699999998,1395000.0,1350.0,1989,10026.0,110th St-Central Park North,2,3,,,,,,,,,,0.28210589220712246
48,Central Harlem,1.0,1.0,40.801226,-73.959221,1250000.0,661.0,2012,10026.0,Cathedral Parkway-110th St,B,C,,,,,,,,,,0.07949862635990347
49,Central Harlem,3.0,3.0,40.80205,-73.95049,1650000.0,1426.0,2006,10026.0,116th St,2,3,,,,,,,,,,0.04749909127228295
50,Central Harlem,2.0,2.0,40.806098,-73.956398,849000.0,869.0,1910,10026.0,116th St,B,C,,,,,,,,,,0.17693596216779223
51,Central Harlem,2.0,3.0,40.803901,-73.948799,1750000.0,1425.0,1910,10026.0,116th St,2,3,,,,,,,,,,0.20188861978038222
52,Central Harlem,2.0,2.0,40.8036,-73.949798,1350000.0,1141.0,1910,10026.0,116th St,2,3,,,,,,,,,,0.15254339029380287
53,Central Harlem,3.0,3.0,40.803275,-73.95729,2350000.0,2188.0,2015,10026.0,116th St,B,C,,,,,,,,,,0.1803151445016246
54,Central Harlem,2.0,2.0,40.8012,-73.959198,1925000.0,1108.0,2012,10026.0,Cathedral Parkway-110th St,B,C,,,,,,,,,,0.07638544102311404
55,Central Harlem,2.0,2.0,40.798,-73.94899699999998,985000.0,922.0,1989,10026.0,110th St-Central Park North,2,3,,,,,,,,,,0.28210589220712246
56,Central Harlem,3.0,3.0,40.798801,-73.952903,3495000.0,1936.0,2006,10026.0,110th St-Central Park North,2,3,,,,,,,,,,0.03899682536503932
57,Central Harlem,3.0,3.0,40.798801,-73.952903,3499999.0,1955.0,2006,10026.0,110th St-Central Park North,2,3,,,,,,,,,,0.03899682536503932
58,Central Harlem,2.0,3.0,40.801099,-73.947102,1825000.0,1488.0,2014,10026.0,116th St,2,3,,,,,,,,,,0.22647609253538256
59,Central Harlem,4.0,4.0,40.8008,-73.95850300000002,3995000.0,2113.0,2017,10026.0,Cathedral Parkway-110th St,B,C,,,,,,,,,,0.011041019359691026
60,Central Harlem,3.0,3.0,40.803298,-73.957199,1569000.0,1477.0,,10026.0,116th St,B,C,,,,,,,,,,0.17281596176587152
61,Central Harlem,2.0,3.0,40.801226,-73.959221,2495000.0,1265.0,2012,10026.0,Cathedral Parkway-110th St,B,C,,,,,,,,,,0.07949862635990347
62,Central Harlem,1.0,0.0,40.801077,-73.94779399999999,470000.0,500.0,2006,10026.0,116th St,2,3,,,,,,,,,,0.17690281578827088
63,Central Harlem,2.0,2.0,40.8031,-73.9496,1199000.0,1257.0,1899,10026.0,116th St,2,3,,,,,,,,,,0.09750531568056345
64,Central Harlem,1.0,0.0,40.7985,-73.951698,630000.0,450.0,2019,10026.0,110th St-Central Park North,2,3,,,,,,,,,,0.0665646248370825
65,Central Harlem,3.0,3.0,40.8008,-73.95850300000002,2825000.0,1596.0,2017,10026.0,Cathedral Parkway-110th St,B,C,,,,,,,,,,0.011041019359691026
66,Central Harlem,1.0,2.0,40.799803000000004,-73.95295300000002,720000.0,548.0,1915,10026.0,110th St-Central Park North,2,3,,,,,,,,,,0.11404548855237852
67,Central Harlem,1.0,1.0,40.801190999999996,-73.95850300000002,695000.0,595.0,1988,10026.0,Cathedral Parkway-110th St,B,C,,,,,,,,,,0.03706784577440874
68,Central Harlem,2.0,2.0,40.804165999999995,-73.95033000000002,1125000.0,1105.0,1920,10026.0,116th St,2,3,,,,,,,,,,0.2211494310965471
69,Central Harlem,2.0,2.0,40.801031,-73.948337,1225000.0,1147.0,2006,10026.0,116th St,2,3,,,,,,,,,,0.14131163231089777
70,Central Harlem,3.0,3.0,40.798801,-73.952903,2995000.0,1936.0,2006,10026.0,110th St-Central Park North,2,3,,,,,,,,,,0.03899682536503932
71,Central Harlem,3.0,4.0,40.8008,-73.95850300000002,4335750.0,1797.0,2017,10026.0,Cathedral Parkway-110th St,B,C,,,,,,,,,,0.011041019359691026
72,Central Harlem,2.5,3.0,40.8008,-73.95850300000002,2815000.0,1608.0,2017,10026.0,Cathedral Parkway-110th St,B,C,,,,,,,,,,0.011041019359691026
73,Central Harlem,1.0,1.0,40.800542,-73.95921,699000.0,589.0,1989,10026.0,Cathedral Parkway-110th St,B,C,,,,,,,,,,0.06608848674369561
74,Central Harlem,3.0,3.0,40.8008,-73.95850300000002,4636500.0,1814.0,2017,10026.0,Cathedral Parkway-110th St,B,C,,,,,,,,,,0.011041019359691026
75,Central Harlem,1.0,1.0,40.801998,-73.9505,769000.0,,2006,10026.0,116th St,2,3,,,,,,,,,,0.04725247945299581
76,Central Harlem,2.0,2.0,40.798,-73.94899699999998,1125000.0,1109.0,1989,10026.0,110th St-Central Park North,2,3,,,,,,,,,,0.28210589220712246
77,Central Harlem,1.0,1.0,40.800461,-73.952853,899000.0,910.0,2003,10026.0,110th St-Central Park North,2,3,,,,,,,,,,0.17231135966333957
78,Central Harlem,2.0,2.0,40.801099,-73.947102,1275000.0,1046.0,2014,10026.0,116th St,2,3,,,,,,,,,,0.22647609253538256
79,Central Harlem,1.0,1.0,40.798,-73.94899699999998,695000.0,696.0,1989,10026.0,110th St-Central Park North,2,3,,,,,,,,,,0.28210589220712246
80,Central Harlem,1.0,1.0,40.7985,-73.951698,815000.0,664.0,2019,10026.0,110th St-Central Park North,2,3,,,,,,,,,,0.0665646248370825
81,Central Harlem,1.0,1.0,40.801077,-73.94779399999999,700000.0,742.0,2006,10026.0,116th St,2,3,,,,,,,,,,0.17690281578827088
82,Central Harlem,1.0,1.0,40.803298,-73.957199,729000.0,709.0,,10026.0,116th St,B,C,,,,,,,,,,0.17281596176587152
83,Central Harlem,1.0,1.0,40.798,-73.94899699999998,750000.0,675.0,1989,10026.0,110th St-Central Park North,2,3,,,,,,,,,,0.28210589220712246
