,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,NaN,NaN,-73.978912,40.784532,NaN,NaN,NaN,1562,2004,NaN,NaN,Upper West Side,https://www.zillow.com:443/homedetails/223-W-80th-St-New-York-NY-10024/97544177_zpid/,NaN
1,1150000.00,"328 W 86th St APT 5A, New York, NY 10024",-73.979368,40.78921,10024,0,1,950,1924,2,1,Upper West Side,https://www.zillow.com:443/homedetails/328-W-86th-St-APT-5A-New-York-NY-10024/119912694_zpid/,"For sale: $1,150,000. Located on a peaceful residential block between West End Avenue and Riverside Park this charming two bedroom has pre-war details, large entry closet, high beam ceilings and great natural light. Both bedrooms are full size with two sets of windows, creating double exposures and cross ventilation. The apartment has East, West and South exposures through nine different windows. The master bedroom has two large closets, the second bedroom has one, and the entry foyer has a very large walk-in-closet. 328 West 86th Street is a sought-after pre-war gem built in 1924 with live-in super, laundry in basement and only three apartments per floor."
2,2295000.00,"54 W 82nd St APT 2, New York, NY 10024",-73.973133,40.78326,10024,0,1,1775,1900,2,2,Upper West Side,https://www.zillow.com:443/homedetails/54-W-82nd-St-APT-2-New-York-NY-10024/72522142_zpid/,"For sale: $2,295,000. Mint Renovated and Expansive, Garden Duplex with Private Outdoor Space. Woodburning Fireplace. Exposed Brick. Impeccable finishes. Tons of custom outfitted storage. Oversized Wraparound Kitchen with Barstool Island, Clean White Cabinetry, Granite Countertops, Vented Stove, and Subzero Fridge. Oversized Bathrooms with radiant-heated marble basket-weave tile floors, Oil-Rubbed Bronze Hardware, Soaking Tub, Heated Towel Racks, and Spacious Vanity. Wall-thru a/c. Bonus Den on lower level functions as added flex Bedrm/Sleeper Sofa/Office/Exercise Room. Private Outdoor Space is nestled privately, out of view from neighbors; a blank slate for Spring Gardening/Landscaping. Pets are Welcome. Extraordinarily Low Maintenance. Co-op has paid off their underlying mortgage and all maintenance is up-to-date. Garage on block. Proximate to Central Park and the Museum of Natural History."
3,639000.00,"153 W 80th St APT 5D, New York, NY 10024",-73.976543,40.783537,10024,0,1,650,1910,1,1,Upper West Side,https://www.zillow.com:443/homedetails/153-W-80th-St-APT-5D-New-York-NY-10024/99402864_zpid/,"For sale: $639,000. Spacious & Bright in the Heart of it All
COOP WITH CONDO RULES! This fully loaded, updated & sunny south facing 1 bedroom ""condop"" is an absolute gem. Gleaming hardwood floors, high ceilings, large windows in every room, tons of storage and high end finishes are found throughout this lovely, top- floor home. Enjoy the comfort of 3-zoned central a/c and heat, your own nearly new Bosch Washer/Dryer, and filtered water. A bio-fuel powered fireplace accents the spacious, bright living room. Large, windowed, eat-in Kitchen, renovated bath, queen-sized bedroom with double-hung closet. The building has a liberal sublet policy and guarantors, parents buying for children, pied a terre and investors are permitted. Call today to tour this one of a kind home conveniently located on a quiet stretch of one of the neighborhood's prettiest, tree-lined streets- just 1 1/2 blocks to several subway lines & Central Park, close to the cross-town bus, Columbus Avenue shops, the Natural History Museum and all the Upper West Side offers."
4,1600000.00,"514 W End Ave APT 7A, New York, NY 10024",-73.978378,40.787884,10024,0,1,1200,1923,2,2,Upper West Side,https://www.zillow.com:443/homedetails/514-W-End-Ave-APT-7A-New-York-NY-10024/72523058_zpid/,"For sale: $1,600,000. Are you ready for a ridiculous deal? This prewar classic Five 2 bed 2 bath is an absolute no brainer. It is located on West End Avenue between 84th and 85th and the fulltime Doorman Co-op building is fabulous. The apartment brags of three exposures, inlaid hardwood floors, DEEDED STORAGE, a w/d, through wall a/c's, ample closet space and a terrific floor plan. An open kitchen seamlessly flows into a large corner dining room which can be converted to a 3rd bedroom. The living room is generous in size and has built-ins. The master bedroom is a corner as well and it gets wonderful light. The second bedroom is currently divided into a small bedroom and office, but may be converted back to a full sized bedroom.The building has storage, no flip tax, unlimited subletting and a live-in Super who defines the word SUPER!"
5,1125000.00,"15 W 84th St APT 1H, New York, NY 10024",-73.97121,40.784612,10024,0,1,89840,1950,2,1,Upper West Side,https://www.zillow.com:443/homedetails/15-W-84th-St-APT-1H-New-York-NY-10024/244803900_zpid/,"For sale: $1,125,000. Brand New 2-Bedroom, 1 Bath Co-Op
WELL-LOCATED FULL-SERVICE CO-OP ON A PARK BLOCK. Be the first to live in this newly-renovated, skim-coated 2-bedroom. The Upper West Side offers close proximity to New York's cultural icons: Lincoln Center, the Metropolitan & Natural History Museums; choice schools; excellent food shopping and many diverse restaurants. This quiet and serene apartment has views of landmarked brownstones. Features include beamed ceilings and parquet oak wood floors. The modern kitchen offers Bosch stainless steel appliances, a French-door refrigerator and for the chef, two ovens. The five-burner Convection Gas Oven with warming drawer, and the matching over-the-range Convection Microwave provides an exhaust. The 3-rack quiet dishwasher can handle 16-place-settings at once, and has 3-flexible height levels plus a 24-hour delay start. The counters are maintenance-free Caesarstone quartz, highlighted by a decorative back splash. The bath has a quiet-flush Toto toilet and fixtures, with built-in bath nooks for bath accessories. Other modern amenities include lighted, spacious closets, double-cable and phone outlets throughout, and mood-changing dimmers on all light switches. And if desired, there's room for a half bath. The Co-op accepts pied-a-terre use, purchase assistance from gifting, guarantors and co-purchasing."
6,1895000.00,"215 W 91st St APT 116, New York, NY 10024",-73.973096,40.7912,10024,0,1,--,1917,3,2,Upper West Side,https://www.zillow.com:443/homedetails/215-W-91st-St-APT-116-New-York-NY-10024/219672092_zpid/,"For sale: $1,895,000. Fabulous Triple Mint Prewar 3 bedroom Coop with NO Board Approval!



Open views from the 11th floor, bright, high ceilings, an open floorplan and a gorgeous renovation describe this wonderful home. Airy and loft like, there is a fabulous new open kitchen with peninsula, a large living room and dining room, 3 generously sized bedrooms and 2 beautiful new bathrooms. 



Enter into a large gallery that also serves as a dining area and immediately you are greeted with the open North views and fabulous natural light. The living room and third bedroom have open North exposures, and this bedroom can be opened like a library into the living area. The corner master suite has open North and open East views, a large closet and a new en-suite bathroom with marble subway tiles and counter, and Waterworks fixtures. The second bedroom has open East exposures. The fabulous chef's kitchen has high-end stainless steel appliances, lots of cabinet and counter space and a stackable washer/dryer. Off the living room is a second full bathroom with grey marble subway tiles and Waterworks Studio fixtures. The entire apartment has new rich solid hardwood floors, traditional moldings and clean and renovated prewar details.  



The Desoto is a full service early pre-war cooperative with a gorgeous lobby, full-time doormen, an amazing resident manager, playroom, laundry room and stunning planted roof deck. There is also storage and a bike room upon availability. Perfectly located on 91st Street off Broadway, it is close to the express subway at 93rd Street and both Central and Riverside Parks."
7,2575000.00,"48 W 86th St APT 2, New York, NY 10024",-73.971746,40.785998,10024,0,1,9205,1900,2,3,Upper West Side,https://www.zillow.com:443/homedetails/48-W-86th-St-APT-2-New-York-NY-10024/244848872_zpid/,"For sale: $2,575,000. Two bedroom, two and a half bathroom, parlor floor of a 25 ft. wide Beaux Arts mansion, less than half a block from Central Park. With 12 ft. high ceilings and two fireplaces, this floor thru home is accessed through a private key locked elevator. Beautifully renovated, this home retains much of the original details such as the original cherry and mahogany woodwork, ceiling moldings, and fireplace mantels. The eat in kitchen features custom cherry cabinets, Italian granite countertops, Sub Zero fridge and wine cooler, Wolfe gas stove top and oven, Miele dishwasher, and Sharp microwave. The large great room has two large windows that face out on to a tree-lined street and allow sunlight to pour in. This room also boasts a crystal chandelier and four sconces, a beautiful decorative fireplace and a cherry hardwood floor laid in herringbone pattern. Both bedrooms have en suite bathrooms and large south facing windows which look out over a landscaped garden offering complete serenity. One bedroom has a working wood burning fireplace. Storage abounds with built-in bookshelves, well-fitted closets, upper storage cupboards, and an attic created above the hallway. There is an in-unit washer and dryer, central AC, and a large separate storage room. 48 West 86th was built in 1905 and contains five floor-thru units. Nearly all of the owners have been part of this well maintained, park block building for over twenty years. Very rarely does a home such as this become available. You must see this property to truly capture the opportunity this special property represents."
8,10500000.00,"555 W End Ave # THE-LIBRAR, New York, NY 10024",-73.977798,40.789501,10024,0,1,3463,1908,5,5.5,Upper West Side,https://www.zillow.com:443/homedetails/555-W-End-Ave-THE-LIBRAR-New-York-NY-10024/2087587727_zpid/,"For sale: $10,500,000. The only new condominium in NYC with 18-½ foot ceilings in a 42-ft long Great Room, with towering arched windows, ""The Library"" (2W) has 5 bedrooms, 5 en suite baths & a powder room. With a private landing & 3463 SF on two levels, the Library is one of 13 extraordinary, one-of-a-kind residences in Tamarkin Co.'s conversion of this landmarked former school. The kitchen features solid white fumed oak cabinets crafted by Christopher Peacock, with fluted glass cabinet fronts and Nanz hardware, and is open to the 37 ft Great Room providing a relaxed living and dining environment. Additional features in this absolutely gorgeous kitchen include white oak plank floors, polished Arabescato marble slab countertops and backsplash, vented Wolf 48"" dual fuel range, Sub-Zero fridge & separate freezer, wine storage, microwave and warming drawers, two dishwashers, Lefroy Brooks faucets, garbage disposal, pot filler & more. On this floor are 3 en suite bedrooms, a powder room, large pantry, butler's pantry and laundry room. En suite secondary baths are outfitted with the highest quality stone & hardware. 



Upstairs, on the mezzanine level, the light-filled, south-facing master features two walk-in closets, and a luxurious bath with Calacatta gold marble slabs, custom white oak vanities by Christopher Peacock, double sinks with Lefroy Brooks fixtures, Zuma soaking tub, radiant-heat floors, towel warmers, steam shower & Toto Neorest smart toilet. This level overlooks the Kitchen and Great Room, making for a dramatic double height experience.



Amenities include a 24/7 attended lobby with refrigerated storage, bike room, and stroller valet. The day lit gym features state-of-the-art equipment & the rec room features a wet bar, pool table, dart board, lounge chairs, and large-screen TV. The Library (2W) is offered with 76 SF of private storage.



The complete offering terms are in an offering plan available from the sponsor, file #CD17-0364."
9,NaN,NaN,-73.978249,40.789351,NaN,NaN,NaN,600,1926,NaN,NaN,Upper West Side,https://www.zillow.com:443/homedetails/305-W-86th-St-6C-New-York-NY-10024/72523710_zpid/,NaN
