,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,499000.00,"408 W 57th St APT 10O, New York, NY 10019",-73.98662,40.767949,10019,0,1,500,1957,0,1,Chelsea and Clinton,https://www.zillow.com:443/homedetails/408-W-57th-St-APT-10O-New-York-NY-10019/244697628_zpid/,"For sale: $499,000. Low Maintenance, Unlimited Subletting, Penthouse Level, South Facing, Under $500K, What more to ask?!



Perched 10 flights up on 57th and 9th, this spacious, sun-drenched studio boasts unobstructed south views of Midtown and Hudson Yards, beautifully updated hardwood flooring, custom kitchen cabinetry, a walk-in dressing/office area and lots of closet storage! This prime co-op also offers a full time doorman, laundry room, live-in super, onsite management and a bike room. What is the icing on the cake? Unlimited subletting after 2 years of live-in!!"
1,759000.00,"200 Central Park S APT 14L, New York, NY 10019",-73.979737,40.766677,10019,0,1,620,1963,0,1,Chelsea and Clinton,https://www.zillow.com:443/homedetails/200-Central-Park-S-APT-14L-New-York-NY-10019/126325467_zpid/,"For sale: $759,000. Perfection has been achieved in this fully renovated studio with new kitchen, new marble bath, new windows, new hardwood floors, 4 large closets (two walk-in) and a low maintenance of $938.00. This unit features a moveable curtain that separates the entire studio into a private living room and sleeping area on demand. The wonderful renovation features a kitchen with Bloomberg refrigerator, dishwasher and stove, GE microwave, tile floor, white hi-gloss cabinets, stainless steel sink and granite countertops. The new spa-like marble bathroom and hi tech lighting throughout complete this amazing apartment. 



Life at 200 Central Park South, a white-glove building with 24 hour doorman/concierge, manned elevators, new hallways, gym, central laundry, bike room, on-site garage, circular driveway, valet service, and roof observatory with panoramic views of Central Park and the city. A rare opportunity to live where the park is your front yard. As one of the most coveted locations in New York City and steps to Whole Foods, Carnegie Hall, the theater, Lincoln Center, fabulous restaurants and the the most exciting shopping in the world. 



Pied-a-terre and pets are welcome! 



Welcome Home!"
2,1185000.00,"1600 Broadway APT 16B, New York, NY 10019",-73.984362,40.760188,10019,0,1,889,2005,1,1,Chelsea and Clinton,https://www.zillow.com:443/homedetails/1600-Broadway-APT-16B-New-York-NY-10019/80005117_zpid/,"For sale: $1,185,000. The energy of Times Square makes this home like no other. This one bedroom plus windowed home office is thoughtfully designed to offer spacious living and dining with a home office area that has the rarely found natural light. The kitchen is outfitted with Sub Zero, Bosch & Miele appliances finished with warm rifted oak cabinetry, granite counter tops and glass backsplash. The kitchen is open to the living space making it great for entertaining, there is a window above the sink allowing for natural light to brighten the space. 
The bathroom is adorned with large scale natural stone throughout, a luxurious deep soaking tub and a unique ""trough"" sink unlike any other.
Floor to ceiling windows and balcony let you enjoy the energy of the area that few get to experience, dark strip flooring and a Bosch washer and dryer in the home tie it all together.
1600 Broadway's 4th Floor Club on The Square has a fitness center with windows throughout making the space energized from both inside and out, a massive lounge area with catering kitchen as well as virtual golf, wrap around terrace with grass and trees and a business area, the roof has amazing views, lounge chairs and outdoor shower.
The 24 hour attended lobby is a grand entrance to welcome you home in one of the worlds most famous places."
3,685000.00,"58 W 58th St APT 15D, New York, NY 10019",-73.976348,40.764459,10019,0,1,462,1969,0,1,Chelsea and Clinton,https://www.zillow.com:443/homedetails/58-W-58th-St-APT-15D-New-York-NY-10019/31527363_zpid/,"For sale: $685,000. Huge Alcove Studio in Tower 58 Condo located in New York most prestigious block that is home to The Plaza Hotel.The Ritz Carlton and the Park Lane and one block to Central Park.
The apartment can be easily converted in 1 bedroom is very bright ,has dining alcove and good closets space .
The Building has circular driveway on West 58th Street and offering 24-hour doorman and concierge,rooftop terrace with Beautiful Panoramic and Central Park Views ,laundry room,storage cages ,bicycle storage and is pet friendly building.Assessment of $382 until 06/2019."
4,88000000.00,"12 E 69th St, New York, NY 10021",-73.967646,40.769936,10021,0,1,20000,1910,6,11,Chelsea and Clinton,https://www.zillow.com:443/homedetails/12-E-69th-St-New-York-NY-10021/31533674_zpid/,"For sale: $88,000,000. ONE VISION, ONE EXTRAORDINARY MANSION 

IN THE TRADITION OF STANFORD WHITE

The house designs of Stanford White embodied the ultimate achievements of The Gilded Age and created an ""American Renaissance"" in architecture and art. And just like Stanford White, who not only designed a mansion for his clients, but also traveled the world to collect the furnishings they should contain, this owner also traveled the world to collect the finest architectural and decoration ideas, as well as the art and furnishings, to combine the very best of the classical tradition with every modern technological convenience.



PERFECT LOCATION

Positioned a few houses off Fifth Avenue and Central Park on an exceptional residential, tree-lined block, this mansion is 40 feet wide, 90 feet deep, and features four windows across the front and rear facades providing remarkable light at all times. There is no other renovated 40 foot wide mansion available right now between Fifth and Madison Avenues.



SIZE

With six levels, it encompasses over 20,000 interior square feet including the 3400sf basement with windows in the front and rear, and approximately 2,650 exterior feet on the roof terrace.



FORMAL ENTRY

14-foot ceilings in the entry hall open to a rotunda with 28.5-foot ceilings to the third floor. The great room in the rear of this level spans 40 feet with French doors opening to Juliette balconies and floor-to-ceiling windows. A hidden door off the main hallway opens to the top of an extraordinary double-height library and office which measures 24 feet in height.



THIRD LEVEL

The formal dining room also extends 40 feet and easily accommodates 40 guests or more at a sit-down dinner. The massive 40-foot-wide kitchen in the front has four windows across and almost every cooking appliance known to a chef.



FOURTH LEVEL

Two 40-foot-wide bedrooms could be converted to four or more bedrooms.



FIFTH LEVEL

A massive master bedroom suite with an equally large sitting room and two full baths. Two large dressing rooms one of which is wired as a panic room. Separate guest suite.



GARDEN LEVEL

Additional entrance from the street for the lower half of the extraordinary double-height library offers private access to the office. This level includes the upper balcony section of the movie theater which seats 12 in red velvet chairs.



LOWER LEVEL

Saline swimming pool with two saunas and a full bath. The lower entrance to the split-level movie theater is in the rear.



ROOF TERRACE

Elevator and stair provide access to the terrace which covers the entire roof.



TECH HIGHLIGHTS

Heated sidewalk for automatic snow removal. Heated Onyx marble floors in the entry hall. Water filtration throughout the house. Exceptional lighting system allows numerous lighting combinations. Security system with cameras.



In conclusion, with three of the most remarkable rooms ever seen in a New York mansion, this house is truly An American Beauty, a synthesis of the elegance of the Beaux-Arts themes sifted through an unique American sensibility."
5,85000000.00,"635 W 42nd St # 45, New York, NY 10036",-73.999801,40.762001,10036,0,1,15000,2007,10,10.5,Chelsea and Clinton,https://www.zillow.com:443/homedetails/635-W-42nd-St-45-New-York-NY-10036/2102322179_zpid/,"For sale: $85,000,000. FULL FLOOR in the one of a kind Atelier Condo along with another half a floor on the 44th floor making it now 15,000 sqft Duplex. INCLUDED in the sale is a brand new amenity offering 2 seats on a trip to outer space. Also, a 2 million dollar construction credit, a 1 million dollar Yacht with docking fees for 5 years as well as two Rolls Royce Phantoms (1 convertible,1 hardtop), a Lamborghini Aventador Roadster , Dinner for 2 weekly at Daniel Bolud's Resteraunt Daniel for 1 year, Courtside season tickets to the Brooklyn Nets for a year, A Hamptons mansion rental for a Summer, live in butler services for 1 year as well as private chef. . The Atelier has become a Manhattan luxury landmark. Many celebrities call Atelier their home. All of our units are one of a kind. each has breathtaking unobstructed double exposure city and river views from floor to ceiling windows. The apartments feature stainless steel Bosch (dish washer, W/D, stove and microwave) and Sub Zero ( Fridge) appliances, white oak flooring , granite countertops in kitchen , marble bathrooms , washer/dryer in the unit , walk-in closets with white oak and glass pantries. The building amenities are 24-hour concierge/valet, tennis court, golf driving range , large lap swimming pool , sauna, residents' multi-media lounge and billiards room on the 47th floor, valet services ( laundry and dry cleaning on site) , state-of-the-art fitness center , yoga/pilates studio , fully-landscaped terraces/sundeck , building-wide wireless Internet system , on-site storage available , bike storage , pet friendly , valet parking available , basketball courts, bocci ball , free bicycle Usage , BBQ Grills , free daily breakfast and a cross town shuttle bus. THIS LISTING IS A COMBINATION OF 13 SEPARATE INDIVIDUAL UNITS WITH TENANTS IN PLACE AND THE TENANTS CAN VACATED IN ORDER TO ALLOW FOR A FULL COMBINATION OF THE UNITS INTO ONE."
6,67000000.00,"12 E 63rd St, New York, NY 10065",-73.970397,40.766201,10065,0,1,13000,1910,7,11,Chelsea and Clinton,https://www.zillow.com:443/homedetails/12-E-63rd-St-New-York-NY-10065/2099424678_zpid/,"For sale: $67,000,000. Move right in! Prepare to have all your concepts of space, design, luxury and innovation completely revolutionized by this spectacular seven-story mansion. This newly transformed residence delivers a premium property experience crafted on a scale and magnitude that will leave you speechless with its stunning interior design by Thierry W Despont LLD, while making a statement in architectural mastery by Pierre Yves Rochon. The trophy Upper East Side townhouse features over 13,000 sq ft of internal space including seven bedrooms, eight bathrooms and three powder rooms. An internal elevator and dumbwaiter connects each level from the basement to the private rooftop garden. There is a selection of generous formal and informal living spaces, a reception gallery, media/screening room and a fourth-floor library that overlooks the living area. On the basement level, a resort-style fitness center is fully fitted out with a massage room, steam room, 20 ft. swimming pool and gymnasium.An entire floor master suite comes complete with a separate dining space, a luxurious master bathroom and access to its own private garden terrace. There is a selection of generous formal and informal living spaces, a reception gallery, media/screening room and a fourth-floor library that overlooks the living area. The chefs kitchen will delight entertainers with its spacious island bench, stone countertops and high-end inclusions, plus there are separate staff quarters, Crestron temperature and humidification control, radiant heat, and a security system that includes keyless entry. On the basement level, a resort-style fitness center is fully fitted out with a massage room, steam room, 20ft swimming pool and gymnasium, as well as an entertainment zone with customized built-in wet bar. Every element painstakingly planned, every aspect beautifully considered; this remarkable family residence unfolds with perfection, passion and poise amid some of Fifth Avenues finest homes. This breathtaking Manhattan residence offers absolute privacy within a few footsteps to Central Park, with easy access to the neighborhoods fine restaurants, vibrant cafe scene, galleries and theaters. Sold furnished or unfurnished. Co-Exclusive."
7,39000000.00,"118 E 76th St, New York, NY 10021",-73.961196,40.7732,10021,0,1,13000,2012,8,18,Chelsea and Clinton,https://www.zillow.com:443/homedetails/118-E-76th-St-New-York-NY-10021/2090867491_zpid/,"For sale: $39,000,000. New construction of magnificent 32' wide 13,000 s/f mansion in the heart of the Upper East Side. Fully reimagined with the highest level of finishes and technology, the home is truly spectacular. A mix of comfortable modernism, the home features countless artistic stone, metal and wood flourishes. The townhouse is designed around a stunning central staircase that spans its 6 levels and is topped by a skylight flooding the interiors with natural light. There is also a large elevator accessible from every level. The main floor boasts a grand formal entry to welcome guests, a huge chef's kitchen and 550 s/f formal dining room. The parlor level features a formal living room, cigar bar and beautifully-milled library. Beyond luxurious, the master suite encompasses the entire 3rd floor with the bedroom, sitting room, dressing rooms and three full baths. Four additional en-suite bedrooms, a large limestone-clad fully landscaped courtyard and oversized family room provide an abundance of space. Finally, and perhaps most spectacularly, is the 36' indoor pool on the top floor of the home. Covered in beautiful tile mosaic, the sun flooded spa level houses the glass enclosed gym which overlooks the pool, as well as a sauna, full bath and elevator access."
8,NaN,NaN,-73.992049,40.763404,NaN,NaN,NaN,700,1901,NaN,NaN,Chelsea and Clinton,https://www.zillow.com:443/homedetails/451-W-48th-St-APT-5E-New-York-NY-10036/244868584_zpid/,NaN
9,23900000.00,"34 E 62nd St, New York, NY 10065",-73.969683,40.76507,10065,0,1,9200,No Data,5,8,Chelsea and Clinton,https://www.zillow.com:443/homedetails/34-E-62nd-St-New-York-NY-10065/2087788653_zpid/,"For sale: $23,900,000. AN HISTORIC MOMENT. In recent Manhattan history, it is rare for a Townhouse to be completely newly built from the ground up in the coveted, Upper East Side Historic District. 34 East 62nd Street, a totally new 20-foot wide, approx. 9,200 s.f., 5-story home revels in this distinction. HS Jessup Architects designed this majestically sleek and modern Beaux Arts inspired Mansion between Madison and Park Avenues. The facade beckons back to the turn of the last century with its sumptuous facade, clad in French Limestone. The beauty of this sun-filled home with South, North and West exposures, is accentuated by oversized bowed windows in a sleek modern frame and crowned with a dramatic slate Mansard roof.  The entry is framed by beautifully rusticated limestone. The Entry Hall opens to a gracious Gallery showcasing a handsome staircase accented by an architectural West facing window. The oversized Kitchen/Media Room with a fireplace, looks out onto a grand, south facing, Garden. A gracious second floor landing introduces the Entertaining Floor which leads to a spectacular Formal Dining Room, Butlers Pantry and stately, grand Living Room with dramatic ceiling heights of 11 6. The 3rd and 4th floors contain four Bedroom with 106 ceiling heights and 4 en-suite Bathrooms, plus a full-sized Laundry Room. The Grand Master 5th floor Bedroom Suite has soaring ceiling heights, an oversized Bedroom, a gallery Dressing Room and 2 luxurious Bathrooms en-suite. A full height cellar with a separate staff entrance, abundant storage and flexibility for a wine cellar, fitness center, a home theater and more. An elevator services the Lower Level to the approx 1,400 s.f. Roof Deck with spectacular views of Manhattans skyline.34 East 62nd Street features world class construction, technology and new mechanicals. In all - the finest modern conveniences while offering grand architectural details. This newly built home is delivered in designer ready condition for personal customization."
