,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,77700000.00,"45 E 22nd St, New York, NY 10010",-73.98818,40.740241,10010,0,1,13060,2016,6,7,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/45-E-22nd-St-New-York-NY-10010/2117423535_zpid/,"For sale: $77,700,000. The Trilliant Triplex: Madison Square Park Tower's Stunning Penthouse.  A Residence in the Sky that Defies Description.Proudly perched above Madison Square Park's green space, this stunning Triplex is comprised of more than 15,000 square feet on 3 floors including 2 separate studio apartments for staff, office or storage and 2 fully automated parking spaces in the building.  Jaw-dropping 360 degree views of every bridge, landmark and river in NYC provide the exterior backdrop that opens the door for the creation of a spectacular customized interior space that literally cannot be replicated. Enjoy cocktails overlooking the Clock Tower, host a dinner party with glittering views of the Chrysler and Empire State Buildings, and wake up each morning from your Master Bedroom suite and see the planes touching down at John F. Kennedy Airport International Airport.  Space will be delivered raw to enable the owner to customize their own residence on floors 63, 64, and 65. The versatility of this most impressive space is further evident through the brilliant interior concepts conceived by three of the world's most celebrated designers Lee Mindel, Ryan Korban, and Thomas Juul-Hansen.Space will be delivered raw to enable the owner to customize their own residence.The residences at Madison Square Park Tower are perfectly positioned in one of the most iconic and culturally sophisticated neighborhoods in Manhattan, the Flatiron District at Madison Square Park. Transforming the downtown skyline, this soaring tower with its sculptural glass silhouette and 65 stories, rises 777 feet in the sky. The striking exterior has been crafted by the world-renowned architectural firm Kohn Pedersen Fox Associates. Complemented by a thoughtful amenity collection, the building features a live-in resident manager, concierge services by Luxury Attaché and a 24-hour doorman. Amenities include a full-floor fitness center outfitted with Technogym equipment and yoga, stretching and private training studio, basketball half court, simulator room, children's playroom, curated library, billiards, cards room, and terrace with outdoor grill landscaped by Oehme Van Sweden. Situated on the 54th floor, FIFTY FOUR, a private living room with spectacular, panoramic views, as well as a Chef's kitchen and catering kitchen is available for residents' private use by reservation.Conceptual floor plans are architecturally vetted concepts only. Space to be delivered raw."
1,77700000.00,"45 E 22nd St # PHAB, New York, NY 10010",-73.987297,40.739898,10010,0,1,13060,2016,6,11,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/45-E-22nd-St-PHAB-New-York-NY-10010/2087101986_zpid/,"For sale: $77,700,000. The Trilliant Triplex: Madison Square Park Tower's Stunning Penthouse. A Residence in the Sky that Defies Description.

Proudly perched above Madison Square Park's green space, this stunning Triplex is comprised of more than 15,000 square feet on 3 floors including 2 separate studio apartments for staff, office or storage and 2 fully automated parking spaces in the building. 

Jaw-dropping 360 degree views of every bridge, landmark and river in NYC provide the exterior backdrop that opens the door for the creation of a spectacular customized interior space that literally cannot be replicated. Enjoy cocktails overlooking the Clock Tower, host a dinner party with glittering views of the Chrysler and Empire State Buildings, and wake up each morning from your Master Bedroom suite and see the planes touching down at John F. Kennedy Airport International Airport. Space will be delivered raw to enable the owner to customize their own residence on floors 63, 64, and 65. 

The versatility of this most impressive space is further evident through the brilliant interior concepts conceived by three of the world's most celebrated designers Lee Mindel, Ryan Korban, and Thomas Juul-Hansen.

Space will be delivered raw to enable the owner to customize their own residence.

The residences at Madison Square Park Tower are perfectly positioned in one of the most iconic and culturally sophisticated neighborhoods in Manhattan, the Flatiron District at Madison Square Park. Transforming the downtown skyline, this soaring tower with its sculptural glass silhouette and 65 stories, rises 777 feet in the sky. The striking exterior has been crafted by the world-renowned architectural firm Kohn Pedersen Fox Associates. 

Complemented by a thoughtful amenity collection, the building features a live-in resident manager, concierge services by Luxury Attach and a 24-hour doorman. Amenities include a full-floor fitness center outfitted with Technogym equipment and yoga, stretching and private training studio, basketball half court, simulator room, children's playroom, curated library, billiards, cards room, and terrace with outdoor grill landscaped by Oehme Van Sweden. Situated on the 54th floor, FIFTY FOUR, a private living room with spectacular, panoramic views, as well as a Chef's kitchen and catering kitchen is available for residents' private use by reservation.

Conceptual floor plans are architecturally vetted concepts only. Space to be delivered raw."
2,58000000.00,"212 5th Ave # PH, Manhattan, NY 10010",-73.988666,40.743492,10010,0,1,10079,1912,5,7,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/212-5th-Ave-PH-Manhattan-NY-10010/30582913_zpid/,"For sale: $58,000,000. A historic masterpiece of its time, the Crown Penthouse at 212 Fifth Avenue is in a class of its own and the most magnificent trophy residence on Madison Square Park. Designed by Pembrooke and Ives and spanning three floors, with over 10,000SF of living space and 5,730SF of terraces, this 5-bedroom penthouse has the majestic proportions of a palace. With four exposures providing 56 of frontage along the Park and vistas of downtown Manhattans most coveted architecture, the pre-war details inside are equally matched with the iconic views revealed by its elegant arched windows. The foyer opens into a dramatic atrium with its breathtaking bronze staircase as its centerpiece. The Crowns ceiling height, coupled with its gallery-sized walls, make this penthouse an art collectors paradise.


From the marble foyer with its private elevator, to the unrivalled grand ballroom, to the library with a marble and glass fireplace, to the sumptuous 7-room master suite every detail was considered in its conception. The second level boasts a sky-lit entertaining space and colossal outdoor oasis extending the full length of the building. The 4700+/-SF terrace, with its copper molding and painstakingly constructed parapet provides unmatched privacy. The third-floor observatory opens onto a 950SF terrace with spectacular panoramic views of the Empire State Building, Flatiron Building and World Trade Center. All the finest quality materials, smart home technology and luxury amenities were incorporated to create a regal lifestyle for the first owner of this outstanding residence.


212 Fifth Avenue condominium is the unmistakable beacon on Madison Square Park. Amenities include: 24-hour doorman and concierge services, state-of-the-art fitness room, golf simulator, screening room, childrens playroom and more. Staff quarters and storage rooms are available for purchase. This is an opportunity of a lifetime. 

 Sponsor. File No. CD15-0006."
3,320000.00,"323 E 21st St APT 5M, New York, NY 10010",-73.980482,40.736277,10010,0,1,380,1910,0,1,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/323-E-21st-St-APT-5M-New-York-NY-10010/72518813_zpid/,"For sale: $320,000. Gramercy's Most Affordable Studio! REDUCED PRICE FOR IMMEDIATE SALE
With a combination of low price and rock bottom maintenance this is a deal that is truly unbeatable! Unique and cozy studio with very bright southern exposure. Custom loft bed and built in storage, updated kitchen and bath, hardwood floors and exposed brick with decorative fireplace in the most charming prewar building with a quaint planted garden/courtyard. Flexible subletting with board approval. One of NYC'S oldest and very diverse residential neighborhoods. Close to a plethora of restaurants & bars, NYU, subways, shopping and a handful of upscale private establishments including the Players Club and National Arts Club."
4,14950000.00,"40 Gramercy Park N, New York, NY 10010",-73.984596,40.737998,10010,0,1,7200,1901,6,9,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/40-Gramercy-Park-N-New-York-NY-10010/2086258898_zpid/,"For sale: $14,950,000. A once-in-a-generation opportunity to own one of only five single family townhomes with a Gramercy Park address, this rare property includes a key to Manhattan's only, and surely most famous, private park. 



This grandly scaled, six-story home - with an elevator - offers both the classic charm and elegance of a 19th century townhouse as well as modern comforts. While there is also a rare opportunity to completely re-construct the property, as it lies just outside the Gramercy Park Historic District, the scale and elegance of the existing residence are outstanding, and it could easily be adapted to any discerning buyer's needs. With multiple living and entertaining spaces, 6 bedrooms, 6 full- and 3 half-baths, the house currently spans approximately 7,200 gross square feet, and could be enlarged below-grade and/or utilizing some excess as-of-right square footage. The existing layout is ideal for entertaining on a grand scale, as well as for gracious and comfortable day-to-day living. Most rooms take advantage of the full 20.5' width of the house, and there are exceptional ceiling heights throughout, reaching nearly 13' on the parlor floor.



Upon entering through the glass-enclosed vestibule, a large entrance hall leads to the first of several entertaining spaces, a central stair and elevator, a guest bedroom suite, and access to the balcony overlooking the rear garden. The first floor kitchen doubles as a prep kitchen for larger gatherings, but allows this floor to function as a self-contained guest apartment. The garden level includes a staff bedroom with en-suite bath, kitchenette, a recreation room, powder room, and french doors that lead out to the nearly 28' deep garden. 



The parlor level includes formal front and rear parlors spanning the full width of the house, a guest powder room, wet bar, and walk-in wine storage closet. The front parlor has french doors leading out to a balcony with views of Gramercy Park. Both parlor rooms feature 12'11"" ceilings and wood-burning fireplaces. The third floor includes a massive eat-in kitchen overlooking the garden, a pantry, powder room, laundry, and a large living room with a wood-burning fireplace. 



A lavish two-story master suite includes two master baths, a walk in closet, fireplace, double-height windows, and a separate study up a private stair. All is bathed in light through a massive skylight, with grand 17'7"" ceilings along the window wall. The fourth and fifth floors have three additional bedrooms and two full baths. The roof could be re-built to feature a large terrace with views over Gramercy Park. 



See the proposed alternative floorplan for the potential to create a lavish home within the existing perimeter envelope, and behind the existing facade, or bring your architect and reimagine the possibilities completely. The house could also be extended toward the street to bring the facade flush with the adjacent buildings. 



40 Gramercy Park North is a brownstone-faced Anglo-Italianate townhouse built in 1851-2,  on a 20.5' wide by 98.75' deep lot. This is truly a remarkable offering in a coveted Gramercy Park location."
5,675000.00,"330 3rd Ave APT 8H, New York, NY 10010",-73.982761,40.73987,10010,0,1,--,1964,1,1,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/330-3rd-Ave-APT-8H-New-York-NY-10010/72517207_zpid/,"For sale: $675,000. Nothing has been overlooked in this superbly renovated oversized one bedroom apartment in one of the best full service Gramercy coops. The graciously proportioned living room is large enough for a separate dining area and boasts all new solid wood floors and sunny Southern exposures and open city views. The truly mint condition kitchen boasts mission style oak cabinetry with antique brass detailing and all new stainless steel appliances. There is a pass through from the kitchen to the living room with Silestone counters which creates an ideal setting for entertaining. The bathroom has been renovated with classic white subway tiling and traditional fixtures. The large bedroom has Southern exposures and two large closets one of which is a walk-in. Through-the-wall ac units are cleverly encased in classic custom wood cabinetry. 330 Third Avenue is regarded as one of the best full service coops in Gramercy. Building features include a full-time doorman, storage and bike room, on-site garage, and central laundry. This pet friendly (dogs under 40 lbs) building allows co-purchasing and pied-a-terres and is centrally located by transportation, shopping, restaurants, and all that Gramercy has to offer."
6,940000.00,"242 E 25th St APT 3A, New York, NY 10010",-73.980598,40.7392,10010,0,1,984,2004,2,2,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/242-E-25th-St-APT-3A-New-York-NY-10010/2085077625_zpid/,"For sale: $940,000. This co-op with CONDO RULES permits investors, co-purchasers, guarantors, pied-a-terres, pets and immediate subletting!  Bright and spacious 2-bedroom gem!  This open, south-facing split 2-bedroom, 2-bathroom home is flooded with natural light through oversized floor-to-ceiling windows.   Enter through a formal entry gallery into a generously proportioned open living room with beautiful hardwood floors.  The mint chef's kitchen features a large breakfast bar that overlooks the living area and is handsomely outfitted with granite countertops, a glass mosaic backsplash and stainless steel appliances.  The  master suite features an en-suite bath with linen closet and a large walk-in closet.  A spacious second bedroom also enjoys ample closet space and adjacent bath and an washer/dryer adds convenience.   Please note some photos have been virtually edited.



Building amenities include Doorman (8am-12am), Live-In Super, Beautiful Fitness Center, Storage, Central Laundry and Roof Deck with panoramic views.  Near major transportation and Madison Square Park!"
7,750000.00,"102 E 22nd St APT 4G, New York, NY 10010",-73.986452,40.739111,10010,0,1,71151,1928,2,1,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/102-E-22nd-St-APT-4G-New-York-NY-10010/244716355_zpid/,"For sale: $750,000. 102 East 22nd Street/Park Avenue South - Subway on Corner
2 BEDROOM/1 Bath - SPONSOR APARTMENT NO BOARD APPROVAL!! ONLY $750k plus low $1295 maintenance !!!
Prewar Art Deco building. This is a FIXER UPPER. Great opportunity to realize your own vision with a blank canvas. 
Apartment needs new kitchen and bath and floors to be sanded/refinished. 
Unbelievable opportunity for the right buyer to be in a great building, in a great location and have low maintenance. 
All rooms have windows. Corner South/West exposures facing windows The Calvary Church which was designed by James Renwick, Jr., the architect who designed St. Patrick's Cathedral and Grace Church.
The Gramercy Arms is a beautiful pre-war coop with 86 units built in 1928. Many apartments have been combined over the years but this one is the original layout. This well run co-op has 2 elevators, a recently renovated lobby, a new video intercom system, windowed laundry room and bike storage. There is a long time live-in Super plus 2 Porters. The #6 subway is less than one minute away on the same block! The N/R trains are two blocks away as are several downtown/uptown and crosstown bus lines. This premier Gramercy Park neighborhood is home to many great restaurants. Short distance to Union Square Farmer's Market, Madison Square Park and Eataly."
8,NaN,NaN,-73.984334,40.740537,NaN,NaN,NaN,600,1987,NaN,NaN,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/50-Lexington-Ave-APT-15G-New-York-NY-10010/82788613_zpid/,NaN
9,2695000.00,"4 Lexington Ave # MAISONETTE, New York, NY 10010",-73.985801,40.7388,10010,0,1,--,1912,5,5,Gramercy Park and Murray Hill,https://www.zillow.com:443/homedetails/4-Lexington-Ave-MAISONETTE-New-York-NY-10010/2085092615_zpid/,"For sale: $2,695,000. The Maisonette at 4 Lexington Avenue is set in the heart of Gramercy, only steps from Gramercy Square Park. Currently a shell, this home will be delivered with approved plans for a luxurious 5-bedroom, 4.5-bathroom duplex with 25' ceilings and oversized windows throughout.



This grand space features soaring ceiling heights, architectural details including dramatic arched window openings, a private courtyard, and endless possibilities. With the planning complete, the new owner can step in, select finishes, and build a fully customized dream. Highlights include a 27'-wide great room with 25' ceiling heights, a gracious master suite on the second floor, an open kitchen and dining area overlooking the private courtyard, and a two-story south-facing casement window wall.



Gramercy Park is one of New York's most coveted neighborhoods, offering countless restaurants and shops, convenient access to all pockets of Manhattan, and New York City's only private park. For those seeking the opportunity to curate their own space in a premier location, this Maisonette answers the call."
