,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,3200000.00,"10 Leonard St APT 4N, New York, NY 10013",-74.008256,40.718583,10013,0,1,--,1920,2,2,Greenwich Village and Soho,https://www.zillow.com:443/homedetails/10-Leonard-St-APT-4N-New-York-NY-10013/72536971_zpid/,"For sale: $3,200,000. This beautiful Tribeca turn-key loft  is the epitome of downtown luxury living, blending refined modern design with a cool industrial aesthetic. 

The light-filled living area offers perfect proportions for entertaining and features white brick walls, wide-plank solid walnut floors, high ceilings with exposed beams, and 6 large windows. Adjacent to the living room is a quintessential chefs kitchen with a large center island, Calacatta gold marble countertops, stainless steel Wolf stove, Sub-Zero refrigerator and wine storage, and ample custom cabinetry. The spacious master suite has abundant closet space, a dressing room, and a serene limestone bath with double vanity and high-end fixtures. The second interior room offers flexibility and functions well as a bedroom, den, or home office. A large guest bath has a cool downtown feel with dark grout subway tiles, grey stone floors and a soaking tub. Laundry area with Miele washer/dryer. Fully wired for A/V.

10 Leonard Street is a turn of the century Tribeca warehouse converted into a boutique residential co-op, featuring keyed elevator access, 2-3 apartments per floor, private basement storage, and a part time super. Located on one of Tribecas most coveted cobblestone blocks, it is perfectly located amid some of Manhattans best restaurants and shops, a nearby Whole Foods, Hudson River Park, and fantastic transportation access."
1,5950000.00,"391 Broadway, New York, NY 10013",-74.003097,40.718498,10013,0,1,2618,1915,3,4,Greenwich Village and Soho,https://www.zillow.com:443/homedetails/391-Broadway-New-York-NY-10013/2085545822_zpid/,"For sale: $5,950,000. 391 Broadway is an exquisite conversion of a historic cast-iron Pre-war loft building located in Tribeca.

Spanning over 2,618 interior SF and 1,206 exterior SF this immaculate BRAND NEW duplex penthouse features three bedrooms replete with high end en suite bathrooms and powder room. 
This DUPLEX LOFT is the perfect mix of old world TriBeCa charm blended brilliantly with all of the modern conveniences and appointments that today's discerning buyer could ever hope for. The Private keyed elevator access opens directly into the Duplex Loft.
The eastern facing great room includes impressive 13'4 ft ceilings and a gas fireplace with dramatic floor to ceiling slate encompassing the gas fireplace.
Features include keyed elevator entry , amazing sunlight throughout the penthouse thanks to the enormous double hung windows, and skylight. 

The Kitchen is finished with custom cabinetry along with state of the art appliances including Wolfe six burner range, Sub-zero refrigerator with double drawer freezer, and Wolfe microwave convection ovens.

The master bedroom has it's own gas fireplace in addition to the 5 piece master bathroom and two private terraces located off of the master bedroom.

The residences feature wide plank floors, zoned climate control system, washer/dryer, and private storage room included.

391 Broadway is conveniently located in Tribeca and only two blocks away from prime SOHO. 391 Broadway offers true Downtown Loft living. 

391 BROADWAY is an intimate collection of 2, 3 and 4 bedroom full floor loft residences, some with private outdoor space. Discrete private elevator access directly into each residence, soaring ceilings heights, gas fireplaces, restored oversized arched windows, wide plank red oak floors throughout. Multi-zoned climate control systems and laundry rooms. Amenities include a Virtual Doorman, and private storage available for purchase. This is an exquisite conversion of a historic cast-iron loft building located in Tribeca.

The complete offering terms are in an offering plan available from Sponsor. File No. CD160391"
2,8950000.00,"166 Duane St APT 11B, New York, NY 10013",-74.009413,40.716739,10013,0,1,4826,1910,4,4,Greenwich Village and Soho,https://www.zillow.com:443/homedetails/166-Duane-St-APT-11B-New-York-NY-10013/31493830_zpid/,"For sale: $8,950,000. MASSIVE MASTERFULLY DESIGNED by Haynes-Roberts AD top 100 designers for the contemporary lifestyle, the residence's open floor plan accommodates gracious living and formal entertaining while maximizing light and views and offering an abundance of wall space for art with your 11' ceilings. An incomparable 906 sqft South West corner Great Room offers beautiful views and light. Perfect windowed eat-in kitchen designed by St Charles with classics Caesarstone counters and hand cut stainless steel tile backsplash will please any discerning chef. Top appliances include Miele, Wolf and True. The opulent Master Bedroom suite has open bright South views, an incredible 490 sqft windowed dressing room outfitted with Zebra wood cabinets, completed with a lavish spa master bath with a deep soaking tub, double marble vanity, large stall shower all clad in Calacatta marble. Part of the oversized dressing room can easily convert to an additional bedroom please see the optional plan.

The massive second bedroom with en-suite bath is currently set up as a professional screening room with Stewart 110"" screen and JVC projector, this room can effortlessly convert back for your bedroom needs. Sunny third bedroom suite offers a beautiful spa bath and enormous walk in closet. Fourth bedroom offers river views and a nice cozy layout with a smartly designed guest bath/powder room clad in hand cut mosaic tiles and large stall shower. Professionally designed laundry room with a sink and large capacity washer/dryer completes this special offering. Storage room in basement included.

Building amenities: Brand new landscaped designer rooftop by Walter Melvin Architects with outdoor kitchen, barbecue, ping pong table and spectacular views. 24-doorman, resident manager. There is currently a monthly special capital assessment of $3,589 expected to end January 1st 2020."
3,3100000.00,"51 Walker St APT 8B, New York, NY 10013",-74.003504,40.718829,10013,0,1,1642,2005,2,3,Greenwich Village and Soho,https://www.zillow.com:443/homedetails/51-Walker-St-APT-8B-New-York-NY-10013/80003761_zpid/,"For sale: $3,100,000. Residence 8B is a stellar floor through two-bedroom, two-and-a-half-bath in excellent condition. Enter off the keyed private elevator and capture Manhattan views up to the Chrysler Building. Large floor-to-ceiling glass windows and ten-foot ceilings make for a bold impression. The open Varenna Poliform kitchen has a large Carrera marble island and countertops, Sub-Zero refrigerator with double freezer drawer, Bosch range/oven, Miele dishwasher, Sub-Zero wine refrigerator and tons of concealed storage. The master bedroom has three large south facing windows with a private balcony to enjoy southern views and en-suite five-fixture bath which includes an extra deep soaking tub and separate glass enclosed shower. Additional features include custom built-in closets and a Miele washer/dryer.

51 Walker is a boutique condominium with 15 residences. The building has a virtual doorman that accepts packages in a secure room, a fitness center for residents and private storage and bike rack included with the sale. Pets are welcome."
4,1150000.00,"255 Hudson St APT 5F, New York, NY 10013",-74.007948,40.724583,10013,0,1,776,2005,1,1,Greenwich Village and Soho,https://www.zillow.com:443/homedetails/255-Hudson-St-APT-5F-New-York-NY-10013/143090125_zpid/,"For sale: $1,150,000. A perfect location to live in; a renovated and lofty one bedroom to call home. A central location directly next to the new Google Hub and myriad other creative businesses. An investment with upside in SoHo with reasonable charges and full services. This sophisticated and polished 776-square foot one bedroom condominium doesn't waste a square inch.



Start with an entry foyer that greets you with nearly 10 foot high ceilings, with sweeping Eastern exposure over Hudson Square. Double-paned wall to wall windows that allow sunlight to stream in all day. The stylish open kitchen makes entertaining easy and features top of the line appliances including Sub-Zero refrigerator, Bosch dishwasher, Viking range, and wine cooler.



A generous bedroom easily accommodates a King size bed with room to spare, and has excellent closet space. Central Air, vented washer/dryer, hardwood flooring, contemporary design. Move-in ready. 



255 Hudson Street is located in the heart of Hudson Square. where SoHo, Tribeca, and the West Village converge. The building features a 24 hour doorman, Zen garden, and is highlighted by a spectacular roof top terrace. Proximity to the 1,2,A,C,E trains, SoHo dining, West Side Highway, and the best of what Downtown has to offer."
5,6750000.00,"161 Hudson St # 8/9C, New York, NY 10013",-74.008598,40.721801,10013,0,1,3012,1930,2,3,Greenwich Village and Soho,https://www.zillow.com:443/homedetails/161-Hudson-St-8-9C-New-York-NY-10013/2086543538_zpid/,"For sale: $6,750,000. DUPLEX PENTHOUSE DREAM

This one-of-a-kind two bed, two and a half bath duplex is flooded with sunlight from all sides. In the heart of Tribeca, boasting approximately 1,000 square feet of private outdoor space, split between the patio, roof deck, and garden, this is the perfect home to entertain.

Enter the apartment to massive double height ceilings and vast sunlight that pours in from windows on both floors. The attention to detail can be seen throughout the home, starting with the entrance where you are greeted by beautiful American Walnut floors. Ample dining space adjacent to the expansive living room allows for large scale parties as well as intimate private gatherings. The stainless-steel kitchen is every chefs dream, with top of the line Viking appliances including two dishwashers, two ovens, two sinks, a range top grill, and much more. The master bedroom, located on the first floor, has gorgeous custom built-in storage and an en-suite bathroom.

Walk up the grand staircase to be greeted by magnificent city views through grand floor to ceiling windows. The upstairs bedroom has an en-suite bathroom as well, and looks out onto the private garden.

This apartment offers three incredible outdoor spaces. The garden, which is just outside of the bedroom on the second floor of the duplex, is completely private with walls on all four sides offering the utmost tranquility. The patio, also on the second floor, has a BBQ and large entertaining and dining area. Lastly, up the outdoor spiral staircase you will find the private roof deck, with unmatched open views of Tribeca.

A temperature controlled wine cellar, laundry room, wood-burning fireplace, and surround-sound Sonos system are just some of the other incredible features included in this home.

161 Hudson is a boutique, loft-style condominium located in the heart of Tribeca. With public transportation in close proximity (1, A, C, E, N, Q, R, W, 6, J, Z), as well as the Hudson River Park and all of the dining and nightlife downtown Manhattan has to offer. The building has a part time doorman (M-F 8am-8pm, S-S 11am-8pm), allows for pieds-a-terre, and is pet friendly. this is a co-exclusive with R. New York.

*Partial Virtual Staging*"
6,7250000.00,"52 Lispenard St # 5, New York, NY 10013",-74.00324,40.719552,10013,0,1,3347,1920,4,4,Greenwich Village and Soho,https://www.zillow.com:443/homedetails/52-Lispenard-St-5-New-York-NY-10013/219713488_zpid/,"For sale: $7,250,000. Spectacular in every way, this 3,347 sqft modern loft in TriBeCa is soaked in sunshine and impeccably designed from top to bottom. Direct key-locked elevator access leads into a gracious entry gallery that introduces an awe-inspiring ambience of museum-quality elegance with 4 bedrooms and 4.5 baths. The magnificent great room stretching nearly 51' wide showcases full-frontage window views of historic Lispenard Street that extend to the Chrysler Building, creating a wonderful backdrop for entertaining. A marble-wrapped smokeless clean-burning fireplace centers the spacious living area, which spills into the open dining room, and stunning custom chef's kitchen styled with Bianco Borealis marble, top-of-the-line Gaggenau and Miele appliances, a U-Line under-counter wine cooler, Franke garbage disposal and Falmec vented range hood. The apartment is awash with natural light pouring in from custom oversized wood-frame windows and 45' of lovely skylights. Rich 8' wide Italian white oak plank flooring flows throughout the grand space, complemented by recessed Kreon LED art lighting which adds a contemporary touch. 

Generously-sized bedrooms offer plentiful closet space, particularly the indulgent master suite with a huge walk-in and large south facing balcony. The ultra-luxe Calacatta Italian marble master bath boasts radiant heat floors, custom double-sink vanity, CEA Design faucets and accessories, deep soaking Zuma tub, glass-enclosed Thermasol steam shower and water closet with wall-mounted Duravit toilet. Secondary baths dressed in gorgeous Silk Georgette Limestone tile by Salvatori feature custom vanities with waved Corian sinks and deep soaking Zuma tubs. 

Other highlights of this special home include a full laundry room with GE washer and vented dryer, stainless steel sink and custom storage, 4-zone Mitsubishi heating/cooling system, auxiliary radiant heat by Runtal, smart home prewiring for complete control of audio/video, lighting, window treatments and HVAC. 

A new boutique condominium with a part-time doorman and video intercom, 52 Lispenard sits in the heart of TriBeCa at the crossroads of Chinatown and the Financial District, near premier restaurants, designer shops and major train lines."
7,NaN,NaN,-74.008707,40.724948,NaN,NaN,NaN,1774,2015,NaN,NaN,Greenwich Village and Soho,https://www.zillow.com:443/homedetails/15-Renwick-St-304-New-York-NY-10013/219645664_zpid/,NaN
8,1995000.00,"101 Leonard St APT 3F, New York, NY 10013",-74.003537,40.716811,10013,0,1,1275,2014,2,2,Greenwich Village and Soho,https://www.zillow.com:443/homedetails/101-Leonard-St-APT-3F-New-York-NY-10013/124727016_zpid/,"For sale: $1,995,000. Unparalleled standard of luxury, with meticulousness paid to every detail in this showplace 1275 sq ft Tribeca loft on prized Leonard Street. This gorgeous 2 bedroom 2 bath apartment at 101 Leonard epitomizes artful design in a superlative prewar neo-classical-style building, reinvented in 2014 by famed Italian developer Bizzi and Partners into a stunning upscale condominium. Enter an ambience of timeless elegance, bathed in natural light from eastern exposure presented through oversized windows. Airy 11+' ceilings are complemented by rich European oak flooring that flows below your feet throughout the expansive residence. The gracious living area, perfect for entertaining, is served seamlessly by a chic Italian-inspired open chef's kitchen graced by custom cabinetry, quartzite countertops, Grohe fixtures and premium Liebherr and Miele appliances with external venting. The spa-like master bath is a peaceful retreat beautified by natural limestone, rich wood tones, a custom sink vanity with backlit mirrors, and an indulgent freestanding soaking tub. Generous closet space and an in-home washer-dryer optimize living comfort. There is a separate-deeded storage unit in the cellar that comes with the condo as a bonus. 



The Leonard makes a handsome statement at the corner of Leonard and Broadway with its distinctive brick and limestone facade. This full-service, pet-friendly elevator building offers residents attentive doorman and concierge service, a soaring lobby with vertical wood-paneled columns and graceful furnishings, live-in superintendent, recreation and fitness facilities that include a fully-equipped gym and kids playroom, fabulous rooftop oasis with dining and lounging areas, a vertical garden and panoramic city views. The Leonard is quintessentially located for taking advantage of all the fabulous restaurants, shopping, and culture of TriBeCa."
9,4750000.00,"161 Duane St APT 5B, New York, NY 10013",-74.008796,40.716899,10013,0,1,2403,1910,3,3,Greenwich Village and Soho,https://www.zillow.com:443/homedetails/161-Duane-St-APT-5B-New-York-NY-10013/2091654095_zpid/,"For sale: $4,750,000. Price reduction! This is a charmingly elegant, handcrafted Tribeca three bedroom, two and a half bath duplex condominium with direct Duane Park views. Originally delivered as a white box and fully customized by a team of artisan millworkers, stone masons, and painters from across the world and crafted to the owners exacting standards, this home delivers a level of finish rarely seen.

The design build process was curated by architect and master artisan Claude Puaux. This duplex was designed with a direct private elevator entry into a 25' X 42' grand open plan living and dining area. The upper level of this home centers around a one of kind wood burning fireplace built with one of kind La Pierre Doree 17th century stone from the same quarry that provided the stone to construct the Chteau de Versailles. 

Just as spectacular are the quarter-sawn European walnut wood floors in the living and dining room of various widths and lengths. The living area is framed spectacularly by three oversized windows and walnut wood seating benches to take advantage of the direct views of Duane Park. The open kitchen is highlighted by rich Port Laurent slab marble countertops. 

Led down to the lower level by a custom created staircase, there are three gracious sized bedrooms and a library featuring a handcrafted wood floor designed in a parquet basket weave pattern and inspired by the floors of a 16th-century Chateau in Southern Italy. Fabricated from quarter-sawn oak and walnut wood, the floor was then highly polished, bringing out its own inherent personality and the impression of age. 

On top of it all there is a J51 tax abatement in place and some of the lowest real estate taxes around. With countless more details, including custom built storage and hand selected wall finishes, this is one home that must be seen to fully appreciate. The Mohawk Atelier is a full service, boutique pre-war condominium with 24 hour concierge. You are located near several subways, parks, shopping, restaurants, and everything downtown has to offer."
