,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,419000.00,"50 Park Ter W APT 6B, New York, NY 10034",-73.917931,40.870611,10034,0,1,825,1925,1,1,Inwood and Washington Heights,https://www.zillow.com:443/homedetails/50-Park-Ter-W-APT-6B-New-York-NY-10034/82784680_zpid/,"For sale: $419,000. ALL THAT AND THEN SOME! This is the ultimate 1BR/1BA that literally checks off each box on a discerning home buyer's list: top floor, generous layout, beautiful light, open views, exquisite period details, and lovely renovations. If it's perfection you're after, you've just found it!



There's an immediate sense of space when you walk in with the foyer opening to an expansive sunken living room, complete with lovely wrought iron railings and intricate woodwork around the deco arch. The kitchen with a large eat-in area has been tastefully renovated with warm cherry wood cabinetry and open shelving, and features stainless appliances. The bathroom is a charming throwback where the beautifully maintained original features have been matched with period appropriate upgrades. The huge bedroom with enchanting morning light through a corner window has two exposures and two closets. Other deco details include stunning herringbone/hardwood floors with inlays, a unique full-size built-in bookshelf, and picture moldings throughout - folks, this is simply pure charm!



The location of this art deco jewel is in one word ideal, being surrounded by parks on one of the quietest blocks of NYC, yet close to all the amenities and transportation - pretty and convenient, all in one package. Never again be bothered by noisy upstairs neighbors, so get ready to enjoy morning sunrises and quiet evenings in your new home....



NB: There is a capital assessment of $158.32/mo until 3/2021.



This fantastic nabe has great outdoor opportunities, providing easy access to tennis, basketball, and handball courts, baseball and soccer fields, hiking/biking trails, and kayaking. It boasts the best dog run of the city (according to many) and is a nature-loving city-dweller's fantasy fulfilled. The local services include a year-round farmer's market, cafes and restaurants, banks, florists, and hardware stores; River Plaza shopping center with Target, Marshall's, etc. is within a quick walking distance. Inwood is serviced by A express and 1 local subway lines, Metro North (Marble Hill), and the east-side express bus to lower Manhattan, and is easily accessible by most major highways.



EXCLUSIVE AGENT: ACCESS PROPERTY GROUP"
1,249000.00,"90 Park Ter E APT 7H, New York, NY 10034",-73.91554,40.870891,10034,0,1,400,1949,0,1,Inwood and Washington Heights,https://www.zillow.com:443/homedetails/90-Park-Ter-E-APT-7H-New-York-NY-10034/99374316_zpid/,"For sale: $249,000. VIEWS 'TIL TOMORROW! Wake up with the first rays of the rising sun with open, urban views over the eastern horizon and even a distant peek of lower Manhattan - all at a price that's unheard of in today's day and age. If you've been looking for an opportunity to get your foot in the door with home buying, you just hit a jackpot!



This darling top-floor Studio/1BA is in perfect move-in condition, having been gut-renovated a few years ago. The compact, yet highly functional kitchen has all the features that an aspiring home chef might desire: lovely wood cabinetry offering great storage, sleek black granite counters, and all stainless steel appliances, including a dishwasher and a microwave. You can enjoy long and relaxing baths in the earthtone-tiled bathroom that will surely calm your nerves and take you to a zen place far away from the craziness of the city. This home has skim-coated walls and newly refinished original parquet floors throughout, and three closets offer plenty of storage for your belongings.



In addition to being the ideal first purchase, this home also makes a fabulous pied-a-terre because of its extra low maintenance resulting in VERY attractive monthly payments. Come and see this gem now, and be prepared to fall in love....



This fantastic nabe has great outdoor opportunities, providing easy access to tennis, basketball, and handball courts, baseball and soccer fields, hiking/biking trails, and kayaking. It boasts the best dog run of the city (according to many) and is a nature-loving city-dweller's fantasy fulfilled. The local services include a year-round farmer's market, cafes and restaurants, banks, florists, and hardware stores; River Plaza shopping center with Target, Marshall's, etc. is within a quick walking distance. Inwood is serviced by A express and 1 local subway lines, Metro North (Marble Hill), and the east-side express bus to lower Manhattan, and is easily accessible by most major highways.



EXCLUSIVE AGENT: ACCESS PROPERTY GROUP"
2,425000.00,"65 Park Ter E APT C58, New York, NY 10034",-73.916575,40.870708,10034,0,1,800,1939,1,1,Inwood and Washington Heights,https://www.zillow.com:443/homedetails/65-Park-Ter-E-APT-C58-New-York-NY-10034/72536623_zpid/,"For sale: $425,000. Gorgeous garden views from EVERY ROOM!! Yes, even the bathroom.

This 1 Bedroom with thoughtful layout, available on a high floor, in a well cared for Pre War elevator building is calling to you. Original oak hardwood floors in a herringbone pattern flow seamlessly throughout the apartment. All of the doors and knobs are original and filled with charm and history.

As you enter the foyer with large coat closet, its clear youve entered into a special space. The draw to the windows is unmistakable; its that view, the quiet and the flood of sunshine that makes you feel at home. A gracious sunken living room with the original wrought iron handrails is a great spot to gather with friends and family.

The kitchen offers granite countertops with custom stone backsplash and lots of working space. A wine rack, dishwasher and black slate floors should not be overlooked. The king size Bedroom offers 2 closets and a beautiful bay window to watch the snowfall stick to the trees in the garden. Charming, inviting and spacious, this apartment has to be seen to be fully appreciated.

Park Terrace Gardens features include: roof deck, free high-speed internet, concierge services, bike storage, laundry and so much more. 

The neighborhood features two parks with over 200 acres of woodland. Transportation couldn't be better. Two subway lines (the A and #1 trains), express bus and Metro North station are all conveniently located. Great parks, terrific transportation, convenient shopping, restaurants, Saturday's farmer's market and so much more - Come see what home feels like in Inwood!"
3,399999.00,"95 Park Ter E APT 4F, New York, NY 10034",-73.915755,40.871316,10034,0,1,767,1925,1,1,Inwood and Washington Heights,https://www.zillow.com:443/homedetails/95-Park-Ter-E-APT-4F-New-York-NY-10034/72536687_zpid/,"For sale: $399,999. Spacious, sunny, corner, Art Deco one bedroom at 95 PTE.  This unit has has the best layout you'll find in this price range.  When you enter the large foyer, which could easily double as a dining area, you're greeted by a beautiful imported French Art Deco cut-glass, hanging light and built-in shelves.In front of you, a lovely decorative arch and scrolling banisters lead you into a big, light-filled, sunken living room.



Two windows with southern exposure overlook quiet, tree-lined 217th street.The windowed eat-in kitchen, also off the foyer, has more lovely pre-war details, like a chair rail, as well as an installed water filter. Have your meals in the eat-in area while looking through another archway to a beautiful tree right outside.At the foyer's end, pass through another arch to the hallway, leading to the bathroom and bedroom.



The windowed bathroom has a new pedestal sink and newly tiled shower body as well as the original over-sized soaking tub.The generous bedroom has both eastern and southern exposures.

This apartment has lots of character with its red oak hardwood floors inlaid with walnut marquetry, crown and picture moldings, high ceilings and curved walls.



It also has 4 closets, one of which is a walk-in and updated electric. And it's steps from Inwood's renowned parks and nature trails, both the 1 and A trains, a Saturday Green Market as well as Inwood's community activities and concerts.



Sorry no dogs."
4,NaN,NaN,-73.9169,40.8712,NaN,NaN,NaN,700,1939,NaN,NaN,Inwood and Washington Heights,https://www.zillow.com:443/homedetails/72-Park-Ter-W-APT-E35-New-York-NY-10034/2090783006_zpid/,NaN
5,269000.00,"77 Park Ter E APT D19, New York, NY 10034",-73.916133,40.87095,10034,0,1,475,1939,0,1,Inwood and Washington Heights,https://www.zillow.com:443/homedetails/77-Park-Ter-E-APT-D19-New-York-NY-10034/123978448_zpid/,"For sale: $269,000. Feels like a one bedroom at a price that cant be beat! Apartments like this rarely come on the market. Park Terrace Gardens, Inwoods most sought after cooperative, only has 4 studios in the entire 400 unit complex. Great opportunity for you to purchase in this most desirable complex at an affordable entry-level.

Very large and living area with a full size open kitchen. The living area has been divided with a wonderful storage solution giving you privacy, separation and still plenty of room. The apartment looks out over the front gardens and across the way are beautiful Tudor style homes built in the 1920s. This is one of the prettiest blocks in all of Manhattan.
There is a very large entry foyer and a separate dressing are. Tons of storage.
The building offers: free high speed internet access, concierge services, roof deck, on-site management, laundry room, and so much more."
6,NaN,NaN,-73.930304,40.866824,NaN,NaN,NaN,66456,1926,NaN,NaN,Inwood and Washington Heights,https://www.zillow.com:443/homedetails/1793-Riverside-Dr-APT-6J-New-York-NY-10034/244845230_zpid/,NaN
7,629000.00,"75 Park Ter E # D70, Manhattan, NY 10034",-73.916397,40.871101,10034,0,1,950,1939,2,1,Inwood and Washington Heights,https://www.zillow.com:443/homedetails/75-Park-Ter-E-D70-Manhattan-NY-10034/2090186935_zpid/,"For sale: $629,000. Inwood Two-Bedroom with Spectacular View

This sunny, open and professionally renovated 2 bedroom, one bath co-op on the 7th floor is the best the neighborhood has to offer! The skyline goes on forever from this elegant Pre-War two-bedroom in Inwoods coveted Park Terrace Gardens Coop. This apartment has been gorgeously renovated from floor to ceiling with modern kitchen and bathroom, while maintaining its natural charm.

The luxury kitchen has been updated to include every detail including new cabinetry, hardwood flooring, under cabinet storage drawers and top of the line integrated appliances. Features include a full-sized Sub Zero refrigerator/freezer with built-in ice-maker, integrated Viking Designer series cooktop with Viking Professional range hood, Viking oven, ultra quiet Bosch dishwasher, Water chef premium water filtration system, Grohe faucet, Waveline mosaic pure silk glass tile backsplash, 2 thick White Carrara honed marble countertops, under-cabinet lighting, above-cabinet lighting and installed microwave. Other wonderful details include an extended breakfast bar adding nearly two additional feet of cooking/ dining space in the kitchen, integrated shelving with drawers for storage and a spice pantry.

The impeccably renovated bathroom boasts clean, modern lines and is simply luxurious. The 2017 gut renovation includes 1/2"" thick herringbone marble tile floors, gleaming porcelain floor to ceiling wall tiles, Rejuvenation Tolson thermostatic shower set with hand-shower in aged brass, Rejuvenation Tolson faucet and handles, Kohler Santa Rosa toilet, Kohler double mirrored vanity/medicine cabinet, and Ronbow vanity with soft-close doors.

The open living space features a sunken living room, dining foyer, George Kovacs ceiling fan/light fixture and expansive views, from miles of open sky to a charming, tree-lined street showcasing Inwood's row of Tudor-style homes. Other amazing Art Deco features include wrought iron railings and built-in recessed bookshelves, highlighted by herringbone hardwood floors and beamed ceilings.

The welcoming master bedroom and second bedroom are full-sized rooms that get amazing morning sunlight. The master room updates include a George Kovacs light and fan and 10.5 feet of floor to ceiling wardrobe added for additional closet space. This wardrobe also features glass doors that serve as a very convenient whiteboard.

Park Terrace Gardens has an on-site management office, 24-hour laundry room, concierge service, free Internet and rooftop common areas for BBQs and entertaining. This unit is in an amazing and friendly neighborhood with the majestic 196-acre Inwood Hill Park within walking distance. Come see the perfect place to call home!"
8,399000.00,"579 W 215th St APT 4B, New York, NY 10034",-73.918951,40.872024,10034,0,1,800,1966,1,1,Inwood and Washington Heights,https://www.zillow.com:443/homedetails/579-W-215th-St-APT-4B-New-York-NY-10034/244849685_zpid/,"For sale: $399,000. Very Spacious One Bedroom at a Great Price

Spacious sunny one bedroom with brand new kitchen and bathroom. Lots of closets, entry foyer, trees by the windows, hardwood floors throughout the apartment. Elevator, laundry, super in the building and roof access.

Also available for rent - $2100/mo."
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inwood and Washington Heights,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=248060078,NaN
