,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,NaN,NaN,-74.011802,40.704799,NaN,NaN,NaN,19500,1908,NaN,NaN,Lower Manhattan,https://www.zillow.com:443/homedetails/70-Broad-St-New-York-NY-10004/2133383119_zpid/,NaN
1,685000.00,"40 Broad St APT 22C, New York, NY 10004",-74.011786,40.706021,10004,0,1,850,1982,1,1.5,Lower Manhattan,https://www.zillow.com:443/homedetails/40-Broad-St-APT-22C-New-York-NY-10004/89228426_zpid/,"For sale: $685,000. Price Improvement!
Welcome to The Setai Condominium! A luxury condo residence with hotel-like services. Amenities include full-service concierge, roof terrace with breathtaking views and indoor lounge. Gym and pool/TV room on 10th floor. Convenient access to The Spa at Wall Street on the 3rd floor, offering a zen-inspired retreat, state-of-the-art fitness center and full spa services.

Unit 22C is a spacious studio with western exposure, 10' ft ceiling, Brazilian Walnut floors. The spa like bathroom offers a deep soaking tub and a separate rain shower. The contemporary kitchen make a dramatic design statement with black Granite countertops, backsplashes and custom cabinetry. Premium appliances include a Sub-Zero refrigerator and freezer with integrated paneling plus a Miele oven, cook top and dishwasher. In unit Bosch Washer Dryer.
Call or Email to schedule a private tour.

Call or Email to schedule a private tour."
2,5250000.00,"21 S William St, New York, NY 10004",-74.010696,40.704399,10004,0,1,2020,No Data,3,2.5,Lower Manhattan,https://www.zillow.com:443/homedetails/21-S-William-St-New-York-NY-10004/2111987425_zpid/,"For sale: $5,250,000. In the heart of the Financial District rests the crowning achievement of the boutique Block Hall Condominium. This penthouse home not only has 2000 square feet of living space across but also boasts 1,000 square feet of expansive outdoor space as well.

This full floor 3 bedroom (convertible 4 bedroom) 2.5 baths features hardwood floors, high ceilings, two working gas fireplaces, and ample closet space throughout. The sun filled home boasts fantastic natural light with open city and river views and four exposures. The open chef's kitchen would delight the most discernible chef with granite counter-tops, marble floors and premium Viking, Miele and Liebherr appliances. The sprawling living/dining room is perfect for entertaining while the master suite complete with walk in closet and full Jacuzzi bath is the perfect oasis.

Block Hall is a luxury landmark condominium located on South William Street whose architecture is a classic revival of late 1920's Tudor style. The building features a beautiful roof deck, in-unit laundry, exercise room and part-time attended lobby and virtual doorman. The super and porter are also in the building daily. This location is just steps from great restaurants, shopping and transportation. Elegance, privacy and sophistication combine. See the City as it was meant to be seen. Contact us for a viewing today!"
3,NaN,"20 West St APT 35F, New York, NY 10004",-74.015609,40.706184,10004,NaN,NaN,382,1930,0,0,Lower Manhattan,https://www.zillow.com:443/homedetails/20-West-St-APT-35F-New-York-NY-10004/80006910_zpid/,"For sale Investor opportunity! This property is being offered at Public Auction on 05-15-2019. Visit Auction.com now to view additional photos, Property Inspection Report with title information, plat maps and interior inspection reports when available. Auction.com is the nation's leading real estate transaction platform focused exclusively on the sale of residential foreclosure and bank-owned properties. The majority of these properties are priced below market value. Don't miss this special opportunity to buy homes at wholesale prices! In addition to this property, 70 other properties are scheduled for sale at this same Foreclosure Sale. In our online auctions and live Foreclosure Sales, Auction.com currently has 15 properties scheduled for sale in New York County and 1307 throughout New York. All properties and sale details can be found with a simple search at Auction.com. Create a FREE account today to find more properties like this one, save searches of properties that meet your investment criteria and have the properties you're looking for emailed directly to you when posted in an upcoming sale event. To view the complete details of this exact property, click the Auction.com link below or paste the Property ID 2760875 into the search bar at Auction.com"
4,NaN,NaN,-74.0162,40.70672,NaN,NaN,NaN,1400,No Data,NaN,NaN,Lower Manhattan,https://www.zillow.com:443/homedetails/70-Little-West-St-APT-23B-New-York-NY-10004/2111047867_zpid/,NaN
5,10499000.00,"10 West St # PH2C, New York, NY 10004",-74.017501,40.7056,10004,0,1,4293,2003,4,5,Lower Manhattan,https://www.zillow.com:443/homedetails/10-West-St-PH2C-New-York-NY-10004/2085283880_zpid/,"For sale: $10,499,000. Perched on the highest floors of The Ritz-Carlton Residences, this ultra-luxurious, extremely private, 4-bedroom, 5-bath duplex home with grand terrace features spectacular and iconic waterfront views throughout from dawn to dusk. A grand foyer leads into a splendid living space that is outfitted with a glass curtain wall offering unobstructed panoramic views of the Hudson River, NY Harbor, Statue of Liberty, Verrazano Bridge, Governors Island, Battery Park and beyond. The oversized chef's kitchen is equipped with top-of-the-line appliances, abundant Poggenpohl cabinetry and a breakfast nook. A formal dining room with direct outdoor access conveniently connects the kitchen and living room. Plus an expansive, south facing terrace completes the splendor of a fine home. The sprawling master suite on the upper level has extraordinary waterfront views, full marble bath with soaking tub and steam shower, large walk-in closets and dressing area. Two additional bedrooms upstairs have en-suite baths and equally impressive water views. A bonus bedroom on the main level can alternately be used as a fantastic study or den, complete with its own jaw-dropping vistas. Every last detail has been thought of in this incredible home including additional in unit storage rooms and laundry room with vented dryer.

The Ritz-Carlton Residences is a truly elite white-glove property with a dedicated concierge, private security staff, porter, doorman, on-demand maid service and valet parking. On-site amenities include 5-star restaurant 2West, a serene lounge bar, a state-of-the-art health club, in-room dining and more. The lush 30-acre green space of Battery Park City is right outside your front door and just a short stroll to luxury shopping at Brookfield Place, hip eateries at Hudson Eats food hall, and the Oculus transportation hub with an additional 100+ retail stores. Just steps away from Tribeca and FiDi are world-class restaurants, with the newest addition of CUT, Augustine, Manhatta, NOBU and the renewed historic South Street Seaport, which recently opened Pier 17, completing the New Downtown image. The nearby 4/5, 1 and R/W trains provide rapid transportation anywhere in the city. The Wall Street Journal has recently described Battery Park City as being one of the most desirable residential destinations downtown."
6,NaN,NaN,-74.01392,40.711727,NaN,NaN,NaN,2401,2006,NaN,NaN,Lower Manhattan,https://www.zillow.com:443/homedetails/30-West-St-18DE-New-York-NY-10004/2101966672_zpid/,NaN
7,1260000.00,"25 Broad St APT 15D, New York, NY 10004",-74.010803,40.705799,10004,0,1,1016,1900,2,2,Lower Manhattan,https://www.zillow.com:443/homedetails/25-Broad-St-APT-15D-New-York-NY-10004/2119678734_zpid/,"For sale: $1,260,000. Experience Landmark Living in the true heart of Manhattan at The Broad Exchange Building. Located in New York City's original neighborhood, the residences at The Broad Exchange Building offer a blend of old and new in the center of the Financial District.



One- and two-bedroom condominium residences steps from Wall Street offer spacious floor plans with luxurious finishes, timeless style, extraordinary access, and a coveted connection to a storied past - and pure possibility.



Oversized living spaces with open-plan kitchens feature dark hardwood floors throughout, large bedrooms fit king-sized beds, and bathrooms feature marble finishes, deep soaking tubs, showers, double sinks, and dual-entries for convenient guest access.



A modern amenity program features a full-service 24/7 concierge, fitness center with separate yoga room, gracious residents' lounge with catering kitchen, game room with pool table and games simulator, and a children's playroom.



Unparalleled convenience is offered by its close proximity to almost every downtown train, including: 1/2/3/4/5/A/C/E/J/M/R.



The complete terms are in an offering plan available from sponsor. File No. CD18-0154."
8,NaN,NaN,-74.011985,40.704814,NaN,NaN,NaN,--,1918,NaN,NaN,Lower Manhattan,https://www.zillow.com:443/homedetails/26-Beaver-St-16FL-New-York-NY-10004/2085128817_zpid/,NaN
9,845000.00,"25 Broad St APT 10M, New York, NY 10004",-74.010803,40.705799,10004,0,1,747,1900,1,1,Lower Manhattan,https://www.zillow.com:443/homedetails/25-Broad-St-APT-10M-New-York-NY-10004/2115777675_zpid/,"For sale: $845,000. Experience Landmark Living in the true heart of Manhattan at The Broad Exchange Building. Located in New York City's original neighborhood, the residences at The Broad Exchange Building offer a blend of old and new in the center of the Financial District.



One- and two-bedroom condominium residences steps from Wall Street offer spacious floor plans with luxurious finishes, timeless style, extraordinary access, and a coveted connection to a storied past - and pure possibility.



Oversized living spaces with open-plan kitchens feature dark hardwood floors throughout, large bedrooms fit king-sized beds, and bathrooms feature marble finishes, deep soaking tubs, showers, double sinks, and dual-entries for convenient guest access.



A modern amenity program features a full-service 24/7 concierge, fitness center with separate yoga room, gracious residents' lounge with catering kitchen, game room with pool table and games simulator, and a children's playroom.



Unparalleled convenience is offered by its close proximity to almost every downtown train, including: 1/2/3/4/5/A/C/E/J/M/R.



The complete terms are in an offering plan available from sponsor. File No. CD18-0154."
