,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,249000.00,"123-125 E 102nd St # 1C, Manhattan, NY 10029",-73.948501,40.79,10029,0,1,350,1930,1,1,East Harlem,https://www.zillow.com:443/homedetails/123-125-E-102nd-St-1C-Manhattan-NY-10029/2087294062_zpid/,"For sale: $249,000. This is a very small (approx. 350 sq. ft.) 1BR apt which has been completely renovated - not lived in since. This is a perfect starter apt for an individual or couple - in a great location (one block to #6 train buses, 23rd Precinct, markets, etc. and close to Central Park)! This H.D.F.C. has very generous income restrictions (purchaser cannot make more than$120K for individual/$138K for couple) - no limit on assets! The building is super clean and very well managed. Very Low $425 monthly maintenance includes heat & hot water! Call Scott Kinder to schedule a private showing - Board Approval, income and financial verification required."
1,3599000.00,"165 E 107th St, New York, NY 10029",-73.944972,40.792829,10029,0,1,5500,2018,5,6,East Harlem,https://www.zillow.com:443/homedetails/165-E-107th-St-New-York-NY-10029/143167485_zpid/,"For sale: $3,599,000. Experience unmatched quality and style in this brand-new, two-family townhouse that delivers the best in modern luxury living in the heart of vibrant East Harlem. Comprised of a chic owner's triplex and a large garden apartment, this 17-foot-wide building presents an ideal opportunity to live in an elegant new home with an income-producing rental.

Enter the four-bedroom, three-and-a-half-bathroom triplex and take in bright living spaces bathed in sunshine from oversized windows facing south and north. The large living room is the epitome of warmth and hospitality with gorgeous wide-plank white oak floors and ultra-tall ceilings dotted with recessed lighting. A powder room and large closet add convenience in the roomy dining area, while the fantastic chef's kitchen is a vision in form and function. Glass front lacquer cabinetry and marble countertops surround state-of-the-art stainless steel appliances, including a huge Frigidaire refrigerator, Bertazzoni gas range and dishwasher and a built-in Miele coffee system. The large rear deck here and garden below make outdoor dining and lounging irresistible.

Upstairs, the phenomenal master suite includes a private balcony, twin walk-in closets and a bathroom that rivals most spas with its enormous jetted tub, wide double vanity and swaths of marble. There's another bedroom/study at the front of this level, and a laundry closet with washer-dryer hookups. On the top floor, you'll find a convenient home office and two complete bedroom suites, each featuring balconies and en suite baths. This home's crowning glory is the massive roof deck that spans the entire footprint of the home, taking full advantage of wide-open views that stretch across Manhattan.

The high-value rental unit features the same level of craftsmanship and design found above. The open kitchen includes marble counters and top-notch stainless steel appliances. There's a large study and a well-appointed bathroom, and the rear-facing bedroom opens directly onto the fully fenced backyard featuring landscaping and pavers. The unit's lower level includes an enormous recreation room with a full bathroom and washer-dryer hookups. Central heat and air, a 75-gallon water heater and smart home features add year round comfort and convenience to this stunning Harlem home.

Set on a tree-lined street filled with handsome brownstones, this fine home delivers residential tranquility in the heart of the East Harlem renaissance. Great local dining and shops fill the nearby streets, and Fifth Avenue's renowned Museum Mile begins just blocks away. You'll find magnificent outdoor space in Central Park, three blocks west, or along the East River Promenade, three blocks east.The 6 train is practically right outside your door, and the 2/3 station along 110th street is less than 10 minutes away."
2,549000.00,"2132 2nd Ave APT 5D, New York, NY 10029",-73.940399,40.792999,10029,0,1,737,2006,2,2,East Harlem,https://www.zillow.com:443/homedetails/2132-2nd-Ave-APT-5D-New-York-NY-10029/2092160281_zpid/,"For sale: $549,000. Best Buy for 2 Bedroom/2 Bath!
This 2Bed/2Bath home faces west and has oversized double pane windows making it bright, warm and quiet. At under $550,000 for a full size 2 bed, this is a super deal! Beautiful hardwood floors throughout, maple cabinets, polished granite countertops, and stainless steel GE appliances. The Crown Condominium is a 9-story building with resident super, courtyard, and laundry room along with storage (waitlist) and free bike room. With the 6 train just two blocks away, you'll arrive at Grand Central in 20 minutes or Times Square in 25 minutes. Central Park is a short four-block walk. The top of Central Park is one of the most beautiful areas with the Harlem Meer, The Conservancy Garden, and summer Sunday concerts. If you like to swim, you have your choice of pools at Thomas Jefferson Park or Central Park. Great restaurants are now proliferating in this neighborhood including Mountain Bird, Amor Cubano, the famous Rao's and Maxwell's to name a few. This area is also home to a thriving arts community including the El Museo del Barrio, Museum of the City of New York, JVS Project Space, Coronado Print Studio, Hunter East Harlem Art Gallery, White Box and more all within walking distance."
3,125000.00,"424 E 115th St APT 4D, New York, NY 10029",-73.934997,40.794799,10029,0,1,500,1910,1,1,East Harlem,https://www.zillow.com:443/homedetails/424-E-115th-St-APT-4D-New-York-NY-10029/2086893582_zpid/,"For sale: $125,000. CASH ONLY - Great Opportunity to own a turn key 1bd Jr HDFC Coop apartment in East Harlem. Good size bedroom and living room area, high ceilings and hardwood floors. Maintenance includes ALL utilities ($925). Close to 6 train, shopping area, local commute and more... Building has an income cap of 120% of the median income (1 person $87,120, 2 persons $100,000). This unit is subject to management and board approval. CASH ONLY

NO SUBLETTING ALLOWED 4th floor walkup



24hrs notice required - txt, email or phone call - BA 2%"
4,499000.00,"342 E 100th St APT 2C, New York, NY 10029",-73.943298,40.7858,10029,0,1,--,1925,2,1,East Harlem,https://www.zillow.com:443/homedetails/342-E-100th-St-APT-2C-New-York-NY-10029/2086070376_zpid/,"For sale: $499,000. A PREMIERE HDFC Co-op unit on the East Side. This is a beautiful sun filled renovated true 2 bedroom unit with North and East views.  The unit features hardwood floors, granite counter tops, stainless steel appliances, good closet space, crown molding through out  and nice views. The unit has a layout that gives  great opportunity to maximize space, natural light and views. This  building features an elevator with laundry in the lobby and is pet friendly. The building is well maintained, managed and has great financials.   Close to transportation shopping banks parks , schools and restaurants. This HDFC CO-OP follows strict Income guidelines based on the 120% AMI. At time of purchase household income can not be above $87k for 1 person /  $100k for 2 people/ $112k for 3 people. Please call for more detailed information and to schedule private viewing."
5,599999.00,"306 E 105th St APT 1A, New York, NY 10029",-73.942474,40.789508,10029,0,1,812,1930,1,2,East Harlem,https://www.zillow.com:443/homedetails/306-E-105th-St-APT-1A-New-York-NY-10029/65317062_zpid/,"For sale: $599,999. This Condo has a first ground floor with a fire place new kitchen and full bathroom. The large recreation room is attached by a spiral staircase to the lower floor   with a 1/2 bath attached . The lower floor  has its own separate access to the common hallway and laundry room.
The apartment has a newer kitchen and appliances.
Hardwood floors , spot lights, and much more, CALL CORRISA @ 646 369 4810 FOR AN  APPOINTMENT -( BROKERS WELCOMED  2.5%)
Located  E 105th Street Between 1st Ave and 2nd Ave.
Subway: Close to 6, @ E 103rd St.

Call 646 369 4810 today for a showing, you wont be sorry tomorrow!

The city never sleeps and neither does the rental market! Do not miss out to have your perfect home.

Apartment Features:

-Open Kitchen with Stainless Steel Appliances
-Duplex apartment 
-1.5 Baths
-Exposed Brick
-Decorative Fire Place
-Bright and Sunny
-Lots of Closet Space
-Close to 6 Train @E 103rd St.
( BROKERS ARE WELCOMED 2.5%)
If this is the perfect apartment, lets see it! Give me a call, ASK FOR CORRISA 646 369 4810"
6,374900.00,"169 E 102nd St APT 4A, New York, NY 10029",-73.947185,40.789527,10029,0,1,436,1920,1,1,East Harlem,https://www.zillow.com:443/homedetails/169-E-102nd-St-APT-4A-New-York-NY-10029/31546360_zpid/,"For sale: $374,900. Cozy 1 bedroom 1 bath condo located  in a brownstone building with laundry facility and live-in super. Bring your imagination and make this your dream home. Great opportunity for a first time buyer for cozy city living."
7,685000.00,"319 E 105th St APT 5A, New York, NY 10029",-73.941744,40.789699,10029,0,1,841,1950,2,1,East Harlem,https://www.zillow.com:443/homedetails/319-E-105th-St-APT-5A-New-York-NY-10029/31546759_zpid/,"For sale: $685,000. "
8,115000.00,"424 E 115th St APT 4A, New York, NY 10029",-73.934997,40.794799,10029,0,1,350,1910,0,1,East Harlem,https://www.zillow.com:443/homedetails/424-E-115th-St-APT-4A-New-York-NY-10029/2086893584_zpid/,"For sale: $115,000. CASH ONLY - Great Opportunity to own a turn key Studio HDFC Coop apartment in East Harlem. Good size main living space, high ceilings and hardwood floors. Maintenance includes ALL utilities ($787). Close to 6 train, shopping area, local commute and more... Building has an income cap of 120% of the median income (1 person $87,120, 2 persons $100,000). This unit is subject to management and board approval. CASH ONLY. NO SUBLETTING ALLOWED 4th floor walkup



24hrs notice required - txt, email or phone call - BA 2%"
9,NaN,NaN,-73.934997,40.794799,NaN,NaN,NaN,600,1910,NaN,NaN,East Harlem,https://www.zillow.com:443/homedetails/424-E-115th-St-APT-1A-New-York-NY-10029/2086894003_zpid/,NaN
