,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Long Island City,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=249417013,NaN
1,760000.00,"2218 Jackson Ave # 1011, Long Island City, NY 11101",-73.946899,40.7448,11101,0,1,409,2018,0,1,Long Island City,https://www.zillow.com:443/homedetails/2218-Jackson-Ave-1011-Long-Island-City-NY-11101/2085426082_zpid/,"For sale: $760,000. Southern Exposure
Looking out from the 10th floor of GALERIE, this spacious this southern-facing open studio offers a thoughtful and efficient kitchen layout separate from the living space with ample closet space and in-unit full sized washer/dryer and a wall of windows that opens up to your own private terrace perfect to enjoy your morning coffee. The interior design of the residence is seamlessly modern, with the clean lines of the custom oak flooring and a neutral palette that nevertheless contains a variety of sophisticated details. GALERIE offers distinct living experiences that feature three unique architectural glazing styles- punched windows, window walls, and curtain walls. The workmanship is superior, with materials and finishes that are modern and sublime. Airy and open, the interiors anticipate owners who appreciate a space that can be easily decorated to reflect their personal point-of-view. Seamlessly integrated with the living space, high design and precision woodwork express the quality of the kitchens. Sophisticated matte white oak millwork is complemented with bright white lacquer cabinets. A suite of stainless steel Bosch appliances and LED lighting completes the package. The master bath is an artistic sanctuary with custom lacquer cabinetry and distinctive Zebra-Mink marble wall tiles and accents. All bathrooms include polished Waterworks fixtures.

Directly across the street from MoMA PS1, GALERIE is a place where art, artists and residences share the same address. The architects of ODA New York and interior designers of Paris Forino Design have infused GALERIE with a unique artistic sensibility. GALERIE will feature a curated art program for residents and the community through its ArtBox, a permanent street-level rotating art exhibit at the building's entrance displaying a curated series of art works by New York and LIC artists. The Sculpture Garden at GALERIE provides the rare luxury of accessing the outdoors whenever you desire and hosts a bespoke sculpture by Brooklyn-based artist Allen Glatter. Both relaxing and engaging, the courtyard anchors the expensive amenity spaces that surround it. 

GALERIE is located one stop from Manhattan in the heart of Long Island City, the fastest growing neighborhood in New York. It's vibrant and central location in the arts district affords it enviable access to numerous places to shop, dine and be entertained. 

More than 13,000 square feet of additional amenities include a private off-street porte-cochere entrance leading to enclosed parking; a spacious, art-filled lobby attended 24/7; full-size indoor pool (39x13 feet) which opens to the courtyard; fitness center with state-of-the-art cardio and weight-training equipment and amble space for stretching and personal training sessions; library with books selected from the MoMA PS1 bookstore; lounge; party room; pet spa; stroller storage; and children's playroom. GALERIE will also feature secure bike storage; full-time live-in resident manager; an expansive landscaped rooftop replete with grilling stations, dining areas, and comfortable seating against a postcard-view backdrop of the Manhattan skyline. Rooftop cabanas will be available for purchase. 

The complete offering terms are in an offering plan available from sponsor File NO. CD-170072."
2,890000.00,"3119 37th Ave # 2A, Long Island City, NY 11101",-73.930297,40.754798,11101,0,1,828,2018,2,2,Long Island City,https://www.zillow.com:443/homedetails/3119-37th-Ave-2A-Long-Island-City-NY-11101/2087420973_zpid/,"For sale: $890,000. NOW SELLING! 

 Boutique Condominium in Long Island City One and Two Bedrooms for Sale 

 421-A Tax Abatement ; IMMEDIATE OCCUPANCY! Casual charm blends with a modern sensibility at 31-19 37thAvenue. This stylish 10-unit boutique condominium residence provides unparalleled comfort and quality above the lively yet quintessentially Long Island City streets below. 

 The exterior red brick faade is warm and inviting, setting the tone for the inspired design inside. Shopping, dining and recreation are in close proximity with convenient transportation nearby. 

 Ready to enrich the lives of those call it home, the building features well-proportioned living spaces and carefully curated amenities. The mix of spacious one and two-bedroom units are thoughtfully designed with warm finishes, clean lines and a seamless flow. 

 This intimate collection of apartments represents a commitment to meticulous craftsmanship, smart innovative styling and thorough attention to detail. 

 Each units inviting layout is impeccably designed with the most in-demand finishes, such as red oak wood flooring. Generously-sized private balconies complete most units. The sleek, highly functional kitchens are outfitted with a full array of the most desirable modern conveniences, including Bosch refrigerators, Frigidaire ranges and microwaves, along with Whirlpool dishwashers. 

 The selection of residences also includes a distinctive first floor duplex with a private outdoor living space. Amenities include a spacious roof deck with panoramic views of Manhattan, along with ample storage space. The building has 421-A Tax Abatement. 

 31-19 37thAvenue is ideally situated near Dutch Kills, within easy access to Manhattan via the E, M, R, N and W subway lines. The best of LICs vibrant lifestyle is within reach; surrounded by arts and culture on all sides. With renowned museums including MoMA PS1, Museum of the Moving Image, the Fisher Landau Center for Art, and the Noguchi Museum, along with dozens of art galleries, music venues, restaurants, nightclubs and flea markets, creative energy thrives all around. Queensborough Park is nearby, as is Dutch Kills playground. 

 Its all right here waiting for you to live your life to the fullest in comfortable style."
3,NaN,NaN,-73.946899,40.7448,NaN,NaN,NaN,674,2018,NaN,NaN,Long Island City,https://www.zillow.com:443/homedetails/2218-Jackson-Ave-310-Long-Island-City-NY-11101/2085426085_zpid/,NaN
4,1530000.00,"2130 44th Dr # 4C, Long Island City, NY 11101",-73.946296,40.7476,11101,0,1,1215,2019,2,2,Long Island City,https://www.zillow.com:443/homedetails/2130-44th-Dr-4C-Long-Island-City-NY-11101/2086102127_zpid/,"For sale: $1,530,000. CORTE represents the next step in the remarkable evolution of Long Island City. Located on 44th Drive, the building offers a modern aesthetic with precise, yet warm finishes. Every aspect of the building is composed to make urban living more simple, sophisticated, and inspiring. 

 Designed by Argentinian architects Dieguez Fridman and New York based Beyer Blinder Belle, CORTE is a bold new building with clean lines, rich architectural details, and a refined material palette. Wrapped in a tinted glass curtain wall, the contemporary facade appears as a collection of stacked boxes to create a visually stunning experience. 

 Surrounded by landscaped gardens and an extensive amenities package, CORTE is a break from city living. The roof deck provides plenty of room to breathe, sit back, relax, and soak up the sun, gaze at the stars or host some friends for a barbecue. The interior residents lounge is an extension of your home. Entertain friends, get some work done or cuddle up on the plush couch with a glass of wine and a book. CORTE's amenities package also includes a 24-hour doorman, fitness center, kids playroom, and for sale parking."
5,2100000.00,"2218 Jackson Ave # 718, Long Island City, NY 11101",-73.946899,40.7448,11101,0,1,1508,2018,3,3,Long Island City,https://www.zillow.com:443/homedetails/2218-Jackson-Ave-718-Long-Island-City-NY-11101/2087554089_zpid/,"For sale: $2,100,000. Stunning, courtyard facing three bedroom
This spacious home delivers three bedrooms, two and a half beautifully appointed bathrooms, ample closets, a balcony looking over the courtyard and a private staircase to your own rooftop cabana. The interior design of the residence is seamlessly modern, with the clean lines of the custom oak flooring and a neutral palette that nevertheless contains a variety of sophisticated details. GALERIE offers distinct living experiences that feature three unique architectural glazing styles- punched windows, window walls, and curtain walls. The workmanship is superior, with materials and finishes that are modern and sublime. Airy and open, the interiors anticipate owners who appreciate a space that can be easily decorated to reflect their personal point-of-view. A selection of residences also include private outdoor space. Seamlessly integrated with the living space, high design and precision woodwork express the quality of the kitchens. The dining island features a Caesarstone countertop and waterfall edge detail. Sophisticated matte white oak millwork is complemented with bright white lacquer cabinets. A suite of stainless steel Bosch appliances and LED lighting completes the package. The master bath is an artistic sanctuary with custom dual-sink lacquer cabinetry and distinctive Zebra-Mink marble wall tiles and accents. All bathrooms include polished Waterworks fixtures.Glazed ceramic tiled walls with Maku Light in a herringbone pattern make the secondary bath an unexpected luxury. The powder room stands as an elegant yet eclectic statement to the power of design. Matte walnut paneling sets the stage for a wall-mounted Calacatta Ice marble sink and custom-designed metal-framed mirror. The exquisite chevron-patterned marble floor is a custom creation of Paris Forino.

Directly across the street from MoMA PS1, GALERIE is a place where art, artists and residences share the same address. The architects of ODA New York and interior designers of Paris Forino Design have infused GALERIE with a unique artistic sensibility. GALERIE will feature a curated art program for residents and the community through its ArtBox, a permanent street-level rotating art exhibit at the building's entrance displaying a curated series of art works by New York and LIC artists. The Sculpture Garden at GALERIE provides the rare luxury of accessing the outdoors whenever you desire and hosts a bespoke sculpture by Brooklyn-based artist Allen Glatter. Both relaxing and engaging, the courtyard anchors the expensive amenity spaces that surround it. 

GALERIE is located one stop from Manhattan in the heart of Long Island City, the fastest growing neighborhood in New York. It's vibrant and central location in the arts district affords it enviable access to numerous places to shop, dine and be entertained. 

More than 13,000 square feet of additional amenities include a private off-street porte-cochere entrance leading to enclosed parking; a spacious, art-filled lobby attended 24/7; full-size indoor pool (39x13 feet) which opens to the courtyard; fitness center with state-of-the-art cardio and weight-training equipment and amble space for stretching and personal training sessions; library with books selected from the MoMA PS1 bookstore; lounge; party room; pet spa; stroller storage; and children's playroom. GALERIE will also feature secure bike storage; full-time live-in resident manager; an expansive landscaped rooftop replete with grilling stations, dining areas, and comfortable seating against a postcard-view backdrop of the Manhattan skyline. Rooftop cabanas will be available for purchase. 

The complete offering terms are in an offering plan available from sponsor File NO. CD-170072."
6,829000.00,"530 47th Ave # 1A, Long Island City, NY 11101",-73.954498,40.745498,11101,0,1,815,2018,0,2,Long Island City,https://www.zillow.com:443/homedetails/530-47th-Ave-1A-Long-Island-City-NY-11101/2085543369_zpid/,"For sale: $829,000. Open House by Appointment: located at **47-37 VERNON BLVD** (Please Email to Schedule)

We are pleased to release Vernon 3 Condominiums located at 5-30 47th Avenue in the heart of bustling Long Island City waterfront. The reclaimed brick exterior and oversized factory inspired windows pay homage to Long Island City's Industrial past while the top of the line finishes speak to Long Islands City's future. The Vernon's stand out as one of the very rare boutique style developments, offering spacious loft-like living with a true sense of intimacy. The building's interior hallways draw you in utilizing warm earthy elements such as reclaimed wood, natural stone, and Edison lighting, which guide you into your home. The smart technology utilized for each and every home provides conveniences like wireless Sonos sound systems, Wi-Fi enabled thermostats, recessed lighting throughout, video intercom systems, key-less thumbprint door access, Central Heating and Cooling by Daikin as well as vented stackable washer & dryers in every home.

The building is located on a quiet tree-lined street just one block from the waterfront with its breathtaking views of the Manhattan skyline, along with its sprawling Gantry State park. You really can't ask for a better location. Additionally, you are only minutes from the 7 line's Vernon-Jackson stop which is just one stop into Manhattan.

This contemporary 815 SF unit with 1.5 bathrooms is a uniquely laid out duplex boasting generous space, ceiling heights exceeding 10ft and complete with real hardwood wide plank oak flooring. The enormous recreation room can easily be converted into a master suite. The layout has been thoughtfully designed with an open Scavolini kitchen finished with stainless steel appliances by Blomberg, Bosch and a ducted hood. The spa-like bathroom is finished with imported Spanish & Italian radiant heated tiles, unique imported vanities, Grohe fixtures and a rain shower head. This home also comes with a privately deeded rooftop cabana space that has a built in grill with generous granite counter space, stainless steel refrigerator and cabinets for storage. This smart home also features in-wall Sonos speakers for your listening pleasure."
7,2265000.00,"2218 Jackson Ave # 210, Long Island City, NY 11101",-73.946899,40.7448,11101,0,1,1450,2018,3,3,Long Island City,https://www.zillow.com:443/homedetails/2218-Jackson-Ave-210-Long-Island-City-NY-11101/2085426084_zpid/,"For sale: $2,265,000. Northwestern corner three bedroom home.
Open House hours available daily by appointment.
This spacious home delivers three bedrooms, two and a half beautifully appointed bathrooms, five oversized windows, and ample closets including two walk-ins. The generously sized dining island anchors a spacious open living area perfect for entertaining. The interior design of the residence is seamlessly modern, with the clean lines of the custom oak flooring and a neutral palette that nevertheless contains a variety of sophisticated details. GALERIE offers distinct living experiences that feature three unique architectural glazing styles- punched windows, window walls, and curtain walls. The workmanship is superior, with materials and finishes that are modern and sublime. Airy and open, the interiors anticipate owners who appreciate a space that can be easily decorated to reflect their personal point-of-view. A selection of residences also include private outdoor space. Seamlessly integrated with the living space, high design and precision woodwork express the quality of the kitchens. The dining island features a Caesarstone countertop and waterfall edge detail. Sophisticated matte white oak millwork is complemented with bright white lacquer cabinets. A suite of stainless steel Bosch appliances and LED lighting completes the package. The master bath is an artistic sanctuary with custom dual-sink lacquer cabinetry and distinctive Zebra-Mink marble wall tiles and accents. All bathrooms include polished Waterworks fixtures.Glazed ceramic tiled walls with Maku Light in a herringbone pattern make the secondary bath an unexpected luxury. The powder room stands as an elegant yet eclectic statement to the power of design. Matte walnut paneling sets the stage for a wall-mounted Calacatta Ice marble sink and custom-designed metal-framed mirror. The exquisite chevron-patterned marble floor is a custom creation of Paris Forino.

Directly across the street from MoMA PS1, GALERIE is a place where art, artists and residences share the same address. The architects of ODA New York and interior designers of Paris Forino Design have infused GALERIE with a unique artistic sensibility. GALERIE will feature a curated art program for residents and the community through its ArtBox, a permanent street-level rotating art exhibit at the building's entrance displaying a curated series of art works by New York and LIC artists. The Sculpture Garden at GALERIE provides the rare luxury of accessing the outdoors whenever you desire and hosts a bespoke sculpture by Brooklyn-based artist Allen Glatter. Both relaxing and engaging, the courtyard anchors the expensive amenity spaces that surround it. 

GALERIE is located in the heart of Long Island City, the fastest growing neighborhood in New York. It's vibrant and central location in the arts district affords it enviable access to numerous places to shop, dine and be entertained. 

More than 13,000 square feet of additional amenities include a private off-street porte-cochere entrance leading to enclosed parking; a spacious, art-filled lobby attended 24/7; full-size indoor pool (39x13 feet) which opens to the courtyard; fitness center with state-of-the-art cardio and weight-training equipment and amble space for stretching and personal training sessions; library with books selected from the MoMA PS1 bookstore; lounge; party room; pet spa; stroller storage; and children's playroom. GALERIE will also feature secure bike storage; full-time live-in resident manager; an expansive landscaped rooftop replete with grilling stations, dining areas, and comfortable seating against a postcard-view backdrop of the Manhattan skyline. Rooftop cabanas will be available for purchase. 

The complete offering terms are in an offering plan available from sponsor File NO. CD-170072."
8,1411980.00,"2717 42nd Rd # 4A, Long Island City, NY 11101",-73.9399,40.7493,11101,0,1,1168,2019,2,2,Long Island City,https://www.zillow.com:443/homedetails/2717-42nd-Rd-4A-Long-Island-City-NY-11101/2085394945_zpid/,"For sale: $1,411,980. 4A has 1,093 Interior Square Feet + Private Balcony of 75 Square Feet. 

Star Tower, a tall modern glass and steel luxury condominium in Long Island City, is a beacon at the heart of this vibrant and exciting neighborhood, soaring 25 stories with amazing panoramic views of Manhattan.

Star Tower is just one subway stop from Midtown Manhattan and conveniently located with 7 different subway lines (N, W, R, 7, E, V, G) just 2 blocks away.

Star Tower offers LICs largest Amenities Package - over 14,600 Square Feet - including its SkyDeck Cabana areas with Landscaped Rooftop Sun Terrace and SkyLounge with Rooftop Billiards Lounge, all while enjoying the best Skyline Manhattan Views in the city including the Empire State Building, Chrysler Building and Freedom Tower.

Star Tower also boasts the largest in-building Residents-Only Private Park; a sweeping Great Lawn two stories above the street with outdoor Childrens Playground and Zen Garden. Other must-have amenities include a State-of-the-Art Fitness Center featuring a spectacular Indoor Waterfall, Attended Lobby, 24-hour Video Intercom and App, available Private On-Site Parking with Automatic Robotic Car Parking System, a Bike Room, Theater/Media Lounge, and available Private Storage. Of course the condo is Pet Friendly so your entire family is welcome at Star Tower! 

Star Tower offers expansive southern exposures that drench the homes in sunlight and offer unparalleled views of the Manhattan skyline. Star Tower also boasts the finest finish package in LIC with fully integrated Stainless Steel Kitchen appliances including Fisher Paykel Refrigerators and Bosch Ranges, Microwaves, and Dishwashers, all topped off with gorgeous solid Quartz Countertops and glass backsplash. Bathrooms provide spa-like experiences with Kohler Oblo Fixtures, Italian Scarabeo Sinks, Oversized LED-Lighted Medicine Cabinets and Italian Limestone. The Living Room and Bedrooms include Oak Hardwood floors throughout and generous Walk-In Closets. Other special features include High Ceilings up to 11 feet, Floor-to-Ceiling Windows, Central Air Conditioning and Heat, in-unit Washer/Dryer hookups, 8-foot-tall Interior Doors and Building-Wide High Speed FiOS internet.

With 5-Star Hotel Style Amenities, a money-saving 15-Year Tax Abatement, and LOW common charges of approximately $0.89 CENTS per Square Foot - the lowest in LIC - it's easy to see why Star Tower is the smart choice for modern luxury living."
9,1230000.00,"2412 42nd Rd # 3A, Long Island City, NY 11101",-73.941802,40.7499,11101,0,1,860,2017,2,1,Long Island City,https://www.zillow.com:443/homedetails/2412-42nd-Rd-3A-Long-Island-City-NY-11101/2091502569_zpid/,"For sale: $1,230,000. Arcadia LIC: 24-12 42nd Road Long Island City, has a 421-A 15-year Tax abatement and is complete with some of the highest quality materials and finishes available on the market. Unit square footage 860 with a balcony of 65 square feet. Virtual doorman-a premier security service with better building security, secure package delivery, package delivery notification, access to emergency services at the push of a button, access control security and more. German designed Grohe faucets , Nest Thermostat, Mirage wood floors, LG heating and air-conditioning, Scavolini Kitchen Cabinets, COMPAC-Unique Calacatta countertops, Miele appliances, Lieberr refrigerator, Bertazzoni stove, Bosch dishwasher, Moen Kitchen sink, Porcelanosa tiles, TOTO toilet, Kohler bathtub"
