,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,NaN,NaN,-73.921401,40.769901,NaN,NaN,NaN,882,1955,NaN,NaN,Long Island City,https://www.zillow.com:443/homedetails/2633-28th-St-4A-Astoria-NY-11102/2087065400_zpid/,NaN
1,720000.00,"2820 Astoria Blvd # 501, Astoria, NY 11102",-73.920402,40.770401,11102,0,1,667,2016,1,1,Long Island City,https://www.zillow.com:443/homedetails/2820-Astoria-Blvd-501-Astoria-NY-11102/2089608941_zpid/,"For sale: $720,000. Grand Opening of ""The Slate"" on Astoria Blvd.

421A Tax Abated. This newly developed 28 unit Condominium offers residents a fully furnished rooftop deck with astounding NYC skyline views. The 1st level deck includes a fitness center with Cybex equipment and televisions. Pet friendly condo with outdoor pet play area on the 2nd level deck including doggy run and turf for your buddies. Truly a magnificent space for entertainment and summer lounging. Bike storage is available to all residents. Remote accessible parking available. Laundry on-site. Verizon FIOS HBO & Showtime along with Internet & WIFI are all inclusive in the Common Charges.

Residence 501 gets northern exposure with tons of lighting and floor to ceiling glass. The bedroom is spacious with a large floor to ceiling closet and large double panel windows. Delaware Bay Drift hardwood flooring is layed throughout the home. The kitchen includes ample cabinetry and is finished with quartz granite counters. GE stainless steel appliances include refrigerator, microwave, dishwasher, and gas range stove. The bath is tiled to the ceiling with porcelain and includes a standing glass enclosed shower with waterfall head. The vanity is floating with a large vanity mirror. The open living area is ideal for bulky furniture and great for entertainment. All units include PTAC heating units in all rooms.

Located 1 block from the Astoria Blvd N/W train hub and 7 minutes to Midtown. Multiple public transit options are at your disposal including subway, bus, and multiple highways."
2,NaN,NaN,-73.923103,40.769199,NaN,NaN,NaN,700,1920,NaN,NaN,Long Island City,https://www.zillow.com:443/homedetails/2721-27th-St-3B-Astoria-NY-11102/2087921420_zpid/,NaN
3,738000.00,"2820 Astoria Blvd # 601, Astoria, NY 11102",-73.920402,40.770401,11102,0,1,667,2016,1,1,Long Island City,https://www.zillow.com:443/homedetails/2820-Astoria-Blvd-601-Astoria-NY-11102/2085664865_zpid/,"For sale: $738,000. Grand Opening of ""The Slate"" on Astoria Blvd.

421A Tax Abated. This newly developed 28 unit Condominium offers residents a fully furnished rooftop deck with astounding NYC skyline views. The 1st level deck includes a fitness center with Cybex equipment and televisions. Pet friendly condo with outdoor pet play area on the 2nd level deck including doggy run and turf for your buddies. Truly a magnificent space for entertainment and summer lounging. Bike storage is available to all residents. Remote accessible parking available. Laundry on-site. Verizon FIOS HBO & Showtime along with Internet & WIFI are all inclusive in the Common Charges.

Residence 501 gets northern exposure with tons of lighting and floor to ceiling glass. The bedroom is spacious with a large floor to ceiling closet and large double panel windows. Delaware Bay Drift hardwood flooring is layed throughout the home. The kitchen includes ample cabinetry and is finished with quartz granite counters. GE stainless steel appliances include refrigerator, microwave, dishwasher, and gas range stove. The bath is tiled to the ceiling with porcelain and includes a standing glass enclosed shower with waterfall head. The vanity is floating with a large vanity mirror. The open living area is ideal for bulky furniture and great for entertainment. All units include PTAC heating units in all rooms.

Located 1 block from the Astoria Blvd N/W train hub and 7 minutes to Midtown. Multiple public transit options are at your disposal including subway, bus, and multiple highways."
4,710000.00,"2820 Astoria Blvd # 401, Astoria, NY 11102",-73.920402,40.770401,11102,0,1,667,2016,1,1,Long Island City,https://www.zillow.com:443/homedetails/2820-Astoria-Blvd-401-Astoria-NY-11102/2087910852_zpid/,"For sale: $710,000. Grand Opening of ""The Slate"" on Astoria Blvd.

421A Tax Abated. This newly developed 28 unit Condominium offers residents a fully furnished rooftop deck with astounding NYC skyline views. The 1st level deck includes a fitness center with Cybex equipment and televisions. Pet friendly condo with outdoor pet play area on the 2nd level deck including doggy run and turf for your buddies. Truly a magnificent space for entertainment and summer lounging. Bike storage is available to all residents. Remote accessible parking available. Laundry on-site. Verizon FIOS HBO & Showtime along with Internet & WIFI are all inclusive in the Common Charges.

Residence 501 gets northern exposure with tons of lighting and floor to ceiling glass. The bedroom is spacious with a large floor to ceiling closet and large double panel windows. Delaware Bay Drift hardwood flooring is layed throughout the home. The kitchen includes ample cabinetry and is finished with quartz granite counters. GE stainless steel appliances include refrigerator, microwave, dishwasher, and gas range stove. The bath is tiled to the ceiling with porcelain and includes a standing glass enclosed shower with waterfall head. The vanity is floating with a large vanity mirror. The open living area is ideal for bulky furniture and great for entertainment. All units include PTAC heating units in all rooms.

Located 1 block from the Astoria Blvd N/W train hub and 7 minutes to Midtown. Multiple public transit options are at your disposal including subway, bus, and multiple highways."
5,857000.00,"2721 27th St # 2A, Astoria, NY 11102",-73.923103,40.769199,11102,0,1,714,1920,1,1,Long Island City,https://www.zillow.com:443/homedetails/2721-27th-St-2A-Astoria-NY-11102/2087921419_zpid/,"For sale: $857,000. PRE-SALE OPPORTUNITY ON NEWLY CONSTRUCTED & METICULOUSLY DESIGNED 8 UNIT LUXURY CONDOMINIUM IN PRIME ASTORIA LOCATION!

Located in the Heart of Astoria at 27-21 27th Street.

27th St is the First Luxury Building in Astoria to Feature WiFi Enabled Climate Control and Lighting. 

The Open Floor-plan and Modern Styling is Designed to Combine Today's Modern Look with Classic Design Elements. 

27-21 27th Street has both 1 and 2 Bedroom Units Available

This Meticulously Designed Luxury Condominium Will Feature:

- Beautiful kitchens fitted with high end appliances, expansive marbled black quartz countertops and white cabinetry 
which create a classic/modern look with an open feel suitable for any occasion. 
- Large Windows & High Ceilings offer a comfortable atmosphere filled with plenty of natural light. 
- Hardwood Flooring throughout
- Smart home connectivity
- Fujitsu Air Conditioning Units
- Spacious Bedrooms suitable for Queen Size Bedroom Sets 
- The ultra modern spa like bathrooms at 27th street feature bathtub and porcelain tile flooring and are adjoined by an 
oversized linen closet with brand new washer and dryer units. 
- Spacious Balcony & Large Rooftop Space 
- Each Unit Has Private & Secure Basement Storage

Prime Astoria Location! 5 min or less walking distance from the 30th Ave N/W Line ( 15 min into Manhattan), Supermarkets, Local Public & Private Schools, Some of the Best Restaurants & Cafes Astoria has to offer!

Two Units Currently Offered at a Special Pre-Sale Rate. Will be Priced Higher Post Construction

Building Meets Criteria for 421-A Tax Abatement which will be sought after construction & sales are complete. 

For Any Information Regarding Amorelli Realty's Exclusive Offering of the Luxurious 27 Street Condominium, don't hesitate to call/text/email Joe Vaccaro or Dillon DePinto.
"
6,NaN,NaN,-73.920402,40.770401,NaN,NaN,NaN,725,2016,NaN,NaN,Long Island City,https://www.zillow.com:443/homedetails/2820-Astoria-Blvd-502-Astoria-NY-11102/2087910620_zpid/,NaN
7,698000.00,"2820 Astoria Blvd # 403, Astoria, NY 11102",-73.920402,40.770401,11102,0,1,610,2016,1,1,Long Island City,https://www.zillow.com:443/homedetails/2820-Astoria-Blvd-403-Astoria-NY-11102/2085658287_zpid/,"For sale: $698,000. Grand Opening of ""The Slate"" on Astoria Blvd.

421A Tax Abated. This newly developed 28 unit Condominium offers residents a fully furnished rooftop deck with astounding NYC skyline views. The 1st level deck includes a fitness center with Cybex equipment and televisions. Pet friendly condo with outdoor pet play area on the 2nd level deck including doggy run and turf for your buddies. Truly a magnificent space for entertainment and summer lounging. Bike storage is available to all residents. Remote accessible parking available. Laundry on-site. Verizon FIOS HBO & Showtime along with Internet & WIFI are all inclusive in the Common Charges.

Residence 203 gets southern exposure with tons of natural lighting. The bedroom is spacious with a large floor to ceiling closet and large double panel windows. Delaware Bay Drift hardwood flooring is layed throughout the home. The kitchen includes ample cabinetry and is finished with quartz granite counters. GE stainless steel appliances include refrigerator, microwave, dishwasher, and gas range stove. The bath is tiled to the ceiling with porcelain and includes a standing glass enclosed shower with waterfall head. The vanity is floating with a large vanity mirror. The open living area is ideal for bulky furniture and great for entertainment. All units include PTAC heating units in all rooms.

Located 1 block from the Astoria Blvd N/W train hub and 7 minutes to Midtown. Multiple public transit options are at your disposal including subway, bus, and multiple highways."
8,NaN,NaN,-73.920402,40.770401,NaN,NaN,NaN,500,2016,NaN,NaN,Long Island City,https://www.zillow.com:443/homedetails/2820-Astoria-Blvd-603-Astoria-NY-11102/2085664866_zpid/,NaN
9,1099000.00,"2633 28th St # 1B, Astoria, NY 11102",-73.921401,40.769901,11102,0,1,--,1955,1,1,Long Island City,https://www.zillow.com:443/homedetails/2633-28th-St-1B-Astoria-NY-11102/2087071079_zpid/,"For sale: $1,099,000. 760 square feet with 1,180 square feet of PRIVATE outdoor space. Sleek and Modern, the units in this newly constructed building have unparalleled attention to detail within the solidly crafted construction. With sophisticated amenities and style, the expansive apartments feature 10 to 11 ft ceilings, stunning 7"" wide hardwood plank flooring, high efficiency recessed lighting, European 8' tilt and turn windows and 9 ' European lift and sliding doors, all interior doors, imported from Italy, are 8 feet. Sumptuous bathroom with dual entry, Calacatta porcelain floor to ceiling tiling, soaking tub, separate luxurious shower with matching hardware from Spain and radiant floor heating. Stunning kitchens with high end Blomberg appliances including chefs convection oven, whisper quiet dishwasher and true exhaust as well as full quartz counter-tops and glass tile backsplash, Italian contrasting cabinetry and German hardware add to the exquisite contemporary flair. This main floor unit features a private garden and patio on over 1,180 sq ft. Special details include electrical ductless split system for heating and cooling with remote control - in unit laundry and extra closet space make these units extraordinary in design. The many building amenities include camera security system, energy efficient mechanicals and construction materials, full building fire sprinkler system with central station fire alarm. Stunning roof deck with porcelain tiled pavers and 360-degree vistas with NYC skyline. Close to all one could need with NYC transit a mere few blocks away, this building is the ultimate in 21st century urban living."
