,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,469000.00,"180 W End Ave APT 29K, New York, NY 10023",-73.986133,40.77724,10023,0,1,550,1965,0,1,Upper West Side,https://www.zillow.com:443/homedetails/180-W-End-Ave-APT-29K-New-York-NY-10023/244758047_zpid/,"For sale: $469,000. Outstanding South light and some open city views fill this oversized, high floor alcove studio. The generously proportioned living/dining space and an updated kitchen allows for comfortable entertaining. As shown in the photos the alcove easily accommodates a king size bed with night stand and the adjacent dressing area can be transformed into additional storage space, home office or knocked out to extend the alcove and convert to a 1 bedroom. There is abundant closet space including a massive walk in, an updated bath and four large windows and the maintenance includes gas, electric and central air-conditioning. 

Housed in a stellar, amenity rich full service building this property is part of the coveted Lincoln Towers community which sits in the West 60's of the Upper West Side.Beautifully kept gardens totaling 54 acres allows you to enjoy sitting outside with a cup of coffee and the New York Times on your Ipad. 180 West End Avenue Owners Corp. provides it's Residents 24 hour Doorman service with 2 on duty at peak hours, lobby refrigerator for food deliveries, Resident Manager, 24 hour handyman service and porter service. In addition, the building has a new state of the art gym, laundry facility, playroom, fee based storage and bike rooms when available, garages on the property, a community room to be added in the near future and a choice of FIOS, Specturm or RCN for your Internet, phone and TV needs. In addition there is an On Site Managing Agent with property manager, Security Personnel, multiple playgrounds, designated pet areas and a basketball/tennis court. 

Easy access to the rest of the city comes with a local and express stop a few blocks away, buses galore, restaurants for every palate, cultural venues for every age and interest and the world renowned Central Park, Riverside Park, Time Warner Center, the world's greatest theater center and a full compliment of exercise choices. This is a must see home."
1,950000.00,"43 W 61st St APT 14A, New York, NY 10023",-73.983338,40.770499,10023,0,1,840,1930,1,1,Upper West Side,https://www.zillow.com:443/homedetails/43-W-61st-St-APT-14A-New-York-NY-10023/31517203_zpid/,"For sale: $950,000. Chic LOFT-LIKE luxury one bedroom PREWAR CONDO with open views in PRIME LINCOLN CENTER location. Steps to LINCOLN CENTER and CENTRAL PARK. Offering beamed ceilings, hardwood floors and Lutron lighting thoughout. The kitchen features high-end appliances, Oversized bathroom featuring jacuzzi tub, marble vanity with abundance of storage, towel warmer and linen closet adds to the ambiance. The master bedroom features an abundance of closets. THE SOFIA is a Full Service PREMIERE Upper West Side ART DECO PREWAR CONDOMINIUM known for its exquisite attention to detail. From the Concierge/Doorman, Live-in Resident Manager and excellent staff, to the circular driveway leading to the gracious lobby entrances, THE SOFIA exudes warmth and comfortable living. Washer and Dryer on Every Floor, Bike room. Pets Welcome. Perfect Pied-a-Terre!"
2,7700000.00,"112 W 76th St, New York, NY 10023",-73.977699,40.780101,10023,0,1,7268,1900,9,11,Upper West Side,https://www.zillow.com:443/homedetails/112-W-76th-St-New-York-NY-10023/2106555342_zpid/,"For sale: $7,700,000. Situated on a prime Upper West Side block, this property can be sold separately or together with 110 West 76th Street. Originally built by architects Thom & Wilson in 1891, this classic 20' wide townhouse designed in the Renaissance Revival style retains many old world details including the original staircase and wainscoting. In addition, the property has undergone a full renovation including new floors, walls, and plumbing and electrical systems. Externally, the property has a coveted south-facing garden and views of the Museum of Natural History. This house provides an opportunity to create a 20' wide single family townhouse with approximately 7,290 square feet of interior space. Perfectly located in close proximity to Central Park, Lincoln Center, excellent schools, shops, and restaurants, this property provides easy access to the best of the Upper West Side."
3,3495000.00,"15 W 72nd St # 23NO, New York, NY 10023",-73.976898,40.777099,10023,0,1,1950,1964,3,3,Upper West Side,https://www.zillow.com:443/homedetails/15-W-72nd-St-23NO-New-York-NY-10023/2085763048_zpid/,"For sale: $3,495,000. This mint condition, seamless combination currently offers three big bedrooms, three bathrooms and a huge den that easily can be converted into a spacious fourth bedroom. The sleek, open kitchen has a breakfast bar, custom Bilotta cabinets, Ceasarstone countertops, Miele and SubZero appliances, which include a wine fridge. The 9.5' ceilings are a rare feature of this beautiful home as are the wall of south facing windows with their open City and side Park views. There is a glorious balcony, parquet floors, an abundance of closet space, custom bookshelves, central air and the building allows washer/dryers with board approval. Mayfair Towers is a pet and pied-a-terre friendly, full-service, doorman co-op with a gorgeous landscaped roof deck, gym, outdoor play area, on-site parking garage and management office and storage, bike and laundry rooms. You will enjoy this perfect location with Central Park and the vibrant Columbus Avenue just around the corner. Max financing 66%."
4,NaN,NaN,-73.98162,40.769109,NaN,NaN,NaN,2165,1960,NaN,NaN,Upper West Side,https://www.zillow.com:443/homedetails/1-Central-Park-W-23D-New-York-NY-10023/31517025_zpid/,NaN
5,8000000.00,"1 Central Park W # 40D, New York, NY 10023",-73.98162,40.769109,10023,0,1,2165,1960,3,5,Upper West Side,https://www.zillow.com:443/homedetails/1-Central-Park-W-40D-New-York-NY-10023/31517125_zpid/,"For sale: $8,000,000. Truly awe-inspiring, Residence 40D at the white-glove 1 Central Park West provides an incomparable luxury lifestyle with unparalleled amenities in Manhattan's premier locale. Floor-to-ceiling windows and triple exposures to the south, west and east flood the expansive interior with brilliant light and afford sweeping, breathtaking city views. Attention to detail is at its finest throughout the airy, elegant home graced by stunning select red oak wood flooring and premier finishes at every turn. The generously-sized, corner-positioned open living and dining room provides a fabulous backdrop for entertaining, showcasing prized vistas of Central Park that are the piece de resistance of life at the 5-star Trump International. A striking feature wall in the living room adds a touch of contemporary style and geometrics to the space. The chef can enjoy wonderful views and the ultimate cooking experience in the adjacent top-of-the-line kitchen, perched above Columbus Circle, exquisitely redone with custom cabinetry, granite countertops, and a huge walk-in pantry with a discreet washer-dryer. The divine master suite is privately set in its own wing, with a corner sun-bathed bedroom with walls of windows, sitting area, walk-in closets, and beautiful spa bath with a Jacuzzi tub and separate shower. All bedrooms boast ample closets, en-suite baths, and amazing panoramas of the city and river. Other highlights of this sophisticated gem include motorized window shades, and a new energy-efficient heating and cooling system. Among NYC's most prestigious condominiums, 1 Central Park West stands grandly between the park and Columbus Circle, at the crossroads of the city's finest attractions. Here, a white-glove experience is yours, with access to all the luxuries of the hotel including 24-hour room service, valet parking, concierge and maid services, your own personal round-the-clock Trump Attache, a 6,000 sq ft fitness and spa center, 55' lap pool, business center with private conference rooms, and meals from the world-renowned Jean-Georges restaurant situated off the hotel lobby. Exceptional accommodations and amenities meet a premier address on Central Park, with proximity world-class shopping, dining, cultural events and outdoor space for your daily pleasure."
6,2100000.00,"28-30 W 74th St # 3C/4C, Manhattan, NY 10023",-73.9766,40.7779,10023,0,1,--,1902,2,2.5,Upper West Side,https://www.zillow.com:443/homedetails/28-30-W-74th-St-3C-4C-Manhattan-NY-10023/2087017568_zpid/,"For sale: $2,100,000. Spectacular Duplex in Elevator Mansion

Situated on arguably one of the best blocks on the Upper West Side, this 2-3-bedroom duplex with huge entertaining terrace is anyone's idea of a dream apartment. This home has everything that the savvy buyer would want: outdoor space, gracious living space, a flexible floor plan, and two working fireplaces on each level.

The ample living/dining area has French doors that open up to a magnificent 400 sq. ft. south-facing private terrace. It's perfect for entertaining large parties or having a quiet romantic dinner. The open kitchen has a breakfast bar, high end appliances including a Subzero refrigerator, and granite counter-tops. Additionally, on the first floor is a luxurious powder room.

The flexible downstairs area has two bedrooms and two full en-suite bathrooms and a spacious living area which easily could be used as an entertaining room, media room, or third bedroom. 

This one-of-a-kind home is located in a stunning turn-of-the-century mansion, designed by Henry Janeway Hardenbergh, architect of the original Waldorf-Astoria and The Dakota. On a block known for its wide sidewalks and land-marked architecture, this intimate pet-friendly cooperative features a gracious lobby and elevator service. This unit is minutes away from some of the finest dining and shopping on the Upper West Side, as well as easy access to all modes of transportation."
7,6250000.00,"30 W 61st St # 26ABC, New York, NY 10023",-73.983299,40.77,10023,0,1,3453,No Data,4,5,Upper West Side,https://www.zillow.com:443/homedetails/30-W-61st-St-26ABC-New-York-NY-10023/2089876202_zpid/,"For sale: $6,250,000. This exquisite 4 bedroom 5.5 bath home at the Beaumont Condominium boasts of over 110 feet of sun-drenched gorgeous open city views to the south. Thoughtfully designed for grand entertaining and everyday living, the open plan expansive living, dining and work areas flow together in this unusual and beautiful apartment. Relax and enjoy your eco-friendly fireplace with a drink from the adjacent wet-bar/den The sumptuous master bedroom suite features a windowed custom teak study, couple of walk-in closets, two en-suite baths and a powder room. The other 3 bedrooms are well separated at the other end of the common areas. The Italian Snaidero chef's kitchen is fully equipped with two sinks and top of the line appliances including a SubZero refrigerator, Miele and Bosch dishwashers, Wolf oven and cooktop, and Bosch washer/ dryer. No detail has been spared - Crestron audio-video system wiring, individual thermostats in all the rooms and Radiant heated bathroom floors for your comfort. The finest of materials have been used featuring Exquisite hardwood flooring, custom teak doors and luxurious stones such as marble, onyx and limestone. Closets and storage areas abound.

Building amenities include a full-time doorman, concierge, a live-in resident manager, a lovely courtyard, roof garden, bike room, storage, and laundry facilities on every floor. The full service condominium is ideally situated near Central Park, Whole Foods at Columbus Circle, Time Warner Center and Lincoln Center and conveniently situated near the A/C/B/D/1 subway lines."
8,675000.00,"61 W 62nd St APT 9A, New York, NY 10023",-73.982833,40.771116,10023,0,1,271843,1981,1,1,Upper West Side,https://www.zillow.com:443/homedetails/61-W-62nd-St-APT-9A-New-York-NY-10023/244865886_zpid/,"For sale: $675,000. Serene Lincoln Square 1BR
A space for calm reflection, yet one with all the convenience of a building located where Columbus Circle meets the Upper West Side. This outstanding oversized 1BR is your chance to live in comfort and style in one of Manhattan's most convenient neighborhoods. The apartment features a full living room with separate dining area. Bedroom is large enough to accommodate a king size bed with room to move. Renovated kitchen is fully equipped and has a full size dishwasher. New floors throughout give the space a clean, contemporary feel.

The Harmony is luxury living at its finest. This full service building has 24 hour doorman, concierge, live-in super, bike Storage, and central on-site laundry. This flexible board allows pied-a-terre, co-purchasing, guarantors and parents buying for children. Located around the corner from all off Lincoln Center, the Time-Warner Center and Central Park. Easy access to all the cuisine, culture and shopping that anyone could want. Don't miss this opportunity to own a beautiful home in this prime location - motivated seller!"
9,14250000.00,"80 Columbus Cir # 72A, New York, NY 10023",-73.982299,40.768199,10023,0,1,2413,No Data,3,4,Upper West Side,https://www.zillow.com:443/homedetails/80-Columbus-Cir-72A-New-York-NY-10023/2093887292_zpid/,"For sale: $14,250,000. This most desirable and rarely available high floor A Line residence is a well-proportioned three bedroom, three and a half bathroom apartment situated on the 72nd floor of The Mandarin Oriental Residences, one of the most prestigious buildings in New York is offered an an investment opportunity with the tenant in place until March 2021. This is a fantastic opportunity to own in one of the most desirable buildings in New York City and to have an immediate income from such ownership. The apartment has spectacular views of Central Park, George Washington Bridge, City and the Hudson River. It features high ceilings, ample closet space and marble bathrooms. Kitchen has high end appliances, marble countertops and utility closet. The five star full service condominium houses state of the art gym; impressive space for private parties and meetings; massage room; children's playroom, beautifully landscaped roof deck; business center; private screening rooms. Residents enjoy complimentary use of the amenities and swimming pool of Mandarin Oriental Spa located at the famous Mandarin Oriental Hotel. They have 24 hours access to priority concierge service for restaurant/spa reservations, as well as use of the hotel valet and maid services. The parking garage is directly accessible by elevator. There is direct elevator access to the Shops at Columbus Circle, which include dozens of retailers, Whole Foods and twelve eclectic and highly acclaimed bars and restaurants. Investors only, tenant in place."
