,link,region
0,/homedetails/293-Lafayette-St-PH1-New-York-NY-10012/2085329793_zpid/,Greenwich Village and Soho
1,/homedetails/116-Sullivan-St-New-York-NY-10012/143086546_zpid/,Greenwich Village and Soho
2,/homedetails/210-Thompson-St-APT-5DS-New-York-NY-10012/2093115318_zpid/,Greenwich Village and Soho
3,/homedetails/57-Sullivan-St-New-York-NY-10012/31497135_zpid/,Greenwich Village and Soho
4,/homedetails/215-Sullivan-St-APT-THA-New-York-NY-10012/2096030320_zpid/,Greenwich Village and Soho
5,/homedetails/82-Macdougal-St-New-York-NY-10012/31497828_zpid/,Greenwich Village and Soho
6,/homedetails/40-Bleecker-St-E-New-York-NY-10012/2084980251_zpid/,Greenwich Village and Soho
7,/homedetails/250-Mercer-St-APT-A204-New-York-NY-10012/244793056_zpid/,Greenwich Village and Soho
8,/homedetails/154-Spring-St-New-York-NY-10012/122271956_zpid/,Greenwich Village and Soho
9,/homedetails/42-Crosby-St-New-York-NY-10012/2097046122_zpid/,Greenwich Village and Soho
10,/homedetails/468-West-Broadway-APT-4G-New-York-NY-10012/244760474_zpid/,Greenwich Village and Soho
11,/homedetails/552-Laguardia-Pl-3FLR-New-York-NY-10012/2093422852_zpid/,Greenwich Village and Soho
12,/homedetails/57-Thompson-St-APT-2F-New-York-NY-10012/72511982_zpid/,Greenwich Village and Soho
13,/homedetails/95-Greene-St-PHABE-New-York-NY-10012/2092522025_zpid/,Greenwich Village and Soho
14,/homedetails/1-3-Minetta-St-5A-Manhattan-NY-10012/2097498442_zpid/,Greenwich Village and Soho
15,/homedetails/77-Bleecker-St-1110-1007-New-York-NY-10012/2084944250_zpid/,Greenwich Village and Soho
16,/homedetails/62-Wooster-St-4-New-York-NY-10012/2089143355_zpid/,Greenwich Village and Soho
17,/homedetails/105-Thompson-St-APT-12-New-York-NY-10012/244746409_zpid/,Greenwich Village and Soho
18,/homedetails/51-Crosby-St-2NDFLOOR-New-York-NY-10012/2085543365_zpid/,Greenwich Village and Soho
19,/homedetails/40-Sullivan-St-New-York-NY-10012/2087189920_zpid/,Greenwich Village and Soho
20,/homedetails/63-Greene-St-PHC-New-York-NY-10012/2092734635_zpid/,Greenwich Village and Soho
21,/homedetails/40-Bleecker-St-PHE-New-York-NY-10012/2084976907_zpid/,Greenwich Village and Soho
22,/homedetails/243-Mulberry-St-APT-3R-New-York-NY-10012/244878982_zpid/,Greenwich Village and Soho
23,/homedetails/1-Great-Jones-St-5B-New-York-NY-10012/2084964101_zpid/,Greenwich Village and Soho
24,/homedetails/1-Great-Jones-St-8-New-York-NY-10012/2098521153_zpid/,Greenwich Village and Soho
25,/homedetails/542-Laguardia-Pl-APT-4B-New-York-NY-10012/31498124_zpid/,Greenwich Village and Soho
26,/homedetails/94-Thompson-St-PHT-New-York-NY-10012/2098080057_zpid/,Greenwich Village and Soho
27,/homedetails/134-Sullivan-St-New-York-NY-10012/83939981_zpid/,Greenwich Village and Soho
28,/homedetails/124-Thompson-St-APT-5-New-York-NY-10012/122073537_zpid/,Greenwich Village and Soho
29,/homedetails/60-Greene-St-APT-2B-New-York-NY-10012/55500993_zpid/,Greenwich Village and Soho
30,/homedetails/274-Bowery-New-York-NY-10012/2087250220_zpid/,Greenwich Village and Soho
31,/homedetails/77-Bleecker-St-APT-209-New-York-NY-10012/72512403_zpid/,Greenwich Village and Soho
32,/homedetails/148-Greene-St-APT-4E-New-York-NY-10012/2085390721_zpid/,Greenwich Village and Soho
33,/homedetails/250-Mercer-St-APT-C403-New-York-NY-10012/244705369_zpid/,Greenwich Village and Soho
34,/homedetails/211-Elizabeth-St-New-York-NY-10012/97501897_zpid/,Greenwich Village and Soho
35,/homedetails/77-Bleecker-St-1211-1212-New-York-NY-10012/2086031457_zpid/,Greenwich Village and Soho
36,/homedetails/113-Prince-St-OFC-1-New-York-NY-10012/2090763231_zpid/,Greenwich Village and Soho
37,/homedetails/25-Minetta-Ln-APT-5C-New-York-NY-10012/97511602_zpid/,Greenwich Village and Soho
38,/homedetails/83-Mercer-St-RESIDENTIA-New-York-NY-10012/2091736347_zpid/,Greenwich Village and Soho
39,/homedetails/112-Greene-St-APT-3-New-York-NY-10012/122059529_zpid/,Greenwich Village and Soho
40,/homedetails/41-Spring-St-APT-3AR-New-York-NY-10012/2102317569_zpid/,Greenwich Village and Soho
41,/homedetails/83-Mercer-St-RESIDENTIA-New-York-NY-10012/2091736941_zpid/,Greenwich Village and Soho
42,/homedetails/284-Lafayette-St-APT-5C-New-York-NY-10012/119911186_zpid/,Greenwich Village and Soho
43,/homedetails/36-Bleecker-St-PH-A-New-York-NY-10012/2087385352_zpid/,Greenwich Village and Soho
44,/homedetails/66-Crosby-St-APT-6C-New-York-NY-10012/244835925_zpid/,Greenwich Village and Soho
45,/homedetails/552-Laguardia-Pl-New-York-NY-10012/2117525546_zpid/,Greenwich Village and Soho
46,/homedetails/420-W-Broadway-PHB-New-York-NY-10012/2103555158_zpid/,Greenwich Village and Soho
47,/homedetails/199-Prince-St-APT-27-New-York-NY-10012/2087518377_zpid/,Greenwich Village and Soho
48,/homedetails/233-Mott-St-1-New-York-NY-10012/2085342089_zpid/,Greenwich Village and Soho
49,/homedetails/652-Broadway-FL-3-New-York-NY-10012/2126934896_zpid/,Greenwich Village and Soho
50,/homedetails/41-Great-Jones-St-New-York-NY-10012/2086139277_zpid/,Greenwich Village and Soho
51,/homedetails/77-Bleecker-St-APT-214-New-York-NY-10012/244751223_zpid/,Greenwich Village and Soho
52,/homedetails/211-Thompson-St-APT-3G-New-York-NY-10012/72512477_zpid/,Greenwich Village and Soho
