,link,region
0,/homedetails/504-W-135th-St-APT-1B-New-York-NY-10031/2088702507_zpid/,Inwood and Washington Heights
1,/homedetails/523-W-143rd-St-APT-2A-New-York-NY-10031/2111870131_zpid/,Inwood and Washington Heights
2,/homedetails/389-Convent-Ave-New-York-NY-10031/31552973_zpid/,Inwood and Washington Heights
3,/homedetails/454-W-152nd-St-APT-51-New-York-NY-10031/2125655893_zpid/,Inwood and Washington Heights
4,/homedetails/450-W-147th-St-APT-1N-New-York-NY-10031/72535704_zpid/,Inwood and Washington Heights
5,/homedetails/547-W-147th-St-APT-C1-New-York-NY-10031/244865982_zpid/,Inwood and Washington Heights
6,/homedetails/526-W-143rd-St-New-York-NY-10031/31553237_zpid/,Inwood and Washington Heights
7,/homedetails/1608-Amsterdam-Ave-APT-1B-New-York-NY-10031/244777440_zpid/,Inwood and Washington Heights
8,/homedetails/549-W-152nd-St-New-York-NY-10031/31553329_zpid/,Inwood and Washington Heights
9,/homedetails/725-Riverside-Dr-APT-7B-New-York-NY-10031/143181744_zpid/,Inwood and Washington Heights
10,/homedetails/546-W-148th-St-New-York-NY-10031/2131786970_zpid/,Inwood and Washington Heights
11,/homedetails/515-W-151st-St-APT-4W-New-York-NY-10031/244699028_zpid/,Inwood and Washington Heights
12,/homedetails/3405-Broadway-APT-2B-New-York-NY-10031/249647637_zpid/,Inwood and Washington Heights
13,/homedetails/410-W-146th-St-New-York-NY-10031/31552947_zpid/,Inwood and Washington Heights
14,/homedetails/457-W-148th-St-New-York-NY-10031/31553021_zpid/,Inwood and Washington Heights
15,/homedetails/470-W-143rd-St-New-York-NY-10031/245083830_zpid/,Inwood and Washington Heights
16,/homedetails/520-W-134th-St-APT-1C-New-York-NY-10031/89711697_zpid/,Inwood and Washington Heights
17,/homedetails/100-Hamilton-Pl-APT-4G-New-York-NY-10031/2085857308_zpid/,Inwood and Washington Heights
18,/homedetails/525-W-138th-St-APT-2R-New-York-NY-10031/2086236614_zpid/,Inwood and Washington Heights
19,/homedetails/3405-Broadway-4D-New-York-NY-10031/2086590991_zpid/,Inwood and Washington Heights
20,/homedetails/345-W-145th-St-APT-5C3-New-York-NY-10031/113352352_zpid/,Inwood and Washington Heights
21,/homedetails/471-W-146th-St-New-York-NY-10031/122272622_zpid/,Inwood and Washington Heights
22,/homedetails/325-Convent-Ave-New-York-NY-10031/143180428_zpid/,Inwood and Washington Heights
23,/homedetails/601-W-138th-St-APT-4D-New-York-NY-10031/2095040967_zpid/,Inwood and Washington Heights
24,/homedetails/3692-Broadway-APT-1-New-York-NY-10031/72535763_zpid/,Inwood and Washington Heights
25,/homedetails/501-W-138th-St-APT-61-New-York-NY-10031/2085535660_zpid/,Inwood and Washington Heights
