,link,region
0,/homedetails/531-Main-St-APT-910-New-York-NY-10044/2085673194_zpid/,Roosevelt Island
1,/homedetails/415-Main-St-APT-10E-New-York-NY-10044/89331261_zpid/,Roosevelt Island
2,/homedetails/555-Main-St-APT-712-New-York-NY-10044/2098518767_zpid/,Roosevelt Island
3,/homedetails/555-Main-St-APT-411-New-York-NY-10044/2090109377_zpid/,Roosevelt Island
4,/homedetails/455-Main-St-APT-14E-New-York-NY-10044/80011488_zpid/,Roosevelt Island
5,/homedetails/551-Main-St-APT-208-New-York-NY-10044/2089405202_zpid/,Roosevelt Island
6,/homedetails/551-Main-St-APT-203-New-York-NY-10044/2096413830_zpid/,Roosevelt Island
7,/homedetails/531-Main-St-APT-1003-New-York-NY-10044/2086509680_zpid/,Roosevelt Island
8,/homedetails/415-Main-St-PH2B-New-York-NY-10044/2085442309_zpid/,Roosevelt Island
9,/homedetails/555-Main-St-APT-1514-New-York-NY-10044/2090109378_zpid/,Roosevelt Island
10,/homedetails/555-Main-St-APT-1115-New-York-NY-10044/2096453573_zpid/,Roosevelt Island
