bath,bed,latitude,logitude,price,size,year built,distance to subway,crime
11,7,40.766201,-73.970397,67000000,13000,1910,0.211895563,1606
2,2,40.765154,-73.967956,725000,202841,1927,0.125098873,1606
4,4,40.762664,-73.964743,11950000,4833,1871,0.108910378,1606
4,4,40.762874,-73.964476,9950000,4138,1871,0.139595777,1606
1,1,40.763155,-73.96224,350000,550,1959,0.325530334,1606
8,5,40.767722,-73.968977,35000000,9440,1940,0.377638246,1606
4,4,40.764253,-73.960657,2950000,143590,1957,0.474802169,1606
10,5,40.766178,-73.966491,19995000,8000,1910,0.143899273,1606
8,7,40.767501,-73.970199,59000000,12000,1931,0.324924617,1606
2,2,40.766137,-73.970276,1100000,1042,1920,0.216821863,1606
1,1,40.76288,-73.957498,499000,107780,1963,0.545624424,1606
2,2,40.764069,-73.964407,999000,158500,1963,0.191408784,1606
7,6,40.768344,-73.966579,13475000,8926,1910,0.196246253,1606
3,3,40.767898,-73.967463,2350000,1500,1924,0.261894385,1606
1,1,40.764069,-73.964407,399000,625,1963,0.191408784,1606
1,1,40.766921,-73.962869,675000,700,1965,0.127669199,1606
10,5,40.7677,-73.970001,39950000,5427,1951,0.352631144,1606
14,13,40.7667,-73.970497,19995000,9950,1910,0.240747731,1606
8,7,40.76417,-73.968317,19500000,8500,1899,0.137404142,1606
1,1,40.762204,-73.962786,775000,683,1986,0.263843906,1606
3,3,40.768039,-73.967799,4995000,2800,1907,0.291083916,1606
5,5,40.764708,-73.964724,13995000,3772,1987,0.143373221,1606
3,3,40.765154,-73.967956,3000000,202841,1927,0.125098873,1606
5,4,40.7639,-73.969596,31000000,4628,2015,0.176552846,1606
5,4,40.762805,-73.964286,8995000,4000,1905,0.150441249,1606
10,9,40.769001,-73.9663,18500000,13000,1920,0.210148105,1606
2,2,40.765154,-73.967956,785000,1400,1927,0.125098873,1606
7,7,40.7681,-73.965499,18000000,5800,1924,0.101350564,1606
2,2,40.765154,-73.967956,795000,202841,1927,0.125098873,1606
10,6,40.767501,-73.967697,24500000,8400,1910,0.283631478,1606
5,5,40.7695,-73.967498,24995000,4596,1913,0.324159351,1606
7,5,40.765322,-73.965234,19750000,8000,1899,0.110590982,1606
1,1,40.765154,-73.967956,495000,202841,1927,0.125098873,1606
4,4,40.765154,-73.967956,2800000,4100,1927,0.125098873,1606
2,3,40.760953,-73.959708,1825000,1600,1960,0.542690456,1606
1,1,40.761621,-73.957998,600000,304510,1958,0.476556493,1606
3,4,40.763209,-73.966998,2995000,2400,1960,0.062627636,1606
2,3,40.7649,-73.967796,1390000,1700,1913,0.106641879,1606
3,5,40.762737,-73.964914,11950000,5000,1905,0.100113214,1606
1,1,40.763778,-73.961793,645000,625,1963,0.386489204,1606
5,5,40.7653,-73.970596,24900000,4699,1951,0.152495028,1606
8,8,40.768299,-73.966499,15450000,7000,1910,0.188342658,1606
3,2,40.767412,-73.968242,1850000,1520,1963,0.316537055,1606
4,3,40.767016,-73.968441,2125000,147121,1962,0.287294179,1606
4,3,40.765098,-73.962501,6350000,3190,1951,0.315274233,1606
7,6,40.761966,-73.96428,8995000,4835,1910,0.141649055,1606
6,5,40.762244,-73.963747,12950000,6047,1900,0.182849756,1606
10,6,40.767663,-73.968074,19995000,4913,1929,0.313663014,1606
1,2,40.764462,-73.959311,770000,850,1964,0.533313214,1606
3,2,40.765701,-73.971199,8350000,2500,1910,0.125283629,1606
1,0,40.761876,-73.958603,615000,455403,1956,0.534319907,1606
2,2,40.760953,-73.959708,945000,900,1960,0.542690456,1606
3,3,40.765679,-73.963965,3699000,1815,2000,0.224295618,1606
4,3,40.764499,-73.964841,6995000,2887,1987,0.138878709,1606
1,0,40.765124,-73.964387,650000,246320,1968,0.172586287,1606
2,2,40.767029,-73.970571,2500000,130923,1927,0.264186413,1606
