Neighborhood,bath,bed,latitude,logitude,price,size,year built,zipcode
Central Harlem,1.0,3.0,40.801399,-73.954902,375000.0,,1920,10026.0
Central Harlem,1.0,1.0,40.805369,-73.951677,279000.0,,1900,10026.0
Central Harlem,1.0,3.0,40.8045,-73.958,350000.0,,1910,10026.0
Central Harlem,4.0,6.0,40.805301,-73.957099,1350000.0,3264,1901,10026.0
Central Harlem,4.0,5.0,40.802393,-73.957916,3995000.0,3333,1900,10026.0
Central Harlem,3.0,15.0,40.799701,-73.95369699999998,4000000.0,3200,1900,10026.0
Central Harlem,1.0,2.0,40.801799,-73.954002,459000.0,,1925,10026.0
Central Harlem,2.0,2.0,40.805792,-73.95689,975000.0,923,1901,10026.0
Central Harlem,1.0,1.0,40.802101,-73.948799,385000.0,700,1999,10026.0
Central Harlem,2.0,5.0,40.798099,-73.951499,890000.0,,1903,10026.0
Central Harlem,2.0,3.0,40.7994,-73.954803,799000.0,,1904,10026.0
Central Harlem,1.0,2.0,40.806098,-73.95659599999998,495000.0,,1900,10026.0
Central Harlem,2.0,4.0,40.801799,-73.954002,682000.0,1100,1925,10026.0
Central Harlem,1.0,1.0,40.805369,-73.951677,329000.0,,1900,10026.0
Central Harlem,1.0,1.0,40.80365,-73.955052,449000.0,400,1900,10026.0
Central Harlem,2.0,3.0,40.803187,-73.955899,1600000.0,1322,2008,10026.0
Central Harlem,4.0,5.0,40.802919,-73.94539,1945000.0,2224,1899,10026.0
Central Harlem,1.0,2.0,40.805301,-73.952301,499000.0,,,10026.0
Central Harlem,3.0,5.0,40.805308,-73.956886,3295000.0,2880,2016,10026.0
Central Harlem,5.5,7.0,40.804485,-73.948932,3845000.0,4600,1901,10026.0
Central Harlem,1.0,3.0,40.806098,-73.95659599999998,850000.0,725,1900,10026.0
Central Harlem,4.0,9.0,40.8031,-73.950698,2500000.0,,1999,10026.0
Central Harlem,1.0,2.0,40.80164,-73.9538,465000.0,980,1925,10026.0
Central Harlem,2.0,4.0,40.803901,-73.948799,1295000.0,1312,1910,10026.0
Central Harlem,2.0,3.0,40.801601,-73.9542,999000.0,1545,1920,10026.0
Central Harlem,6.0,4.0,40.805999,-73.95459699999998,4750000.0,3456,2006,10026.0
Central Harlem,4.0,9.0,40.802942,-73.946464,2300000.0,3708,1899,10026.0
Central Harlem,1.0,2.0,40.800534000000006,-73.947361,799000.0,889,2003,10026.0
Central Harlem,2.0,3.0,40.800461,-73.952853,2450000.0,2000,2003,10026.0
Central Harlem,1.0,2.0,40.800473,-73.956416,729900.0,670,1910,10026.0
Central Harlem,2.0,3.0,40.80441500000001,-73.948764,1325000.0,1457,1910,10026.0
Central Harlem,1.0,3.0,40.799598,-73.95459699999998,775000.0,1200,1904,10026.0
Central Harlem,7.0,5.0,40.800701,-73.953903,7900000.0,,1915,10026.0
Central Harlem,2.0,3.0,40.799803,-73.95295300000002,975000.0,1037,1915,10026.0
Central Harlem,6.0,6.0,40.798801,-73.952903,11900000.0,5400,2006,10026.0
Central Harlem,8.5,7.0,40.805491,-73.957167,3985000.0,4420,1899,10026.0
Central Harlem,0.0,1.0,40.800542,-73.95921,725000.0,589,1989,10026.0
Central Harlem,1.0,0.0,40.803199,-73.945999,625000.0,100,,10026.0
Central Harlem,4.5,5.0,40.8008,-73.95850300000002,8495000.0,3348,2017,10026.0
Central Harlem,2.0,1.0,40.803701,-73.955173,925000.0,863,2007,10026.0
