,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,1118000.00,"3962 48th St, Sunnyside, NY 11104",-73.916251,40.747446,11104,0,1,952,1925,3,1,Long Island City,https://www.zillow.com:443/homedetails/3962-48th-St-Sunnyside-NY-11104/143357155_zpid/,"For sale: $1,118,000. Diamond in the rough ! Brick 1 Family with a beautiful rare to find layout ,1st Floor consists of front porch , formal living rm, formal dinning rm , eat-in kitchen with access to a paved patio and fenced backyard also to a hidden wine cellar . 2nd Floor consists of a full bath rm, and 3 bedrooms , master bedroom with access to a full size terrace with terrific views of the gardens and large enough to enjoy with family and friends . Also there is a full size hi ceiling basement w/ private entrance that contains an area for a gas boiler with separate water heater ; electrical panel with circuit breakers & also a laundry area that contains a washer and dryer . A great value like this won''t happen again soon .. ....... Jackpot for the quick buyer"
1,379000.00,"4817 42nd St APT 4E, Sunnyside, NY 11104",-73.923229,40.739469,11104,0,1,625,1927,1,1,Long Island City,https://www.zillow.com:443/homedetails/4817-42nd-St-APT-4E-Sunnyside-NY-11104/219838051_zpid/,"For sale: $379,000. ***Accepted offer from 1st showing.  Buyers,  join our e-mail list to become aware when new listings come to market.  Sellers list with us for quick sale at top dollar!   



Huge 1 bedroom pet friendly Co-op in a well maintained elevator building.  With plenty of storage, new elevators coming this year, all inclusive maintenance, laundry on premises,  parking with wait list, and about 3 blocks to the 7 train, this is a must see and will not last!  Contact Listing Agent Robert Swiderski directly."
2,465000.00,"4333 48th St, Long Island City, NY 11104",-73.916399,40.74363,11104,0,1,589,1931,1,1,Long Island City,https://www.zillow.com:443/homedetails/4333-48th-St-Long-Island-City-NY-11104/94720027_zpid/,"For sale: $465,000. Bright and airy one-bedroom apartment in the highly sought after The Sunnyside Bliss Condominium. This pre-war apartment lays hardwood floors, high ceilings, updated kitchen with stainless steel appliances, granite counter tops and cherry wood cabinets. Laundry room in the building. One block away to the Bliss Street Station on the #7 Subway line and 3 blocks to the Q32 and Q60 buses to Manhattan. Enjoy all the best restaurants, bars and shopping that Sunnyside has to offer."
3,1150000.00,"5219 39th Ave, Long Island City, NY 11104",-73.911161,40.748866,11104,0,1,1484,1940,4,3,Long Island City,https://www.zillow.com:443/homedetails/5219-39th-Ave-Long-Island-City-NY-11104/31933990_zpid/,"For sale: $1,150,000. "
4,NaN,NaN,-73.918084,40.746221,NaN,NaN,NaN,250000,1945,NaN,NaN,Long Island City,https://www.zillow.com:443/homedetails/4130-46th-St-APT-3D-Sunnyside-NY-11104/245403501_zpid/,NaN
5,NaN,NaN,-73.920102,40.74416,NaN,NaN,NaN,1800,1950,NaN,NaN,Long Island City,https://www.zillow.com:443/homedetails/4331-44th-St-Long-Island-City-NY-11104/31934968_zpid/,NaN
6,1500000.00,"3969 45th St, Long Island City, NY 11104",-73.918489,40.747455,11104,0,1,1350,1940,6,3,Long Island City,https://www.zillow.com:443/homedetails/3969-45th-St-Long-Island-City-NY-11104/31934579_zpid/,"For sale: $1,500,000. Legal 2 Family House , 3 Bedrooms 1 Bath , Over 3 Bedrooms , One Bath , Full Finished Basement , Full Attic"
7,1599000.00,"5054 41st St, Long Island City, NY 11104",-73.925065,40.736494,11104,0,1,3000,1930,8,5,Long Island City,https://www.zillow.com:443/homedetails/5054-41st-St-Long-Island-City-NY-11104/31935720_zpid/,"For sale: $1,599,000. 3 Family Brick Semi-Detached 1 Bedroom, Living Room,  Kitchen. 2nd Floor Includes 3 Bedrooms, Living Room, Kitchen And Full Bath. 3rd Floor Includes 4 Bedrooms,  Living Room, Kitchen And Full Bath .3 Hot Water Heaters,    Two Boilers And New Electric!!"
8,1680000.00,"4114 40th St, Long Island City, NY 11104",-73.923959,40.746757,11104,0,1,3200,1931,4,4,Long Island City,https://www.zillow.com:443/homedetails/4114-40th-St-Long-Island-City-NY-11104/31935336_zpid/,"For sale: $1,680,000. The building will be delivery vacant.
2 two bedroom
2 Bedrooms in this area can Be Rented $2900/Month. 
 Yearly Project Income Around $139200.
One Block away to 7 train."
9,410000.00,"4342 45th St APT 5H, Sunnyside, NY 11104",-73.919814,40.743771,11104,0,1,47450,1936,1,1,Long Island City,https://www.zillow.com:443/homedetails/4342-45th-St-APT-5H-Sunnyside-NY-11104/245389874_zpid/,"For sale: $410,000. This lovely apartment is located in a well maintained 
6-story elevator prewar building.
It features beautiful hardwood floors, a large kitchen 
with a separate dining area.
Spacious living room and corner bright bedroom & full bath.
Windows in every room; high ceilings; 4 large closets. 
Laundry room located on premises.
Small pet is permitted.

Monthly Maintenance: $653.75 includes heat and water.

EXCELLENT LOCATION: one block from 7 train, buses
to Manhattan, Brooklyn and rest of Queens. 
Near supermarkets, shops, restaurants, cafes, 
wine bar, parks, Farmers Market (open every Saturday
year round, weather permitting)."
