,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,4200000.00,"18 Warren St, New York, NY 10007",-74.007698,40.714199,10007,0,1,5000,1920,0,2,Lower Manhattan,https://www.zillow.com:443/homedetails/18-Warren-St-New-York-NY-10007/2085022335_zpid/,"For sale: $4,200,000. Store plus basement around 2500 sq feet plus 2500 sq feet basement with 2 half bath room.  Currently rent out for $26,000 per month with 5 years lease. Close to subway 1,2,3,4,5,J,Z,N Train. good for investor, must see..."
1,NaN,NaN,-74.007003,40.7154,NaN,NaN,NaN,--,1860,NaN,NaN,Lower Manhattan,https://www.zillow.com:443/homedetails/74-Reade-St-2E-New-York-NY-10007/2089223393_zpid/,NaN
2,7900000.00,"60 Warren St FL 5, New York, NY 10007",-74.0093,40.715,10007,0,1,4157,1915,3,3,Lower Manhattan,https://www.zillow.com:443/homedetails/60-Warren-St-FL-5-New-York-NY-10007/2091147762_zpid/,"For sale: $7,900,000. A stunning condo loft in the heart of Tribeca. Meticulously renovated, this residence provides a luxurious lifestyle for its residents. Spread over a total of 4,157 Sq Feet with sixteen foot ceilings, this home has magnificent entertaining spaces. Bathed in sunlight, the corner living room features a wood burning fire place surrounded by a gorgeous limestone mantle, dramatic arched windows, and a sculptural staircase leading to a mezzanine level library. The dining room, also of grand proportions, sits adjacent to the living room with a lovely bar tucked behind custom millwork. The renovated eat-in kitchen features Siematic cabinetry and a Miele appliance package that includes an oversized french door refrigerator, wine cooler, convection microwave and 5 burner stove. The laundry room is equipped with an oversized washer & dryer. A dramatic gallery connects the entertaining spaces to the private rooms. The grand master bedroom boasts a large walk in closet and a spa sized master bath with Thasos marble through out, a deep soaking tub and steam shower. Secondary bedrooms are both generous in proportion. The media room is paneled in rich cherry wood and features an entertainment system with surround sound. There is also a large staff room next to the kitchen.



60 Warren is a boutique condo with a collection of only five exclusive residences. Built in 1860 and used as a warehouse, the building was once a G.H. Mumm Company's storage facility for champagne bottles. The building offers a 24-hour doorman, key locked elevator, and storage."
3,2825000.00,"49 Chambers St # 6B, New York, NY 10007",-74.005096,40.714,10007,0,1,1750,1910,2,3,Lower Manhattan,https://www.zillow.com:443/homedetails/49-Chambers-St-6B-New-York-NY-10007/2093021393_zpid/,"For sale: $2,825,000. Closings have commenced.

This two bedroom, two-and-a-half bath residence designed by Gabellini Sheppard is housed within one of Manhattan's finest Beaux-Arts landmark buildings. A grand entry door opens to this sophisticated home featuring unique craftsmanship and hickory hardwood floors in a custom chevron pattern throughout. 
 
 An open kitchen with custom ceruse Cypress wood cabinetry by Minimal Cucine, seamlessly integrated into the living / dining room, features honed San Marino marble waterfall island, countertops and backsplash. The best-in-class collection of appliances include a SubZero side-by-side refrigerator and freezer, Gaggenau gas cooktop with hood, Wolf dual convection oven with warming drawer, Miele dishwasher and wine refrigerator. 
 
 The master bedroom suite exhibits a gracious sense of volume and scale with an oversized bay window and elevated ceilings, generous closet space and an en-suite five-fixture master bath with luminous cove lighting as a sculptural element. Reminiscent of the Roman baths, the master bath is carved out of honed Ariel White marble, supplemented by custom designed Apaiser stone double vanities, crowned mirrors framed in light, a freestanding elegant custom Apaiser stone tub and radiant heat flooring, all complemented by Nickel brushed Waterworks fixtures.
 
Bedroom two features ample closet space and luxurious en-suite bathroom outfitted in Honed Casona Pietra Forte Forentina Sandstone tiles, a custom Apaiser stone vanity with custom cabinetry by Minimal Cucine and an oversized floating backlit mirror, completed with brushed Nickel Waterworks fixtures and radiant heated flooring. A full size washer and dryer in a discreet laundry room and a powder room with Honed Athens Grey Marble tiles, custom Apaiser stone vanity with oversized floating backlit mirror and custom cabinetry by Minimal Cucine complete this stunning residence. 
 
 Luxurious amenities at 49 Chambers include a landscaped roof deck, swimming pool, hammam and spa, sauna and steam rooms, state-of-the-art fitness center, resident lounge, screening room, children's playroom, tween lounge and resident storage.
 
The complete terms are in an offering plan available from the Sponsor (File No: CD 16-0015)"
4,NaN,NaN,-74.012702,40.714099,NaN,NaN,NaN,3487,1927,NaN,NaN,Lower Manhattan,https://www.zillow.com:443/homedetails/100-Barclay-St-APT-20D-New-York-NY-10007/2094944275_zpid/,NaN
5,7700000.00,"111 Murray St # 22WEST, New York, NY 10007",-74.012496,40.715198,10007,0,1,2685,2018,4,5,Lower Manhattan,https://www.zillow.com:443/homedetails/111-Murray-St-22WEST-New-York-NY-10007/2089779025_zpid/,"For sale: $7,700,000. IMMEDIATE OCCUPANCY. 
 
 At 2,685 square feet, this exceptional 4-bedroom, 4.5-bathroom residence with ceilings up to approximately 10'7 offers expansive south and west-facing views including cinematic panoramas of the Hudson River and beyond. From a private elevator vestibule, a grand set of double doors reveals a formal entry foyer that leads to a breathtaking open kitchen and great room. Floor-to-ceiling glass wraps the gentle curve of this sprawling 22'7 x 22'5 space for exceptional natural light and spectacular north- and west-facing vistas. The open kitchen with center island breakfast bar allows for seamless entertaining and intimate daily living alike. Meticulously designed by AD100 designer David Mann, the custom Molteni kitchen offers cerused White Oak cabinetry trimmed in custom soft black metal, Calacatta Borghini marble island with book-matched waterfall, countertop, and backsplash, Dornbracht fixtures in a custom soft black matte finish, two pantries, and top-of-the-line appliances by Wolf, Miele, and Sub-Zero including a side-by-side 30-in. refrigerator and 18-in. freezer, 36-in. 5-burner gas cooktop with built-in fully vented canopy hood, integrated dishwasher, wall oven with warming drawer, steam oven, speed oven, wine refrigerator, and integrated coffee system. In the southern wing of the residence, the luxurious master bedroom suite offers south and west-facing views, a walk-in closet, and master bath with radiant heat floors, travertine stone slab feature walls, and custom white marble slab double vanities with Dornbracht fittings and fixtures in a custom soft black matte finish, as well as a freestanding BluStone soaking tub positioned to enjoy open north-facing views through a full-height window, a separate shower, and a private water closet. Three additional bedrooms, each with en suite bath, await, including one bedroom gracing the northeast corner for exceptional light. A powder room, utility room with washer and vented dryer, and separate service entrance complete this magnificent residence. 
 
 A world-class condominium tower located in Tribeca and developed by a partnership of Fisher Brothers, Witkoff, and New Valley, 111 Murray Street soars some 800 feet, offering 157 residences ranging from one-bedrooms to full-floor penthouses. 111 Murray Street is a collaboration between some of the best and brightest minds in architecture and design, with architecture by Kohn Pedersen Fox, residence interiors by David Mann, amenities and public spaces by David Rockwell, and landscape architecture by Edmund Hollander. With a gently curved crystalline facade, the building's sculptural silhouette softly flares to a peaked crown at its pinnacle, creating a bold new shape on the city skyline. Occupying a privileged location in Tribeca, 111 Murray Street is surrounded by the best that Downtown has to offer. Over 20,000 square feet of private indoor and outdoor spaces span two levels, comprising state-of-the-art amenities that include two pools; a 3,000 square foot fitness center with separate movement studio; residents' lounge; patisserie; private dining room with demonstration kitchen; wellness suite with heated stone hammam, steam room, sauna, treatment rooms, and hair salon; children's playroom with interactive Imagination Playground and adjoining catering kitchen; teen room; media room; as well as stunning landscaped gardens that seamlessly integrate the interiors and the outdoors.
 
 The complete terms are in an offering plan available from the Sponsor (File No: CD14-0363)"
6,NaN,NaN,-74.012496,40.715198,NaN,NaN,NaN,1581,2018,NaN,NaN,Lower Manhattan,https://www.zillow.com:443/homedetails/111-Murray-St-22B-New-York-NY-10007/2086597695_zpid/,NaN
7,2250000.00,"74 Reade St APT 4E, New York, NY 10007",-74.006993,40.715369,10007,0,1,17056,1860,2,2,Lower Manhattan,https://www.zillow.com:443/homedetails/74-Reade-St-APT-4E-New-York-NY-10007/244810464_zpid/,"For sale: $2,250,000. Stunning full floor mint condition two bedroom loft in the heart of Tribeca! Enter off a key-locked elevator in your enormous south-facing living room with spectacular ceilings and beautiful wide-plank hardwood floors. Large windows frame landmarked views and let stunning light pour into this amazing space throughout the day. Chefs will feel right at home in the expertly designed open kitchen with custom cabinets, stainless steel appliances and caesar stone counters. A separate dining area is the perfect place for hosting dinner with friends. Generous bedrooms are pin-drop quiet. The master suite easily fits a king-size bed and is serenity defined. Currently configured with one enormous bathroom, this space easily lends itself to two full baths. 74 Reade is a boutique pet friendly building with a private roof deck replete with outdoor kitchen, bike storage, private storage and private wine vault. Located on one of the best blocks of Tribeca, Whole Foods, Eataly, Le District, Brookfield Place, some of the best restaurants and shops in the city and any number of express transportation are all within minutes of your front door."
8,14950000.00,"111 Murray St # 53WEST, New York, NY 10007",-74.012496,40.715198,10007,0,1,3330,2018,4,7.5,Lower Manhattan,https://www.zillow.com:443/homedetails/111-Murray-St-53WEST-New-York-NY-10007/2089552545_zpid/,"For sale: $14,950,000. CLOSINGS HAVE COMMENCED

At 3,330 square feet, this exceptional 4-bedroom, 5.5-bathroom residence with ceilings up to approximately 10'7 comprises an entire half floor, offering expansive north, south, and west-facing views that include cinematic panoramas of the Hudson River and beyond. From a private elevator vestibule, a grand set of double doors reveals a formal entry foyer that leads to a breathtaking corner living and dining room. Floor-to-ceiling glass wraps the gentle curve of this sprawling 28'2 x 23'3 space for exceptional natural light and spectacular north- and west-facing vistas. The adjacent eat-in kitchen, with an entire wall of floor-to-ceiling windows, center island breakfast bar, and dual points of entry, allows for seamless entertaining and intimate daily living alike. Meticulously designed by AD100 designer David Mann, the custom Molteni kitchen offers cerused White Oak cabinetry trimmed in custom soft black metal, Calacatta Borghini marble island with book-matched waterfall, countertop, and backsplash, Dornbracht fixtures in a custom soft black matte finish, two pantries, and top-of-the-line appliances by Wolf, Miele, and Sub-Zero including a 30-in. refrigerator, 18-in. freezer, 36-in. 5-burner gas cooktop with built-in fully vented hood, integrated dishwasher, wall oven with warming drawer, steam oven, speed oven, wine refrigerator, and integrated coffee system. In the northern wing of the residence for the utmost in privacy, the palatial master bedroom suite offers a substantial dressing room and dual master baths, each with radiant heat floors, travertine stone slab feature walls, and custom white marble slab vanity with Dornbracht fittings and fixtures in a custom soft black matte finish. The primary master bath features a freestanding BluStone soaking tub positioned to enjoy open north-facing views through a full-height window. At the southern end of the residence, three additional bedrooms, each with en suite bath, await, including one bedroom gracing the southeast corner for exceptional light and views. A powder room, utility room with washer and vented dryer, and separate service entrance complete this magnificent residence. 

A world-class condominium tower located in Tribeca and developed by a partnership of Fisher Brothers, Witkoff, and New Valley, 111 Murray Street soars some 800 feet, offering 157 residences ranging from one-bedrooms to full-floor penthouses. 111 Murray Street is a collaboration between some of the best and brightest minds in architecture and design, with architecture by Kohn Pedersen Fox, residence interiors by David Mann, amenities and public spaces by David Rockwell, and landscape architecture by Edmund Hollander. With a gently curved crystalline facade, the building's sculptural silhouette softly flares to a peaked crown at its pinnacle, creating a bold new shape on the city skyline. Occupying a privileged location in Tribeca, 111 Murray Street is surrounded by the best that Downtown has to offer. Over 20,000 square feet of private indoor and outdoor spaces include two levels of state-of-the-art amenities as well as stunning landscaped gardens, seamlessly integrating the interiors and the outdoors.

The complete terms are in an offering plan available from the Sponsor (File No: CD14-0363)"
9,NaN,NaN,-74.005096,40.714,NaN,NaN,NaN,3943,1910,NaN,NaN,Lower Manhattan,https://www.zillow.com:443/homedetails/49-Chambers-St-9EF-New-York-NY-10007/2087070088_zpid/,NaN
